Date,Open,High,Low,Close,Volume,Market_cap
2017-10-12,303.50,309.15,303.29,304.14,527557000,28851200000
2017-10-11,301.18,304.39,299.10,303.46,264146000,28626300000
2017-10-10,297.60,306.15,293.17,299.87,359706000,28281400000
2017-10-09,308.67,309.31,288.19,297.39,559467000,29328300000
2017-10-08,311.06,312.54,308.03,308.61,293167000,29550900000
2017-10-07,308.89,313.13,304.98,311.12,342205000,29340400000
2017-10-06,295.15,308.84,294.95,308.59,318664000,28031100000
2017-10-05,292.77,298.04,288.84,295.86,253747000,27800400000
2017-10-04,292.75,299.39,290.89,292.66,257906000,27794100000
2017-10-03,297.48,300.11,288.13,292.46,321680000,28238500000
2017-10-02,302.48,302.92,294.58,297.48,339443000,28708500000
2017-10-01,301.55,303.19,295.06,302.34,306185000,28615200000
2017-09-30,291.48,303.96,291.11,301.46,332439000,27655200000
2017-09-29,299.12,299.92,279.77,291.47,541375000,28375900000
2017-09-28,306.47,307.20,295.47,299.15,501894000,29068700000
2017-09-27,287.02,308.01,286.82,306.47,550244000,27219400000
2017-09-26,292.35,293.75,287.02,287.44,345801000,27720000000
2017-09-25,282.22,293.51,281.88,292.33,483161000,26755500000
2017-09-24,286.21,292.95,278.13,282.48,571411000,27129900000
2017-09-23,264.60,286.17,261.12,286.17,450934000,25077100000
2017-09-22,258.11,270.54,256.22,264.31,430081000,24458400000
2017-09-21,283.26,286.61,255.02,258.58,601266000,26836000000
2017-09-20,282.01,290.89,278.05,283.74,421404000,26712400000
2017-09-19,293.66,295.77,274.48,282.80,646909000,27809300000
2017-09-18,252.23,293.50,252.23,293.50,1127750000,23881200000
2017-09-17,245.85,257.00,235.24,251.75,427452000,23272500000
2017-09-16,250.87,262.59,238.22,246.52,711737000,23742600000
2017-09-15,215.22,258.65,195.03,250.46,1935700000,20364900000
2017-09-14,276.59,280.84,213.91,213.91,1184590000,26166100000
2017-09-13,291.12,291.12,260.61,277.11,921692000,27535700000
2017-09-12,294.63,311.19,287.23,291.46,753144000,27861800000
2017-09-11,289.75,300.69,286.69,294.53,571307000,27394400000
2017-09-10,294.06,294.76,268.97,288.75,698326000,27797200000
2017-09-09,296.17,299.89,287.22,294.40,528621000,27990500000
2017-09-08,329.64,329.64,285.16,296.50,1098780000,31147200000
2017-09-07,333.52,333.52,319.94,329.43,718624000,31507500000
2017-09-06,313.80,334.66,313.49,334.34,1058830000,29639100000
2017-09-05,297.57,318.57,268.29,312.99,1551050000,28100000000
2017-09-04,347.13,347.13,279.94,295.17,1801690000,32774000000
2017-09-03,350.23,366.49,332.23,347.48,986266000,33059800000
2017-09-02,387.82,389.35,328.10,348.98,1483600000,36601200000
2017-09-01,383.47,390.04,383.47,387.74,874222000,36182900000
2017-08-31,378.44,386.14,376.35,383.04,706254000,35701500000
2017-08-30,369.47,388.75,361.97,378.49,1333320000,34848400000
2017-08-29,347.96,373.76,347.79,370.67,1220030000,32813200000
2017-08-28,350.04,352.05,338.41,347.75,854319000,33002700000
2017-08-27,334.36,347.89,334.36,347.89,633370000,31517500000
2017-08-26,331.99,334.99,327.92,333.88,514181000,31288300000
2017-08-25,326.11,336.40,325.80,331.92,760329000,30727900000
2017-08-24,317.45,327.96,317.08,325.61,697665000,29904600000
2017-08-23,315.27,324.21,314.54,317.52,811990000,29691900000
2017-08-22,321.06,327.36,297.91,314.79,1336400000,30229900000
2017-08-21,300.48,347.05,297.23,321.59,2448970000,28285500000
2017-08-20,296.64,301.43,291.58,301.43,571947000,27918100000
2017-08-19,296.18,301.67,286.18,297.47,860202000,27867900000
2017-08-18,301.70,307.96,292.50,295.59,936160000,28380200000
2017-08-17,302.81,311.03,300.25,301.46,909494000,28477500000
2017-08-16,289.82,303.41,285.38,302.27,967643000,27249700000
2017-08-15,299.95,300.41,279.33,289.82,1051800000,28195800000
2017-08-14,298.03,306.81,296.41,300.10,864391000,28008700000
2017-08-13,310.37,310.82,289.31,298.06,1369370000,29161100000
2017-08-12,308.71,317.56,307.90,310.60,1111650000,28998700000
2017-08-11,294.50,309.21,294.50,308.86,953576000,27657000000
2017-08-10,296.96,306.59,289.93,295.89,1076820000,27882200000
2017-08-09,297.63,318.72,276.69,296.03,2638580000,27938700000
2017-08-08,269.10,298.91,266.80,296.77,1502410000,25254600000
2017-08-07,261.24,271.96,256.69,269.18,935727000,24511000000
2017-08-06,256.42,271.05,252.85,261.57,1482980000,24053500000
2017-08-05,222.85,256.51,221.95,256.51,1333000000,20900000000
2017-08-04,225.31,227.62,222.06,223.07,539783000,21125600000
2017-08-03,220.18,228.29,219.89,225.34,557217000,20640100000
2017-08-02,227.01,229.51,218.12,219.95,632606000,21275200000
2017-08-01,204.69,227.74,204.69,226.77,1585330000,19179100000
2017-07-31,197.41,203.87,193.41,203.87,569414000,18492000000
2017-07-30,206.74,208.54,196.15,197.98,596234000,19360900000
2017-07-29,193.34,208.68,179.65,205.79,824355000,18101800000
2017-07-28,204.32,204.90,192.30,193.12,562571000,19125100000
2017-07-27,204.86,206.44,201.26,204.32,393283000,19169800000
2017-07-26,207.09,210.77,194.78,203.95,717692000,19373400000
2017-07-25,224.37,225.32,195.84,206.71,1095760000,20985200000
2017-07-24,226.28,227.54,222.45,224.71,431691000,21158500000
2017-07-23,229.12,231.68,217.72,225.95,649615000,21418300000
2017-07-22,217.86,232.70,216.87,229.48,618260000,20360100000
2017-07-21,226.06,235.12,213.01,218.31,1006130000,21121100000
2017-07-20,205.42,233.90,203.22,227.26,2225000000,19187800000
2017-07-19,234.94,245.65,191.75,199.70,2328790000,21939300000
2017-07-18,195.03,267.99,182.06,234.39,2709260000,18207400000
2017-07-17,159.99,194.75,158.04,193.42,1669500000,14932700000
2017-07-16,169.57,172.01,133.72,157.36,1516890000,15823100000
2017-07-15,199.71,200.16,170.66,170.66,810452000,18630200000
2017-07-14,209.53,211.10,187.37,199.66,749382000,19541300000
2017-07-13,231.81,231.81,200.06,209.73,828489000,21613900000
2017-07-12,197.15,230.77,189.59,230.77,1241190000,18377600000
2017-07-11,211.53,220.29,183.39,197.40,1440950000,19712300000
2017-07-10,243.01,243.07,196.97,215.36,937219000,22640500000
2017-07-09,251.82,255.10,242.14,242.14,505118000,23454700000
2017-07-08,245.89,273.48,236.55,251.70,754958000,22890700000
2017-07-07,270.35,273.94,244.17,245.99,687252000,25160800000
2017-07-06,268.86,278.48,265.51,270.55,623080000,25019500000
2017-07-05,273.10,275.13,261.45,268.77,790256000,25406900000
2017-07-04,282.19,287.39,273.11,273.30,687691000,26245000000
2017-07-03,288.41,291.10,281.18,282.90,851408000,26815900000
2017-07-02,275.12,295.51,262.52,287.99,1123330000,25572800000
2017-07-01,293.35,293.75,268.62,274.60,1089200000,27259400000
2017-06-30,303.15,315.17,288.44,294.92,1011800000,28161900000
2017-06-29,328.37,330.71,297.37,302.88,1508580000,30495300000
2017-06-28,293.04,333.10,276.41,327.93,2056550000,27207000000
2017-06-27,272.69,293.09,227.14,293.09,1973870000,25309700000
2017-06-26,302.95,311.46,238.65,272.69,2081810000,28111200000
2017-06-25,323.47,332.79,284.65,303.25,1186880000,30005900000
2017-06-24,341.63,343.62,322.09,323.70,673585000,31681300000
2017-06-23,336.49,348.01,334.99,341.74,593207000,31195900000
2017-06-22,337.73,342.03,330.62,336.37,925767000,31302600000
2017-06-21,359.54,361.34,319.48,336.87,1420130000,33310500000
2017-06-20,370.33,377.97,350.94,359.00,1020390000,34304000000
2017-06-19,371.86,377.12,369.76,370.06,685172000,34435700000
2017-06-18,379.52,390.58,368.84,371.46,904703000,35133800000
2017-06-17,369.88,379.41,364.00,379.41,904653000,34231300000
2017-06-16,361.18,373.06,341.42,370.23,1096280000,33415800000
2017-06-15,358.51,364.44,300.70,361.93,2463450000,33158200000
2017-06-14,397.59,399.32,342.21,359.05,1272580000,36761600000
2017-06-13,395.69,411.18,370.06,397.54,1717380000,36574500000
2017-06-12,341.16,414.76,341.16,401.49,2882650000,31525300000
2017-06-11,338.79,353.01,318.17,340.61,1373220000,31296800000
2017-06-10,282.01,350.26,282.01,337.67,1611630000,26043700000
2017-06-09,261.75,282.76,261.75,281.74,557986000,24165000000
2017-06-08,257.99,262.25,253.97,261.67,385494000,23810900000
2017-06-07,264.26,264.67,254.04,258.07,461649000,24382200000
2017-06-06,248.60,267.51,246.84,264.47,741553000,22930400000
2017-06-05,245.26,249.47,243.05,248.46,435660000,22615800000
2017-06-04,224.12,250.41,223.98,245.33,753820000,20659800000
2017-06-03,223.46,225.97,219.42,224.38,427896000,20593500000
2017-06-02,222.29,229.41,219.58,223.78,469532000,20479000000
2017-06-01,230.89,236.22,214.48,222.24,812924000,21264800000
2017-05-31,231.58,236.97,215.57,230.67,1271600000,21321900000
