Date,Open,High,Low,Close,Volume,Market_cap
2017-10-12,2.35,2.63,2.35,2.63,718083,90027000
2017-10-11,2.39,2.48,2.30,2.35,680180,91398800
2017-10-10,2.39,2.52,2.06,2.39,1587750,91685700
2017-10-09,2.64,2.65,2.27,2.44,1486090,101188000
2017-10-08,2.74,2.79,2.45,2.64,1513230,105073000
2017-10-07,2.68,2.77,2.67,2.76,664024,102538000
2017-10-06,2.70,2.78,2.66,2.68,1216100,103426000
2017-10-05,2.61,2.78,2.53,2.70,1503660,99849700
2017-10-04,2.63,2.78,2.55,2.61,1415490,100717000
2017-10-03,2.53,2.71,2.48,2.62,885266,96827600
2017-10-02,2.57,2.62,2.50,2.56,778792,98454400
2017-10-01,2.47,2.72,2.40,2.57,1125720,94681600
2017-09-30,2.55,2.63,2.23,2.47,1709170,97823500
2017-09-29,2.72,2.72,2.55,2.55,1063630,104091000
2017-09-28,2.83,2.83,2.58,2.72,1910650,108415000
2017-09-27,2.68,2.85,2.63,2.82,2132380,102692000
2017-09-26,2.79,2.86,2.51,2.69,1745120,106941000
2017-09-25,3.13,3.29,2.31,2.84,3626430,119703000
2017-09-24,2.85,3.23,2.48,3.14,4828370,109251000
2017-09-23,1.96,2.81,1.95,2.81,3952970,-
2017-09-22,1.53,1.99,1.51,1.97,1870950,-
2017-09-21,1.62,1.84,1.51,1.54,1230100,-
2017-09-20,1.50,1.66,1.48,1.63,564076,-
2017-09-19,1.46,1.66,1.20,1.51,998167,-
2017-09-18,1.37,1.49,1.36,1.45,519428,-
2017-09-17,1.37,1.40,1.25,1.37,316058,-
2017-09-16,1.34,1.42,1.29,1.37,288598,-
2017-09-15,1.19,1.41,1.11,1.34,629075,-
2017-09-14,1.52,1.57,1.18,1.18,686347,-
2017-09-13,1.71,1.71,1.50,1.52,339304,158028000
2017-09-12,1.73,1.81,1.67,1.71,499755,160011000
2017-09-11,1.80,1.89,1.68,1.73,481562,166950000
2017-09-10,1.87,1.90,1.55,1.80,762646,172852000
2017-09-09,1.91,1.92,1.54,1.87,1030310,176759000
2017-09-08,1.99,2.31,1.78,1.91,1047210,183774000
2017-09-07,2.59,2.65,1.88,2.07,1716700,239404000
2017-09-06,2.70,2.86,2.46,2.59,972208,249560000
2017-09-05,2.75,2.77,2.36,2.69,862989,254745000
2017-09-04,2.86,3.17,2.52,2.74,1077010,263442000
2017-09-03,3.07,3.93,2.62,2.87,2654650,279208000
2017-09-02,1.78,5.76,1.66,3.07,2729970,159915000
2017-09-01,1.54,1.78,1.47,1.78,968478,136494000
2017-08-31,1.71,1.71,1.45,1.54,708685,150313000
2017-08-30,1.57,1.72,1.54,1.71,68161,136629000
2017-08-29,1.68,1.68,1.53,1.58,503279,143748000
2017-08-28,1.66,1.68,1.55,1.67,398506,140260000
2017-08-27,1.58,1.69,1.53,1.65,464745,131921000
2017-08-26,1.66,1.67,1.46,1.58,504803,137191000
2017-08-25,1.82,1.84,1.49,1.66,726082,148824000
2017-08-24,1.93,1.94,1.70,1.83,677312,154482000
2017-08-23,1.92,2.07,1.80,1.92,528325,152240000
2017-08-22,2.00,2.00,1.70,1.93,351339,156622000
2017-08-21,2.22,2.25,1.70,2.00,637503,171084000
2017-08-20,2.26,2.29,2.16,2.23,322807,172273000
2017-08-19,2.15,2.28,2.11,2.27,649077,161171000
2017-08-18,2.22,2.29,2.09,2.15,678009,163667000
2017-08-17,2.26,2.31,2.16,2.23,348738,164511000
2017-08-16,2.12,2.26,1.99,2.26,386209,152016000
2017-08-15,2.04,2.21,1.96,2.11,508678,144146000
2017-08-14,1.99,2.07,1.88,2.03,294516,138809000
2017-08-13,1.98,2.07,1.67,1.92,494946,135702000
2017-08-12,1.95,2.11,1.87,1.98,418787,130734000
2017-08-11,1.72,1.97,1.71,1.95,373145,110995000
2017-08-10,1.82,1.92,1.67,1.72,357104,115405000
2017-08-09,1.78,1.94,1.61,1.85,340820,110454000
2017-08-08,2.21,2.23,1.43,1.78,519836,133830000
2017-08-07,1.96,2.31,1.80,2.20,482143,116544000
2017-08-06,2.50,2.52,1.96,1.96,314435,145725000
2017-08-05,2.28,2.59,2.16,2.48,669175,130132000
2017-08-04,2.18,2.29,2.14,2.28,558921,122208000
2017-08-03,1.95,2.24,1.92,2.18,510823,107239000
2017-08-02,2.05,2.11,1.92,1.95,389759,110704000
2017-08-01,2.20,2.22,2.03,2.05,371574,116718000
2017-07-31,2.20,2.26,1.98,2.20,453594,114326000
2017-07-30,2.19,2.27,1.90,2.20,575788,111574000
2017-07-29,2.27,2.27,2.10,2.19,473424,113105000
2017-07-28,2.22,2.42,2.10,2.27,643734,108369000
2017-07-27,2.02,2.31,1.98,2.21,561528,96464300
2017-07-26,2.06,2.13,1.80,2.01,468209,96591600
2017-07-25,2.28,2.34,1.91,2.06,445736,104280000
2017-07-24,2.48,2.51,2.16,2.28,555522,110829000
2017-07-23,2.42,3.28,2.24,2.48,893740,105672000
2017-07-22,2.41,2.63,2.32,2.42,620166,102899000
2017-07-21,2.24,2.88,2.11,2.41,980037,93568500
2017-07-20,2.73,3.14,2.04,2.23,817305,111154000
2017-07-19,2.64,3.40,2.58,2.74,703589,104721000
2017-07-18,2.67,2.75,2.42,2.63,611525,103353000
2017-07-17,2.18,2.67,2.18,2.66,528488,82072100
2017-07-16,3.19,3.23,2.11,2.18,583738,117180000
2017-07-15,3.40,3.44,3.06,3.20,463058,121327000
2017-07-14,3.71,3.73,3.20,3.41,667620,128581000
2017-07-13,3.69,11.59,2.68,3.71,659860,124143000
2017-07-12,3.74,3.90,3.37,3.68,1299550,122138000
2017-07-11,3.83,4.22,3.59,3.76,992678,121220000
2017-07-10,4.21,4.22,3.68,3.84,756681,129101000
2017-07-09,4.08,4.36,3.84,4.20,841192,120807000
2017-07-08,4.48,4.56,3.88,4.07,1195130,128406000
2017-07-07,4.68,4.77,4.44,4.48,944276,129253000
2017-07-06,5.07,5.16,4.48,4.68,1806590,134891000
2017-07-05,5.30,5.33,4.89,5.07,2218870,111647000
2017-07-04,4.82,5.35,4.82,5.31,2022450,100482000
2017-07-03,4.73,4.91,4.70,4.83,293238,97732500
2017-07-02,4.58,4.77,4.51,4.75,287913,93574700
2017-07-01,4.90,5.09,4.40,4.58,283637,99298600
2017-06-30,4.44,4.91,4.03,4.91,129021,88978800
2017-06-29,4.85,4.97,4.43,4.43,75687,94854600
2017-06-28,4.79,4.92,4.38,4.85,62812,88854300
2017-06-27,4.71,4.76,4.22,4.76,101195,82178400
