Date,Open,High,Low,Close,Volume,Market_cap
2017-10-12,1.10,1.12,1.01,1.04,1717420,267692000
2017-10-11,1.03,1.12,1.03,1.10,1468260,251379000
2017-10-10,1.07,1.13,1.02,1.03,1168220,260164000
2017-10-09,1.12,1.15,0.958003,1.06,1756730,273178000
2017-10-08,1.22,1.27,1.08,1.12,1382630,295721000
2017-10-07,1.21,1.26,1.17,1.22,845706,293172000
2017-10-06,1.17,1.23,1.17,1.21,868404,283831000
2017-10-05,1.18,1.22,1.09,1.17,1327140,286848000
2017-10-04,1.22,1.23,1.13,1.18,1306770,295222000
2017-10-03,1.32,1.33,1.17,1.23,1528740,318943000
2017-10-02,1.39,1.43,1.29,1.31,2974760,337053000
2017-10-01,1.46,1.52,1.41,1.41,3063030,354133000
2017-09-30,1.64,1.68,1.43,1.47,5720930,397770000
2017-09-29,1.44,1.64,1.26,1.64,9012310,349458000
2017-09-28,1.22,1.49,1.20,1.43,6612830,295714000
2017-09-27,1.08,1.26,1.08,1.22,2507270,263203000
2017-09-26,1.11,1.12,1.07,1.09,850509,268720000
2017-09-25,1.07,1.17,1.04,1.11,778463,260006000
2017-09-24,1.08,1.10,1.01,1.07,623883,261509000
2017-09-23,1.01,1.10,0.990564,1.08,755874,244438000
2017-09-22,0.996603,1.06,0.960552,1.01,563069,241246000
2017-09-21,1.12,1.13,0.973992,1.01,817391,270669000
2017-09-20,1.10,1.19,1.06,1.12,1344570,265953000
2017-09-19,1.22,1.23,1.09,1.09,1031290,295568000
2017-09-18,1.09,1.29,1.09,1.22,1096350,262985000
2017-09-17,1.12,1.18,1.02,1.09,884868,271284000
2017-09-16,1.17,1.19,1.04,1.12,769713,283257000
2017-09-15,0.990817,1.22,0.902496,1.14,1644810,239282000
2017-09-14,1.25,1.29,0.976507,0.994543,1193010,301092000
2017-09-13,1.22,1.32,1.08,1.23,1150290,294325000
2017-09-12,1.23,1.32,1.19,1.22,889780,297264000
2017-09-11,1.32,1.36,1.21,1.23,850268,317685000
2017-09-10,1.40,1.42,1.24,1.32,1089070,336600000
2017-09-09,1.37,1.45,1.30,1.40,761038,329790000
2017-09-08,1.56,1.61,1.25,1.37,1853200,375501000
2017-09-07,1.55,1.70,1.51,1.56,2782790,373000000
2017-09-06,1.33,1.65,1.33,1.56,2665210,320970000
2017-09-05,1.19,1.40,1.06,1.34,1378700,285611000
2017-09-04,1.39,1.40,1.10,1.17,1699020,333310000
2017-09-03,1.36,1.44,1.28,1.39,873348,327271000
2017-09-02,1.59,1.61,1.26,1.34,2011900,382583000
2017-09-01,1.56,1.62,1.52,1.59,1909350,374774000
2017-08-31,1.44,1.56,1.42,1.56,2062230,344767000
2017-08-30,1.42,1.46,1.38,1.45,1613240,341438000
2017-08-29,1.46,1.54,1.40,1.43,2376240,348987000
2017-08-28,1.43,1.48,1.35,1.46,2053110,341854000
2017-08-27,1.52,1.57,1.40,1.43,2735080,365171000
2017-08-26,1.38,1.60,1.29,1.53,4297380,331668000
2017-08-25,1.28,1.37,1.26,1.37,1456350,306485000
2017-08-24,1.23,1.33,1.20,1.28,1958180,295147000
2017-08-23,1.21,1.31,1.19,1.24,2415700,289363000
2017-08-22,1.19,1.31,1.12,1.19,2112460,285896000
2017-08-21,1.41,1.49,1.16,1.20,3309300,339535000
2017-08-20,1.06,1.57,1.02,1.44,3358270,254472000
2017-08-19,1.05,1.09,0.929075,1.07,1497640,252876000
2017-08-18,1.12,1.15,1.04,1.07,1036360,269091000
2017-08-17,1.18,1.18,1.08,1.14,1039930,281663000
2017-08-16,1.13,1.21,1.10,1.18,1002990,270430000
2017-08-15,1.21,1.21,1.08,1.14,1538190,290681000
2017-08-14,1.24,1.26,1.10,1.20,1481380,297811000
2017-08-13,1.36,1.40,1.17,1.24,1530080,324184000
2017-08-12,1.15,1.54,1.14,1.36,3035180,273860000
2017-08-11,1.21,1.24,1.14,1.14,1925900,289748000
2017-08-10,1.31,1.32,1.21,1.22,1548230,312575000
2017-08-09,1.36,1.39,1.28,1.31,1458030,324049000
2017-08-08,1.31,1.45,1.29,1.36,1641340,312048000
2017-08-07,1.36,1.37,1.29,1.31,1524890,325531000
2017-08-06,1.35,1.39,1.31,1.38,1565210,322502000
2017-08-05,1.28,1.42,1.28,1.34,1501680,306253000
2017-08-04,1.27,1.33,1.25,1.28,1243190,302687000
2017-08-03,1.24,1.29,1.22,1.27,1035280,295499000
2017-08-02,1.26,1.33,1.20,1.24,1285530,299490000
2017-08-01,1.20,1.27,1.08,1.26,1371770,286856000
2017-07-31,1.20,1.23,1.18,1.20,644073,285869000
2017-07-30,1.30,1.31,1.18,1.20,787045,310048000
2017-07-29,1.23,1.30,1.10,1.30,1152150,293914000
2017-07-28,1.35,1.37,1.20,1.24,1399770,321683000
2017-07-27,1.22,1.37,1.22,1.35,1625210,291038000
2017-07-26,1.30,1.34,1.14,1.22,1232370,308423000
2017-07-25,1.54,1.55,1.18,1.29,2756710,364990000
2017-07-24,1.60,1.65,1.51,1.52,1349760,381085000
2017-07-23,1.77,1.81,1.45,1.61,2627290,419382000
2017-07-22,1.41,1.81,1.40,1.78,2813130,336136000
2017-07-21,1.37,1.50,1.33,1.42,2000850,326865000
2017-07-20,1.14,1.43,1.13,1.36,2381540,271859000
2017-07-19,1.26,1.32,1.09,1.13,2083310,300829000
2017-07-18,1.13,1.35,1.05,1.25,2255590,269311000
2017-07-17,0.887467,1.13,0.887467,1.12,1352660,211333000
2017-07-16,0.954066,0.984837,0.772624,0.896907,1333100,226737000
2017-07-15,1.07,1.07,0.915086,0.953154,1166680,254305000
2017-07-14,1.16,1.16,0.995850,1.07,1012260,276028000
2017-07-13,1.36,1.37,1.12,1.16,1580660,321600000
2017-07-12,1.13,1.36,1.07,1.36,2211440,266730000
2017-07-11,1.24,1.33,0.972486,1.13,3648840,292641000
2017-07-10,1.54,1.55,1.18,1.26,2718830,363504000
2017-07-09,1.70,1.72,1.52,1.53,1273150,400422000
2017-07-08,1.52,1.70,1.39,1.69,2323660,359178000
2017-07-07,1.86,1.88,1.52,1.52,2576860,438453000
2017-07-06,1.80,1.89,1.78,1.85,1741770,424257000
2017-07-05,1.87,1.89,1.74,1.80,2594160,440681000
2017-07-04,1.63,1.87,1.63,1.85,2692650,385199000
2017-07-03,1.64,1.67,1.58,1.64,1531800,386172000
2017-07-02,1.60,1.66,1.53,1.64,1589740,376228000
2017-07-01,1.66,1.68,1.55,1.59,1223870,390124000
2017-06-30,1.75,1.78,1.63,1.66,1242450,412648000
2017-06-29,1.92,1.93,1.71,1.75,2264590,452171000
2017-06-28,1.81,1.96,1.71,1.92,2796140,425000000
2017-06-27,1.80,1.82,1.48,1.78,3648900,423370000
2017-06-26,1.89,2.01,1.46,1.80,5791180,445388000
2017-06-25,2.05,2.11,1.80,1.89,3225560,481633000
2017-06-24,2.17,2.24,2.02,2.06,2735200,509365000
2017-06-23,2.01,2.24,1.95,2.17,3754720,472276000
2017-06-22,1.98,2.01,1.89,2.01,2838420,465514000
2017-06-21,2.04,2.06,1.85,1.98,4478590,478660000
2017-06-20,2.12,2.21,1.93,2.04,7175230,498126000
2017-06-19,2.00,2.24,1.98,2.12,8208350,469892000
2017-06-18,2.04,2.07,1.98,2.00,3193610,479184000
2017-06-17,2.09,2.10,2.01,2.04,3062660,490186000
2017-06-16,2.03,2.11,1.91,2.08,3660240,476585000
2017-06-15,1.98,2.10,1.64,2.03,4992090,464118000
2017-06-14,2.37,2.44,1.87,1.97,6150010,556000000
2017-06-13,2.08,2.45,2.05,2.37,8685200,487061000
2017-06-12,2.46,2.48,1.97,2.08,7957900,575391000
2017-06-11,2.22,2.48,2.19,2.45,7880470,519354000
2017-06-10,2.50,2.72,2.20,2.24,14081000,585447000
2017-06-09,2.36,2.80,2.30,2.49,18823000,551073000
2017-06-08,2.14,2.37,2.04,2.36,11297400,501907000
2017-06-07,2.61,2.61,1.89,2.09,30080400,611817000
2017-06-06,1.72,2.74,1.44,2.60,46267200,403229000
2017-06-05,1.28,1.73,1.28,1.72,11290300,300712000
2017-06-04,1.29,1.35,1.18,1.30,4379190,303356000
2017-06-03,1.32,1.46,1.17,1.30,9131440,310132000
2017-06-02,1.00,1.34,1.00,1.32,5171210,235431000
2017-06-01,0.950098,1.04,0.948211,1.00,2472990,222636000
2017-05-31,0.929234,1.00,0.855396,0.950807,2570200,217655000
2017-05-30,0.970721,1.02,0.917210,0.925792,2088460,227345000
2017-05-29,0.952227,1.01,0.891542,0.970867,1857810,222812000
2017-05-28,0.815165,1.05,0.815165,0.957411,3137380,190537000
2017-05-27,0.961441,0.997929,0.630137,0.819755,4019140,224638000
2017-05-26,1.08,1.31,0.927384,0.960876,4110000,252678000
2017-05-25,1.22,1.33,1.07,1.08,4663780,285741000
2017-05-24,1.24,1.42,1.20,1.23,6237100,288475000
2017-05-23,1.14,1.32,1.11,1.24,5825390,265548000
2017-05-22,1.31,1.31,0.974766,1.14,5656130,305563000
2017-05-21,1.19,1.30,1.13,1.30,6177170,278663000
2017-05-20,1.06,1.33,1.05,1.19,8484620,248538000
2017-05-19,0.947874,1.15,0.947874,1.05,5361330,221361000
2017-05-18,0.845277,1.02,0.833823,0.973278,5785910,197408000
2017-05-17,0.795976,0.894693,0.739339,0.837306,5012230,185953000
2017-05-16,0.866746,1.01,0.802030,0.802864,7973670,202443000
2017-05-15,0.752038,0.998069,0.707520,0.895444,9503920,175577000
2017-05-14,0.728880,0.807585,0.723099,0.755364,2239850,170085000
2017-05-13,0.739904,0.760745,0.692427,0.727098,2153340,172584000
2017-05-12,0.764269,0.878835,0.713900,0.744853,4348360,178171000
2017-05-11,0.850274,0.902675,0.727300,0.763039,4328880,198186000
2017-05-10,0.758253,0.988480,0.748461,0.850290,6475420,177192000
2017-05-09,1.03,1.32,0.654272,0.769989,22859100,240888000
2017-05-08,0.523659,1.11,0.482310,1.03,18945000,122981000
2017-05-07,0.401269,0.602425,0.399402,0.527510,9016200,94328900
2017-05-06,0.327579,0.432645,0.310018,0.403037,3581950,77052100
2017-05-05,0.291314,0.355398,0.285576,0.328089,1921100,68514500
2017-05-04,0.279150,0.305215,0.274097,0.290931,918971,65635700
2017-05-03,0.271850,0.283653,0.262127,0.277054,778314,63881300
2017-05-02,0.271108,0.279011,0.251190,0.273466,714359,63689500
2017-05-01,0.277977,0.307163,0.259748,0.267405,1001530,65382500
2017-04-30,0.291556,0.295666,0.272611,0.277944,915711,68607100
2017-04-29,0.260646,0.304155,0.253753,0.291694,1403140,61331500
2017-04-28,0.242942,0.261604,0.238737,0.260790,896172,57198300
2017-04-27,0.236646,0.254824,0.231668,0.241152,1208290,55705100
2017-04-26,0.224388,0.254193,0.223341,0.233845,807031,52809300
2017-04-25,0.230791,0.233211,0.221536,0.225193,1359640,54297400
2017-04-24,0.229165,0.234241,0.220777,0.230500,300251,53912800
2017-04-23,0.223206,0.233512,0.219735,0.228103,376811,52478600
2017-04-22,0.233358,0.238183,0.222245,0.222245,274499,54848100
2017-04-21,0.222216,0.234287,0.213193,0.233277,341421,52199500
2017-04-20,0.242197,0.245942,0.217466,0.221580,795667,56890200
2017-04-19,0.236588,0.252678,0.212764,0.242122,1159060,55673500
2017-04-18,0.246568,0.263227,0.227646,0.236603,1530920,58033600
2017-04-17,0.217980,0.273764,0.207539,0.250412,2396200,51583000
2017-04-16,0.198432,0.224086,0.194473,0.215557,1044000,46966700
2017-04-15,0.162408,0.223893,0.160150,0.198606,1710830,38436000
2017-04-14,0.159473,0.164957,0.158763,0.162613,216757,37756300
2017-04-13,0.163581,0.165954,0.156822,0.160473,338387,38725000
2017-04-12,0.155707,0.165025,0.151133,0.163489,261809,36844500
2017-04-11,0.155222,0.159191,0.154348,0.155738,154451,36726100
2017-04-10,0.154621,0.158095,0.150068,0.156110,159431,36567600
2017-04-09,0.161858,0.169923,0.150591,0.154306,294776,38255600
2017-04-08,0.149244,0.172478,0.146363,0.162552,328346,35230200
2017-04-07,0.164673,0.164673,0.147311,0.150631,287109,38851400
2017-04-06,0.165463,0.172493,0.150270,0.164358,377334,39014200
2017-04-05,0.166784,0.173091,0.164856,0.166263,363582,39291200
2017-04-04,0.173445,0.182234,0.158891,0.166656,418978,40843400
2017-04-03,0.164939,0.179739,0.164939,0.173645,510023,38824200
2017-04-02,0.176401,0.183026,0.160542,0.164667,616998,41540800
2017-04-01,0.172285,0.185144,0.168185,0.174065,388243,40619400
2017-03-31,0.163471,0.201773,0.163471,0.172350,1150220,38543500
2017-03-30,0.159222,0.172745,0.153580,0.162995,657178,37505200
2017-03-29,0.170317,0.171896,0.154378,0.159343,361902,40084800
2017-03-28,0.156463,0.176770,0.147706,0.171042,480639,36814100
2017-03-27,0.169820,0.184766,0.152853,0.155637,621524,40006500
2017-03-26,0.181432,0.194675,0.164168,0.169063,838104,42730300
2017-03-25,0.149101,0.198017,0.142351,0.180641,1531830,35091900
2017-03-24,0.159121,0.163387,0.149380,0.149915,438708,37396000
2017-03-23,0.169073,0.170394,0.156298,0.159054,355286,39601600
2017-03-22,0.162071,0.179347,0.161514,0.167159,481751,37923800
2017-03-21,0.192331,0.209162,0.160178,0.160195,754587,44992600
2017-03-20,0.199242,0.220602,0.157050,0.192157,1491150,46623200
2017-03-19,0.177156,0.246778,0.177156,0.198072,1740400,42399400
2017-03-18,0.128833,0.351230,0.128833,0.176617,7214170,31114600
2017-03-17,0.095127,0.156885,0.094642,0.127892,1659420,23006300
2017-03-16,0.079437,0.112685,0.072592,0.095903,575024,19214100
2017-03-15,0.083921,0.084447,0.073566,0.078740,412096,20354500
2017-03-14,0.086455,0.095555,0.081616,0.083931,206112,20980400
2017-03-13,0.071750,0.094589,0.070811,0.086399,312298,17393000
2017-03-12,0.072461,0.076213,0.071868,0.072172,116132,17481900
2017-03-11,0.072658,0.076828,0.069533,0.072330,117421,17491200
2017-03-10,0.081153,0.084491,0.069192,0.072682,126925,19437700
2017-03-09,0.080702,0.084193,0.079385,0.081502,38270,19281500
2017-03-08,0.091343,0.092206,0.080539,0.080591,75555,21818000
2017-03-07,0.096629,0.097598,0.089219,0.091083,65633,23098800
2017-03-06,0.099144,0.100026,0.095323,0.096384,63415,23693700
2017-03-05,0.095263,0.103939,0.087980,0.099061,141222,22747100
2017-03-04,0.092789,0.097082,0.089025,0.095340,85627,22085400
2017-03-03,0.093624,0.096346,0.086272,0.090665,81996,22201600
2017-03-02,0.097908,0.105983,0.091427,0.094939,82586,23191200
2017-03-01,0.105636,0.110657,0.097098,0.097724,100250,24988200
2017-02-28,0.113858,0.115737,0.106101,0.106568,56227,26923400
2017-02-27,0.108872,0.114551,0.106501,0.113267,54646,25710500
2017-02-26,0.115291,0.117557,0.108468,0.109711,47461,27248500
2017-02-25,0.108099,0.122069,0.108099,0.115275,83041,25562000
2017-02-24,0.116719,0.117610,0.105742,0.108383,70403,27592700
2017-02-23,0.111226,0.130903,0.108048,0.116398,223438,26255100
2017-02-22,0.100390,0.122490,0.095278,0.111410,171774,23659700
2017-02-21,0.116968,0.117050,0.099425,0.100643,147603,27531700
2017-02-20,0.119260,0.119675,0.114107,0.116643,58001,27968700
2017-02-19,0.121091,0.127991,0.117484,0.119055,55309,28386900
2017-02-18,0.133153,0.135811,0.116537,0.120832,190740,31195400
2017-02-17,0.136599,0.143251,0.132673,0.132673,81058,31994000
2017-02-16,0.133755,0.140635,0.130364,0.137068,108605,31310900
2017-02-15,0.134539,0.136256,0.129908,0.133492,50778,31430500
2017-02-14,0.136509,0.137182,0.128176,0.133292,98110,31858900
2017-02-13,0.142585,0.142970,0.133377,0.136064,89338,33267700
2017-02-12,0.146326,0.148411,0.140903,0.142462,35711,34116400
2017-02-11,0.145576,0.149886,0.144536,0.146461,30087,33894500
2017-02-10,0.145219,0.146619,0.138692,0.145825,33322,33787700
2017-02-09,0.151669,0.158440,0.138693,0.145037,60780,35243800
2017-02-08,0.155410,0.158274,0.147328,0.150860,96799,36095300
2017-02-07,0.163324,0.167777,0.149787,0.155065,121915,37919900
2017-02-06,0.160469,0.163291,0.155349,0.161881,64142,37239700
2017-02-05,0.165241,0.166072,0.159870,0.159870,59752,38332300
2017-02-04,0.163527,0.170763,0.162037,0.165158,96269,37925800
2017-02-03,0.165965,0.166915,0.159347,0.163293,97954,38479100
2017-02-02,0.164834,0.166916,0.160324,0.166014,87060,38200700
2017-02-01,0.163073,0.170909,0.160905,0.163317,126515,37780500
2017-01-31,0.166604,0.168574,0.157039,0.160804,129933,38589500
2017-01-30,0.162822,0.169848,0.160608,0.166666,74949,37819100
2017-01-29,0.168412,0.175446,0.162745,0.162777,155716,39117500
2017-01-28,0.152190,0.169682,0.150168,0.168779,173204,35341300
2017-01-27,0.147751,0.152955,0.144224,0.152192,114266,34292200
2017-01-26,0.145470,0.151139,0.144090,0.147754,106103,33693800
2017-01-25,0.147322,0.151755,0.144395,0.146054,112269,34092100
2017-01-24,0.157276,0.160438,0.147440,0.147587,102734,36370900
2017-01-23,0.161233,0.162918,0.156253,0.159152,71378,37268200
2017-01-22,0.165562,0.167785,0.158411,0.161027,54236,38266000
2017-01-21,0.160976,0.168211,0.153570,0.165674,116457,37184000
2017-01-20,0.159232,0.168834,0.158526,0.160990,90005,36765300
2017-01-19,0.163318,0.167954,0.158029,0.158604,110069,37716200
2017-01-18,0.167852,0.169380,0.151260,0.165915,275645,38785000
2017-01-17,0.179812,0.192310,0.158788,0.169426,410637,41721900
2017-01-16,0.139280,0.195324,0.139278,0.179767,485593,32311600
2017-01-15,0.137148,0.142374,0.136285,0.139287,58020,31816900
2017-01-14,0.136439,0.139952,0.132519,0.137694,37147,31634600
2017-01-13,0.138201,0.141487,0.127278,0.136241,86913,31945400
2017-01-12,0.131425,0.141509,0.129798,0.138363,83139,30350600
2017-01-11,0.149843,0.153168,0.130474,0.131628,107294,34586800
2017-01-10,0.147053,0.154064,0.145160,0.150015,48591,33873500
2017-01-09,0.152512,0.155321,0.145945,0.147024,46253,35131000
2017-01-08,0.154055,0.156633,0.149603,0.152520,43546,35486400
2017-01-07,0.156605,0.159802,0.140628,0.153800,64169,36054200
2017-01-06,0.159777,0.163993,0.144030,0.156402,86193,36750800
2017-01-05,0.176546,0.186316,0.143535,0.159329,111056,40582700
2017-01-04,0.156258,0.177039,0.154192,0.176297,126188,35900800
2017-01-03,0.155622,0.165616,0.154594,0.158033,88627,35737900
2017-01-02,0.161238,0.169737,0.143653,0.154039,194856,37017400
2017-01-01,0.170221,0.176657,0.158454,0.161161,108192,39084000
2016-12-31,0.164443,0.177779,0.160077,0.169495,78049,37817400
2016-12-30,0.165689,0.179745,0.159130,0.167055,136881,38102400
2016-12-29,0.156519,0.169471,0.154370,0.165835,108068,35999500
2016-12-28,0.152588,0.160217,0.149415,0.156267,108223,35181100
2016-12-27,0.151803,0.159958,0.148236,0.152024,129719,35018900
2016-12-26,0.135261,0.156852,0.135261,0.152022,159876,31204500
2016-12-25,0.135754,0.137306,0.130885,0.136299,46936,31318300
2016-12-24,0.141612,0.144734,0.134071,0.135703,53773,32662500
2016-12-23,0.133708,0.147039,0.132116,0.141635,115079,30809400
2016-12-22,0.135553,0.137989,0.130422,0.132984,105589,31115600
2016-12-21,0.136921,0.143679,0.128573,0.134611,190601,31347900
2016-12-20,0.152357,0.158361,0.137186,0.138000,101275,34857400
2016-12-19,0.169833,0.171929,0.144910,0.152631,164174,38800000
2016-12-18,0.163467,0.176442,0.160942,0.169774,52209,37321800
2016-12-17,0.170749,0.181016,0.160270,0.163505,92403,38973700
2016-12-16,0.181120,0.188011,0.169700,0.171155,73001,41300000
2016-12-15,0.170431,0.194502,0.163100,0.181222,264099,38781600
2016-12-14,0.152916,0.185067,0.146145,0.169278,272866,34765400
2016-12-13,0.194012,0.200841,0.156837,0.156904,238747,43963600
2016-12-12,0.187339,0.197850,0.186969,0.192918,78912,42373400
2016-12-11,0.215866,0.217693,0.183983,0.187283,171812,48806100
2016-12-10,0.236147,0.242861,0.215493,0.216812,94146,53360200
2016-12-09,0.238721,0.264889,0.232742,0.236094,172774,53949300
2016-12-08,0.220352,0.257909,0.205558,0.240139,204867,49794900
2016-12-07,0.234346,0.246699,0.202765,0.218249,251921,53095700
2016-12-06,0.242246,0.342344,0.218928,0.237438,1030820,55133500
2016-12-05,0.211399,0.247005,0.197579,0.241184,283476,47924400
2016-12-04,0.193118,0.223749,0.184185,0.209031,133072,43627900
