Date,Open,High,Low,Close,Volume,Market_cap
2017-10-12,1.35,1.40,1.20,1.24,400822,51570300
2017-10-11,1.34,1.45,1.23,1.37,207834,51441000
2017-10-10,1.18,1.46,1.14,1.34,401325,45070400
2017-10-09,1.25,1.35,1.10,1.20,596027,47937000
2017-10-08,1.50,1.50,1.25,1.26,395823,57489000
2017-10-07,1.57,1.57,1.41,1.47,341007,59960100
2017-10-06,1.58,1.67,1.55,1.57,210865,60361200
2017-10-05,1.61,1.65,1.55,1.58,376868,61365400
2017-10-04,1.69,1.69,1.58,1.61,305180,64348700
2017-10-03,1.77,1.81,1.57,1.68,424355,67540000
2017-10-02,1.74,1.82,1.70,1.78,463160,66530800
2017-10-01,1.89,1.94,1.68,1.75,601711,71889400
2017-09-30,1.72,1.93,1.71,1.91,777515,65599700
2017-09-29,1.74,1.79,1.61,1.71,886908,66423600
2017-09-28,1.72,1.88,1.67,1.74,1029770,65503600
2017-09-27,1.54,1.77,1.52,1.70,770754,58462700
2017-09-26,1.59,1.60,1.49,1.54,368283,60621200
2017-09-25,1.51,1.61,1.42,1.59,659598,57432700
2017-09-24,1.48,1.70,1.40,1.52,1340540,56253900
2017-09-23,1.43,1.52,1.39,1.48,335953,54346200
2017-09-22,1.43,1.52,1.26,1.43,619395,54193500
2017-09-21,1.58,1.62,1.38,1.43,329264,60011900
2017-09-20,1.58,1.72,1.54,1.59,317748,59824700
2017-09-19,1.74,1.75,1.56,1.58,279265,66009900
2017-09-18,1.61,1.77,1.57,1.73,577574,60974700
2017-09-17,1.58,1.74,1.52,1.61,788975,59912800
2017-09-16,1.60,1.65,1.46,1.58,532766,60642100
2017-09-15,1.33,1.62,1.12,1.60,571774,50576100
2017-09-14,1.70,1.74,1.32,1.32,953136,64422700
2017-09-13,1.78,1.78,1.51,1.70,687963,67427300
2017-09-12,1.91,2.00,1.68,1.78,1032060,72358800
2017-09-11,2.04,2.08,1.88,1.89,827977,77295900
2017-09-10,2.20,2.26,1.98,2.04,551253,83268700
2017-09-09,2.15,2.35,2.01,2.20,644792,81515000
2017-09-08,2.39,2.55,1.98,2.14,1135440,90425000
2017-09-07,2.48,2.66,2.27,2.38,1316140,93963100
2017-09-06,2.10,2.83,2.09,2.49,2446260,79611600
2017-09-05,2.15,2.22,1.77,2.10,1486780,81356600
2017-09-04,2.39,2.50,1.82,2.14,1490760,90355500
2017-09-03,2.49,2.52,2.24,2.39,990877,94306300
2017-09-02,2.57,2.81,2.27,2.52,1940200,97064500
2017-09-01,2.87,2.93,2.54,2.64,1855540,108401000
2017-08-31,2.91,3.10,2.65,2.87,3353040,110106000
2017-08-30,2.74,3.41,2.65,2.92,8023660,103753000
2017-08-29,2.28,2.78,2.28,2.75,3559830,86242100
2017-08-28,2.27,2.40,2.02,2.28,1968780,85663200
2017-08-27,1.89,2.28,1.86,2.27,1180240,71357900
2017-08-26,1.85,2.06,1.79,1.88,1179160,69879900
2017-08-25,1.79,1.96,1.75,1.85,984584,67756800
