Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,14242.20,16525.40,14110.40,15626.20,6427,598174
2017-11-23,15205.30,16296.70,14286.90,14286.90,7492,638622
2017-11-22,13081.20,14641.50,12527.10,14641.50,10008,549410
2017-11-21,13162.70,13246.80,12473.00,13058.20,636,552834
2017-11-20,12475.50,13227.90,12038.10,13162.50,1248,523972
2017-11-19,11886.90,13444.20,11321.50,12481.20,1977,499249
2017-11-18,11183.60,13481.60,9642.34,11906.40,3677,469713
2017-11-17,10886.30,11889.10,10816.40,11225.90,73,457224
2017-11-16,11869.60,11895.70,9844.39,10906.10,370,498521
2017-11-15,10405.30,12076.60,10405.30,11818.30,1512,437022
2017-11-14,10620.90,10940.40,9349.64,10396.60,793,446077
2017-11-13,9738.85,10943.40,9704.03,10602.60,598,409032
2017-11-12,10044.10,10678.90,9221.42,9713.02,1212,421854
2017-11-11,10522.80,14543.00,9723.58,10047.30,2781,441956
2017-11-10,11716.10,11890.90,10160.80,10563.00,716,492075
2017-11-09,12031.80,12031.80,10380.70,11612.00,1277,505337
2017-11-08,12340.60,13404.70,10560.60,12044.10,2162,518303
2017-11-07,11750.10,12376.60,11395.50,12376.60,1475,493503
2017-11-06,11590.30,11832.10,9571.19,11768.70,1540,486792
2017-11-05,11760.10,12805.50,10389.20,11565.60,1528,493924
2017-11-04,11955.30,12621.70,11311.30,11783.00,1732,502123
2017-11-03,12629.10,12814.70,11753.80,11985.90,1671,530421
2017-11-02,11579.20,12713.00,11491.70,12637.60,1445,486327
2017-11-01,11667.40,11694.00,10902.20,11571.80,2691,490032
2017-10-31,10923.40,11801.60,10514.90,11676.10,4831,458782
2017-10-30,11519.70,11572.00,10562.80,10960.60,1514,483828
2017-10-29,11261.60,11665.40,9737.75,11613.00,915,472986
2017-10-28,10313.50,11320.00,10251.60,11277.00,91,433166
2017-10-27,11276.30,11496.60,10284.40,10294.40,657,473604
2017-10-26,10512.20,12591.70,10009.40,11274.90,9757,441514
2017-10-25,10168.70,11482.70,9697.87,10514.40,490,427084
2017-10-24,11379.50,12289.70,9520.12,9578.45,675,477939
2017-10-23,10547.80,11682.10,9841.19,11404.20,12008,443009
2017-10-22,11194.10,11797.70,10411.40,10560.20,914,470153
2017-10-21,11481.20,11814.90,10423.30,11192.00,1063,482209
2017-10-20,10580.80,13073.30,10006.70,11486.40,2656,444392
2017-10-19,11119.20,12994.60,9666.16,10578.60,5800,467006
2017-10-18,9777.25,15723.10,8624.31,11113.90,10142,410644
2017-10-17,10871.30,11015.80,9716.39,9778.59,1810,456595
2017-10-16,10156.20,10937.80,10156.20,10870.30,177,426559
2017-10-15,11178.70,11351.40,10055.30,10154.80,581,469505
2017-10-14,10335.20,11255.70,9801.24,11161.40,1277,434076
2017-10-13,14658.90,14783.40,9700.66,10327.30,6371,615674
2017-10-12,9382.03,14570.50,9210.20,14544.30,1395,394045
2017-10-11,14639.70,14769.70,9362.36,9374.33,2798,614867
2017-10-10,8700.86,19094.70,8700.86,14641.90,7972,365436
2017-10-09,9442.36,10744.90,7481.59,8695.54,11242,396579
2017-10-08,7976.65,9926.01,7340.63,9439.96,5071,335019
2017-10-07,7873.01,9102.50,7285.49,7996.08,5020,330666
2017-10-06,8589.14,9094.05,7064.67,7870.47,5376,360744
2017-10-05,8169.16,8661.95,6144.16,8589.19,4434,343105
2017-10-04,8796.50,8818.01,5551.71,8161.92,3907,369453
2017-10-03,8540.07,8980.52,7937.62,8776.33,571,358683
2017-10-02,8944.86,9022.68,8420.69,8539.46,648,375684
2017-10-01,9234.30,9254.41,8681.26,8947.84,891,387841
2017-09-30,8693.94,9466.90,8401.44,9229.37,527,365146
2017-09-29,10507.10,10575.80,8235.01,8692.46,423,441299
2017-09-28,8254.71,10606.20,7529.73,10480.10,16267,346698
2017-09-27,7736.62,10397.70,7169.52,9240.89,11024,324938
2017-09-26,8279.23,8759.40,7132.48,7757.94,2119,347728
2017-09-25,7330.92,8623.02,6318.01,8280.04,4391,307899
2017-09-24,7621.27,7795.19,6966.15,7338.14,811,320093
2017-09-23,7533.73,8154.61,6977.63,7621.88,2179,316417
2017-09-22,7592.13,8080.78,6623.49,7554.57,8861,318869
2017-09-21,6466.03,8966.67,6283.83,7601.58,4483,271573
2017-09-20,7374.35,7378.87,6096.37,6497.38,2559,309723
2017-09-19,9646.06,9775.88,7380.79,7380.79,2253,405135
2017-09-18,8445.23,9678.88,6223.36,9641.15,683,354700
2017-09-17,6923.42,8496.12,6356.91,8447.05,1068,290784
2017-09-16,8934.23,9244.73,6622.51,6927.36,594,375238
2017-09-15,5710.11,8946.15,5137.57,8946.15,1611,239825
2017-09-14,7968.48,8334.62,5668.79,5668.79,4618,334676
2017-09-13,8746.18,10502.60,6484.68,7968.83,119,367340
2017-09-12,8405.47,9493.82,6282.34,8774.01,2754,353030
2017-09-11,9395.65,10227.10,8233.76,8397.70,432,394617
2017-09-10,6986.29,9323.03,6209.13,9272.56,2134,293424
2017-09-09,8625.26,8774.23,7455.66,8429.68,580,362261
2017-09-08,9269.11,9378.68,7434.63,8608.95,579,389302
2017-09-07,9021.49,9361.72,8725.37,9267.26,676,378903
2017-09-06,7690.68,9285.28,7628.78,9040.03,2129,323009
2017-09-05,7807.89,9327.13,7355.10,7722.07,469,327931
2017-09-04,9656.50,9662.76,7409.25,7771.73,410,405573
2017-09-03,9633.63,9698.42,9007.27,9652.63,556,404612
2017-09-02,8729.35,9629.01,8113.38,9629.01,328,366633
2017-09-01,9382.42,9739.09,8538.08,8717.16,1507,394062
2017-08-31,8094.09,10467.60,8092.70,9381.66,772,339952
2017-08-30,10457.70,10553.80,7993.35,8108.16,4799,439222
2017-08-29,9254.76,12036.50,8455.64,10471.60,1723,388700
2017-08-28,10099.00,11091.30,7900.90,9237.42,1562,424157
2017-08-27,10379.60,10858.90,9324.05,10109.40,230,435944
2017-08-26,11057.40,11702.20,9484.14,10382.00,107,464410
2017-08-25,12048.50,12758.20,8622.54,11054.10,7709,506037
2017-08-24,10872.60,15712.30,10760.60,12067.50,7431,456650
2017-08-23,7526.80,12033.80,7505.50,10863.10,3937,316126
2017-08-22,8304.33,8304.33,7321.81,7540.47,497,348782
2017-08-21,8089.11,8535.26,7590.11,8278.60,790,339742
2017-08-20,8257.20,9306.60,7036.27,8120.27,4756,346802
2017-08-19,8129.72,8848.52,7168.94,8294.28,600,341448
2017-08-18,7758.48,8212.63,7206.22,8095.54,1894,325856
2017-08-17,7195.42,9095.53,6315.43,7778.62,1468,302208
2017-08-16,9615.55,10733.80,7150.51,7202.07,1515,403853
2017-08-15,8638.27,10973.40,8638.27,9609.40,1223,362807
2017-08-14,9145.87,11013.10,8429.71,8616.14,1543,384127
2017-08-13,10626.40,11339.10,8641.88,9140.33,1058,446310
2017-08-12,9280.06,11886.50,9102.21,10636.50,5887,389763
2017-08-11,10288.90,10354.40,8861.83,9287.29,590,432132
2017-08-10,9693.22,10364.80,8680.60,10289.50,1986,407115
2017-08-09,9716.83,10031.00,9335.44,9692.30,4692,408107
2017-08-08,8146.49,9870.53,7522.78,9722.48,1043,342153
2017-08-07,10010.00,10055.20,7131.60,8139.20,946,420420
2017-08-06,9659.93,10150.20,9024.23,10032.30,1096,405717
2017-08-05,8666.48,9878.33,8314.49,9656.96,351,363992
2017-08-04,8324.28,9398.92,7672.98,8670.32,1419,349620
2017-08-03,8863.63,9789.06,8308.65,8325.77,1066,372272
2017-08-02,8210.04,9226.58,7488.65,8848.25,882,344822
2017-08-01,9370.48,9370.48,7653.94,8209.49,1110,393560
2017-07-31,9291.90,9362.19,8085.81,9343.39,656,390260
2017-07-30,8297.80,9366.53,8075.08,9284.97,249,348507
2017-07-29,9255.32,9276.58,8114.42,8299.00,134,388723
2017-07-28,9336.83,9715.81,8488.28,9286.02,649,392147
2017-07-27,8183.90,9496.54,8153.53,9311.73,434,343724
2017-07-26,8152.11,8758.56,8031.80,8161.38,467,342388
2017-07-25,9884.09,9965.19,7409.50,8138.56,3982,415132
2017-07-24,11713.80,11742.90,8594.36,9928.22,1762,491980
2017-07-23,10146.20,12506.70,9664.81,11723.20,676,426141
2017-07-22,10706.40,12421.90,9390.42,10148.50,686,449670
2017-07-21,17399.00,17673.80,9142.88,10706.30,1600,730759
2017-07-20,10795.00,18714.30,8253.92,17343.30,4069,453390
2017-07-19,8859.94,10826.40,8677.65,10826.40,1839,372118
2017-07-18,7931.65,9871.40,7684.57,8846.78,3268,333129
2017-07-17,6262.29,7963.39,6140.27,7912.33,2271,263016
2017-07-16,7453.20,7499.87,5270.56,6270.66,2070,313034
2017-07-15,8287.00,8297.59,7076.03,7488.30,1425,348054
2017-07-14,8766.84,8916.81,7366.97,8291.69,1600,368207
2017-07-13,9087.35,9193.83,8341.06,8773.05,883,381669
2017-07-12,8885.00,9199.15,8084.27,9073.94,4794,373170
2017-07-11,9382.73,9496.37,8850.05,8930.02,639,394074
2017-07-10,10657.00,10688.70,8847.02,8999.56,3525,447592
2017-07-09,11247.70,11445.50,9978.72,10636.30,3711,472404
2017-07-08,11033.50,12144.60,10304.90,11241.20,2045,463407
2017-07-07,9135.63,11048.00,9135.63,11025.00,5419,383696
2017-07-06,9006.53,10931.80,8445.38,9135.35,1703,378274
2017-07-05,11019.30,11058.00,9004.34,9004.34,435,462811
2017-07-04,10018.00,11036.10,8805.10,11010.80,1775,420754
2017-07-03,8527.48,10645.00,8426.53,10047.60,1343,358154
2017-07-02,7952.36,8592.53,7892.39,8557.88,2771,333999
2017-07-01,9183.86,9234.26,7885.14,7953.31,1621,385722
2017-06-30,10406.50,10447.50,5371.46,9187.34,6289,437072
2017-06-29,9827.01,11941.60,9772.77,10388.80,2763,412734
2017-06-28,9950.45,11616.30,9508.40,9836.14,2605,417919
2017-06-27,10371.80,10701.40,9142.31,9902.35,1094,435614
2017-06-26,12674.00,12843.70,9545.91,10371.80,1514,532308
2017-06-25,11582.70,13425.30,11533.50,12690.60,471,486475
2017-06-24,19882.10,20216.00,12050.30,13493.40,3073,835047
2017-06-23,11826.90,19957.70,11796.50,19893.00,1552,496731
2017-06-22,15801.20,16295.20,10523.70,11826.90,2213,663651
