Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000161,0.000250,0.000158,0.000166,2336,146636
2017-11-23,0.000249,0.000251,0.000161,0.000161,3865,227136
2017-11-22,0.000244,0.000251,0.000163,0.000250,3738,221819
2017-11-21,0.000175,0.000252,0.000163,0.000243,12064,159095
2017-11-20,0.000399,0.000415,0.000175,0.000175,15428,363601
2017-11-19,0.000389,0.000478,0.000385,0.000399,7772,354609
2017-11-18,0.000384,0.000472,0.000307,0.000390,24879,350084
2017-11-17,0.000392,0.000479,0.000378,0.000386,4225,357381
2017-11-16,0.000438,0.000469,0.000359,0.000393,6593,398988
2017-11-15,0.000397,0.000439,0.000339,0.000436,12841,361122
2017-11-14,0.000391,0.000403,0.000323,0.000396,4657,356306
2017-11-13,0.000360,0.000428,0.000255,0.000390,9906,327513
2017-11-12,0.000319,0.000493,0.000286,0.000413,9816,290126
2017-11-11,0.000527,0.000610,0.000315,0.000382,10032,479894
2017-11-10,0.000503,0.000658,0.000503,0.000529,12068,458207
2017-11-09,0.000524,0.000666,0.000441,0.000571,30796,477495
2017-11-08,0.000427,0.000473,0.000375,0.000451,28362,389128
2017-11-07,0.000487,0.000504,0.000358,0.000429,21105,443704
2017-11-06,0.000371,0.000500,0.000289,0.000419,20794,337741
2017-11-05,0.000295,0.000380,0.000293,0.000370,3846,268904
2017-11-04,0.000287,0.000376,0.000218,0.000296,12926,261042
2017-11-03,0.000350,0.000511,0.000217,0.000287,23361,318332
2017-11-02,0.000615,0.000628,0.000341,0.000350,16357,560353
2017-11-01,0.000902,0.000902,0.000266,0.000615,38146,821060
2017-10-31,0.000918,0.001024,0.000763,0.000902,31324,835679
2017-10-30,0.000926,0.001037,0.000850,0.000922,23988,843032
2017-10-29,0.000916,0.000935,0.000752,0.000871,27631,834103
2017-10-28,0.000980,0.001045,0.000854,0.000917,11386,892510
2017-10-27,0.001000,0.001072,0.000912,0.000977,12698,910580
2017-10-26,0.001090,0.001136,0.000971,0.001000,12862,992645
2017-10-25,0.001109,0.001227,0.001020,0.001090,19408,1010270
2017-10-24,0.000938,0.001285,0.000901,0.001108,20139,854492
2017-10-23,0.001017,0.001064,0.000853,0.000940,15779,925667
2017-10-22,0.001023,0.001091,0.000819,0.001018,29660,931480
2017-10-21,0.000905,0.001199,0.000852,0.001023,19303,824247
2017-10-20,0.000979,0.001138,0.000898,0.000907,17077,891509
2017-10-19,0.001171,0.001295,0.000909,0.000979,16711,1066150
2017-10-18,0.001074,0.001433,0.000685,0.001171,36540,978402
2017-10-17,0.001572,0.001616,0.001014,0.001075,40320,1431240
2017-10-16,0.001820,0.001829,0.001552,0.001571,18653,1657370
