Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.005706,0.005921,0.005597,0.005797,7,44173
2017-11-23,0.006498,0.006530,0.005714,0.005714,7,50267
2017-11-22,0.006475,0.006532,0.006402,0.006500,12,49947
2017-11-20,0.005872,0.005994,0.005801,0.005993,1,45292
2017-11-19,0.005451,0.005921,0.005388,0.005874,1,42013
2017-11-18,0.005304,0.005503,0.005142,0.005461,3,40843
2017-11-17,0.005021,0.005389,0.004996,0.005324,181,38626
2017-11-16,0.004585,0.005122,0.004569,0.005029,77,35247
2017-11-14,0.004833,0.004974,0.004756,0.004861,11,37080
2017-11-13,0.004110,0.004850,0.004078,0.004823,26,31502
2017-11-12,0.004198,0.004415,0.003654,0.004104,1,32154
2017-11-11,0.005167,0.005167,0.004113,0.004201,155,39543
2017-11-10,0.006345,0.006528,0.006345,0.006402,18,48503
2017-11-09,0.006646,0.006646,0.006275,0.006326,34,50760
2017-11-08,0.006599,0.006980,0.006375,0.006653,11,50364
2017-11-07,0.004384,0.004536,0.004384,0.004504,87,33423
2017-11-06,0.004601,0.004677,0.004375,0.004391,271,35052
2017-11-03,0.001475,0.001526,0.001458,0.001518,14,11192
2017-11-02,0.001458,0.001535,0.001435,0.001477,14,11055
2017-11-01,0.003229,0.005318,0.003211,0.005307,25,24460
2017-10-31,0.003432,0.004451,0.002824,0.003232,45,25968
2017-10-30,0.005788,0.005788,0.003412,0.003443,12,43755
2017-10-29,0.004869,0.005943,0.004856,0.005821,1,36774
2017-10-28,0.004876,0.004923,0.004822,0.004875,6,36811
2017-10-26,0.004588,0.004602,0.004561,0.004571,45,34552
2017-10-25,0.004339,0.004596,0.004305,0.004588,45,32655
2017-10-24,0.005572,0.005572,0.005287,0.005431,4,41891
2017-10-23,0.006577,0.006623,0.005381,0.005585,103,49400
2017-10-22,0.006540,0.006604,0.006435,0.006588,7,49113
2017-10-21,0.006666,0.006874,0.006619,0.006836,13,49970
2017-10-20,0.006389,0.006783,0.006295,0.006680,13,47850
2017-10-19,0.006914,0.007060,0.005567,0.006387,24,51734
2017-10-18,0.003689,0.006944,0.003656,0.006911,25,27593
2017-10-16,0.008589,0.008789,0.008400,0.008783,91,64083
2017-10-15,0.009830,0.009862,0.006373,0.008587,99,73278
2017-10-14,0.010607,0.011220,0.009470,0.009813,16,78992
2017-10-13,0.008187,0.018495,0.008134,0.010604,151,60912
2017-10-12,0.009266,0.010070,0.007299,0.008162,24,68878
2017-10-11,0.007597,0.009311,0.007537,0.009259,34,56417
2017-10-10,0.004882,0.007836,0.004882,0.007598,114,36218
2017-10-09,0.005523,0.005816,0.004860,0.004882,10,40936
2017-10-08,0.005349,0.005535,0.005349,0.005522,18,39620
2017-10-07,0.005380,0.005395,0.005321,0.005346,0,39795
2017-10-06,0.006226,0.006371,0.005336,0.005378,11,46011
2017-10-05,0.006184,0.006288,0.006184,0.006226,12,45686
2017-10-04,0.006264,0.006303,0.006085,0.006087,1,46200
2017-10-03,0.008020,0.008065,0.005353,0.006249,51,59094
2017-10-02,0.007316,0.008906,0.007312,0.008019,6,53869
2017-09-30,0.005048,0.005273,0.005043,0.005251,1,37081
2017-09-29,0.005661,0.005720,0.005043,0.005047,1,41502
2017-09-28,0.004376,0.005770,0.004376,0.005666,5,32078
2017-09-27,0.004861,0.004945,0.004096,0.004376,130,35611
2017-09-26,0.004867,0.004976,0.004866,0.004874,5,35636
2017-09-25,0.004664,0.005035,0.004662,0.004998,11,34094
2017-09-24,0.004933,0.005030,0.004550,0.004669,104,36031
2017-09-22,0.004924,0.005114,0.004809,0.004901,11,35895
2017-09-21,0.006207,0.006249,0.004879,0.004930,11,45183
2017-09-20,0.006268,0.006476,0.006223,0.006238,2,45591
2017-09-19,0.005662,0.005692,0.005334,0.005402,4,41120
2017-09-18,0.005517,0.005698,0.005517,0.005649,4,40058
2017-09-17,0.004977,0.004977,0.004732,0.004733,1,36070
2017-09-16,0.007085,0.007413,0.004765,0.004981,1,51291
2017-09-15,0.004153,0.007305,0.004153,0.007103,33,30038
2017-09-14,0.005932,0.006011,0.004121,0.004121,1,42863
2017-09-13,0.006030,0.006063,0.005888,0.005932,127,43562
2017-09-12,0.005983,0.006216,0.005826,0.005872,4,43151
2017-09-11,0.005969,0.006004,0.005945,0.005978,4,43041
2017-09-05,0.006502,0.006621,0.006126,0.006598,1,46571
2017-09-04,0.005450,0.006699,0.005271,0.006469,16,38999
2017-09-03,0.006169,0.007422,0.005230,0.005449,14,44102
2017-09-01,0.006254,0.006272,0.006254,0.006272,409,44609
2017-08-31,0.006045,0.006288,0.006044,0.006253,407,43064
2017-08-30,0.007268,0.007348,0.006006,0.006055,2,51721
2017-08-29,0.005925,0.007333,0.005872,0.007273,0,42119
2017-08-28,0.005831,0.005935,0.005803,0.005915,2,41395
2017-08-27,0.006907,0.006999,0.006869,0.006904,1,48988
2017-08-26,0.003620,0.017200,0.003580,0.006909,1,25655
2017-08-25,0.005844,0.052503,0.003568,0.003619,175,41376
2017-08-24,0.004847,0.005896,0.004170,0.005853,53,34286
2017-08-23,0.004898,0.004898,0.004776,0.004845,37,34639
2017-08-22,0.005401,0.005581,0.004891,0.005581,4,38128
2017-08-21,0.005355,0.005460,0.005239,0.005389,4,37765
2017-08-20,0.005472,0.005472,0.005345,0.005375,30,38550
2017-08-19,0.005370,0.005508,0.005262,0.005497,0,37817
2017-08-16,0.005483,0.005541,0.005214,0.005428,1,38474
2017-08-15,0.005149,0.005540,0.003978,0.005477,74,36096
2017-08-14,0.006905,0.006976,0.004933,0.005135,76,48359
2017-08-13,0.004641,0.007009,0.004631,0.006901,1,32471
2017-08-12,0.007503,0.008005,0.004511,0.004646,75,52440
2017-08-11,0.004338,0.007794,0.004319,0.007509,55,30291
2017-08-10,0.004012,0.004362,0.003982,0.004339,1,27980
2017-08-09,0.006119,0.006123,0.003932,0.004011,49,42655
2017-08-07,0.005732,0.006058,0.005682,0.005996,1,39859
2017-08-06,0.008220,0.008325,0.005726,0.005745,25,57105
2017-08-05,0.005766,0.009087,0.005766,0.008218,107,40005
2017-08-04,0.005723,0.005787,0.005713,0.005769,3,39702
2017-08-03,0.007156,0.011171,0.007152,0.011171,11,49562
2017-08-02,0.006660,0.007144,0.004569,0.007144,64,46073
2017-08-01,0.010936,0.011023,0.006595,0.006661,0,75580
2017-07-31,0.006063,0.012360,0.005786,0.010931,70,41859
2017-07-30,0.005900,0.006751,0.005674,0.006057,15,40692
2017-07-29,0.005563,0.006412,0.004933,0.005901,27,38211
2017-07-28,0.005005,0.005637,0.004968,0.005584,51,34383
2017-07-26,0.005026,0.005116,0.004180,0.004204,7,34521
2017-07-25,0.005544,0.005582,0.004713,0.005024,83,38038
2017-07-24,0.005501,0.005553,0.005152,0.005544,21,37706
2017-07-23,0.005406,0.005535,0.005079,0.005507,11,37018
2017-07-22,0.005335,0.009557,0.005309,0.005406,72,36490
2017-07-21,0.005255,0.005391,0.005235,0.005336,11,35939
2017-07-20,0.004090,0.004247,0.003439,0.003724,13,27920
2017-07-19,0.004053,0.011416,0.003962,0.004103,378,27636
2017-07-18,0.003912,0.004192,0.003788,0.004046,0,26650
2017-07-17,0.004209,0.004537,0.003631,0.003902,1,28601
2017-07-16,0.003712,0.039145,0.003435,0.004214,58,25225
2017-07-15,0.003993,0.004138,0.003541,0.003723,11,27117
2017-07-14,0.003980,0.004011,0.003704,0.004000,5,26972
2017-07-13,0.004057,0.004109,0.003946,0.003983,78,27491
2017-07-12,0.003413,0.004088,0.003325,0.004054,9,23106
2017-07-11,0.003440,0.003541,0.003337,0.003430,4,23265
2017-07-10,0.004259,0.004282,0.003353,0.003448,126,28766
2017-07-09,0.004334,0.004351,0.004251,0.004251,7,29238
2017-07-08,0.004226,0.004335,0.004220,0.004330,20,28484
2017-07-07,0.002858,0.002864,0.002744,0.002774,5,19236
2017-07-06,0.003458,0.003461,0.002842,0.002856,5,23240
2017-07-05,0.003419,0.004403,0.003366,0.003456,4,22954
