Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.149845,0.160127,0.126004,0.146767,13335,1981710
2017-11-23,0.178742,0.179842,0.137335,0.150183,12488,2363860
2017-11-22,0.142276,0.178615,0.140155,0.178615,13349,1865950
2017-11-21,0.148748,0.162074,0.126652,0.142014,7320,1950830
2017-11-20,0.167950,0.181901,0.137963,0.148836,7643,2202660
2017-11-19,0.176942,0.176942,0.144889,0.168065,3127,2320590
2017-11-18,0.140794,0.178364,0.136837,0.177297,8672,1846520
2017-11-17,0.164792,0.172648,0.141297,0.141297,8217,2161250
2017-11-16,0.175582,0.181754,0.125755,0.166393,11848,2302760
2017-11-15,0.186080,0.202612,0.150769,0.174970,14637,2440450
2017-11-14,0.167848,0.205966,0.165605,0.185966,7426,2201330
2017-11-13,0.161507,0.205497,0.157806,0.167596,22147,2087490
2017-11-12,0.201920,0.218654,0.114275,0.163571,37149,2609830
2017-11-11,0.185067,0.213134,0.161077,0.201825,7383,2392000
2017-11-10,0.192495,0.246333,0.149682,0.185586,17208,-
2017-11-09,0.213535,0.213535,0.142724,0.192113,16745,-
2017-11-08,0.178311,0.220534,0.133565,0.214370,21675,-
2017-11-07,0.170816,0.192707,0.131478,0.176739,12156,-
2017-11-06,0.184610,0.209088,0.136843,0.170826,15635,-
2017-11-05,0.287286,0.290341,0.184044,0.186192,23039,-
2017-11-04,0.275455,0.297689,0.194577,0.287301,16601,-
2017-11-03,0.269976,0.295473,0.205557,0.275859,37214,-
2017-11-02,0.394947,0.415374,0.264039,0.269887,79204,-
2017-11-01,0.415951,0.415951,0.215064,0.394436,323580,-
