Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.106319,0.194650,0.106319,0.135860,1383,-
2017-11-23,0.110028,0.213369,0.087796,0.106631,5061,-
2017-11-22,0.077084,0.110675,0.069448,0.110076,1502,-
2017-11-21,0.088627,0.089946,0.074078,0.076897,256,-
2017-11-20,0.092432,0.101533,0.074482,0.088612,338,-
2017-11-19,0.097358,0.097595,0.078969,0.092396,854,-
2017-11-18,0.096082,0.107341,0.063484,0.097496,1298,-
2017-11-17,0.098078,0.109741,0.095240,0.096449,1503,-
2017-11-16,0.100162,0.106124,0.091034,0.098239,309,-
2017-11-15,0.084168,0.150201,0.050601,0.099630,1454,-
2017-11-14,0.087066,0.089699,0.082673,0.084108,241,-
2017-11-13,0.078491,0.097462,0.069834,0.086888,1755,-
2017-11-12,0.079712,0.085274,0.070183,0.083155,70,-
2017-11-11,0.091436,0.094693,0.079235,0.079762,205,-
2017-11-10,0.096210,0.100146,0.083680,0.091767,1852,-
2017-11-09,0.100824,0.100951,0.089248,0.095920,1987,-
2017-11-08,0.096774,0.106516,0.096200,0.101052,160,-
2017-11-07,0.094492,0.101660,0.094492,0.097073,727,-
2017-11-06,0.105355,0.107657,0.094160,0.094645,298,-
2017-11-05,0.110189,0.110960,0.101053,0.105122,253,-
2017-11-04,0.126837,0.126837,0.108648,0.111932,213,-
2017-11-03,0.101838,0.127549,0.100703,0.127075,1227,-
2017-11-02,0.111450,0.114333,0.092346,0.101971,621,-
2017-11-01,0.151176,0.151176,0.108706,0.111326,710,-
2017-10-31,0.121142,0.151287,0.119044,0.151287,855,-
2017-10-30,0.134285,0.135955,0.111940,0.121555,839,-
2017-10-29,0.105872,0.139341,0.105589,0.135069,1143,-
2017-10-28,0.099286,0.115719,0.099286,0.106017,512,-
2017-10-27,0.107530,0.129593,0.085115,0.099016,1056,-
2017-10-26,0.120050,0.124880,0.090791,0.107533,229,-
2017-10-25,0.127134,0.134411,0.092907,0.120064,1411,-
2017-10-24,0.135561,0.138907,0.096405,0.127083,1650,-
2017-10-23,0.170369,0.172876,0.114184,0.135861,1796,-
2017-10-22,0.169986,0.184545,0.151455,0.170643,2674,-
2017-10-21,0.178079,0.202553,0.150131,0.169857,3821,-
2017-10-20,0.184891,0.201759,0.168678,0.178469,1479,-
2017-10-19,0.197951,0.210388,0.174457,0.184839,2419,-
2017-10-18,0.193209,0.210005,0.121217,0.197849,12440,-
2017-10-17,0.234260,0.239060,0.181022,0.193194,1813,-
2017-10-16,0.237125,0.250584,0.198792,0.234225,1175,-
2017-10-15,0.265177,0.267173,0.217921,0.237063,838,-
2017-10-14,0.254322,0.275912,0.216726,0.264705,1196,-
2017-10-13,0.271488,0.309526,0.252604,0.254247,1365,-
2017-10-12,0.251795,0.290203,0.207468,0.270633,5047,-
2017-10-11,0.268850,0.280370,0.121030,0.251583,4586,-
2017-10-10,0.276897,0.294063,0.257354,0.268883,4331,-
2017-10-09,0.272176,0.279796,0.233929,0.276913,5138,-
2017-10-08,0.244434,0.283543,0.221970,0.272111,7178,-
2017-10-07,0.218225,0.273227,0.163495,0.245088,4840,-
2017-10-06,0.238886,0.285069,0.156439,0.218156,5556,-
2017-10-05,0.253197,0.292800,0.238402,0.238886,2919,-
2017-10-04,0.290740,0.290905,0.244913,0.252968,7725,-
2017-10-03,0.266138,0.295381,0.248617,0.290069,12503,-
2017-10-02,0.223065,0.275152,0.182864,0.266128,4928,-
2017-10-01,0.217397,0.258201,0.214318,0.223139,7693,-
2017-09-30,0.208591,0.239197,0.168173,0.217279,5342,-
2017-09-29,0.194313,0.217919,0.151463,0.208565,7595,-
2017-09-28,0.148844,0.194716,0.145892,0.194460,9731,-
2017-09-27,0.155533,0.183020,0.132155,0.148839,2513,-
2017-09-26,0.129792,0.156870,0.093947,0.155968,6561,-
2017-09-25,0.088138,0.137407,0.086751,0.129803,2466,-
2017-09-24,0.090432,0.092471,0.073431,0.088227,1744,-
2017-09-23,0.074291,0.090441,0.073628,0.090440,601,-
2017-09-22,0.043052,0.075251,0.043015,0.074511,452,-
2017-09-21,0.059394,0.069930,0.039800,0.043102,290,-
2017-09-20,0.052877,0.070665,0.051955,0.059687,238,-
2017-09-19,0.042428,0.095150,0.040940,0.052954,83,-
2017-09-18,0.075344,0.099851,0.042325,0.042325,404,-
2017-09-17,0.061381,0.088726,0.059711,0.075494,319,-
2017-09-16,0.068301,0.089242,0.036526,0.061287,356,-
2017-09-15,0.058660,0.077143,0.053761,0.067641,43,-
2017-09-14,0.073007,0.091077,0.058752,0.058752,127,-
2017-09-13,0.083991,0.103509,0.063056,0.073000,153,-
2017-09-12,0.099262,0.106786,0.082669,0.083964,131,-
