Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.03,1.05,0.998316,1.03,2331440,59418000
2017-11-23,1.08,1.08,1.03,1.04,2166060,62022200
2017-11-22,1.05,1.13,1.01,1.08,3929450,60625700
2017-11-21,1.02,1.18,0.914694,1.04,6906140,58705500
2017-11-20,1.02,1.04,0.988009,1.02,2431960,58121000
2017-11-19,1.02,1.08,0.975233,1.02,2608010,58352800
2017-11-18,1.06,1.11,0.966683,1.02,3322900,60735000
2017-11-17,0.892038,1.10,0.892038,1.07,3693340,51073300
2017-11-16,0.998650,1.06,0.897352,0.897352,3547970,57171900
2017-11-15,1.01,1.02,0.960851,0.994325,2701960,57675800
2017-11-14,0.921497,1.05,0.920225,1.01,3154220,52736500
2017-11-13,0.818738,0.966776,0.811363,0.918868,2649800,46855700
2017-11-12,0.939740,0.939740,0.748754,0.805635,2607520,53780600
2017-11-11,0.918452,0.981627,0.883363,0.941545,2072460,52562200
2017-11-10,1.09,1.10,0.866143,0.931845,3879040,62543100
2017-11-09,1.05,1.17,1.01,1.10,4060900,59954900
2017-11-08,0.879067,1.12,0.866523,1.05,6412960,49540900
2017-11-07,0.915355,0.990813,0.860579,0.898757,2752310,51585300
2017-11-06,0.831117,0.986494,0.813871,0.917470,4295590,46838000
2017-11-05,0.793049,0.839011,0.783318,0.833161,1299980,44692700
2017-11-04,0.813813,0.821541,0.784925,0.793721,1995290,45862800
2017-11-03,0.746437,0.811693,0.733046,0.810074,2831380,42065900
2017-11-02,0.779552,0.814971,0.691998,0.745155,4453620,43932000
2017-11-01,0.866628,0.900129,0.772378,0.780351,2989020,48839300
2017-10-31,0.936587,0.969767,0.860653,0.871318,3240020,52781500
2017-10-30,0.921468,0.963591,0.905711,0.936099,2280440,51929500
2017-10-29,0.933451,1.07,0.903158,0.918054,5954300,52604800
2017-10-28,0.954649,1.00,0.894176,0.935171,2990510,53799400
2017-10-27,0.971506,1.02,0.939323,0.965103,2416100,54720800
2017-10-26,1.01,1.07,0.932574,0.988560,4546190,56843900
