Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001562,0.001584,0.001546,0.001563,0,11342
2017-11-23,0.001563,0.001570,0.001539,0.001553,13,11286
2017-11-22,0.001542,0.001577,0.001535,0.001563,13,11126
2017-11-21,0.001978,0.002009,0.001516,0.001538,57,14228
2017-11-20,0.001981,0.001988,0.001963,0.001978,110,14241
2017-11-18,0.001999,0.002023,0.001937,0.002023,121,14330
2017-11-17,0.002040,0.002088,0.001967,0.002006,120,14609
2017-11-16,0.001899,0.002081,0.001856,0.002043,123,13535
2017-11-15,0.001322,0.002810,0.001322,0.001889,209,9414
2017-11-14,0.001959,0.004767,0.001172,0.001321,181,13899
2017-11-13,0.002172,0.002380,0.001882,0.001955,82,15375
2017-11-12,0.005661,0.005703,0.001549,0.002169,127,39901
2017-11-11,0.005852,0.006061,0.005546,0.005666,56,41222
2017-11-10,0.005204,0.006170,0.004928,0.005873,58,36640
2017-11-09,0.005451,0.005451,0.005147,0.005189,44,38319
2017-11-08,0.001921,0.010083,0.001910,0.005457,157,13494
2017-11-07,0.001253,0.010724,0.001253,0.001927,876,8791
2017-11-06,0.001479,0.001485,0.001250,0.001255,50,10363
2017-11-05,0.001328,0.001488,0.001315,0.001475,44,9293
2017-11-04,0.005375,0.005436,0.001328,0.001330,112,37545
2017-11-03,0.001615,0.005525,0.001597,0.005389,89,11243
2017-11-02,0.001615,0.005544,0.001367,0.001617,53,11230
2017-11-01,0.005477,0.005601,0.001557,0.001613,49,38052
2017-10-31,0.001654,0.005481,0.001512,0.005481,18,11446
2017-10-30,0.001847,0.007408,0.001486,0.001660,240,12749
2017-10-29,0.001718,0.001897,0.001714,0.001858,6,11846
2017-10-28,0.006916,0.007045,0.001702,0.001721,5,47621
2017-10-27,0.009831,0.010014,0.001369,0.006897,103,67577
2017-10-26,0.009576,0.009994,0.009514,0.009829,242,65584
2017-10-25,0.006125,0.009595,0.005974,0.009578,236,41910
2017-10-24,0.005866,0.006377,0.005565,0.006123,15,40104
2017-10-23,0.004783,0.005907,0.004531,0.005879,10,32629
2017-10-22,0.004811,0.004853,0.004598,0.004791,4,32789
2017-10-21,0.006606,0.006764,0.004810,0.004810,126,44916
2017-10-20,0.004564,0.006722,0.004496,0.006620,0,30991
2017-10-19,0.005643,0.008422,0.004499,0.004562,91,38265
2017-10-18,0.006951,0.007510,0.005622,0.005640,52,47118
2017-10-17,0.009709,0.009737,0.009300,0.009384,96,65527
2017-10-16,0.009562,0.009758,0.009352,0.009707,99,64487
2017-10-15,0.007314,0.009658,0.006819,0.009561,153,49243
2017-10-14,0.007070,0.009844,0.007003,0.007301,10,47550
2017-10-13,0.008760,0.011180,0.006904,0.007068,228,58689
2017-10-12,0.007722,0.008733,0.007702,0.008733,17,51363
2017-10-11,0.009383,0.009494,0.007674,0.007715,8,62354
2017-10-10,0.009429,0.009709,0.009316,0.009384,32,62591
2017-10-09,0.009067,0.009594,0.008979,0.009429,32,60052
2017-10-08,0.008754,0.009086,0.008724,0.009065,43,57908
2017-10-07,0.008485,0.008798,0.008427,0.008777,42,56015
2017-10-06,0.008604,0.008805,0.008401,0.008483,17,56764
2017-10-05,0.008738,0.009037,0.002494,0.008604,847,57587
2017-10-04,0.001080,0.008996,0.001074,0.008730,16,7105
2017-10-03,0.008938,0.008988,0.001062,0.001077,11,58721
2017-10-02,0.001055,0.009065,0.001054,0.008937,44,6904
2017-10-01,0.008950,0.008991,0.001045,0.001055,1,58553
2017-09-30,0.008594,0.008977,0.008586,0.008946,11,56161
2017-09-29,0.008974,0.009068,0.008554,0.008593,537,58412
2017-09-28,0.008415,0.009190,0.008322,0.008981,58,54517
2017-09-27,0.008399,0.009009,0.008271,0.008415,399,54375
2017-09-26,0.007841,0.008468,0.007821,0.008423,171,50709
2017-09-25,0.007822,0.008105,0.007819,0.008064,336,50431
2017-09-24,0.008070,0.008070,0.007751,0.007830,327,51966
2017-09-23,0.000974,0.008127,0.000965,0.008070,337,6262
2017-09-22,0.005431,0.005536,0.000955,0.000977,40,34878
2017-09-21,0.001196,0.005858,0.001183,0.005438,73,7638
2017-09-19,0.006114,0.006146,0.005760,0.005868,3,38934
2017-09-18,0.005543,0.006194,0.005543,0.006099,5,35132
2017-09-17,0.004829,0.005557,0.001075,0.005554,30,30516
2017-09-16,0.004822,0.004964,0.000996,0.004832,1,30443
2017-09-15,0.004047,0.004972,0.003886,0.004835,3,25484
2017-09-14,0.007715,0.007818,0.007530,0.007593,1,48459
2017-09-13,0.008263,0.008293,0.007521,0.007716,1,51606
2017-09-12,0.004232,0.008712,0.004229,0.008295,59,26351
2017-09-09,0.009523,0.009698,0.009251,0.009534,29,59009
2017-09-08,0.009268,0.011100,0.009187,0.009505,218,57298
2017-09-07,0.009291,0.009300,0.009266,0.009266,0,57443
2017-09-05,0.012574,0.013086,0.011846,0.013086,29,77048
2017-09-04,0.020046,0.020061,0.008913,0.012509,170,122510
2017-09-03,0.004573,0.021588,0.004573,0.020040,1033,27864
2017-09-02,0.003693,0.003736,0.003373,0.003469,3,22354
2017-09-01,0.004691,0.004813,0.003618,0.003688,3,28353
2017-08-31,0.003690,0.004716,0.003685,0.004690,25,22281
2017-08-30,0.004594,0.004651,0.004493,0.004587,47,27580
2017-08-29,0.004373,0.004643,0.004089,0.004600,162,26223
2017-08-27,0.007168,0.007263,0.007128,0.007192,22,42392
2017-08-26,0.006988,0.007185,0.006853,0.007169,22,41283
2017-08-25,0.006921,0.007140,0.006878,0.006986,108,40655
2017-08-23,0.006007,0.006255,0.005986,0.006174,3,35173
2017-08-22,0.013083,0.013083,0.005737,0.006019,27,75966
2017-08-21,0.006005,0.013225,0.005874,0.013053,139,34807
2017-08-20,0.015296,0.015296,0.014943,0.015072,101,88582
2017-08-19,0.008228,0.015397,0.008145,0.015368,155,47572
2017-08-17,0.017468,0.017840,0.016695,0.017007,3,100794
2017-08-16,0.019107,0.019308,0.002201,0.017484,217,109798
2017-08-15,0.004327,0.019305,0.004250,0.019086,74,24853
2017-08-14,0.008246,0.008593,0.004219,0.004315,27,47330
2017-08-13,0.015471,0.016723,0.008148,0.008241,22,88723
2017-08-12,0.009483,0.015837,0.009445,0.015485,20,54242
2017-08-11,0.021624,0.022623,0.021528,0.022620,81,123512
2017-08-10,0.033430,0.034132,0.016993,0.021625,93,190679
2017-08-09,0.016969,0.033831,0.016934,0.033427,287,96627
2017-08-08,0.047382,0.048382,0.046991,0.048151,5,269067
2017-08-07,0.023507,0.047546,0.023302,0.047335,5,133347
2017-08-06,0.006516,0.047020,0.006516,0.023560,544,36924
2017-08-05,0.012851,0.014482,0.012836,0.014379,0,72471
2017-08-04,0.013907,0.013955,0.012728,0.012879,0,78364
2017-08-03,0.013520,0.013978,0.013511,0.013911,17,76051
2017-08-02,0.013647,0.027511,0.013287,0.013496,55,76635
2017-08-01,0.028660,0.040392,0.013514,0.013649,101,160508
2017-07-30,0.040766,0.041180,0.039024,0.040824,99,227038
2017-07-29,0.042194,0.042309,0.039723,0.040771,102,234565
2017-07-28,0.001398,0.042526,0.001389,0.042354,9,7771
2017-07-23,0.051797,0.052285,0.050142,0.051596,1309,284331
2017-07-22,0.050236,0.052779,0.050171,0.051797,1314,275099
2017-07-21,0.051966,0.052138,0.048817,0.049897,229,283334
2017-07-20,0.041496,0.053211,0.041496,0.051583,347,225366
2017-07-19,0.042600,0.044003,0.018583,0.041621,18,229564
2017-07-18,0.041123,0.044060,0.016334,0.042532,6,220812
2017-07-17,0.038169,0.041085,0.019741,0.041017,226,204501
2017-07-16,0.036090,0.037292,0.035743,0.036610,99,193069
2017-07-15,0.038268,0.038712,0.036171,0.036199,134,204610
2017-07-12,0.042412,0.042587,0.041320,0.042573,109,223985
2017-07-11,0.043156,0.043996,0.041462,0.042623,109,226629
2017-07-10,0.045754,0.046307,0.042058,0.043248,490,239716
2017-07-09,0.044614,0.044788,0.043886,0.043924,38,232698
2017-07-08,0.044559,0.044584,0.044541,0.044574,38,232411
2017-07-05,0.047917,0.048202,0.046700,0.047847,64,247686
2017-07-04,0.047244,0.047945,0.047244,0.047943,64,244207
2017-07-02,0.046696,0.047216,0.046010,0.047216,85,239759
2017-07-01,0.048291,0.048310,0.046302,0.046702,84,246990
2017-06-23,0.049460,0.054086,0.049460,0.053793,112,245442
2017-06-22,0.048811,0.049460,0.048811,0.049460,103,241262
2017-06-21,0.049086,0.049086,0.048811,0.048811,0,241236
2017-06-20,0.049585,0.049585,0.048711,0.049086,1028,243649
2017-06-19,0.049585,0.049585,0.049585,0.049585,1560,243040
2017-06-17,0.049211,0.049211,0.049211,0.049211,354,239459
2017-06-16,0.046793,0.049211,0.045653,0.049211,354,227652
2017-06-14,0.053672,0.055219,0.053661,0.054241,251,259391
2017-06-13,0.053759,0.054475,0.053164,0.053703,249,259308
2017-06-12,0.059132,0.059311,0.058301,0.058365,6,282866
2017-06-11,0.057133,0.059226,0.057010,0.059210,6,273128
2017-06-09,0.055746,0.056391,0.055515,0.056383,28,265899
2017-06-08,0.053329,0.055834,0.051908,0.055834,28,247288
2017-06-07,0.056932,0.057076,0.052119,0.053062,214,263538
2017-06-06,0.056498,0.058088,0.053841,0.056917,639,261150
2017-06-05,0.050084,0.052044,0.050084,0.051997,4,230986
2017-06-04,0.050260,0.050288,0.049279,0.050075,5,231279
2017-06-01,0.045512,0.047510,0.045512,0.047266,292,206775
2017-05-31,0.043584,0.046004,0.043047,0.045471,281,197643
2017-05-30,0.045444,0.046264,0.042909,0.043413,606,205026
2017-05-29,0.043355,0.046356,0.042158,0.045391,754,194400
2017-05-28,0.040902,0.045653,0.040902,0.043443,276,182439
2017-05-27,0.040043,0.042735,0.039728,0.040659,756,178074
2017-05-26,0.021951,0.024792,0.021951,0.024295,1,96789
2017-05-25,0.022938,0.026474,0.021533,0.022113,23,100676
2017-05-24,0.011383,0.023420,0.011353,0.022981,546,49523
2017-05-23,0.010222,0.011003,0.010222,0.010807,63,43778
2017-05-22,0.009178,0.010905,0.009144,0.010237,59,38804
2017-05-21,0.009145,0.009334,0.008929,0.009147,76,38475
2017-05-20,0.009005,0.009153,0.009005,0.009148,13,37884
2017-05-17,0.007772,0.008121,0.007690,0.008030,5,32072
2017-05-16,0.006896,0.007840,0.006762,0.007774,75,28188
2017-05-15,0.007146,0.007157,0.006749,0.006906,17,29210
2017-05-14,0.007099,0.007240,0.007019,0.007142,19,29020
2017-05-13,0.006765,0.007091,0.006446,0.007077,7,27655
2017-05-12,0.005155,0.006910,0.005033,0.006779,69,21074
2017-05-11,0.005125,0.005411,0.005069,0.005376,13,20950
2017-05-10,0.005060,0.005168,0.005060,0.005116,13,20683
2017-05-08,0.004647,0.004736,0.004647,0.004736,13,18996
2017-05-07,0.004591,0.004646,0.004539,0.004646,96,18765
2017-05-05,0.004499,0.004725,0.004499,0.004662,11,18376
2017-05-04,0.004353,0.004698,0.004353,0.004490,10,17774
2017-05-03,0.004261,0.004359,0.004227,0.004351,25,17386
2017-05-02,0.004135,0.004289,0.004120,0.004157,9,16410
2017-05-01,0.003816,0.004171,0.003816,0.004137,22,15116
2017-04-28,0.003690,0.003728,0.003619,0.003637,11,14444
2017-04-27,0.003589,0.003695,0.003588,0.003690,16,13991
2017-04-26,0.003026,0.003626,0.003026,0.003587,87,11794
2017-04-25,0.002989,0.003028,0.002987,0.003025,6,11649
2017-04-24,0.002922,0.002990,0.002921,0.002988,5,11377
2017-04-21,0.002938,0.002954,0.002925,0.002943,12,11229
2017-04-20,0.002936,0.002944,0.002936,0.002938,19,11222
2017-02-25,0.000246,0.000247,0.000241,0.000241,3,594
2017-02-24,0.000249,0.000250,0.000244,0.000246,3,603
2017-02-23,0.001341,0.001357,0.001340,0.001357,4,3241
2017-02-22,0.001213,0.001350,0.001213,0.001341,12,2932
2017-02-15,0.001509,0.001512,0.001502,0.001505,12,3645
2017-02-14,0.001488,0.001517,0.001480,0.001507,13,3582
2017-02-13,0.001708,0.001708,0.001485,0.001486,34,4106
2017-02-11,0.000208,0.000212,0.000206,0.000210,1,498
2017-02-10,0.000204,0.000209,0.000202,0.000208,1,489
2017-02-09,0.001065,0.001089,0.001065,0.001078,1,2546
2017-02-08,0.001079,0.001079,0.001037,0.001063,1,2574
2017-02-07,0.000447,0.000457,0.000447,0.000455,3,1066
2017-02-06,0.002057,0.002194,0.000446,0.000446,13,4894
2017-02-05,0.000238,0.002063,0.000236,0.002055,5,566
2017-02-02,0.002176,0.002190,0.002163,0.002187,4,5136
