Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.213459,0.220147,0.203180,0.209432,1814810,32018800
2017-11-23,0.221793,0.226009,0.214101,0.214101,1977020,33269000
2017-11-22,0.196064,0.241675,0.195643,0.221272,2832990,29409600
2017-11-21,0.204510,0.205870,0.187368,0.196161,1738120,30676500
2017-11-20,0.210684,0.216751,0.204700,0.205489,1819930,31602500
2017-11-19,0.205819,0.233876,0.201365,0.210899,1772770,30872900
2017-11-18,0.199845,0.209759,0.196992,0.206344,1474640,29976700
2017-11-17,0.225694,0.231000,0.200308,0.200928,1791930,33854100
2017-11-16,0.222623,0.231670,0.212070,0.227078,2051200,33393400
2017-11-15,0.231428,0.237423,0.218656,0.222056,1889060,34714100
2017-11-14,0.230825,0.241246,0.228060,0.230716,2431870,34623800
2017-11-13,0.219133,0.238830,0.218304,0.230570,1828930,32869900
2017-11-12,0.243335,0.244233,0.215402,0.219047,2178070,36500200
2017-11-11,0.240971,0.252511,0.240952,0.244201,2567260,36145600
2017-11-10,0.283524,0.289103,0.239338,0.241720,2845070,42528700
2017-11-09,0.261169,0.291616,0.254404,0.284562,3148290,39175300
2017-11-08,0.246379,0.268097,0.241092,0.260774,2803730,36956900
2017-11-07,0.237440,0.250704,0.233986,0.246954,2066790,35616000
2017-11-06,0.244512,0.248532,0.231037,0.237707,1888510,36676800
2017-11-05,0.239291,0.250529,0.238474,0.244646,1847880,35893700
2017-11-04,0.227474,0.248483,0.215262,0.239303,1664990,34121100
2017-11-03,0.225903,0.238826,0.220477,0.228534,1704310,33885400
2017-11-02,0.199334,0.236519,0.192323,0.234500,2054830,29900100
2017-11-01,0.201889,0.243829,0.188497,0.199491,2954350,30283300
2017-10-31,0.209518,0.213105,0.196921,0.202149,1658900,31427800
2017-10-30,0.205644,0.215260,0.199786,0.209359,2053380,30846600
2017-10-29,0.188601,0.208802,0.188498,0.206520,1797930,28290200
2017-10-28,0.202167,0.205069,0.180596,0.188855,1669940,30325100
2017-10-27,0.207916,0.211058,0.199066,0.201748,1753510,31187400
2017-10-26,0.218677,0.222861,0.203975,0.207908,1799920,32801500
2017-10-25,0.217429,0.222014,0.212301,0.218602,1649550,32614400
2017-10-24,0.229617,0.237051,0.215433,0.217432,1897600,34442600
2017-10-23,0.265078,0.265078,0.220177,0.229958,1631230,39761700
2017-10-22,0.242081,0.265002,0.235591,0.264445,1855200,36312100
2017-10-21,0.255190,0.259754,0.220429,0.241828,2380200,38278500
2017-10-20,0.274176,0.372017,0.252695,0.255162,2484350,41126400
2017-10-19,0.323217,0.361514,0.265341,0.274173,3606770,48482600
2017-10-18,0.398891,0.398891,0.310855,0.324418,3027440,59833700
2017-10-17,0.351933,0.455638,0.324768,0.403462,3654270,-
