Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.010471,0.012924,0.009933,0.012641,118310,10995100
2017-11-23,0.011442,0.011678,0.009901,0.010508,148789,12014700
2017-11-22,0.007832,0.012953,0.007666,0.011426,195579,8223760
2017-11-21,0.007920,0.008565,0.007001,0.007820,67363,8316260
2017-11-20,0.005602,0.008687,0.005364,0.007930,126625,5882220
2017-11-19,0.004951,0.005690,0.004936,0.005607,9475,5199030
2017-11-18,0.005236,0.005348,0.004898,0.004964,20739,5498130
2017-11-17,0.005210,0.005588,0.005028,0.005249,24647,5470350
2017-11-16,0.005290,0.005857,0.005033,0.005336,18067,5554300
2017-11-15,0.005552,0.005932,0.005221,0.005305,10335,5829400
2017-11-14,0.004879,0.005730,0.004649,0.005549,29824,5123130
2017-11-13,0.005270,0.005842,0.004540,0.004799,30469,5533420
2017-11-12,0.005414,0.006148,0.004835,0.005264,27500,5684500
2017-11-11,0.005679,0.005989,0.005280,0.005409,14717,5963050
2017-11-10,0.006843,0.006998,0.005635,0.005691,49789,7184920
2017-11-09,0.006282,0.007462,0.006046,0.006825,45637,6596320
2017-11-08,0.005548,0.007027,0.005548,0.006214,20520,5825560
2017-11-07,0.005677,0.006268,0.005344,0.005553,13858,5961060
2017-11-06,0.005564,0.005959,0.005129,0.005669,10009,5841720
2017-11-05,0.005465,0.006210,0.005218,0.005556,10990,5738190
2017-11-04,0.006067,0.006476,0.005448,0.005459,17201,6370380
2017-11-03,0.005431,0.006067,0.005215,0.006067,21225,5702130
2017-11-02,0.006521,0.006674,0.005273,0.005407,16859,6847360
2017-11-01,0.006422,0.007406,0.006252,0.006504,18026,6743590
2017-10-31,0.007205,0.007604,0.006434,0.006434,16241,7565490
2017-10-30,0.008186,0.008318,0.006963,0.007202,44572,8594850
2017-10-29,0.007185,0.008383,0.007046,0.008206,55148,7544530
2017-10-28,0.007940,0.008005,0.006598,0.007245,26225,8336880
2017-10-27,0.005745,0.007961,0.005740,0.007931,21398,6031790
2017-10-26,0.006714,0.007481,0.005493,0.005649,29988,7049450
2017-10-25,0.006840,0.007465,0.005805,0.006727,33886,7181600
2017-10-24,0.007604,0.008331,0.006380,0.007201,28945,7984300
2017-10-23,0.007821,0.008994,0.007529,0.007620,7489,8211940
2017-10-22,0.008696,0.009000,0.007549,0.007832,16896,9131070
2017-10-21,0.008289,0.011040,0.007445,0.008701,38350,8702930
2017-10-20,0.008823,0.009129,0.007129,0.008299,54378,9263740
2017-10-19,0.009974,0.010730,0.007584,0.008829,47504,10472400
2017-10-18,0.010185,0.011345,0.008887,0.009995,79316,10694600
2017-10-17,0.011439,0.019871,0.009268,0.010197,112681,12010800
2017-10-16,0.012748,0.014263,0.011115,0.011417,72836,13385200
2017-10-15,0.010867,0.012712,0.009776,0.012707,46114,11410800
2017-10-14,0.009830,0.015987,0.008900,0.010837,101140,10321700
2017-10-13,0.010416,0.043981,0.008008,0.009698,106136,10936800
2017-10-12,0.013739,0.014134,0.005270,0.010397,256519,14425500
2017-10-11,0.016108,0.016220,0.011822,0.013737,303295,-
