Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.007253,0.007278,0.005235,0.006524,174,58246
2017-11-23,0.004668,0.007359,0.003356,0.007262,372,37487
2017-11-22,0.006290,0.006488,0.004124,0.004710,64,50510
2017-11-21,0.006836,0.006836,0.004979,0.006194,40,54895
2017-11-20,0.006889,0.006994,0.004826,0.006844,151,55317
2017-11-19,0.005593,0.006892,0.004817,0.006892,239,44913
2017-11-18,0.004719,0.005688,0.003844,0.005596,106,37891
2017-11-17,0.005421,0.006591,0.004651,0.004727,37,43533
2017-11-16,0.056744,0.057090,0.005249,0.005418,408,455655
2017-11-15,0.003580,0.087312,0.003563,0.056592,6734,28745
2017-11-14,0.004004,0.013648,0.003517,0.003537,553,32155
2017-11-13,0.004290,0.004778,0.003809,0.004000,18,34446
2017-11-12,0.004020,0.004341,0.002693,0.004265,6,32278
2017-11-11,0.005128,0.005298,0.003982,0.004022,96,41180
2017-11-10,0.004887,0.005286,0.004753,0.005152,42,39246
2017-11-09,0.005628,0.005630,0.004505,0.004878,81,45190
2017-11-08,0.003849,0.006439,0.003836,0.005671,718,30910
2017-11-07,0.003680,0.003981,0.003545,0.003855,10,29550
2017-11-06,0.003435,0.004476,0.003389,0.003686,9,27584
2017-11-05,0.004653,0.004668,0.003146,0.003427,22,37366
2017-11-04,0.006664,0.007838,0.003366,0.004665,124,53511
2017-11-03,0.003947,0.006832,0.002971,0.006588,65,31696
2017-11-02,0.004544,0.004925,0.002492,0.003951,91,36490
2017-11-01,0.002980,0.004545,0.002488,0.004543,51,23932
2017-10-31,0.003782,0.004024,0.002863,0.003005,135,30368
2017-10-30,0.005077,0.005079,0.003740,0.003795,174,40767
2017-10-29,0.004216,0.005208,0.002702,0.005106,535,33856
2017-10-28,0.005335,0.005425,0.003960,0.004220,8,42838
2017-10-27,0.005592,0.005691,0.004458,0.005321,266,44905
2017-10-26,0.004863,0.006229,0.004834,0.005604,24,39051
2017-10-25,0.004773,0.007065,0.004348,0.004864,57,38329
2017-10-24,0.005539,0.005539,0.004707,0.004734,78,44475
2017-10-23,0.006329,0.007367,0.004500,0.005583,58,50822
2017-10-22,0.005015,0.006681,0.004511,0.006404,101,40275
2017-10-21,0.004818,0.005033,0.004053,0.005014,247,38685
2017-10-20,0.005630,0.005887,0.004817,0.004819,64,45212
2017-10-19,0.004707,0.005749,0.004676,0.005649,48,37799
2017-10-18,0.005329,0.005330,0.004637,0.004713,80,42792
2017-10-17,0.006292,0.006873,0.005310,0.005331,81,50522
2017-10-16,0.007174,0.029110,0.005674,0.006291,29,57604
2017-10-15,0.006980,0.007472,0.005755,0.007172,115,56048
2017-10-14,0.008512,0.010264,0.005560,0.006970,80,68353
2017-10-13,0.005441,0.009674,0.004600,0.008327,4563,43689
2017-10-12,0.004943,0.006198,0.004779,0.005424,133,39690
2017-10-11,0.006205,0.006213,0.004843,0.004939,270,49826
2017-10-10,0.004853,0.006664,0.004571,0.006205,1402,38967
2017-10-09,0.004772,0.005225,0.004751,0.004853,61,38320
2017-10-08,0.005016,0.005268,0.004434,0.004771,58,40277
2017-10-07,0.005277,0.005277,0.004835,0.005026,22,42372
2017-10-06,0.005469,0.005469,0.004429,0.005275,441,43914
2017-10-05,0.006627,0.014226,0.005425,0.005469,1052,53212
2017-10-04,0.005626,0.006675,0.005418,0.006626,9,45177
2017-10-03,0.005581,0.005987,0.004317,0.005632,168,44817
2017-10-02,0.006733,0.006758,0.002974,0.005581,294,54068
2017-10-01,0.005518,0.007095,0.005415,0.006735,1100,44311
2017-09-30,0.005913,0.006443,0.005154,0.005515,166,47477
2017-09-29,0.005981,0.006872,0.004957,0.006872,414,48029
2017-09-28,0.005727,0.006389,0.005087,0.005984,68,45985
2017-09-27,0.008273,0.009204,0.005597,0.005736,61,66429
2017-09-26,0.006706,0.008317,0.004501,0.008279,373,53849
2017-09-25,0.006572,0.008797,0.005650,0.006715,1840,52776
2017-09-24,0.005611,0.008207,0.005290,0.006581,574,45054
2017-09-23,0.005781,0.006219,0.004791,0.005596,47,46418
2017-09-22,0.005135,0.006991,0.004806,0.005825,3,41233
2017-09-21,0.005447,0.005962,0.005029,0.005138,409,43739
2017-09-20,0.005719,0.008391,0.005461,0.005474,60,45928
2017-09-19,0.006701,0.010258,0.005694,0.005725,98,53807
2017-09-18,0.006560,0.008486,0.006066,0.006685,229,52679
2017-09-17,0.005388,0.006905,0.004537,0.006567,529,43266
2017-09-16,0.006192,0.006503,0.005006,0.005381,19,49720
2017-09-15,0.005386,0.006199,0.004187,0.006176,273,43253
2017-09-14,0.006358,0.007247,0.004760,0.004808,168,51058
2017-09-13,0.007041,0.007826,0.005799,0.006313,278,56541
2017-09-12,0.007603,0.009949,0.006234,0.007066,141,61054
2017-09-11,0.006992,0.010128,0.006064,0.007596,918,56144
2017-09-10,0.009616,0.011993,0.006672,0.006994,89,77214
2017-09-09,0.008509,0.009809,0.007132,0.009639,1643,68325
2017-09-08,0.007636,0.019124,0.006192,0.008491,220,61317
2017-09-07,0.011052,0.014806,0.007639,0.007639,576,88749
2017-09-06,0.009393,0.011096,0.008232,0.011071,996,75423
2017-09-05,0.008382,0.009432,0.007206,0.009372,91,67309
2017-09-04,0.009560,0.010779,0.007736,0.008352,669,76763
2017-09-03,0.008813,0.009593,0.007484,0.009555,193,70768
2017-09-02,0.010981,0.012765,0.008584,0.008808,246,88179
2017-09-01,0.009530,0.012617,0.009059,0.010968,150,76530
2017-08-31,0.009728,0.012336,0.008867,0.009533,219,78120
2017-08-30,0.008642,0.014613,0.008626,0.009744,4679,69397
2017-08-29,0.008664,0.010189,0.008519,0.008661,509,69571
2017-08-28,0.010678,0.010678,0.006856,0.008655,272,85743
2017-08-27,0.008254,0.010701,0.007416,0.010689,185,66278
2017-08-26,0.008094,0.009750,0.007546,0.008256,174,64994
2017-08-25,0.010390,0.010904,0.008061,0.008081,1049,83430
2017-08-24,0.012424,0.012449,0.009186,0.010404,850,99762
2017-08-23,0.012224,0.013468,0.010397,0.012163,770,98158
2017-08-22,0.013679,0.013679,0.011759,0.012249,204,109843
2017-08-21,0.011964,0.014303,0.008580,0.013648,948,96069
2017-08-20,0.014963,0.018826,0.012006,0.012006,170,120149
2017-08-19,0.012203,0.015052,0.009905,0.014925,537,97990
2017-08-18,0.016182,0.016986,0.008633,0.012211,918,129939
2017-08-17,0.015580,0.017928,0.014831,0.016227,1241,125107
2017-08-16,0.011655,0.015596,0.008033,0.015594,1434,93592
2017-08-15,0.011028,0.011742,0.008535,0.011647,1371,88554
2017-08-14,0.012811,0.014066,0.008970,0.011003,1240,102875
2017-08-13,0.010825,0.012828,0.007117,0.012798,2090,86922
2017-08-12,0.016398,0.016453,0.005893,0.010834,4920,131673
2017-08-11,0.015355,0.016863,0.012484,0.015853,3894,123298
2017-08-10,0.012211,0.016578,0.012186,0.016493,1126,98051
2017-08-09,0.015245,0.017248,0.010847,0.012222,2185,122417
2017-08-08,0.013678,0.018666,0.013563,0.015255,1047,109830
2017-08-07,0.014437,0.019000,0.013321,0.013665,2195,115926
2017-08-06,0.017725,0.022025,0.014377,0.014461,1105,142333
2017-08-05,0.018138,0.026670,0.017113,0.017714,972,145647
2017-08-04,0.021316,0.112071,0.013141,0.018199,10180,171165
2017-08-03,0.013594,0.029450,0.012558,0.025236,14271,109160
2017-08-02,0.015434,0.017058,0.012042,0.013546,655,123933
2017-08-01,0.015994,0.017767,0.011744,0.015437,3797,128434
2017-07-31,0.018566,0.018580,0.015900,0.015986,1939,149084
2017-07-30,0.015969,0.019189,0.005385,0.018549,20632,128232
2017-07-29,0.022813,0.022841,0.015853,0.015971,812,183187
2017-07-28,0.028574,0.034304,0.016768,0.022815,5324,229452
2017-07-27,0.017457,0.152884,0.017298,0.029328,27749,140182
2017-07-26,0.018695,0.019956,0.011849,0.017428,4224,150120
2017-07-25,0.021261,0.021397,0.017778,0.018688,1158,170725
2017-07-24,0.022596,0.022787,0.019073,0.021262,23271,181447
2017-07-23,0.020941,0.022567,0.018791,0.022541,33754,168158
2017-07-22,0.024074,0.025390,0.020852,0.020941,2075,193313
2017-07-21,0.026524,0.029798,0.023276,0.024077,49767,212988
2017-07-20,0.021622,0.029749,0.018976,0.026427,32101,173623
2017-07-19,0.043326,0.043326,0.019697,0.021612,5693,347908
2017-07-18,0.030348,0.043329,0.025784,0.043324,34806,243698
2017-07-17,0.026888,0.032897,0.021102,0.030301,25043,215913
2017-07-16,0.027557,0.027737,0.023261,0.026893,41842,221285
2017-07-15,0.031428,0.031442,0.025175,0.027589,20854,252370
2017-07-14,0.032982,0.035907,0.027162,0.031424,27859,264842
2017-07-13,0.033925,0.037849,0.025003,0.032066,28383,272418
2017-07-12,0.038518,0.038518,0.029758,0.033875,25584,309296
2017-07-11,0.032955,0.046892,0.027404,0.037781,34924,264626
2017-07-10,0.042849,0.046898,0.032908,0.033025,24020,344081
2017-07-09,0.033194,0.044493,0.029971,0.042809,38882,266549
2017-07-08,0.033734,0.033739,0.026870,0.033166,28196,270882
2017-07-07,0.042685,0.042763,0.026377,0.033706,31462,342762
2017-07-06,0.040938,0.048383,0.037827,0.042949,31950,328736
2017-07-05,0.050728,0.050728,0.037152,0.039566,25815,407343
2017-07-04,0.055226,0.056023,0.036911,0.050734,37372,443466
2017-07-03,0.050472,0.060502,0.046533,0.054302,34404,405293
2017-07-02,0.046439,0.052214,0.034326,0.050660,84521,372908
2017-07-01,0.053668,0.067922,0.046331,0.048356,53912,430957
2017-06-30,0.071955,0.072260,0.051267,0.053688,5854,577796
2017-06-29,0.079015,0.079567,0.044657,0.071785,79952,634490
2017-06-28,0.034812,0.097058,0.030601,0.074692,120902,-
2017-06-27,0.031616,0.034587,0.026199,0.034587,38001,-
2017-06-26,0.018166,0.534228,0.018166,0.031051,82180,-
2017-06-25,0.031743,0.167633,0.018821,0.018964,2741,-
2017-06-24,0.026696,0.033742,0.025334,0.033693,2727,-
2017-06-23,0.000003,0.114029,0.000003,0.103543,10797,2133
2017-06-22,0.000009,0.000009,0.000003,0.000003,1994,6454
2017-06-21,0.000004,0.000009,0.000004,0.000009,2402,2653
2017-06-20,0.000003,0.000007,0.000003,0.000004,4158,2093
2017-06-19,0.000002,0.000003,0.000001,0.000003,4563,1442
2017-06-18,0.000002,0.000003,9.4e-07,0.000002,12579,1175
2017-06-17,2.8e-07,0.000002,2.5e-07,0.000002,3658,200
2017-06-16,0.000003,0.000007,2.6e-07,2.8e-07,3811,2188
2017-06-15,0.000004,0.000006,0.000002,0.000003,5560,3024
2017-06-14,6.3e-07,0.000005,4.3e-07,0.000004,10373,450
2017-06-13,7.2e-07,7.3e-07,1.6e-07,6.4e-07,3683,512
2017-06-12,0.000002,0.000005,3.7e-07,7.2e-07,6543,1264
2017-06-11,0.000005,0.000008,0.000002,0.000002,9812,3335
2017-06-10,0.000003,0.000005,0.000002,0.000005,12455,2129
2017-06-09,0.000010,0.000028,0.000003,0.000003,11106,7123
2017-06-08,0.000023,0.000023,0.000010,0.000010,6242,16411
2017-06-07,0.000020,0.000025,0.000020,0.000023,12852,14008
