Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.010660,0.012358,0.008807,0.008834,51,66088
2017-11-23,0.012003,0.012185,0.009631,0.010719,21,74413
2017-11-22,0.015822,0.015944,0.010319,0.012082,60,98089
2017-11-21,0.011181,0.015930,0.010577,0.015402,14,69315
2017-11-20,0.009806,0.010576,0.008607,0.010519,93,60790
2017-11-19,0.008263,0.011018,0.008061,0.009810,4,51223
2017-11-18,0.010943,0.010975,0.008111,0.008276,27,67836
2017-11-17,0.009257,0.011369,0.006042,0.010984,1,57386
2017-11-16,0.008691,0.009443,0.008496,0.009272,24,53876
2017-11-15,0.007605,0.008875,0.007605,0.008645,1,47148
2017-11-14,0.019593,0.020163,0.006767,0.007600,521,121461
2017-11-13,0.006984,0.019664,0.006929,0.019551,1,43295
2017-11-12,0.006425,0.006993,0.005587,0.006974,19,39830
2017-11-11,0.007024,0.007275,0.006192,0.006430,9,43545
2017-11-10,0.007067,0.009833,0.006625,0.007052,4,43810
2017-11-09,0.006959,0.008077,0.006905,0.007045,11,43139
2017-11-08,0.008465,0.008964,0.006674,0.006966,10,52476
2017-11-07,0.007446,0.008494,0.007446,0.008491,190,46161
2017-11-06,0.007067,0.007846,0.006829,0.007458,174,43813
2017-11-05,0.006380,0.007264,0.006313,0.007054,10,39554
2017-11-04,0.007596,0.007850,0.006341,0.006379,53,47092
2017-11-03,0.007023,0.007785,0.006073,0.007616,969,43540
2017-11-02,0.007690,0.008100,0.006851,0.007032,5,47673
2017-11-01,0.016006,0.021157,0.007580,0.007675,7,99228
2017-10-31,0.007393,0.016018,0.007107,0.016018,41,45829
2017-10-30,0.007634,0.007991,0.007109,0.007433,4,47329
2017-10-29,0.007619,0.007899,0.007148,0.007711,64,47235
2017-10-28,0.008357,0.008512,0.007499,0.007630,42,51808
2017-10-27,0.010066,0.010254,0.007751,0.008334,8,62405
2017-10-26,0.010999,0.011154,0.009884,0.010064,12,68187
2017-10-25,0.009933,0.011054,0.009791,0.011000,48,61575
2017-10-24,0.007935,0.010001,0.007403,0.009928,119,49190
2017-10-23,0.007888,0.008411,0.007708,0.007954,21,48899
2017-10-22,0.008118,0.008234,0.007717,0.007900,7,50329
2017-10-21,0.008878,0.009039,0.008116,0.008116,41,55040
2017-10-20,0.010953,0.011159,0.008319,0.008897,34,67900
2017-10-19,0.010560,0.011023,0.008144,0.010950,39,65465
2017-10-18,0.010684,0.010684,0.008215,0.010554,11,66233
2017-10-17,0.010690,0.010895,0.008508,0.010681,104,66273
2017-10-16,0.010553,0.010744,0.010456,0.010689,16,65420
2017-10-15,0.008218,0.008405,0.008090,0.008385,0,50948
2017-10-14,0.008125,0.008356,0.007936,0.008219,0,50371
2017-10-13,0.007236,0.007815,0.007190,0.007522,1,44859
2017-10-12,0.008190,0.010649,0.006981,0.007214,255,50774
2017-10-11,0.007945,0.008383,0.007356,0.008183,50,49255
2017-10-10,0.006840,0.006942,0.006572,0.006768,1,42406
2017-10-09,0.007963,0.007976,0.006051,0.006841,1,49364
2017-10-08,0.008306,0.008564,0.007954,0.007961,0,51495
2017-10-07,0.007742,0.008348,0.007655,0.008329,5,47994
2017-10-06,0.007508,0.007772,0.007493,0.007739,2,46545
2017-10-05,0.006248,0.007545,0.006143,0.007508,30,38732
2017-10-04,0.006381,0.006414,0.006224,0.006242,3,39558
2017-10-03,0.006604,0.006642,0.006371,0.006411,10,40942
2017-10-02,0.007245,0.007621,0.006567,0.006604,17,44913
2017-10-01,0.010139,0.010186,0.006879,0.007248,108,62858
2017-09-30,0.006278,0.012379,0.006272,0.010134,10,38919
2017-09-29,0.008565,0.008807,0.004531,0.006277,56,53097
2017-09-28,0.006869,0.009211,0.005939,0.008572,8,42583
2017-09-27,0.005219,0.007185,0.004884,0.006977,34,32352
2017-09-26,0.006200,0.006351,0.005224,0.005233,39,38434
2017-09-25,0.007119,0.007691,0.005775,0.006063,14,44131
2017-09-24,0.007598,0.007694,0.004055,0.007124,239,47103
2017-09-23,0.005636,0.011554,0.005586,0.007578,2,34938
2017-09-22,0.006599,0.006713,0.005616,0.005652,1,40907
2017-09-21,0.005858,0.007173,0.005758,0.006606,222,36315
2017-09-20,0.005946,0.007760,0.005873,0.005887,29,36864
2017-09-19,0.009314,0.009364,0.004057,0.005954,857,57741
2017-09-18,0.010377,0.011037,0.009001,0.009291,2,64328
2017-09-17,0.007057,0.010680,0.006945,0.010385,0,43751
2017-09-16,0.007313,0.007378,0.006769,0.007062,9,45336
2017-09-15,0.007960,0.009307,0.005966,0.007332,28,49349
2017-09-14,0.008607,0.009357,0.006666,0.007899,51,53359
2017-09-13,0.009966,0.010002,0.008391,0.008608,1,61782
2017-09-12,0.010165,0.010813,0.009846,0.010004,295,63019
2017-09-11,0.012358,0.012723,0.009276,0.010156,65,76609
2017-09-10,0.011546,0.012494,0.009765,0.012379,4,71576
2017-09-09,0.010562,0.011599,0.007667,0.011576,48,65480
2017-09-08,0.013901,0.013908,0.007941,0.010542,294,86180
2017-09-07,0.014632,0.014634,0.013463,0.013899,1,90708
2017-09-06,0.014498,0.015149,0.011381,0.014660,1370,89880
2017-09-05,0.012934,0.015005,0.012181,0.014478,32,80183
2017-09-04,0.015455,0.015459,0.012678,0.012870,11,95813
2017-09-03,0.015565,0.015997,0.014906,0.015442,51,96495
2017-09-02,0.016496,0.017236,0.013951,0.015556,105,102262
2017-09-01,0.016584,0.016716,0.014744,0.016475,29,102808
2017-08-31,0.012301,0.020790,0.012250,0.016581,1200,76256
