Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.015157,0.015711,0.014876,0.015504,3642,-
2017-11-23,0.015502,0.015576,0.015177,0.015177,3564,-
2017-11-22,0.015412,0.019989,0.013824,0.015507,3643,-
2017-11-21,0.031869,0.031883,0.005319,0.015221,5433,-
2017-11-20,0.030093,0.038547,0.027827,0.031727,3807,-
2017-11-19,0.036443,0.036507,0.026030,0.030107,2940,-
2017-11-18,0.026840,0.038440,0.023278,0.036510,13315,-
2017-11-17,0.040646,0.047121,0.025456,0.026943,19059,-
2017-11-16,0.055791,0.055791,0.038391,0.040710,15095,-
2017-11-15,0.035945,0.059536,0.031089,0.049902,35657,-
2017-11-14,0.011032,0.036603,0.010170,0.035921,46174,-
2017-11-13,0.005513,0.010546,0.005475,0.009967,13957,-
2017-11-12,0.005068,0.006068,0.003659,0.005506,6307,-
2017-11-11,0.003593,0.005621,0.003132,0.005071,16929,-
2017-11-10,0.002780,0.004396,0.002581,0.003602,23607,-
2017-11-09,0.003512,0.003562,0.001408,0.002772,8290,-
2017-11-08,0.004211,0.005851,0.002784,0.003516,4393,-
2017-11-07,0.019466,0.026078,0.002220,0.004217,15508,-
2017-11-06,0.088055,0.093156,0.006248,0.019497,6788,-
2017-11-05,0.093390,0.114857,0.086889,0.087860,703,-
2017-11-04,0.097470,0.098725,0.091491,0.093567,51,-
2017-11-03,0.076694,0.110769,0.076217,0.097724,589,-
2017-11-02,0.092864,0.105397,0.072357,0.076795,1325,-
2017-11-01,0.080549,0.100572,0.079624,0.092762,2120,-
2017-10-31,0.080647,0.081032,0.075703,0.080608,46,-
2017-10-30,0.079467,0.084768,0.074842,0.080921,176,-
2017-10-29,0.071141,0.081388,0.071009,0.079924,57,-
2017-10-28,0.067778,0.120226,0.067197,0.071238,607,-
2017-10-27,0.059986,0.113533,0.058366,0.067593,216,-
2017-10-26,0.060995,0.067762,0.058781,0.059973,44,-
2017-10-25,0.055900,0.064536,0.054517,0.061003,1375,-
2017-10-24,0.065049,0.065049,0.055568,0.055878,89,-
2017-10-23,0.059972,0.065349,0.057151,0.065193,209,-
2017-10-22,0.072956,0.073165,0.057649,0.060069,263,-
2017-10-21,0.068339,0.079921,0.067863,0.072934,199,-
2017-10-20,0.071878,0.072106,0.064635,0.068483,99,-
2017-10-19,0.070399,0.072339,0.065436,0.071857,33,-
2017-10-18,0.070681,0.070701,0.064645,0.070363,164,-
2017-10-17,0.072238,0.073422,0.062600,0.070676,84,-
2017-10-16,0.064717,0.073096,0.058777,0.072227,246,-
2017-10-15,0.089583,0.089872,0.064596,0.064708,681,-
2017-10-14,0.227811,0.230093,0.083958,0.089423,629,-
2017-10-13,0.219151,0.236726,0.217750,0.227749,153,-
2017-10-12,0.194401,0.218478,0.193900,0.218478,147,-
2017-10-11,0.191844,0.196377,0.190320,0.194236,131,-
2017-10-10,0.201450,0.208840,0.190473,0.191876,815,-
2017-10-09,0.267606,0.269034,0.201465,0.201465,386,-
2017-10-08,0.226757,0.268162,0.188599,0.267538,1220,-
2017-10-07,0.254601,0.255303,0.221576,0.227365,1122,-
2017-10-06,0.292535,0.294702,0.236031,0.254519,28,-
2017-10-05,0.235523,0.292536,0.213910,0.292536,556,-
2017-10-04,0.240737,0.261565,0.233948,0.254601,9,-
2017-10-03,0.249949,0.263370,0.237894,0.240179,632,-
2017-10-02,0.269605,0.273199,0.247969,0.249940,202,-
2017-10-01,0.246656,0.269723,0.242595,0.269723,30363,-
2017-09-30,0.250279,0.257404,0.239598,0.246523,1430,-
2017-09-29,0.237988,0.254196,0.229728,0.250247,1496,-
2017-09-28,0.280057,0.282292,0.235457,0.238172,4867,-
2017-09-27,0.252798,0.281009,0.247150,0.280048,5742,-
2017-09-26,0.295672,0.338281,0.253048,0.253505,828,-
2017-09-25,0.221788,0.362930,0.221708,0.295690,5149,-
2017-09-24,0.242465,0.272548,0.198331,0.222007,5091,-
2017-09-23,0.405902,0.409600,0.199003,0.242485,2748,-
2017-09-22,0.270468,0.406632,0.266635,0.406099,453,-
2017-09-21,0.302866,0.304902,0.245143,0.270778,1850,-
2017-09-20,0.338805,0.350574,0.263528,0.304361,4750,-
