Date,Open,High,Low,Close,Volume,Market_cap
2017-11-20,0.009974,0.010249,0.009855,0.010180,1,435850
2017-11-19,0.009680,0.010058,0.009544,0.009978,2,423025
2017-11-18,0.008917,0.009052,0.008644,0.008992,2,389651
2017-11-17,0.008963,0.009059,0.008830,0.008951,2,391697
2017-11-16,0.008106,0.008534,0.007925,0.008497,126,354245
2017-11-15,0.008992,0.009798,0.007920,0.008064,132,392936
2017-11-14,0.008947,0.009190,0.008740,0.008986,29,390991
2017-11-13,0.012505,0.012844,0.008164,0.008928,30,546454
2017-11-12,0.007506,0.012637,0.006367,0.012487,214,328017
2017-11-11,0.007758,0.008036,0.007353,0.007512,9,339035
2017-11-10,0.008341,0.008581,0.007613,0.007786,5,364487
2017-11-09,0.009185,0.009185,0.008288,0.008316,25,401376
2017-11-08,0.008753,0.009857,0.008701,0.009194,65,382495
2017-11-07,0.008690,0.008780,0.008690,0.008780,2,379766
2017-11-06,0.008798,0.008835,0.008278,0.008449,5,384472
2017-11-05,0.009110,0.009362,0.008682,0.008779,7,398113
2017-11-03,0.008358,0.008823,0.008265,0.008795,2,365227
2017-11-02,0.008319,0.008701,0.008133,0.008369,26,363527
2017-10-31,0.007170,0.007505,0.007132,0.007473,30,313304
2017-10-30,0.008821,0.008890,0.007143,0.007194,244,385470
2017-10-28,0.008069,0.008180,0.008069,0.008180,1,352602
2017-10-27,0.008242,0.008395,0.007979,0.008047,2,360150
2017-10-26,0.008068,0.008267,0.008017,0.008240,2,352554
2017-10-24,0.008094,0.008094,0.007680,0.007891,60,353725
2017-10-23,0.008311,0.008434,0.007946,0.008112,114,363196
2017-10-22,0.008185,0.008345,0.008174,0.008325,62,357687
2017-10-21,0.008407,0.008670,0.008349,0.008588,1,367390
2017-10-20,0.008158,0.008555,0.008061,0.008425,1,356480
2017-10-19,0.008025,0.008210,0.007944,0.008155,32,350697
2017-10-18,0.007169,0.007169,0.006717,0.006742,15,313279
2017-10-17,0.009131,0.009595,0.007124,0.007168,36,399015
2017-10-16,0.009619,0.009668,0.008907,0.009129,20,420359
2017-10-15,0.010006,0.010038,0.009031,0.009618,6,437242
2017-10-14,0.009897,0.010002,0.009615,0.009988,89,432513
2017-10-13,0.009943,0.010243,0.009665,0.009895,7,434493
2017-10-12,0.008494,0.009471,0.008472,0.009349,2,371191
2017-10-11,0.008335,0.008581,0.008269,0.008487,2,364227
2017-10-10,0.011965,0.012151,0.008275,0.008336,305,522883
2017-10-09,0.008515,0.012175,0.008432,0.011966,3,372108
2017-10-08,0.007776,0.008533,0.007750,0.008513,0,339821
