Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.005888,0.007329,0.005776,0.005923,9,-
2017-11-23,0.005963,0.005992,0.005794,0.005896,124,-
2017-11-22,0.007590,0.007941,0.005794,0.005965,865,-
2017-11-21,0.006807,0.008192,0.006436,0.007572,144,-
2017-11-20,0.006596,0.008743,0.006517,0.006806,121,-
2017-11-19,0.006765,0.009364,0.006542,0.006599,1325,-
2017-11-18,0.006072,0.008032,0.005886,0.006778,92,-
2017-11-17,0.006368,0.006518,0.005913,0.006095,206,-
2017-11-16,0.006865,0.006991,0.006019,0.006378,172,-
2017-11-15,0.005183,0.008582,0.004851,0.006829,5228,-
2017-11-14,0.004448,0.005199,0.003797,0.005179,404,-
2017-11-13,0.004667,0.005996,0.004130,0.004439,861,-
2017-11-12,0.006106,0.006707,0.003686,0.004661,156,-
2017-11-11,0.006946,0.007765,0.004582,0.006110,7593,-
2017-11-10,0.005337,0.007024,0.005337,0.006672,3577,-
2017-11-09,0.004436,0.005674,0.004330,0.005322,457,-
2017-11-08,0.004642,0.004808,0.004240,0.004441,291,-
2017-11-07,0.003049,0.005182,0.003049,0.004656,3152,-
2017-11-06,0.003311,0.003736,0.003043,0.003054,26,-
2017-11-05,0.003204,0.003545,0.002995,0.003303,24,-
2017-11-04,0.004372,0.004428,0.003126,0.003210,143,-
2017-11-03,0.003024,0.004682,0.002991,0.004383,836,-
2017-11-02,0.003295,0.003337,0.002683,0.003028,228,-
2017-11-01,0.003880,0.004404,0.002889,0.003291,933,-
2017-10-31,0.002593,0.003882,0.002593,0.003882,126,-
2017-10-30,0.003587,0.003590,0.002339,0.002601,534,-
2017-10-29,0.003196,0.004373,0.003110,0.003608,1140,-
2017-10-28,0.004855,0.005021,0.003196,0.003201,190,-
2017-10-27,0.003360,0.004852,0.003356,0.004842,696,-
2017-10-26,0.006742,0.006834,0.002927,0.003359,1981,-
2017-10-25,0.004777,0.006755,0.002849,0.006743,3546,-
2017-10-24,0.002671,0.004849,0.002534,0.004775,1907,-
2017-10-23,0.003442,0.003475,0.002289,0.002676,1275,-
2017-10-22,0.003380,0.003762,0.003264,0.003447,554,-
2017-10-21,0.005107,0.005320,0.003377,0.003379,472,-
2017-10-20,0.005236,0.005246,0.003927,0.005117,2089,-
2017-10-19,0.005563,0.005931,0.005194,0.005234,900,-
2017-10-18,0.004086,0.005587,0.003326,0.005560,2399,-
2017-10-17,0.004274,0.004286,0.004045,0.004085,153,-
2017-10-16,0.004864,0.005113,0.003869,0.004273,408,-
2017-10-15,0.002975,0.005305,0.002795,0.004864,1710,-
2017-10-14,0.003676,0.003873,0.002910,0.002969,342,-
2017-10-13,0.004219,0.004602,0.003190,0.003675,1049,-
2017-10-12,0.003668,0.004715,0.003658,0.004206,2660,-
2017-10-11,0.004182,0.004189,0.003541,0.003665,237,-
2017-10-10,0.003645,0.004245,0.003458,0.004183,1802,-
2017-10-09,0.003962,0.004429,0.003474,0.003645,1668,-
2017-10-08,0.003632,0.004440,0.003593,0.003961,2498,-
2017-10-07,0.003671,0.003805,0.003341,0.003641,687,-
2017-10-06,0.003675,0.004054,0.003357,0.003573,1799,-
2017-10-05,0.003974,0.003979,0.003241,0.003675,1701,-
2017-10-04,0.003853,0.003986,0.003466,0.003970,606,-
2017-10-03,0.003522,0.003886,0.003407,0.003844,955,-
2017-10-02,0.003715,0.004219,0.003516,0.003522,3089,-
2017-10-01,0.003800,0.003972,0.003537,0.003716,2361,-
2017-09-30,0.003801,0.003940,0.003601,0.003798,713,-
2017-09-29,0.004143,0.004218,0.003459,0.003801,3678,-
2017-09-28,0.003781,0.004449,0.003693,0.004146,2232,-
2017-09-27,0.003613,0.003796,0.003245,0.003781,5190,-
2017-09-26,0.003855,0.004386,0.003619,0.003623,2695,-
2017-09-25,0.003900,0.004455,0.003034,0.003855,7494,-
2017-09-24,0.005070,0.005070,0.003898,0.003904,843,-
2017-09-23,0.003373,0.005398,0.003344,0.005071,3246,-
2017-09-22,0.005860,0.005963,0.003115,0.003382,2139,-
2017-09-21,0.003719,0.005874,0.003336,0.005866,1222,-
2017-09-20,0.003636,0.004042,0.003179,0.003737,2096,-
2017-09-19,0.003693,0.003745,0.003512,0.003641,819,-
2017-09-18,0.003173,0.003730,0.003173,0.003684,147,-
2017-09-17,0.003289,0.003656,0.002921,0.003179,1909,-
2017-09-16,0.003337,0.003754,0.003020,0.003291,634,-
2017-09-15,0.003499,0.003822,0.002919,0.003346,4867,-
2017-09-14,0.003368,0.004294,0.003018,0.003472,6879,-
2017-09-13,0.006044,0.006044,0.003368,0.003369,20036,-
2017-09-12,0.004917,0.006042,0.004897,0.006042,315,-
2017-09-11,0.004792,0.006140,0.004026,0.004912,2057,-
2017-09-10,0.005717,0.006366,0.004785,0.004800,1832,-
2017-09-09,0.005840,0.006184,0.004746,0.005732,675,-
2017-09-08,0.006273,0.007645,0.005042,0.005828,11342,-
2017-09-07,0.006115,0.008153,0.005725,0.006272,10685,-
2017-09-06,0.006290,0.008508,0.005558,0.006242,33475,-
2017-09-05,0.005818,0.008784,0.004868,0.006283,20311,-
2017-09-04,0.004338,0.005913,0.003628,0.005788,2676,-
2017-09-03,0.004008,0.004357,0.003856,0.004336,301,-
2017-09-02,0.003693,0.004018,0.003434,0.004006,1419,-
2017-09-01,0.005130,0.005889,0.003688,0.003688,3214,-
2017-08-31,0.004755,0.005142,0.003845,0.005129,4791,-
2017-08-30,0.004082,0.004857,0.004067,0.004763,2915,-
2017-08-29,0.004259,0.005088,0.004074,0.004088,2136,-
2017-08-28,0.003951,0.004433,0.003819,0.004251,445,-
2017-08-27,0.004405,0.004481,0.003911,0.003955,440,-
2017-08-26,0.006069,0.006421,0.004171,0.004406,3253,-
2017-08-25,0.004267,0.006422,0.003963,0.006068,3041,-
2017-08-24,0.004303,0.004309,0.003819,0.004273,1431,-
2017-08-23,0.005335,0.005893,0.003843,0.004302,981,-
2017-08-22,0.004081,0.005418,0.003582,0.005346,432,-
2017-08-21,0.004187,0.004767,0.003645,0.004072,639,-
2017-08-20,0.004235,0.005465,0.003864,0.004203,2612,-
2017-08-19,0.005355,0.005701,0.004206,0.004254,8327,-
2017-08-18,0.005860,0.006561,0.005195,0.005360,82382,-
2017-08-17,0.005924,0.006484,0.004737,0.005878,36038,-
2017-08-16,0.004791,0.006670,0.004044,0.005929,21536,-
2017-08-15,0.003599,0.004871,0.003331,0.004786,2924,-
2017-08-14,0.004915,0.004965,0.002745,0.003590,5624,-
2017-08-13,0.004330,0.005270,0.004032,0.004912,667,-
2017-08-12,0.011587,0.011914,0.004071,0.004334,2384,111277
2017-08-11,0.004467,0.011630,0.004445,0.011596,4782,42896
2017-08-10,0.005338,0.006586,0.003934,0.004467,10916,51262
2017-08-09,0.006433,0.006448,0.004380,0.005337,12608,61782
2017-08-08,0.006453,0.007378,0.004889,0.006437,20680,61971
2017-08-07,0.002997,0.006532,0.002997,0.006509,8636,28782
2017-08-06,0.003249,0.003903,0.002994,0.003004,2157,31200
2017-08-05,0.003141,0.003912,0.002543,0.003248,52033,30168
2017-08-04,0.002554,0.003459,0.002298,0.003143,76694,24532
2017-08-03,0.003257,0.003963,0.001879,0.002555,20318,31282
2017-08-02,0.003439,0.003702,0.003101,0.003251,292,33024
2017-08-01,0.004120,0.004160,0.002912,0.003439,933,39565
2017-07-31,0.004166,0.004260,0.003816,0.004117,21326,40006
2017-07-30,0.004102,0.004604,0.003885,0.004161,42178,39398
2017-07-29,0.005320,0.005659,0.003934,0.004103,134488,51088
2017-07-28,0.004004,0.005731,0.003989,0.005340,206,38450
2017-07-27,0.008084,0.009547,0.003992,0.003992,1781,77635
2017-07-26,0.005790,0.008206,0.004882,0.008061,1150,55601
2017-07-25,0.006376,0.006450,0.004702,0.005787,293,61230
2017-07-24,0.006014,0.006376,0.004769,0.006376,60,57757
2017-07-23,0.006367,0.007246,0.005220,0.006021,1424,61143
2017-07-22,0.005470,0.008566,0.004626,0.006367,11745,52528
2017-07-21,0.004135,0.007506,0.004030,0.005471,125428,39708
2017-07-20,0.004201,0.005595,0.003874,0.004104,5364,40344
2017-07-19,0.005411,0.005411,0.004107,0.004214,2383,51961
2017-07-18,0.006134,0.006134,0.003518,0.005402,6142,58911
2017-07-17,0.003364,0.006149,0.003364,0.006118,5443,32304
2017-07-16,0.005303,0.005906,0.003597,0.003966,8159,50933
2017-07-15,0.005658,0.007765,0.002977,0.005319,10673,54335
2017-07-14,0.003933,0.011207,0.003169,0.006547,14785,37771
2017-07-13,0.003365,0.004036,0.003101,0.003936,865,32313
2017-07-12,0.003044,0.003799,0.002966,0.003362,1042,29236
2017-07-11,0.003854,0.003901,0.003036,0.003059,279,37016
2017-07-10,0.004935,0.005536,0.003120,0.003863,791,47397
2017-07-09,0.003526,0.006153,0.003477,0.004926,2782,33862
2017-07-08,0.003252,0.004909,0.003216,0.003523,200,31233
2017-07-07,0.003716,0.004319,0.003217,0.003249,580,35686
