Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.338600,0.446202,0.331674,0.370691,281,714554
2017-11-23,0.386584,0.396494,0.320846,0.339064,538,815814
2017-11-22,0.438582,0.442986,0.382623,0.386707,206,925547
2017-11-21,0.330811,0.446712,0.312939,0.437519,148,698117
2017-11-20,0.377713,0.383648,0.328237,0.330750,99,797094
2017-11-19,0.310912,0.388317,0.307157,0.377889,221,656123
2017-11-18,0.324350,0.324350,0.299116,0.311489,276,684482
2017-11-17,0.478712,0.489960,0.325596,0.325596,121,1010230
2017-11-16,0.406382,0.637075,0.360698,0.479498,648,857594
2017-11-15,0.396246,0.478496,0.312179,0.404263,105,836205
2017-11-14,0.459863,0.553594,0.393007,0.395975,280,970456
2017-11-13,0.263831,0.588860,0.261728,0.458905,1217,556767
2017-11-12,0.477205,0.589987,0.253878,0.263447,260,1007050
2017-11-11,0.302865,0.632395,0.302491,0.477557,5787,639140
2017-11-10,0.534664,0.684444,0.282753,0.303946,2823,1128310
2017-11-09,0.219812,0.663489,0.171516,0.533081,5345,463873
2017-11-08,0.203902,0.221606,0.128601,0.220038,161,430298
2017-11-07,0.202047,0.326621,0.153027,0.204544,787,426384
2017-11-06,0.119208,0.197057,0.037041,0.196520,90,251567
2017-11-05,0.171733,0.247393,0.107111,0.118946,528,362411
2017-11-04,0.231382,0.295165,0.171109,0.172059,299,488289
2017-11-03,0.171468,0.310620,0.169624,0.231985,497,361853
2017-11-02,0.006729,0.275485,0.006729,0.171693,1281,14200
2017-11-01,0.269471,0.269471,0.006486,0.006721,92,568670
2017-10-31,0.340650,0.340650,0.238964,0.269669,662,718880
2017-10-30,0.614953,0.669548,0.269617,0.341841,7062,1297750
2017-10-29,0.746333,0.835348,0.515025,0.618546,886,1575000
2017-10-28,0.633372,0.916862,0.556440,0.747274,2582,1336620
2017-10-27,0.758875,1.03,0.596877,0.631654,2496,1601470
2017-10-26,0.893876,0.902516,0.888036,0.895697,6,1886360
2017-10-25,0.883521,0.999838,0.699281,0.893982,923,1864510
2017-10-24,0.725971,1.01,0.714820,0.718357,1975,1532030
2017-10-23,1.05,1.36,0.649811,0.727582,17884,2206100
2017-10-22,0.243952,1.50,0.226215,1.05,22704,514816
2017-10-21,0.249953,0.284949,0.225692,0.243837,2274,527480
2017-10-20,0.247730,0.291439,0.202324,0.250469,584,522789
2017-10-19,0.189455,0.247946,0.187562,0.247661,627,399810
2017-10-18,0.202623,0.206706,0.172721,0.189360,51,427598
2017-10-17,0.194542,0.216365,0.186346,0.202638,86,410545
2017-10-16,0.180718,0.206216,0.176982,0.194506,76,381372
2017-10-15,0.192316,0.221415,0.172709,0.180693,854,405847
2017-10-14,0.174609,0.206689,0.172810,0.191973,182,368480
2017-10-13,0.185223,0.199624,0.170463,0.174557,132,390880
2017-10-12,0.145898,0.188024,0.145544,0.184616,113,307891
2017-10-11,0.145883,0.161821,0.142456,0.145780,75,307860
2017-10-10,0.161676,0.181022,0.144841,0.145908,71,341187
2017-10-09,0.147473,0.198601,0.137104,0.161688,6036,311214
2017-10-08,0.146950,0.179527,0.133342,0.147435,10612,310111
2017-10-07,0.146009,0.167922,0.143021,0.167528,3163,308126
2017-10-06,0.152581,0.169895,0.138706,0.145962,1326,321995
2017-10-05,0.164568,0.178049,0.124764,0.152582,31548,347290
2017-10-04,0.148442,0.181978,0.146180,0.164419,811,313260
2017-10-03,0.148894,0.152705,0.146212,0.148099,61,314214
2017-10-02,0.150209,0.152713,0.146034,0.148888,116,316988
2017-10-01,0.146421,0.156127,0.145064,0.150261,65,308994
