Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.007635,0.007922,0.006716,0.006746,49,133350
2017-11-23,0.006662,0.007786,0.006628,0.007646,17,116360
2017-11-22,0.007465,0.007804,0.006622,0.006665,1301,130377
2017-11-21,0.006181,0.007700,0.005847,0.007447,5,107954
2017-11-20,0.006515,0.007636,0.006133,0.006180,62,113788
2017-11-19,0.005139,0.006570,0.005080,0.006518,3,89760
2017-11-18,0.004996,0.005189,0.004844,0.005149,1,87263
2017-11-17,0.005099,0.005219,0.004919,0.005016,5,89056
2017-11-16,0.005842,0.006219,0.005001,0.005107,4,102039
2017-11-15,0.003636,0.005812,0.003636,0.005812,10,63510
2017-11-14,0.005355,0.005511,0.003576,0.003634,118,93531
2017-11-13,0.004051,0.005520,0.004019,0.005344,12,70749
2017-11-12,0.004423,0.004423,0.003907,0.004045,4,77252
2017-11-11,0.004471,0.004631,0.004281,0.004360,7,78085
2017-11-10,0.005204,0.005501,0.004387,0.004487,36,90890
2017-11-09,0.006721,0.006721,0.005171,0.005189,17,117378
2017-11-08,0.006476,0.006767,0.005085,0.006728,4,113099
2017-11-07,0.006193,0.006498,0.004468,0.006496,1194,108170
2017-11-06,0.007319,0.007342,0.006181,0.006203,2,127835
2017-11-05,0.007377,0.007611,0.007223,0.007303,71,128837
2017-11-04,0.006594,0.007550,0.006256,0.007391,37,115158
2017-11-03,0.006883,0.007477,0.006543,0.006611,69,120210
2017-11-02,0.005854,0.007238,0.005854,0.006892,36,102239
2017-11-01,0.006122,0.006524,0.005678,0.005847,35,106917
2017-10-31,0.005576,0.006126,0.005547,0.006126,98,97391
2017-10-30,0.006280,0.006341,0.005555,0.005595,28,109682
2017-10-29,0.005728,0.006449,0.005190,0.006317,108,100039
2017-10-28,0.005763,0.005870,0.005681,0.005736,3,100659
2017-10-27,0.005887,0.005996,0.005699,0.005748,1,102814
2017-10-26,0.005276,0.005960,0.005244,0.005885,71,92140
2017-10-25,0.004525,0.005286,0.004413,0.005276,53,79030
2017-10-24,0.005514,0.005514,0.004498,0.004523,8,96297
2017-10-23,0.005082,0.005635,0.004475,0.005526,280,88765
2017-10-22,0.004811,0.005103,0.004598,0.005091,2,84024
2017-10-21,0.005044,0.005264,0.004750,0.004810,52,88100
2017-10-20,0.004507,0.005066,0.004440,0.005055,11,78709
2017-10-19,0.004749,0.004880,0.004439,0.004505,14,82945
2017-10-18,0.004705,0.004770,0.004313,0.004747,6,82167
2017-10-17,0.004854,0.004917,0.004650,0.004704,12,84783
2017-10-16,0.004838,0.004896,0.004732,0.004854,1,84498
2017-10-15,0.004974,0.004990,0.004637,0.004837,4,86864
2017-10-14,0.004864,0.004981,0.004811,0.004965,1,84949
2017-10-13,0.005400,0.005479,0.004741,0.004863,16,94318
2017-10-12,0.004102,0.004489,0.004092,0.004489,2,71647
2017-10-11,0.004048,0.004144,0.004016,0.004099,2,70705
2017-10-10,0.004068,0.004189,0.004019,0.004049,4,71053
2017-10-09,0.004419,0.004821,0.004069,0.004069,43,77173
2017-10-08,0.003644,0.004428,0.003631,0.004418,2,63639
2017-10-07,0.004286,0.004298,0.003563,0.003654,8,74862
2017-10-06,0.003416,0.004297,0.003409,0.004285,16,59656
2017-10-05,0.003673,0.003762,0.003393,0.003416,34,64143
2017-10-04,0.003845,0.003869,0.003651,0.003669,3,67145
2017-10-03,0.003919,0.003941,0.003780,0.003836,7,68438
2017-10-02,0.003823,0.004555,0.003820,0.003918,49,66767
2017-10-01,0.004432,0.004452,0.003796,0.003825,16,77401
2017-09-30,0.004422,0.004481,0.003323,0.004429,919,77237
2017-09-29,0.004171,0.004492,0.004171,0.004422,21,72847
2017-09-28,0.004123,0.004189,0.004056,0.004093,7,72015
2017-09-27,0.003811,0.004140,0.003811,0.004123,21,66557
2017-09-26,0.003304,0.003901,0.003304,0.003821,8,57705
