Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003054,0.004246,0.002996,0.003527,74,57361
2017-11-23,0.003966,0.004660,0.003013,0.003058,197,74491
2017-11-22,0.003027,0.004871,0.003014,0.003967,29,56846
2017-11-21,0.003956,0.003959,0.002976,0.003019,207,74299
2017-11-20,0.003850,0.003977,0.002871,0.003955,142,72301
2017-11-19,0.003061,0.004841,0.003052,0.003851,135,57488
2017-11-18,0.003920,0.004213,0.002772,0.003067,342,73629
2017-11-17,0.007360,0.007404,0.002889,0.003935,1271,138231
2017-11-16,0.002916,0.007372,0.002851,0.007372,2935,54775
2017-11-15,0.001981,0.006670,0.001981,0.002901,1155,37205
2017-11-14,0.001858,0.001990,0.001858,0.001980,54,34903
2017-11-13,0.001761,0.001876,0.001561,0.001854,41,33079
2017-11-12,0.001845,0.002081,0.001699,0.001759,20,34648
2017-11-11,0.001891,0.001958,0.001638,0.001846,2,35510
2017-11-10,0.001927,0.002338,0.001290,0.001897,33,36188
2017-11-09,0.002390,0.002487,0.001915,0.001921,111,44880
2017-11-08,0.001850,0.002432,0.000957,0.002392,205,34750
2017-11-07,0.002088,0.002495,0.001824,0.001856,16,39211
2017-11-06,0.002144,0.002227,0.002062,0.002091,15,40270
2017-11-05,0.002139,0.002207,0.002116,0.002139,5,40179
2017-11-04,0.001857,0.002189,0.001828,0.002143,5,34873
2017-11-03,0.001896,0.002041,0.001739,0.001862,6,35616
2017-11-02,0.000851,0.001915,0.000851,0.001899,5,15976
2017-11-01,0.001933,0.001933,0.000736,0.000850,74,36309
2017-10-31,0.002203,0.002426,0.001890,0.001935,10,41378
2017-10-30,0.001539,0.002211,0.001524,0.002211,25,28905
2017-10-29,0.001833,0.001920,0.001488,0.001548,2,34426
2017-10-28,0.002391,0.002435,0.001830,0.001835,5,44902
2017-10-27,0.000824,0.002645,0.000798,0.002384,1,15479
2017-10-26,0.001892,0.001892,0.000706,0.000824,39,35542
2017-10-25,0.002082,0.002263,0.001864,0.001893,1,39099
2017-10-24,0.002324,0.002513,0.002047,0.002056,90,43642
2017-10-23,0.002687,0.002726,0.002220,0.002643,5,50465
2017-10-22,0.003013,0.003191,0.002421,0.002691,15,56590
2017-10-21,0.002506,0.005529,0.002488,0.003012,98,47063
2017-10-20,0.002401,0.002670,0.002234,0.002511,47,45097
2017-10-19,0.003036,0.003079,0.002106,0.002400,67,57014
2017-10-18,0.002797,0.004257,0.002182,0.003034,39,52530
2017-10-17,0.005711,0.007056,0.002244,0.002797,398,107263
2017-10-16,0.000963,0.007320,0.000899,0.005710,1055,18084
2017-10-15,0.002048,0.002055,0.000954,0.000963,76,38464
2017-10-14,0.002206,0.002258,0.001992,0.002044,14,41427
2017-10-13,0.001690,0.002413,0.001658,0.002262,13,31749
2017-10-12,0.001786,0.001793,0.001310,0.001685,89,33539
2017-10-11,0.001905,0.001950,0.001782,0.001784,28,35781
2017-10-10,0.001442,0.002127,0.001442,0.001905,12,27077
2017-10-09,0.002025,0.002029,0.001426,0.001442,146,38037
2017-10-08,0.001033,0.002029,0.001028,0.002025,31,19409
2017-10-07,0.001695,0.001786,0.001012,0.001036,168,31840
2017-10-06,0.001500,0.001706,0.001497,0.001695,65,28170
2017-10-05,0.001721,0.001778,0.001392,0.001500,16,32316
2017-10-04,0.001530,0.001726,0.001522,0.001719,25,28739
2017-10-03,0.001762,0.001980,0.001515,0.001527,41,33098
2017-10-02,0.001758,0.002149,0.001616,0.001762,306,33012
2017-10-01,0.002761,0.002774,0.001738,0.001758,52,51859
2017-09-30,0.001914,0.002760,0.001770,0.002760,222,35948
2017-09-29,0.001990,0.002449,0.001881,0.001914,169,37370
2017-09-28,0.002233,0.002244,0.001877,0.001991,38,41945
2017-09-27,0.002183,0.002772,0.002131,0.002233,215,40991
2017-09-26,0.002478,0.003326,0.002180,0.002189,198,46541
2017-09-25,0.002424,0.003687,0.002332,0.002478,128,45523
2017-09-24,0.003773,0.003773,0.002426,0.002426,331,70861
2017-09-23,0.001314,0.005365,0.001301,0.003744,2371,24682
2017-09-22,0.001376,0.001427,0.000753,0.001318,235,25842
2017-09-21,0.001474,0.001481,0.001221,0.001378,135,27688
2017-09-20,0.001331,0.001538,0.001323,0.001481,16,24991
2017-09-19,0.001559,0.001567,0.001320,0.001332,30,29284
2017-09-18,0.001478,0.001569,0.001471,0.001555,18,27760
2017-09-17,0.001504,0.001520,0.001396,0.001481,13,28257
2017-09-16,0.001410,0.001517,0.001378,0.001506,74,26474
2017-09-15,0.001792,0.001915,0.001223,0.001413,117,33648
2017-09-14,0.001466,0.001855,0.001040,0.001778,6,27525
2017-09-13,0.001756,0.001762,0.001401,0.001466,12,32980
2017-09-12,0.001793,0.001856,0.001609,0.001763,18,33673
2017-09-11,0.001944,0.002094,0.001672,0.001791,28,36515
2017-09-09,0.002064,0.002980,0.002005,0.002964,4,38762
2017-09-08,0.001802,0.003058,0.001787,0.002060,141,33850
2017-09-07,0.001662,0.001871,0.001620,0.001802,10,31209
2017-09-06,0.001773,0.001849,0.001632,0.001665,16,33298
2017-09-05,0.002110,0.002110,0.001686,0.001771,40,39629
2017-09-04,0.002171,0.002304,0.001459,0.002099,75,40774
2017-09-03,0.001992,0.002181,0.001947,0.002170,133,37405
2017-09-02,0.002593,0.002640,0.001944,0.001990,16,48708
