Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.069153,0.103857,0.067789,0.089664,60566,4552200
2017-11-23,0.062672,0.076736,0.056361,0.069321,25713,4125560
2017-11-22,0.061839,0.071763,0.039225,0.062543,37919,4070750
2017-11-21,0.068252,0.069474,0.053354,0.063005,38448,4492930
2017-11-20,0.062755,0.069928,0.056917,0.068301,35235,4131020
2017-11-19,0.071103,0.071400,0.053336,0.062804,40024,4680580
2017-11-18,0.057948,0.074278,0.045799,0.071258,46909,3814590
2017-11-17,0.056959,0.072571,0.048453,0.058022,64938,3749490
2017-11-16,0.089737,0.098745,0.057017,0.057017,68898,5907230
2017-11-15,0.128262,0.128262,0.070353,0.089807,148361,8443260
2017-11-14,0.134658,0.139699,0.099476,0.128192,274681,8864290
2017-11-13,0.060056,0.134732,0.060056,0.134664,327534,3953350
2017-11-12,0.042864,0.072561,0.037221,0.059960,178692,2821660
2017-11-11,0.036852,0.044508,0.036090,0.042859,57181,2425900
2017-11-10,0.034155,0.036958,0.021593,0.036958,88725,2248330
2017-11-09,0.036052,0.038630,0.031858,0.034138,162200,2373220
2017-11-08,0.018586,0.042456,0.018512,0.036247,424840,1223470
2017-11-07,0.004479,0.018599,0.004474,0.018599,110345,-
2017-11-06,0.005908,0.007386,0.004472,0.004472,11004,-
