Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000321,0.000409,0.000315,0.000329,96,-
2017-11-23,0.000329,0.000411,0.000322,0.000322,25,-
2017-11-22,0.000406,0.000494,0.000324,0.000329,12,-
2017-11-21,0.000494,0.000496,0.000327,0.000405,24,-
2017-11-20,0.000402,0.000497,0.000321,0.000494,242,-
2017-11-19,0.000389,0.000487,0.000385,0.000402,541,-
2017-11-18,0.000384,0.000472,0.000373,0.000390,106,-
2017-11-17,0.000392,0.000476,0.000378,0.000386,178,-
2017-11-16,0.000292,0.000400,0.000286,0.000393,411,-
2017-11-15,0.000264,0.000363,0.000264,0.000291,113,-
2017-11-14,0.000327,0.000336,0.000258,0.000264,183,-
2017-11-13,0.000235,0.000399,0.000233,0.000326,319,-
2017-11-12,0.000254,0.000315,0.000166,0.000234,110,-
2017-11-11,0.000329,0.000407,0.000249,0.000255,102,-
2017-11-10,0.000356,0.000428,0.000270,0.000330,63,-
2017-11-09,0.000299,0.000430,0.000282,0.000355,143,-
2017-11-08,0.000285,0.000392,0.000283,0.000299,114,-
2017-11-07,0.000348,0.000715,0.000284,0.000286,1247,-
2017-11-06,0.000296,0.000356,0.000219,0.000349,141,-
2017-11-05,0.000221,0.000302,0.000219,0.000295,1,-
2017-11-04,0.000287,0.000294,0.000146,0.000222,208,-
2017-11-03,0.000281,0.000299,0.000217,0.000287,186,-
2017-11-02,0.000404,0.000414,0.000210,0.000281,92,-
2017-11-01,0.000322,0.000462,0.000318,0.000403,92,-
2017-10-31,0.000429,0.000445,0.000305,0.000322,108,-
2017-10-30,0.000431,0.000431,0.000302,0.000430,40,-
2017-10-29,0.000286,0.000435,0.000286,0.000434,172,-
2017-10-28,0.000288,0.000294,0.000284,0.000287,13,-
2017-10-27,0.000353,0.000414,0.000286,0.000287,72,-
2017-10-26,0.000401,0.000575,0.000348,0.000353,604,-
2017-10-25,0.000331,0.000443,0.000218,0.000401,215,-
2017-10-24,0.000469,0.000469,0.000280,0.000331,10,-
2017-10-23,0.000478,0.000485,0.000353,0.000470,8,-
2017-10-22,0.000361,0.000480,0.000293,0.000479,85,-
2017-10-21,0.000480,0.000492,0.000354,0.000361,33,-
2017-10-20,0.000399,0.000489,0.000338,0.000481,96,-
2017-10-19,0.000447,0.000509,0.000339,0.000399,242,-
2017-10-18,0.000336,0.000449,0.000311,0.000447,131,-
2017-10-17,0.000462,0.000505,0.000334,0.000336,40,-
2017-10-16,0.000455,0.000465,0.000335,0.000462,369,-
2017-10-15,0.000410,0.000501,0.000382,0.000455,5,-
2017-10-14,0.000396,0.000463,0.000392,0.000409,6,-
2017-10-13,0.000381,0.000411,0.000378,0.000396,119,-
2017-10-12,0.000338,0.000466,0.000337,0.000380,145,-
2017-10-11,0.000381,0.000390,0.000336,0.000338,2,-
2017-10-10,0.000335,0.000394,0.000335,0.000381,3,-
2017-10-09,0.000322,0.000378,0.000319,0.000335,25,-
2017-10-08,0.000355,0.000412,0.000320,0.000322,183,-
2017-10-07,0.000350,0.000523,0.000348,0.000356,202,-
2017-10-06,0.000346,0.000663,0.000345,0.000350,1282,-
2017-10-05,0.000295,0.000349,0.000258,0.000346,39,-
2017-10-04,0.000346,0.000348,0.000294,0.000295,3,-
2017-10-03,0.000396,0.000399,0.000340,0.000345,2,-
2017-10-02,0.000395,0.000402,0.000351,0.000396,183,-
2017-10-01,0.000348,0.000396,0.000343,0.000396,12,-
2017-09-30,0.000334,0.000387,0.000333,0.000347,67,-
2017-09-29,0.000377,0.000381,0.000324,0.000334,63,-
2017-09-28,0.000337,0.000385,0.000333,0.000378,114,-
2017-09-27,0.000389,0.000393,0.000314,0.000337,39,-
2017-09-26,0.000354,0.000398,0.000312,0.000390,20,-
2017-09-25,0.000331,0.000379,0.000330,0.000354,69,-
2017-09-24,0.000341,0.000374,0.000291,0.000331,139,-
2017-09-23,0.000325,0.000413,0.000263,0.000341,470,-
2017-09-22,0.000398,0.000401,0.000248,0.000326,218,-
2017-09-21,0.000194,0.000406,0.000191,0.000399,494,-
2017-09-20,0.000196,0.000283,0.000194,0.000195,22,-
2017-09-19,0.000246,0.000282,0.000194,0.000196,68,-
2017-09-18,0.000222,0.000286,0.000189,0.000246,171,-
2017-09-17,0.000223,0.000228,0.000209,0.000222,52,-
2017-09-16,0.000185,0.000310,0.000185,0.000223,174,-
2017-09-15,0.000195,0.000263,0.000153,0.000186,61,-
2017-09-14,0.000271,0.000299,0.000193,0.000193,124,-
2017-09-13,0.000332,0.000333,0.000266,0.000271,698,-
2017-09-12,0.000337,0.000433,0.000293,0.000333,30,-
2017-09-11,0.000340,0.000465,0.000292,0.000337,138,-
2017-09-10,0.000347,0.000347,0.000324,0.000341,8,-
2017-09-09,0.000346,0.000353,0.000336,0.000347,60,-
2017-09-08,0.000371,0.000376,0.000332,0.000346,13,-
2017-09-07,0.000369,0.000410,0.000360,0.000371,13,-
2017-09-06,0.000398,0.000433,0.000363,0.000370,19,-
2017-09-05,0.000431,0.000448,0.000367,0.000397,17,-
2017-09-04,0.000462,0.000462,0.000360,0.000428,18,-
2017-09-03,0.000323,0.000503,0.000323,0.000462,185,-
2017-09-02,0.000394,0.000487,0.000315,0.000323,177,-
2017-09-01,0.000521,0.000525,0.000390,0.000393,123,-
2017-08-31,0.000321,0.000524,0.000321,0.000426,216,-
2017-08-30,0.000643,0.000695,0.000320,0.000321,278,-
2017-08-29,0.000614,0.000720,0.000457,0.000644,339,-
2017-08-28,0.000599,0.000654,0.000473,0.000613,956,-
2017-08-26,0.000306,0.000306,0.000300,0.000302,104,-
2017-08-25,0.000303,0.000438,0.000301,0.000305,105,-
2017-08-24,0.000331,0.000378,0.000295,0.000303,52,-
2017-08-23,0.000327,0.000419,0.000326,0.000331,145,-
2017-08-22,0.000360,0.000411,0.000310,0.000328,117,-
2017-08-21,0.000446,0.000450,0.000319,0.000359,593,-
2017-08-20,0.000415,0.000457,0.000365,0.000448,380,-
2017-08-19,0.000411,0.000455,0.000358,0.000416,183,-
2017-08-18,0.000471,0.000522,0.000408,0.000411,110,-
