Date,Open,High,Low,Close,Volume,Market_cap
2017-11-23,0.000448,0.000458,0.000441,0.000458,65,22731
2017-11-22,0.000471,0.000471,0.000428,0.000448,64,23915
2017-11-21,0.000412,0.000474,0.000390,0.000471,13,20919
2017-11-20,0.000402,0.000414,0.000398,0.000412,225,20417
2017-11-19,0.000419,0.000446,0.000397,0.000402,4,21282
2017-11-18,0.000384,0.000420,0.000373,0.000420,14,19511
2017-11-17,0.000392,0.000401,0.000378,0.000386,18,19912
2017-11-16,0.000468,0.000763,0.000324,0.000393,13,23782
2017-11-15,0.000887,0.000913,0.000358,0.000466,18,45012
2017-11-14,0.000327,0.000889,0.000327,0.000886,95,16577
2017-11-13,0.000294,0.000336,0.000291,0.000326,89,14902
2017-11-12,0.000522,0.000861,0.000283,0.000293,22,26495
2017-11-11,0.000366,0.000699,0.000360,0.000522,17,18560
2017-11-10,0.000642,0.000660,0.000337,0.000367,41,32571
2017-11-09,0.000448,0.000646,0.000353,0.000640,45,22745
2017-11-08,0.000383,0.000449,0.000354,0.000449,27,19430
2017-11-07,0.000422,0.000431,0.000371,0.000384,17,21430
2017-11-06,0.000362,0.000646,0.000349,0.000423,28,18374
2017-11-05,0.000074,0.000372,0.000073,0.000361,233,3745
2017-11-04,0.000072,0.000075,0.000070,0.000074,7,3638
2017-11-03,0.000070,0.000075,0.000069,0.000072,2,3565
2017-11-02,0.000067,0.000073,0.000067,0.000070,5,3416
2017-11-01,0.000064,0.000067,0.000064,0.000067,1,3271
2017-10-31,0.000061,0.000064,0.000061,0.000064,8,3111
2017-10-30,0.000062,0.000187,0.000061,0.000061,0,3126
2017-10-29,0.000058,0.000063,0.000058,0.000062,0,2957
2017-10-28,0.000058,0.000114,0.000057,0.000058,2,2926
2017-10-27,0.000176,0.000278,0.000057,0.000057,6,8911
2017-10-26,0.000055,0.000177,0.000054,0.000177,2,2785
2017-10-25,0.000110,0.000166,0.000053,0.000055,9,5603
2017-10-24,0.000115,0.000164,0.000108,0.000110,9,5853
2017-10-23,0.000120,0.000121,0.000109,0.000116,13,6071
2017-10-22,0.000060,0.000121,0.000060,0.000120,3,3053
2017-10-21,0.000120,0.000124,0.000060,0.000060,4,6097
2017-10-20,0.000114,0.000122,0.000112,0.000120,5,5792
2017-10-19,0.000112,0.000510,0.000055,0.000114,70,5670
2017-10-18,0.000056,0.000112,0.000051,0.000112,4,2852
2017-10-17,0.000058,0.000058,0.000056,0.000056,3,2934
2017-10-16,0.000059,0.000059,0.000056,0.000058,3,2970
2017-10-15,0.000059,0.000068,0.000057,0.000058,4,2971
2017-10-14,0.000057,0.000058,0.000056,0.000058,6,2871
2017-10-13,0.000054,0.000059,0.000054,0.000057,39,2762
2017-10-12,0.000048,0.000054,0.000048,0.000054,2,2450
