Date,Open,High,Low,Close,Volume,Market_cap
2017-11-23,3.55,3.56,3.49,3.51,6552,-
2017-11-22,3.25,3.57,3.24,3.55,24675,-
2017-11-21,3.35,3.55,3.20,3.25,16577,-
2017-11-20,3.22,3.23,3.19,3.19,151,-
2017-11-19,3.12,3.25,3.09,3.23,153,-
2017-11-18,3.04,3.15,2.99,3.13,140,-
2017-11-15,2.65,2.78,2.65,2.77,719,-
2017-11-14,2.62,2.69,2.58,2.65,687,-
2017-11-13,2.35,2.83,2.34,2.61,47053,-
2017-11-12,2.46,2.58,2.22,2.35,94,-
2017-11-11,2.64,2.73,2.63,2.69,664,-
2017-11-10,2.86,2.94,2.59,2.65,653,-
2017-11-09,3.22,3.22,2.83,2.85,121,-
2017-11-08,3.07,3.38,3.05,3.22,7,-
2017-11-07,2.79,3.08,2.79,3.08,39976,-
2017-11-06,2.81,2.87,2.78,2.79,45334,-
