Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,2.41,2.75,2.31,2.73,4389420,98154900
2017-11-23,2.25,2.46,2.21,2.41,3682080,91575500
2017-11-22,2.13,2.25,2.12,2.24,1954530,86651900
2017-11-21,2.18,2.19,2.07,2.12,1940570,88794400
2017-11-20,2.09,2.18,2.08,2.17,1705110,85154400
2017-11-19,2.06,2.19,2.04,2.09,1980670,84183700
2017-11-18,1.96,2.07,1.92,2.07,1545720,79721000
2017-11-17,2.00,2.01,1.93,1.97,1564790,81728700
2017-11-16,2.02,2.02,1.91,1.98,2081880,82402100
2017-11-15,2.02,2.07,1.96,2.02,2464150,82241000
2017-11-14,1.96,2.04,1.93,2.04,2596440,79806300
2017-11-13,1.80,2.01,1.80,1.96,2738800,73561900
2017-11-12,1.93,1.93,1.77,1.81,2634170,78501100
2017-11-11,1.86,1.96,1.83,1.92,2650010,75736600
2017-11-10,2.05,2.09,1.83,1.87,1861230,83624100
2017-11-09,1.95,2.11,1.92,2.03,2044140,79413200
2017-11-08,1.87,2.02,1.85,1.95,1957250,76227000
2017-11-07,1.85,1.91,1.82,1.87,1025090,75311000
2017-11-06,1.88,1.91,1.81,1.85,1586090,76664800
2017-11-05,1.93,1.96,1.84,1.86,2012750,78562700
2017-11-04,1.94,2.00,1.88,1.93,1567020,78965100
2017-11-03,1.78,1.96,1.78,1.93,1324870,72696000
2017-11-02,1.91,1.92,1.77,1.78,1379960,77813200
2017-11-01,1.98,2.00,1.87,1.93,1171980,80893500
2017-10-31,1.99,2.07,1.94,2.00,990337,80948200
2017-10-30,1.96,2.03,1.95,1.99,1090470,79972600
2017-10-29,1.90,2.10,1.88,1.96,1154460,77382200
2017-10-28,1.92,1.94,1.86,1.91,1137270,78418500
2017-10-27,1.92,1.97,1.86,1.92,1320880,78104100
2017-10-26,1.99,2.01,1.90,1.94,2022500,81293400
2017-10-25,1.98,2.03,1.93,1.99,1485030,80580400
2017-10-24,1.87,2.15,1.82,1.97,1901180,76430100
2017-10-23,1.97,2.02,1.82,1.88,1459900,80169200
2017-10-22,2.04,2.05,1.93,1.99,1271590,82976400
2017-10-21,2.05,2.10,1.85,2.02,1005330,83460800
2017-10-20,2.10,2.18,2.03,2.05,1148670,85592100
2017-10-19,2.13,2.16,2.08,2.10,1496620,86693200
2017-10-18,2.19,2.19,2.00,2.14,1583160,89248600
2017-10-17,2.33,2.35,2.17,2.19,2294300,95073900
2017-10-16,2.32,2.42,2.28,2.33,892768,94786600
2017-10-15,2.40,2.42,2.21,2.34,823784,97696500
2017-10-14,2.42,2.47,2.38,2.39,681128,98849300
2017-10-13,2.21,2.52,2.11,2.42,1328750,89977800
2017-10-12,2.19,2.25,2.17,2.20,760881,89489000
2017-10-11,2.19,2.22,2.17,2.20,776844,89188900
2017-10-10,2.20,2.27,2.17,2.17,696724,89785600
2017-10-09,2.26,2.30,2.07,2.20,2280330,92159100
