Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.020311,0.033956,0.012687,0.013221,48,30968
2017-11-23,0.031596,0.032175,0.020522,0.020522,42,48174
2017-11-22,0.045516,0.075353,0.025960,0.031913,76,69397
2017-11-21,0.035310,0.046921,0.028577,0.045503,103,53836
2017-11-20,0.021324,0.038868,0.012396,0.035359,3,32513
2017-11-19,0.038140,0.038513,0.012405,0.021334,396,58151
2017-11-18,0.016750,0.038504,0.013060,0.038211,472,25538
2017-11-17,0.012250,0.017091,0.012136,0.016814,38,18677
2017-11-16,0.031111,0.033901,0.011026,0.012270,100,47435
2017-11-15,0.027901,0.031015,0.027901,0.030949,3,42540
2017-11-14,0.019565,0.028803,0.014934,0.027882,516,29831
2017-11-13,0.024775,0.027570,0.016781,0.019524,42,37774
2017-11-12,0.023971,0.025792,0.012438,0.024739,19,36548
2017-11-11,0.025042,0.027458,0.021833,0.023988,98,38182
2017-11-10,0.014155,0.026272,0.010998,0.025132,11,21581
2017-11-09,0.019391,0.019933,0.014625,0.014788,33,29565
2017-11-08,0.018911,0.022638,0.016132,0.019411,319,28833
2017-11-07,0.017504,0.018146,0.015793,0.015897,16,26689
2017-11-06,0.021272,0.021338,0.016378,0.017532,26,32433
2017-11-05,0.021835,0.022021,0.020990,0.021225,170,33292
2017-11-04,0.021543,0.022347,0.020837,0.021877,50,32846
2017-11-03,0.033431,0.033500,0.020082,0.021516,59,50972
2017-11-02,0.061585,0.067298,0.032611,0.033475,72,93898
2017-11-01,0.019819,0.079616,0.019592,0.061517,290,30218
2017-10-31,0.031808,0.054795,0.016244,0.019834,148,48497
2017-10-30,0.044457,0.059947,0.028556,0.031916,54,67784
2017-10-29,0.021058,0.047201,0.019768,0.044717,159,32107
2017-10-28,0.049822,0.053090,0.015044,0.021087,528,75963
2017-10-27,0.029340,0.052618,0.027771,0.049686,98,44734
2017-10-26,0.024854,0.029481,0.015774,0.029333,304,37895
2017-10-25,0.010072,0.024901,0.009823,0.024857,33,15357
2017-10-24,0.014723,0.014723,0.010053,0.010068,29,22448
2017-10-23,0.018431,0.019335,0.013832,0.014755,17,28101
2017-10-22,0.015806,0.023946,0.012642,0.018460,24,24099
2017-10-21,0.012070,0.020871,0.011986,0.015801,60,18404
2017-10-20,0.011466,0.012283,0.011297,0.012096,1,17482
2017-10-19,0.027824,0.028489,0.011554,0.011725,20,42424
2017-10-18,0.025335,0.026634,0.023767,0.026406,48,38629
2017-10-17,0.014756,0.025512,0.013003,0.025330,63,22498
2017-10-16,0.013688,0.014830,0.011929,0.014753,12,20871
2017-10-15,0.016693,0.020870,0.011782,0.011942,3,25452
2017-10-14,0.013856,0.016971,0.011859,0.016664,31,21127
2017-10-13,0.019275,0.025793,0.011875,0.013853,392,29389
2017-10-12,0.020069,0.020279,0.016379,0.019216,20,30599
2017-10-11,0.134911,0.159445,0.019985,0.020052,108,205696
2017-10-10,0.016322,0.300626,0.011772,0.134903,221,24886
2017-10-09,0.012150,0.029244,0.011449,0.016323,124,18525
2017-10-08,0.021013,0.022248,0.011555,0.012147,36,32038
2017-10-07,0.012378,0.021119,0.012358,0.021069,3,18873
2017-10-06,0.015918,0.016196,0.012256,0.012374,19,24270
2017-10-05,0.021004,0.022729,0.015882,0.015918,31,32025
2017-10-04,0.012138,0.021070,0.010754,0.020985,180,18507
2017-10-03,0.021971,0.022098,0.011995,0.012110,1,33499
2017-10-02,0.023989,0.024550,0.021850,0.021970,1,36576
2017-10-01,0.016185,0.024000,0.015830,0.024000,89,24676
2017-09-30,0.026446,0.026829,0.024473,0.024946,0,40322
2017-09-29,0.012188,0.029069,0.011765,0.026443,1,18582
2017-09-28,0.021150,0.023558,0.012152,0.012197,43,32247
2017-09-27,0.019287,0.022370,0.016538,0.021149,23,29407
2017-09-26,0.023304,0.023648,0.019079,0.019318,20,35532
2017-09-25,0.024699,0.026530,0.012105,0.022829,7,37658
2017-09-24,0.011744,0.026032,0.011643,0.024724,28,17907
2017-09-23,0.017815,0.020597,0.011590,0.011745,2,27163
2017-09-22,0.021766,0.022187,0.014293,0.017900,16,33187
2017-09-21,0.026216,0.026392,0.021626,0.021791,58,39972
2017-09-20,0.034405,0.048814,0.013360,0.026346,321,52457
2017-09-19,0.016002,0.034947,0.015236,0.034387,11,24398
2017-09-18,0.014928,0.016104,0.011466,0.015963,5,22761
2017-09-17,0.022771,0.026315,0.014958,0.014958,0,34718
2017-09-16,0.021901,0.079231,0.016921,0.022726,109,33392
2017-09-15,0.016623,0.022512,0.016590,0.021971,29,25346
2017-09-14,0.020936,0.022651,0.016495,0.016495,3,31921
2017-09-13,0.016734,0.021400,0.015835,0.020938,42,25515
2017-09-12,0.017278,0.017951,0.016633,0.016798,13,26343
2017-09-11,0.017171,0.025026,0.016711,0.017261,4,26180
2017-09-10,0.025997,0.025997,0.016744,0.017200,5,39638
2017-09-09,0.020061,0.026196,0.019826,0.026064,316,30587
2017-09-08,0.018674,0.023605,0.014745,0.020022,23,28472
2017-09-07,0.021903,0.030366,0.018499,0.018670,17,33396
2017-09-06,0.023935,0.024481,0.015512,0.021945,187,36493
2017-09-05,0.017729,0.026498,0.016703,0.023908,103,27031
2017-09-04,0.017460,0.023397,0.012483,0.017637,52,26621
2017-09-03,0.024124,0.025817,0.017055,0.017454,1,36781
2017-09-02,0.022512,0.024108,0.014378,0.024108,114,34323
2017-09-01,0.013652,0.022484,0.013652,0.022484,75,20815
2017-08-31,0.019876,0.049135,0.013606,0.013650,89,30305
2017-08-30,0.017499,0.019939,0.014444,0.019892,73,26680
2017-08-29,0.025973,0.027055,0.017344,0.017527,35,39600
2017-08-28,0.013073,0.026018,0.010465,0.025929,18,19933
2017-08-27,0.014632,0.025829,0.010043,0.013087,471,22310
2017-08-26,0.036590,0.036674,0.014602,0.014636,137,55789
2017-08-25,0.024645,0.036602,0.021510,0.036579,787,37576
2017-08-24,0.025696,0.026139,0.010499,0.024684,218,39178
2017-08-23,0.022020,0.028191,0.015753,0.025685,99,33574
2017-08-22,0.013311,0.022065,0.012760,0.022065,129,20295
2017-08-21,0.012734,0.016244,0.011993,0.013277,16,19415
2017-08-20,0.012152,0.014488,0.011356,0.012782,47,18528
2017-08-19,0.014686,0.018042,0.011922,0.012209,68,22392
2017-08-18,0.022055,0.022131,0.013115,0.014697,83,33626
2017-08-17,0.014910,0.022277,0.013516,0.022096,14,22734
2017-08-16,0.014538,0.017524,0.013381,0.014924,111,22166
2017-08-15,0.013717,0.014688,0.012244,0.014522,16,20914
2017-08-14,0.014784,0.015035,0.012764,0.013680,5,22542
2017-08-13,0.015553,0.019223,0.013979,0.014775,263,23714
2017-08-12,0.010536,0.015595,0.010119,0.015567,42,16065
2017-08-11,0.018142,0.018333,0.010240,0.010545,80,27661
2017-08-10,0.011880,0.019474,0.011794,0.018143,203,18113
2017-08-09,0.013223,0.023153,0.011738,0.011879,3845,20160
2017-08-08,0.012411,0.015683,0.011805,0.013232,6,18922
2017-08-07,0.021205,0.021324,0.012081,0.012402,31,32332
2017-08-06,0.014446,0.023395,0.014427,0.021253,55,22025
