Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002733,0.002835,0.001796,0.001810,10,-
2017-11-23,0.002237,0.002780,0.001782,0.002736,41,-
2017-11-22,0.002290,0.002699,0.002208,0.002237,44,-
2017-11-21,0.002555,0.002595,0.002252,0.002285,70,-
2017-11-20,0.002493,0.002568,0.002464,0.002554,20,-
2017-11-19,0.003441,0.003458,0.002417,0.002495,45,-
2017-11-18,0.002690,0.004240,0.002358,0.003447,175,-
2017-11-17,0.002824,0.002891,0.002664,0.002701,305,-
2017-11-16,0.002441,0.003749,0.002402,0.002829,75,-
2017-11-15,0.002645,0.004791,0.002409,0.002429,342,-
2017-11-14,0.003135,0.005094,0.002581,0.002643,576,-
2017-11-13,0.002944,0.004281,0.002652,0.003128,406,-
2017-11-12,0.001399,0.008273,0.001218,0.002940,6368,-
2017-11-11,0.001879,0.001947,0.001371,0.001400,13,-
2017-11-10,0.003217,0.003310,0.001844,0.001886,38,-
2017-11-09,0.002200,0.003337,0.002068,0.003208,97,-
2017-11-08,0.002348,0.002454,0.002136,0.002202,249,-
2017-11-07,0.003251,0.003284,0.002297,0.002356,90,-
2017-11-06,0.003412,0.003476,0.002146,0.003256,388,-
2017-11-05,0.001218,0.010153,0.001086,0.003405,1406,-
2017-11-04,0.001362,0.001399,0.001025,0.001220,16,-
2017-11-03,0.001405,0.001491,0.001351,0.001365,2,-
2017-11-02,0.001186,0.001418,0.001118,0.001406,8,-
2017-11-01,0.001632,0.001685,0.001046,0.001185,136,-
2017-10-31,0.001325,0.001927,0.001325,0.001609,58,-
2017-10-30,0.001776,0.002732,0.001323,0.001333,132,-
2017-10-29,0.003780,0.004793,0.001776,0.001787,194,-
2017-10-28,0.003385,0.004213,0.002866,0.003786,17,-
2017-10-27,0.003227,0.003432,0.002936,0.003376,67,-
2017-10-26,0.003485,0.004296,0.003163,0.003226,128,-
2017-10-25,0.003376,0.003491,0.003293,0.003485,74,-
2017-10-24,0.005762,0.005762,0.003355,0.003375,154,-
2017-10-23,0.004905,0.013981,0.002957,0.005775,3249,-
2017-10-22,0.004134,0.009800,0.003467,0.004913,881,-
2017-10-21,0.003509,0.004591,0.003485,0.004133,80,-
2017-10-20,0.003915,0.003928,0.003475,0.003517,89,-
2017-10-19,0.004406,0.004468,0.003860,0.003914,36,-
2017-10-18,0.003921,0.004425,0.003631,0.004404,40,-
2017-10-17,0.004317,0.010008,0.003818,0.003921,497,-
2017-10-16,0.004001,0.004667,0.003845,0.004316,66,-
2017-10-15,0.005672,0.005690,0.003846,0.004000,12,-
2017-10-14,0.007494,0.007983,0.004195,0.005662,152,-
2017-10-13,0.010666,0.011493,0.004702,0.007492,233,-
2017-10-12,0.005314,0.017393,0.003558,0.010633,1920,-
2017-10-11,0.002734,0.011269,0.002414,0.005310,654,-
2017-10-10,0.006439,0.006539,0.002376,0.002735,249,-
2017-10-09,0.005707,0.008962,0.004698,0.006440,188,-
2017-10-08,0.007501,0.007536,0.005701,0.005706,267,-
2017-10-07,0.008615,0.010969,0.007219,0.007521,224,-
2017-10-06,0.008039,0.013566,0.005345,0.008612,1663,-
2017-10-05,0.008021,0.008915,0.007883,0.008039,345,-
2017-10-04,0.009410,0.010146,0.008012,0.008013,337,-
2017-10-03,0.008386,0.009487,0.008068,0.009388,191,-
2017-10-02,0.008892,0.010110,0.008257,0.008385,374,-
2017-10-01,0.008104,0.011612,0.008033,0.008895,230,-
2017-09-30,0.010576,0.012431,0.007672,0.008099,170,-
2017-09-29,0.012271,0.012411,0.010527,0.010575,631,-
2017-09-28,0.012228,0.013301,0.012114,0.012281,654,-
2017-09-27,0.011669,0.012277,0.006928,0.012227,1039,-
2017-09-26,0.010181,0.011797,0.009051,0.011702,312,-
2017-09-25,0.010956,0.013266,0.010158,0.010182,987,-
2017-09-24,0.010694,0.012431,0.010602,0.010967,472,-
2017-09-23,0.009380,0.014859,0.009290,0.010695,1139,-
2017-09-22,0.008488,0.009457,0.008240,0.009407,246,-
2017-09-21,0.008380,0.010765,0.008236,0.008498,230,-
2017-09-20,0.013162,0.014305,0.008178,0.008421,10,-
2017-09-19,0.015160,0.015241,0.008409,0.013180,654,-
2017-09-18,0.005537,0.039335,0.005537,0.015123,6762,-
2017-09-17,0.004374,0.010729,0.004265,0.005548,1296,-
2017-09-16,0.002950,0.009444,0.002946,0.004377,1258,-
2017-09-15,0.001330,0.002982,0.001226,0.002957,163,-
2017-09-14,0.001241,0.001385,0.001015,0.001320,3,-
2017-09-13,0.001204,0.001465,0.001101,0.001241,1,-
2017-09-12,0.001288,0.001411,0.001190,0.001209,13,-
2017-09-11,0.002313,0.002357,0.001031,0.001286,141,-
2017-09-10,0.001788,0.003014,0.001708,0.002317,17,-
2017-09-09,0.002121,0.002160,0.001736,0.001793,13,-
2017-09-08,0.002274,0.002285,0.002031,0.002117,0,-
2017-09-07,0.001939,0.001939,0.001890,0.001895,14,-
2017-09-06,0.001901,0.002061,0.001900,0.001942,14,-
2017-09-05,0.003544,0.003544,0.001727,0.001898,2,-
2017-09-04,0.002263,0.003651,0.002107,0.003525,26,-
2017-09-03,0.004460,0.004674,0.002218,0.002263,14,-
2017-09-02,0.003263,0.004749,0.003040,0.004457,585,-
2017-09-01,0.002010,0.003260,0.001970,0.003259,5,-
2017-08-31,0.002977,0.003379,0.002003,0.002009,14,-
2017-08-30,0.001838,0.003002,0.001831,0.002982,18,-
2017-08-29,0.002765,0.002776,0.001836,0.001840,60,-
2017-08-28,0.002536,0.002770,0.002536,0.002760,2,-
2017-08-27,0.001911,0.001937,0.001911,0.001918,26,-
2017-08-26,0.001892,0.001916,0.001879,0.001912,26,-
2017-08-25,0.001899,0.001923,0.001247,0.001259,0,-
2017-08-24,0.003397,0.003456,0.001831,0.001902,48,-
2017-08-23,0.003391,0.003572,0.003347,0.003396,8,-
2017-08-22,0.002080,0.003398,0.001884,0.003398,4,-
2017-08-21,0.002434,0.002453,0.002071,0.002076,36,-
2017-08-20,0.002487,0.002492,0.002430,0.002443,13,-
2017-08-19,0.005711,0.005816,0.002380,0.002499,5,-
2017-08-18,0.003011,0.005728,0.002830,0.005716,57,-
2017-08-17,0.003336,0.003407,0.003223,0.003283,69,-
2017-08-16,0.008307,0.008395,0.003233,0.003339,71,-
2017-08-15,0.003550,0.008393,0.003550,0.008298,66,-
2017-08-14,0.016598,0.016768,0.003388,0.003540,306,-
2017-08-13,0.009996,0.020921,0.009996,0.016588,42,-
2017-08-12,0.024654,0.024820,0.009471,0.010006,50,-
2017-08-11,0.013612,0.029900,0.008752,0.024673,792,-
2017-08-10,0.006988,0.016338,0.005962,0.013613,1421,-
2017-08-09,0.003952,0.007272,0.003897,0.006987,272,-
2017-08-07,0.003738,0.003798,0.003705,0.003798,3,-
2017-08-06,0.003255,0.003809,0.001607,0.003746,565,-
2017-08-05,0.003243,0.003259,0.003188,0.003254,13,-
2017-08-04,0.001106,0.001149,0.001098,0.001137,11,-
2017-08-03,0.001114,0.004816,0.000871,0.001106,12,-
2017-08-02,0.001092,0.001120,0.001078,0.001112,11,-
2017-08-01,0.001431,0.001455,0.001063,0.001092,35,-
2017-07-31,0.001370,0.002934,0.001351,0.001430,26,-
2017-07-30,0.001365,0.001370,0.001356,0.001369,49,-
2017-07-29,0.004923,0.004936,0.004725,0.004833,0,-
2017-07-28,0.004869,0.004962,0.004835,0.004942,0,-
2017-07-26,0.004506,0.004586,0.004297,0.004367,0,-
2017-07-25,0.004137,0.004507,0.002826,0.004504,0,-
2017-07-24,0.004140,0.004144,0.004124,0.004138,74,-
2017-07-23,0.001613,0.002852,0.001595,0.002759,3,-
2017-07-22,0.003231,0.003262,0.001587,0.001613,3,-
2017-07-21,0.000991,0.000994,0.000916,0.000922,0,-
2017-07-20,0.000960,0.001015,0.000955,0.000984,0,-
2017-07-19,0.001382,0.001435,0.001351,0.001404,23,-
2017-07-18,0.001408,0.001429,0.001363,0.001379,23,-
2017-07-16,0.003732,0.003784,0.003696,0.003766,0,-
2017-07-15,0.000732,0.004088,0.000719,0.003743,0,-
2017-07-14,0.000772,0.000774,0.000712,0.000733,1,-
2017-07-13,0.000787,0.000789,0.000785,0.000787,0,-
2017-07-12,0.001396,0.001398,0.000773,0.000787,0,-
2017-07-11,0.001100,0.001413,0.001060,0.001403,15,-
2017-07-10,0.005609,0.005619,0.001072,0.001102,19,-
2017-07-09,0.005507,0.005870,0.005454,0.005598,29,-
2017-07-08,0.005019,0.005847,0.001342,0.005502,1,-
2017-07-07,0.001396,0.005068,0.001382,0.005015,15,-
2017-07-06,0.001378,0.001379,0.001367,0.001368,8,-
2017-07-05,0.002582,0.005067,0.001361,0.001377,8,-
2017-07-04,0.004787,0.007459,0.002539,0.002584,329,-
2017-07-03,0.005241,0.005258,0.001772,0.004798,6,-
2017-07-02,0.005437,0.005444,0.004326,0.005261,3,-
2017-07-01,0.023782,0.123469,0.003290,0.005438,921,-
2017-06-30,0.002623,0.024058,0.002623,0.023791,352,-
2017-06-26,0.002417,0.002456,0.002352,0.002382,1,-
2017-06-25,0.002460,0.002525,0.002350,0.002419,12,-
2016-01-05,0.000139,0.000169,0.000137,0.000147,2,2995
2016-01-04,0.000138,0.000161,0.000137,0.000139,6,2973
2016-01-03,0.000139,0.000142,0.000136,0.000138,2,2997
2016-01-02,0.000135,0.000161,0.000134,0.000160,2,2909
2016-01-01,0.000159,0.000161,0.000133,0.000135,1,3442
2015-12-31,0.000128,0.000160,0.000127,0.000159,0,2765
2015-12-30,0.000139,0.000278,0.000128,0.000128,52,2994
2015-12-29,0.000139,0.000168,0.000135,0.000138,5,3011
2015-12-28,0.000135,0.000167,0.000135,0.000139,0,2924
2015-12-27,0.000134,0.000164,0.000132,0.000135,0,2885
2015-12-26,0.000146,0.000146,0.000130,0.000134,1,3151
2015-12-25,0.000146,0.000183,0.000145,0.000146,1,3146
2015-12-24,0.000155,0.000159,0.000145,0.000146,8,3346
2015-12-23,0.000175,0.000178,0.000140,0.000177,14,3773
2015-12-22,0.000140,0.000184,0.000139,0.000175,19,3033
2015-12-21,0.000146,0.000199,0.000140,0.000140,15,3157
2015-12-20,0.000153,0.000170,0.000143,0.000146,3,3297
2015-12-19,0.000139,0.000162,0.000139,0.000153,0,3005
2015-12-18,0.000178,0.000228,0.000138,0.000139,2,3843
2015-12-17,0.000237,0.000246,0.000096,0.000178,107,5112
2015-12-16,0.000247,0.000247,0.000231,0.000236,6,5329
2015-12-15,0.000240,0.000246,0.000234,0.000246,32,5183
2015-12-14,0.000230,0.000240,0.000227,0.000240,5,4967
2015-12-13,0.000231,0.000243,0.000226,0.000230,5,4982
