Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.027696,0.029076,0.026659,0.029040,49,45069
2017-11-23,0.035013,0.035183,0.027203,0.027734,306,56975
2017-11-22,0.026533,0.035194,0.026421,0.035024,116,43176
2017-11-21,0.026950,0.027370,0.025494,0.026469,119,43854
2017-11-20,0.027089,0.028333,0.025986,0.026944,538,44081
2017-11-19,0.026321,0.027336,0.026015,0.027102,43,42831
2017-11-18,0.026158,0.031132,0.025364,0.026370,170,42566
2017-11-17,0.027064,0.028221,0.025425,0.026257,440,44040
2017-11-16,0.025909,0.027609,0.024985,0.027109,146,42160
2017-11-15,0.022942,0.028553,0.022942,0.025774,104,37333
2017-11-14,0.026450,0.028962,0.021951,0.022927,148,43041
2017-11-13,0.031004,0.034114,0.022610,0.026394,33,50452
2017-11-12,0.028625,0.037561,0.022578,0.030937,220,46581
2017-11-11,0.021763,0.028952,0.020627,0.028646,0,35414
2017-11-10,0.023596,0.025304,0.021840,0.021840,11,38398
2017-11-09,0.026208,0.026208,0.023156,0.023527,35,42647
2017-11-08,0.022772,0.026236,0.022636,0.026235,62,37055
2017-11-07,0.016090,0.022909,0.016090,0.022843,2,26183
2017-11-06,0.015089,0.018593,0.014799,0.016115,16,24554
2017-11-05,0.022236,0.022894,0.014890,0.015056,29,36184
2017-11-04,0.022149,0.023026,0.021980,0.022278,18,36042
2017-11-03,0.021901,0.023246,0.016892,0.017100,0,35638
2017-11-02,0.020944,0.022812,0.020944,0.021929,54,34082
2017-11-01,0.019931,0.020960,0.019681,0.020921,51,32432
2017-10-31,0.026361,0.027871,0.019771,0.019945,138,42897
2017-10-30,0.023175,0.026807,0.022539,0.026446,1,37712
2017-10-29,0.020391,0.029058,0.020337,0.023310,16,33182
2017-10-28,0.022074,0.022484,0.020197,0.020419,201,35920
2017-10-27,0.022095,0.022134,0.021828,0.022014,1,35955
2017-10-26,0.022536,0.023519,0.022389,0.023065,129,36672
2017-10-25,0.022570,0.022752,0.021198,0.022539,127,36727
2017-10-24,0.023915,0.023915,0.022436,0.022561,1,38916
2017-10-23,0.022378,0.024089,0.022174,0.023968,7,36415
2017-10-22,0.024055,0.024588,0.022325,0.022384,2,39143
2017-10-21,0.025762,0.026815,0.024047,0.024047,96,41922
2017-10-20,0.028500,0.035687,0.023690,0.025816,218,46378
2017-10-19,0.029121,0.033108,0.024828,0.028493,44,47387
2017-10-18,0.032715,0.033460,0.029013,0.029115,118,53236
2017-10-17,0.046175,0.046307,0.020407,0.032714,485,75138
2017-10-16,0.038691,0.046408,0.038691,0.046167,5,62961
2017-10-15,0.044852,0.047607,0.033902,0.038686,144,72986
2017-10-14,0.040062,0.044838,0.026612,0.044772,153,65192
2017-10-13,0.048022,0.056981,0.028316,0.040050,538,78145
2017-10-12,0.051785,0.057441,0.047225,0.047869,35,84269
2017-10-11,0.038670,0.052149,0.037409,0.051742,162,62926
2017-10-10,0.054658,0.055507,0.038394,0.038677,58,88943
2017-10-09,0.043680,0.055617,0.042214,0.054662,135,71080
2017-10-08,0.037593,0.052924,0.037465,0.043669,165,61174
2017-10-07,0.051917,0.052104,0.037287,0.037694,399,84483
2017-10-06,0.043237,0.052963,0.036699,0.036991,619,70357
2017-10-05,0.035882,0.043664,0.035279,0.043237,311,58389
2017-10-04,0.036156,0.043461,0.035843,0.035850,28,58835
2017-10-03,0.043940,0.044189,0.033513,0.036072,127,71502
2017-10-02,0.041964,0.044395,0.034570,0.043939,57,68286
2017-10-01,0.038973,0.043045,0.038454,0.041982,197,63419
2017-09-30,0.031707,0.039025,0.031677,0.038952,3,51596
2017-09-29,0.033213,0.033510,0.031559,0.031703,15,54047
2017-09-28,0.032103,0.033349,0.031746,0.033239,0,52240
2017-09-27,0.029553,0.037544,0.029553,0.032102,87,48091
2017-09-26,0.030641,0.035790,0.025754,0.029636,38,49861
2017-09-25,0.026132,0.030926,0.021267,0.030644,304,42523
2017-09-24,0.035953,0.035953,0.034532,0.034875,4,58505
2017-09-23,0.025503,0.035957,0.025259,0.035956,4,41501
2017-09-22,0.031248,0.035766,0.024998,0.025576,191,50849
2017-09-21,0.038018,0.038274,0.030958,0.031284,16,61866
2017-09-20,0.038901,0.039563,0.033664,0.038206,77,63302
2017-09-19,0.032825,0.040880,0.030924,0.038953,163,50493
2017-09-18,0.037358,0.040049,0.031258,0.032745,182,57466
2017-09-17,0.037627,0.038412,0.035269,0.037432,4,57880
2017-09-16,0.036972,0.047214,0.033704,0.037652,284,56873
2017-09-15,0.039369,0.042098,0.030370,0.037069,55,60559
2017-09-14,0.037220,0.044476,0.036266,0.039064,148,57254
2017-09-13,0.041400,0.041550,0.036944,0.037222,201,63683
2017-09-12,0.040493,0.043506,0.040493,0.041558,11,62288
2017-09-11,0.040802,0.042010,0.039710,0.040454,72,62764
2017-09-10,0.046345,0.046345,0.039776,0.040871,63,71290
2017-09-09,0.044741,0.048800,0.043370,0.046464,0,68823
2017-09-08,0.055559,0.055859,0.042747,0.044635,24,85464
2017-09-07,0.046157,0.056163,0.044999,0.055548,149,71001
2017-09-06,0.043423,0.046613,0.042503,0.046246,31,66795
2017-09-05,0.041311,0.043140,0.038915,0.043130,0,63547
2017-09-04,0.044573,0.044606,0.039751,0.041121,25,68565
2017-09-03,0.045635,0.046823,0.043154,0.044558,81,70197
2017-09-02,0.048109,0.049818,0.041605,0.045609,16,74003
2017-09-01,0.044040,0.048048,0.042778,0.048048,1328,67745
2017-08-31,0.041261,0.044101,0.041254,0.044039,167,63470
2017-08-30,0.041622,0.044184,0.040523,0.041333,847,64025
2017-08-29,0.041387,0.043599,0.040841,0.041678,39,63663
2017-08-28,0.043433,0.043433,0.040869,0.041316,194,66810
2017-08-27,0.043354,0.043908,0.043199,0.043478,20,66690
2017-08-26,0.041072,0.043456,0.040322,0.043364,10,63179
2017-08-25,0.040945,0.043670,0.038527,0.040999,14,62983
2017-08-24,0.039138,0.046638,0.038825,0.041010,97,60205
2017-08-23,0.038736,0.052609,0.038604,0.039120,96,59586
2017-08-22,0.036464,0.060894,0.034928,0.038815,303,56091
2017-08-21,0.038637,0.046722,0.036325,0.036374,4,59434
2017-08-20,0.066627,0.066627,0.036846,0.038785,71,102488
2017-08-19,0.044642,0.066752,0.036091,0.066574,1376,68670
2017-08-18,0.050034,0.050307,0.041061,0.044670,190,76965
2017-08-17,0.044879,0.053323,0.044564,0.050184,6,69036
2017-08-16,0.042253,0.045761,0.041051,0.044859,0,64996
2017-08-15,0.044136,0.045157,0.039293,0.042207,57,67892
2017-08-14,0.041351,0.061463,0.041327,0.044017,31,63608
2017-08-13,0.039722,0.043001,0.039722,0.041325,485,61102
2017-08-12,0.042636,0.042924,0.037399,0.039759,93,65585
2017-08-11,0.040174,0.043876,0.036126,0.042669,167,61797
2017-08-10,0.036447,0.040567,0.036183,0.040176,40,56065
2017-08-09,0.038085,0.049798,0.033090,0.036444,397,58584
2017-08-08,0.047111,0.047891,0.037317,0.038110,2,72469
2017-08-07,0.036645,0.058397,0.036326,0.047063,297,56370
2017-08-06,0.037414,0.037848,0.035898,0.036727,45,57552
2017-08-05,0.050644,0.056442,0.033969,0.037405,85,77903
2017-08-04,0.034635,0.051001,0.011762,0.050669,129,53277
2017-08-03,0.035157,0.058955,0.028349,0.034647,78,54081
2017-08-02,0.046399,0.066750,0.034155,0.035095,39,71373
2017-08-01,0.040330,0.047232,0.038661,0.046407,2,62038
2017-07-31,0.044534,0.066530,0.031968,0.040310,1034,68505
2017-07-30,0.066510,0.066642,0.043941,0.044489,9,102310
2017-07-29,0.061552,0.066520,0.048204,0.066520,271,94682
2017-07-28,0.051491,0.068753,0.051491,0.061786,385,79206
2017-07-27,0.047795,0.051829,0.037330,0.051335,223,73520
2017-07-26,0.036586,0.047971,0.036553,0.047659,323,56279
2017-07-25,0.035800,0.049197,0.033391,0.036570,449,55070
2017-07-24,0.043321,0.044448,0.035411,0.035804,441,66638
2017-07-23,0.043674,0.044324,0.034145,0.043371,67,67182
2017-07-22,0.041930,0.045136,0.034976,0.043674,79,64498
2017-07-21,0.046783,0.046938,0.035601,0.041938,45,71965
2017-07-20,0.039263,0.047730,0.029000,0.046439,104,60397
2017-07-19,0.036889,0.039691,0.028383,0.039382,204,56745
2017-07-18,0.035966,0.038225,0.027263,0.036831,287,55325
2017-07-17,0.037266,0.038040,0.020862,0.035874,530,57325
2017-07-16,0.048636,0.054050,0.019714,0.037308,932,74815
2017-07-15,0.051738,0.061940,0.044430,0.048783,690,79586
2017-07-14,0.051502,0.063512,0.047571,0.051827,2376,79224
2017-07-13,0.050105,0.053909,0.044557,0.051540,683,77074
2017-07-12,0.036669,0.050806,0.035725,0.050070,547,53900
2017-07-11,0.030705,0.036852,0.025899,0.036852,486,42750
2017-07-10,0.029334,0.038202,0.026460,0.030771,314,44847
2017-07-09,0.028272,0.031655,0.025136,0.029277,1078,43223
2017-07-08,0.022515,0.028254,0.022265,0.028247,267,34421
2017-07-07,0.020632,0.022663,0.019849,0.022496,110,30102
2017-07-06,0.020798,0.022675,0.020061,0.020617,76,27950
2017-07-05,0.017017,0.020916,0.016559,0.020788,27,22869
2017-07-04,0.017172,0.020624,0.016701,0.017026,212,23078
2017-07-03,0.016206,0.017410,0.016057,0.017211,67,21780
2017-07-02,0.015646,0.016441,0.015435,0.016266,121,21026
2017-07-01,0.016133,0.016311,0.015607,0.015648,19,21681
2017-06-30,0.017479,0.017780,0.016075,0.016139,28,23490
2017-06-29,0.017868,0.018144,0.016952,0.017448,45,24012
2017-06-28,0.017675,0.018238,0.016334,0.017884,163,23753
2017-06-27,0.017048,0.017560,0.015150,0.017560,77,22910
2017-06-26,0.016368,0.017728,0.015537,0.016654,61,21997
2017-06-25,0.017265,0.017350,0.015249,0.016377,56,23203
2017-06-24,0.021065,0.021241,0.015713,0.016019,68,28310
2017-06-23,0.016612,0.023046,0.016612,0.021068,46,22325
2017-06-22,0.022482,0.022482,0.016612,0.016612,206,30213
2017-06-21,0.016337,0.022482,0.016337,0.022482,262,21955
2017-06-20,0.014523,0.018440,0.014522,0.016337,94,19517
2017-06-19,0.015238,0.015238,0.014488,0.014523,20,20478
2017-06-18,0.014888,0.017111,0.014139,0.015238,69,20008
2017-06-17,0.016937,0.016937,0.014039,0.014888,26,22761
2017-06-16,0.015762,0.017761,0.014838,0.016937,14,21182
2017-06-15,0.017816,0.017931,0.013366,0.015774,139,23943
2017-06-14,0.019078,0.024324,0.012614,0.017817,732,25638
2017-06-13,0.017318,0.019506,0.016487,0.019089,75,23273
2017-06-12,0.019334,0.329154,0.015689,0.017371,104,25983
2017-06-11,0.034771,0.034904,0.016734,0.019360,143,46729
2017-06-10,0.019454,0.034750,0.019454,0.034701,3,26144
2017-06-09,0.019525,0.019856,0.017742,0.019424,84,26240
2017-06-08,0.019023,0.019634,0.017075,0.019556,157,25565
2017-06-07,0.017830,0.020014,0.017434,0.018928,93,23962
2017-06-06,0.015095,0.021183,0.015095,0.017826,19,20287
2017-06-05,0.014522,0.025722,0.013488,0.015050,288,19516
2017-06-04,0.014961,0.022687,0.013458,0.014519,140,20106
2017-06-03,0.013389,0.019364,0.013043,0.015002,65,17994
2017-06-02,0.012670,0.019343,0.012514,0.013395,55,17027
2017-06-01,0.018273,0.018415,0.012213,0.012665,43,24557
2017-05-31,0.012922,0.018471,0.012763,0.018257,32,17366
2017-05-30,0.011959,0.012886,0.011320,0.012871,18,16071
2017-05-29,0.010182,0.012177,0.009901,0.011945,77,13684
2017-05-28,0.018292,0.020438,0.009817,0.010203,0,24583
2017-05-27,0.019686,0.020276,0.006121,0.018184,232,26456
2017-05-26,0.020303,0.022529,0.018068,0.019621,237,27285
2017-05-25,0.021355,0.027457,0.019916,0.020453,120,28699
2017-05-24,0.023522,0.025030,0.021037,0.021395,31,31611
2017-05-23,0.022382,0.023561,0.021947,0.023493,12,30080
2017-05-22,0.020599,0.023540,0.017036,0.022415,101,27683
2017-05-21,0.020573,0.020573,0.020530,0.020530,2,27648
2017-05-19,0.021798,0.022156,0.021798,0.022028,1,29295
2017-05-18,0.021365,0.021824,0.020931,0.021786,1,28712
2017-05-17,0.017328,0.021685,0.017141,0.021376,6,23287
2017-05-16,0.016073,0.020627,0.015670,0.017333,26,21600
2017-05-15,0.016118,0.017477,0.015286,0.016096,4,21661
2017-05-14,0.018273,0.018484,0.015919,0.016109,11,24557
2017-05-13,0.017108,0.018252,0.015078,0.018215,6,22991
2017-05-12,0.018856,0.018895,0.016746,0.017143,21,25341
2017-05-11,0.019919,0.020822,0.018014,0.018838,5,26769
2017-05-10,0.019363,0.022210,0.018974,0.019883,26,26021
2017-05-09,0.018101,0.020059,0.016739,0.019352,161,24326
2017-05-08,0.023942,0.024127,0.016586,0.018095,120,32176
2017-05-07,0.019775,0.023939,0.016276,0.023939,142,26576
2017-05-06,0.023881,0.025162,0.015994,0.019767,128,32094
2017-05-05,0.021495,0.024756,0.019108,0.023856,80,28887
2017-05-04,0.018559,0.024472,0.017968,0.021451,259,24942
2017-05-03,0.022243,0.026097,0.018552,0.018552,766,29892
2017-05-02,0.017365,0.022551,0.017300,0.022228,0,23337
2017-05-01,0.013523,0.026280,0.013523,0.017372,26,18174
2017-04-30,0.016854,0.017041,0.013510,0.013519,326,22650
2017-04-29,0.019807,0.025081,0.016812,0.016853,81,26619
2017-04-28,0.016801,0.019792,0.016542,0.019787,1,22579
2017-04-27,0.023112,0.023196,0.016798,0.016801,22,31060
2017-04-26,0.027801,0.027891,0.016742,0.023098,111,37362
2017-04-25,0.016493,0.027831,0.015834,0.027790,129,22165
2017-04-24,0.016935,0.023040,0.015463,0.016490,10,22759
2017-04-23,0.024195,0.025689,0.016855,0.016901,129,32515
2017-04-22,0.018377,0.024387,0.018377,0.024191,40,24594
2017-04-21,0.027023,0.027126,0.017021,0.018367,436,36157
2017-04-20,0.022090,0.027142,0.020765,0.027015,298,29552
2017-04-19,0.024388,0.024517,0.021971,0.022076,52,32488
2017-04-18,0.032924,0.033476,0.021686,0.024379,37,43852
2017-04-17,0.033581,0.043525,0.020265,0.032928,935,44537
2017-04-16,0.020098,0.034408,0.020098,0.031466,329,26656
2017-04-15,0.012840,0.028471,0.012815,0.020097,305,17030
2017-04-14,0.012312,0.013795,0.012297,0.012843,11,16329
2017-04-13,0.013379,0.023996,0.011692,0.012301,331,17741
2017-04-12,0.012277,0.013422,0.011995,0.013372,101,16280
2017-04-11,0.011851,0.012377,0.011851,0.012279,9,15712
2017-04-10,0.015423,0.015448,0.011790,0.011848,117,20349
2017-04-09,0.011954,0.016701,0.011945,0.015430,18,15746
2017-04-08,0.014717,0.015402,0.011910,0.011948,20,19284
2017-04-07,0.014136,0.016622,0.014053,0.014770,14,18422
2017-04-06,0.013532,0.016167,0.013532,0.014180,73,17606
2017-04-05,0.013610,0.015923,0.013352,0.013520,54,17690
2017-04-04,0.013781,0.015325,0.013435,0.013599,57,17773
2017-04-03,0.015408,0.015829,0.013319,0.013760,4,19835
2017-04-02,0.011465,0.017336,0.011294,0.015397,39,14680
2017-04-01,0.015540,0.015561,0.011392,0.011464,49,19817
2017-03-31,0.015297,0.017420,0.015169,0.015541,83,19436
2017-03-30,0.015341,0.016628,0.014954,0.015294,62,19394
2017-03-29,0.015482,0.017877,0.015147,0.015308,12,19496
2017-03-28,0.015188,0.015672,0.015050,0.015498,13,19014
2017-03-27,0.016486,0.019082,0.014839,0.015206,272,20525
2017-03-26,0.017289,0.017534,0.013936,0.016396,49,21448
2017-03-25,0.021147,0.021519,0.015284,0.017267,3076,26141
