Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.523432,0.590746,0.501600,0.561355,22444,2557790
2017-11-23,0.553627,0.610951,0.501936,0.524141,24549,2705330
2017-11-22,0.588635,0.639787,0.490746,0.554644,57979,2876400
2017-11-21,0.647154,0.656222,0.554522,0.587208,27184,3162360
2017-11-20,0.534388,0.691553,0.501680,0.647035,38622,2611320
2017-11-19,0.483545,0.555502,0.482383,0.534638,23940,2362880
2017-11-18,0.524985,0.534777,0.436703,0.476474,10419,2565380
2017-11-17,0.652536,0.690603,0.487129,0.527006,25697,3188660
2017-11-16,0.556865,0.727529,0.542065,0.653607,31124,2721160
2017-11-15,0.368609,0.661284,0.367567,0.553963,65222,1801230
2017-11-14,0.319360,0.433926,0.308828,0.368357,33460,1560570
2017-11-13,0.293201,0.381943,0.293201,0.318687,12906,1432750
2017-11-12,0.349968,0.349968,0.282049,0.295051,12700,1710140
2017-11-11,0.350406,0.412493,0.327841,0.350224,38244,1712280
2017-11-10,0.435788,0.480426,0.337325,0.351657,15832,2129510
2017-11-09,0.450983,0.503133,0.413572,0.437018,37302,2203760
2017-11-08,0.410323,0.500550,0.356421,0.451448,28960,2005070
2017-11-07,0.443973,0.489758,0.401178,0.411616,16090,2169510
2017-11-06,0.385255,0.472075,0.381545,0.444686,17077,1882570
2017-11-05,0.376314,0.436379,0.345047,0.384401,18183,1838880
2017-11-04,0.451555,0.451555,0.350710,0.373623,11677,2206550
2017-11-03,0.370634,0.492300,0.343727,0.406878,20156,1811130
2017-11-02,0.409491,0.411751,0.333728,0.380476,17164,2001000
2017-11-01,0.441251,0.441251,0.374899,0.409035,11097,2156200
2017-10-31,0.399183,0.498839,0.396327,0.442011,15777,1950640
2017-10-30,0.353916,0.402298,0.348395,0.393024,10641,1729430
2017-10-29,0.338196,0.405055,0.331902,0.355988,27304,1652620
2017-10-28,0.342222,0.374505,0.324150,0.338682,15708,1672290
2017-10-27,0.409224,0.410743,0.339064,0.341659,35925,1999700
2017-10-26,0.388507,0.431296,0.386106,0.409130,19785,1898470
2017-10-25,0.418059,0.469195,0.377511,0.388553,25279,2042870
2017-10-24,0.413093,0.564330,0.389237,0.422678,24965,2018610
2017-10-23,0.570260,0.587920,0.292381,0.414564,48043,2786610
2017-10-22,0.611867,0.611867,0.513466,0.571180,12483,2989930
2017-10-21,0.677571,0.815709,0.573656,0.614028,20538,3311000
2017-10-20,0.471211,0.700436,0.461374,0.700436,30490,2302610
2017-10-19,0.483921,0.502063,0.465883,0.472118,15053,2364710
2017-10-18,0.498245,0.535933,0.442659,0.483671,19478,2434700
2017-10-17,0.563810,0.592844,0.495238,0.498199,14359,2755090
2017-10-16,0.555732,0.570413,0.524131,0.565420,16706,2715620
2017-10-15,0.525019,0.713230,0.483167,0.555657,22849,2565540
2017-10-14,0.720005,0.889106,0.527222,0.527222,32392,3518350
2017-10-13,0.849965,0.959531,0.621194,0.719824,51364,4153410
2017-10-12,0.895242,0.995770,0.687741,0.842184,45841,4374660
2017-10-11,0.742899,0.905686,0.740304,0.894485,41300,3630220
2017-10-10,0.590955,0.869348,0.589842,0.743024,57043,2887740
2017-10-09,0.648207,0.794738,0.572840,0.590838,50680,3167510
2017-10-08,0.866455,0.883758,0.612700,0.648043,87133,4233990
2017-10-07,0.840698,0.996627,0.794967,0.868777,64584,4108130
2017-10-06,0.875297,1.07,0.837452,0.840252,107837,4277200
2017-10-05,0.907523,1.08,0.770525,0.818471,137598,4434670
2017-10-04,1.03,1.27,0.738537,0.906704,343985,5020920
2017-10-03,1.05,1.14,0.789746,0.949660,296175,5148650
2017-10-02,0.602168,1.10,0.547833,1.05,649239,2942530
2017-10-01,0.546783,0.865129,0.483189,0.660285,100579,-
