Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.758990,0.792793,0.454479,0.647936,12,423517
2017-11-23,0.459497,0.772807,0.369714,0.760029,1781,256399
2017-11-22,0.438364,0.909165,0.437051,0.459644,2542,244607
2017-11-21,0.411484,1.81,0.409507,0.437302,1826,229608
2017-11-19,0.234620,0.235845,0.233287,0.233815,4,130918
2017-11-18,0.267237,0.272785,0.224515,0.235055,4,149118
2017-11-17,0.241645,0.461559,0.238534,0.268266,185,134838
2017-11-16,0.285375,0.309850,0.225076,0.242042,87,159240
2017-11-15,0.299572,0.304654,0.194394,0.283888,81,167161
2017-11-14,0.522273,0.537477,0.297122,0.299367,1,291428
2017-11-13,0.170958,0.524182,0.169626,0.521169,1,95395
2017-11-12,0.184856,0.187013,0.160904,0.170709,21,103150
2017-11-11,0.327401,0.339112,0.184992,0.184992,195,182690
2017-11-10,0.193952,0.328570,0.184396,0.328570,3466,108225
2017-11-09,0.194681,0.274145,0.190037,0.193378,65,108632
2017-11-08,0.244765,0.249845,0.186730,0.194882,437,136579
2017-11-07,0.149225,0.270725,0.149225,0.245536,177,83268
2017-11-06,0.163896,0.164403,0.046743,0.149465,64,91454
2017-11-05,0.294851,0.296098,0.161726,0.163533,38,164527
2017-11-04,0.265534,0.301758,0.259446,0.295410,26,148168
2017-11-03,0.285229,0.285821,0.187776,0.266227,61,159158
2017-11-02,0.249228,0.459683,0.249228,0.285602,62,139069
2017-11-01,0.052025,0.278470,0.051619,0.248950,71,29030
2017-10-31,0.040170,0.190024,0.039924,0.052063,391,22415
2017-10-30,0.303888,0.306880,0.259152,0.259993,37,169569
2017-10-29,0.286682,0.312059,0.117447,0.305663,1683,159969
2017-10-28,0.259198,0.289877,0.215581,0.287075,91,144632
2017-10-27,0.260497,0.393564,0.234078,0.258492,42,145358
2017-10-26,0.242909,0.298089,0.241322,0.260437,38,135543
2017-10-25,0.277571,0.284574,0.239304,0.242937,2,154884
2017-10-24,0.237438,0.281835,0.223902,0.277459,54,132491
2017-10-23,0.255942,0.296855,0.232021,0.237962,66,142816
2017-10-22,0.257779,0.336452,0.248842,0.256355,24,143841
2017-10-21,0.507551,0.529575,0.257699,0.257699,819,283213
2017-10-20,0.020080,0.508620,0.019960,0.508620,117,11205
2017-10-19,0.220327,0.223442,0.020074,0.020074,6,122942
2017-10-18,0.355524,0.355534,0.215559,0.220213,114,198382
2017-10-17,0.348907,0.356309,0.335089,0.355499,131,194690
2017-10-16,0.058714,0.365053,0.058626,0.348853,160,32762
2017-10-15,0.351076,0.352210,0.025466,0.058706,41,195900
2017-10-14,0.343620,0.351991,0.340157,0.350449,2,191740
2017-10-13,0.201360,0.351638,0.200073,0.343526,77,112359
2017-10-12,0.190985,0.204882,0.170960,0.200742,32,106570
2017-10-11,0.262827,0.268518,0.188391,0.190824,35,146658
2017-10-10,0.202795,0.272006,0.202795,0.262872,79,113159
2017-10-09,0.253955,0.288275,0.201803,0.202810,200,141707
2017-10-08,0.341969,0.392875,0.253420,0.253891,46,190819
2017-10-07,0.433426,0.449938,0.267316,0.342886,55,241852
2017-10-06,0.234933,0.434499,0.234461,0.433287,2143,131093
2017-10-05,0.251554,0.252899,0.228218,0.234934,9,140367
2017-10-04,0.430258,0.431388,0.220264,0.251327,3,240084
2017-10-03,0.160235,0.432922,0.033009,0.429262,41,89411
2017-10-02,0.279512,0.289528,0.159329,0.160229,486,155968
2017-10-01,0.517648,0.519997,0.262031,0.279635,89,288848
2017-09-30,0.215584,0.519866,0.215453,0.517369,1505,120296
2017-09-29,0.234848,0.236099,0.204483,0.215561,5,131045
2017-09-28,0.211006,0.273909,0.208762,0.235030,217,117741
2017-09-27,0.221842,0.230299,0.197252,0.210998,21,123788
2017-09-26,0.199381,0.233097,0.195926,0.222462,80,111255
2017-09-25,0.183582,0.201238,0.183514,0.199401,31,102439
2017-09-24,0.190145,0.190145,0.182922,0.183768,155,106101
2017-09-23,0.180363,0.210840,0.178632,0.190161,92,100643
2017-09-22,0.296820,0.384280,0.147738,0.180874,1005,165625
2017-09-21,0.252162,0.477348,0.244877,0.297160,5331,140707
2017-09-20,0.348746,0.372423,0.252810,0.253406,249,194600
2017-09-19,0.404130,0.440125,0.327251,0.349212,59,225505
2017-09-18,0.361581,0.407715,0.302245,0.403154,2751,201762
2017-09-17,0.292116,0.372628,0.252558,0.362303,1570,163001
2017-09-16,0.358991,0.365338,0.254310,0.292315,41,200317
2017-09-15,0.292077,0.366100,0.292077,0.359929,59,162979
2017-09-14,0.225866,0.321225,0.204941,0.289818,4036,126033
2017-09-13,0.415144,0.416655,0.225866,0.225878,105,231651
2017-09-12,0.389105,0.525676,0.319781,0.416729,35,217120
2017-09-11,0.434650,0.447515,0.374907,0.388700,409,242535
2017-09-10,0.174577,0.439729,0.174576,0.435389,202,97414
2017-09-09,0.280539,0.346629,0.254361,0.342548,3,156541
2017-09-08,0.539051,0.545671,0.245761,0.279997,103,300790
2017-09-07,0.325679,0.545816,0.323169,0.538943,297,181729
2017-09-06,0.519170,0.530879,0.324060,0.326303,239,289697
2017-09-05,0.360022,0.533069,0.339188,0.518579,156,200892
2017-09-04,0.369612,0.430590,0.231745,0.358164,122,206243
2017-09-03,0.424364,0.501471,0.356313,0.369488,8,236795
2017-09-02,0.568419,0.572590,0.414173,0.424092,89,317178
2017-09-01,0.967029,1.05,0.218503,0.567708,1075,539600
2017-08-31,0.220780,0.991786,0.220742,0.966853,810,123194
2017-08-30,0.438268,0.445946,0.219359,0.221166,281,244552
2017-08-29,0.326989,0.442785,0.325042,0.438853,241,182459
2017-08-28,0.304506,0.327232,0.294420,0.326434,28,169913
2017-08-27,0.369206,0.410663,0.304520,0.304825,44,206016
2017-08-26,0.416894,0.417843,0.341505,0.369289,35,232626
2017-08-25,0.262918,0.425972,0.262572,0.416768,480,146708
2017-08-24,0.322985,0.328607,0.254084,0.263333,7,180225
2017-08-23,0.236246,0.326382,0.156992,0.322845,3,131825
2017-08-22,0.260309,0.276880,0.227684,0.236729,20,145252
