Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.004661,0.006152,0.004494,0.004525,1349,-
2017-11-23,0.007978,0.008159,0.004411,0.004668,6344,-
2017-11-22,0.009007,0.009018,0.006893,0.007981,1387,-
2017-11-21,0.007417,0.009101,0.007055,0.008985,1406,-
2017-11-20,0.009089,0.011725,0.007407,0.007416,5729,-
2017-11-19,0.012693,0.012757,0.007820,0.009093,4681,-
2017-11-18,0.010070,0.013872,0.009561,0.012716,3478,-
2017-11-17,0.009649,0.014972,0.008712,0.010108,6495,-
2017-11-16,0.008033,0.016326,0.006381,0.009665,8365,-
2017-11-15,0.007802,0.010346,0.006832,0.007991,11364,-
2017-11-14,0.010841,0.017458,0.007347,0.007796,7592,-
2017-11-13,0.012681,0.016635,0.009664,0.010818,10489,-
2017-11-12,0.018320,0.018320,0.011960,0.012663,10084,-
2017-11-11,0.019199,0.021467,0.015766,0.018334,10709,-
2017-11-10,0.048954,0.052080,0.018482,0.019267,26815,-
2017-11-09,0.038621,0.048723,0.038308,0.048723,34268,-
2017-11-08,0.036997,0.040685,0.031839,0.038365,66215,-
2017-11-07,0.033341,0.037148,0.031891,0.037067,85592,-
2017-11-06,0.030885,0.056254,0.025911,0.033392,310327,-
2017-11-05,0.084436,0.094877,0.027184,0.030825,1110560,-
2017-11-04,0.329386,0.345931,0.063029,0.084659,2693130,-
2017-11-03,1.34,1.34,0.058180,0.358576,3807870,-
2017-11-02,0.686922,2.19,0.686922,1.38,1748760,-
2017-11-01,2.92,6.48,0.632623,0.926913,1889480,-
