Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001215,0.001343,0.001142,0.001218,3,-
2017-11-23,0.001367,0.001415,0.001232,0.001232,12,-
2017-11-22,0.001336,0.001742,0.001187,0.001386,33,-
2017-11-21,0.001405,0.001418,0.001172,0.001333,22,-
2017-11-20,0.001231,0.001423,0.001229,0.001407,7,-
2017-11-19,0.001253,0.001260,0.001157,0.001234,8,-
2017-11-18,0.001230,0.001450,0.001192,0.001253,7,-
2017-11-17,0.001196,0.001275,0.001187,0.001235,18,-
2017-11-16,0.001134,0.001326,0.001093,0.001200,10,-
2017-11-15,0.001585,0.001656,0.001121,0.001125,32,-
2017-11-14,0.001253,0.001585,0.000896,0.001584,45,-
2017-11-13,0.000934,0.001255,0.000934,0.001251,54,-
2017-11-12,0.001013,0.001018,0.000888,0.000933,1,-
2017-11-11,0.001088,0.001145,0.000897,0.001013,11,-
2017-11-10,0.001038,0.001461,0.001034,0.001094,14,-
2017-11-09,0.001133,0.001368,0.000933,0.001027,58,-
2017-11-08,0.001407,0.001537,0.001091,0.001135,224,-
2017-11-07,0.001319,0.001418,0.001319,0.001411,61,-
2017-11-06,0.001619,0.001624,0.001151,0.001322,29,-
2017-11-05,0.002328,0.002328,0.001064,0.001616,369,-
2017-11-04,0.001576,0.002360,0.001540,0.002278,54,-
2017-11-03,0.002068,0.002238,0.001564,0.001580,418,-
2017-11-02,0.002210,0.002363,0.001810,0.002071,94,-
2017-11-01,0.002126,0.002210,0.001964,0.002207,18,-
2017-10-31,0.001890,0.002152,0.001890,0.002128,12,-
2017-10-30,0.002182,0.002213,0.001857,0.001898,13,-
2017-10-29,0.001776,0.002232,0.001771,0.002224,16,-
2017-10-28,0.001982,0.002019,0.001773,0.001778,32,-
2017-10-27,0.001825,0.002131,0.001807,0.001979,7,-
2017-10-26,0.001927,0.002091,0.001816,0.001825,108,-
2017-10-25,0.001895,0.001950,0.001806,0.001927,26,-
2017-10-24,0.002168,0.002334,0.001862,0.001888,19,-
2017-10-23,0.002093,0.002418,0.001988,0.002185,7,-
2017-10-22,0.002406,0.002427,0.001840,0.002096,117,-
2017-10-21,0.002393,0.002646,0.002348,0.002405,6,-
2017-10-20,0.002281,0.002738,0.002248,0.002398,7,-
2017-10-19,0.002642,0.002734,0.002193,0.002281,11,-
