Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,78.19,80.96,75.80,76.83,100520,8064130
2017-11-23,80.92,112.34,77.78,78.51,212686,8343510
2017-11-22,78.45,83.52,76.33,80.98,204167,8081370
2017-11-21,84.14,85.78,74.99,78.24,260391,8665900
2017-11-20,87.76,94.94,78.14,84.29,480545,9037200
2017-11-19,97.49,107.07,85.40,89.35,1053590,10036800
2017-11-18,74.34,102.84,72.24,100.46,440277,7651100
2017-11-17,80.83,83.98,70.86,74.62,316935,8317150
2017-11-16,78.90,104.67,78.66,80.96,614367,8116180
2017-11-15,100.19,102.11,76.38,82.82,746850,10304300
2017-11-14,97.86,114.50,91.21,100.12,1371910,10061600
2017-11-13,79.16,125.73,73.11,96.58,4444770,8129940
2017-11-12,67.40,112.38,45.36,78.84,4852370,6920600
2017-11-11,46.09,84.28,36.78,65.61,1296640,4730380
2017-11-10,50.73,52.98,42.45,45.56,142680,5205010
2017-11-09,51.18,54.38,48.96,50.58,238409,5249980
2017-11-08,61.26,63.93,46.16,51.16,456073,6283010
2017-11-07,39.01,81.89,37.44,61.83,1772180,3998740
2017-11-06,30.75,43.55,29.56,38.40,169351,3151900
2017-11-05,31.55,32.71,29.49,30.68,27528,3232500
2017-11-04,31.19,32.68,29.54,31.61,26652,3194540
2017-11-03,32.04,34.07,29.18,31.27,54063,3281110
2017-11-02,36.79,36.87,29.31,32.82,46808,3765620
2017-11-01,38.95,39.61,33.14,36.91,56428,3986240
2017-10-31,37.67,40.98,37.23,38.98,32172,3851280
2017-10-30,38.18,38.93,36.22,37.66,19083,3902060
2017-10-29,36.24,40.34,36.23,38.40,49055,3702540
2017-10-28,37.47,38.73,35.95,36.29,11655,3827840
2017-10-27,36.76,38.26,34.72,37.37,34015,3754320
2017-10-26,40.97,43.26,36.23,36.76,52171,4182730
2017-10-25,42.26,43.86,38.54,40.98,23193,4313280
2017-10-24,37.40,43.40,35.95,42.23,57123,3815800
2017-10-23,40.72,41.06,35.71,37.48,32461,4152840
2017-10-22,37.99,52.10,35.61,40.79,123789,3873140
2017-10-21,40.52,42.67,35.45,37.97,41928,4126810
2017-10-20,44.67,48.44,40.52,41.08,103808,4548180
2017-10-19,45.68,49.61,42.24,44.67,38459,4649310
2017-10-18,50.93,50.93,43.17,45.65,37280,5182930
2017-10-17,43.05,63.75,41.51,50.93,487678,4379680
2017-10-16,42.28,44.69,39.57,43.05,58912,4299720
2017-10-15,46.81,46.96,39.92,42.27,28540,4759950
2017-10-14,47.02,49.36,45.33,46.73,24760,4779100
2017-10-13,49.54,54.78,45.06,47.01,94914,5034090
2017-10-12,49.39,50.61,46.97,49.39,52913,5017740
2017-10-11,46.11,49.72,43.67,49.35,39266,4683580
2017-10-10,47.50,48.54,41.04,46.12,85032,4823650
2017-10-09,58.33,58.34,41.22,47.52,182922,5910540
2017-10-08,50.15,74.94,47.86,57.31,367523,5080440
2017-10-07,56.37,56.39,44.86,50.28,140805,5708800
2017-10-06,59.34,60.52,52.90,56.15,49909,6008640
2017-10-05,61.60,62.59,58.53,59.34,16514,6235470
2017-10-04,63.70,65.07,61.13,61.55,25552,6446620
2017-10-03,68.13,69.06,57.85,63.56,32522,6892640
2017-10-02,67.80,69.81,65.61,68.13,14318,6856470
2017-10-01,70.58,71.43,66.00,67.83,38380,7135550
2017-09-30,67.03,76.39,66.75,69.90,107458,6775850
2017-09-29,65.52,71.36,64.14,66.80,63543,6620400
2017-09-28,65.21,69.79,64.00,64.92,80285,6588020
2017-09-27,61.92,66.20,60.87,65.21,67949,6253510
2017-09-26,62.79,64.73,61.47,62.09,25484,6340670
2017-09-25,58.02,67.38,58.00,62.43,83589,5856820
2017-09-24,58.53,60.47,56.80,58.08,23663,5907070
2017-09-23,55.48,59.64,53.98,58.54,22312,5597680
2017-09-22,55.61,60.50,53.34,55.64,52469,5609020
2017-09-21,69.05,71.64,55.25,55.67,79157,6962290
2017-09-20,59.27,76.38,57.05,69.66,239230,5975150
2017-09-19,63.01,63.12,58.37,58.80,41003,6349700
2017-09-18,57.70,64.38,56.82,62.86,54038,5811330
2017-09-17,56.78,59.89,52.95,57.81,55167,5713690
2017-09-16,58.13,62.38,55.00,55.82,33691,5847220
2017-09-15,53.52,60.76,43.66,58.28,77056,5383130
2017-09-14,62.90,67.07,53.11,53.11,118302,6324670
2017-09-13,71.14,71.40,60.87,63.82,62083,7151010
2017-09-12,74.16,77.16,69.41,71.41,66047,7452230
2017-09-11,74.82,79.44,70.95,74.09,63879,7515970
2017-09-10,77.85,78.17,70.43,75.02,62883,7818630
2017-09-09,78.23,81.35,75.49,78.05,49346,7854810
2017-09-08,84.28,91.86,76.65,78.08,229397,8453610
2017-09-07,85.19,86.55,79.47,84.26,81335,8542810
2017-09-06,78.97,95.03,78.97,85.36,169423,7917110
2017-09-05,77.18,80.97,70.54,79.11,82877,7736270
2017-09-04,94.48,96.32,72.36,77.28,265496,9467710
2017-09-03,95.20,102.44,86.94,94.64,675299,9537160
2017-09-02,83.05,106.18,76.65,95.14,792149,8317780
2017-09-01,80.14,84.21,79.63,82.94,143844,8024670
2017-08-31,80.71,84.91,77.20,80.13,167011,8072260
2017-08-30,79.81,82.60,76.72,82.60,125033,7980840
2017-08-29,89.12,92.18,78.63,79.42,389003,8909090
2017-08-28,74.43,124.93,71.30,89.78,1148960,7438300
2017-08-27,75.10,76.60,72.92,74.50,40963,7503470
2017-08-26,72.40,76.10,67.32,75.11,64132,7232450
2017-08-25,77.92,80.41,70.50,72.44,70937,7779230
2017-08-24,76.40,81.93,72.57,78.19,147055,7625070
2017-08-23,70.38,78.01,68.29,75.50,204617,7023140
2017-08-22,65.39,74.46,59.71,70.44,191459,6516720
2017-08-21,72.90,73.68,61.40,65.24,182823,7263460
2017-08-20,68.87,76.68,60.71,73.40,355512,6859610
2017-08-19,71.89,74.09,58.45,69.15,197312,7158890
