Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,26.59,31.54,25.47,29.95,7058010,31793100
2017-11-23,27.03,27.61,25.41,26.41,5922900,32320700
2017-11-22,26.39,27.81,25.91,27.18,5056360,31549600
2017-11-21,23.96,31.71,23.96,26.54,5948850,28645700
2017-11-20,29.03,29.22,24.42,27.27,5793250,34704900
2017-11-19,30.85,31.16,21.90,28.90,6116720,36887900
2017-11-18,34.19,35.43,29.20,30.86,7895030,40880000
2017-11-17,40.38,44.26,31.39,34.61,9848620,48272900
2017-11-16,27.18,48.42,25.86,39.42,16475700,32498700
2017-11-15,15.79,28.24,15.35,27.06,9795290,18875700
2017-11-14,14.22,21.89,13.96,15.26,3669590,17007500
2017-11-13,10.32,15.93,9.85,14.49,2308130,12334900
2017-11-12,10.20,11.46,8.18,10.27,1570550,12198200
2017-11-11,10.67,11.09,9.95,10.27,1625650,12756200
2017-11-10,10.09,12.03,10.09,10.45,1117620,12067500
2017-11-09,9.31,11.29,8.94,10.21,1196060,11131300
2017-11-08,10.58,11.64,9.30,9.32,271190,12645100
2017-11-07,8.29,10.63,7.56,10.61,249895,9917520
2017-11-06,8.41,10.44,7.10,8.31,176906,4956870
2017-11-05,8.85,9.49,7.68,8.39,188244,95402700
2017-11-04,6.54,25.21,6.13,8.92,290147,19883400
2017-11-03,5.45,7.81,5.21,6.56,71725,8338400
2017-11-02,6.54,6.65,4.22,5.46,187600,9979870
2017-11-01,6.43,7.16,6.10,6.53,60079,9788550
2017-10-31,6.30,7.49,5.77,6.43,202688,9558910
2017-10-30,8.29,9.08,5.53,6.38,348378,10697400
2017-10-29,9.23,9.85,7.52,8.16,375874,11804600
2017-10-28,8.65,9.69,8.51,8.95,213241,10987700
2017-10-27,9.50,9.96,7.67,8.62,267383,11979800
2017-10-26,8.28,11.44,7.83,9.79,345892,10393400
2017-10-25,7.00,8.57,6.06,8.54,132872,8759340
2017-10-24,5.96,7.35,5.79,6.61,112841,7413620
2017-10-23,6.57,7.70,5.45,5.97,79566,7782430
2017-10-22,5.99,7.08,5.60,6.59,99543,6989410
2017-10-21,5.64,6.55,5.62,5.99,41287,6563210
2017-10-20,5.82,5.84,5.32,5.65,35449,6785270
2017-10-19,5.61,5.87,5.29,5.82,32055,6530420
2017-10-18,5.40,5.63,5.01,5.61,27170,6276140
2017-10-17,5.39,6.19,5.18,5.40,60024,6231420
2017-10-16,5.92,6.06,5.09,5.40,24073,6443770
2017-10-15,5.85,6.09,5.14,5.92,60931,6349380
2017-10-14,6.40,6.60,5.64,5.84,45884,6909440
2017-10-13,6.49,6.83,5.77,6.18,23303,6995620
2017-10-12,5.81,6.83,4.77,6.47,111134,6236580
2017-10-11,5.69,7.05,4.78,5.80,123335,5919980
2017-10-10,4.86,6.06,4.66,5.69,56988,5051130
2017-10-09,6.42,6.48,4.84,4.86,35597,6651810
2017-10-08,6.10,6.91,6.07,6.43,74691,6302380
2017-10-07,6.04,6.24,5.84,6.11,32013,6234060
2017-10-06,5.32,6.42,5.27,5.91,22738,5474530
2017-10-05,5.96,6.35,5.24,5.32,38584,6123800
2017-10-04,6.36,6.57,5.79,5.96,58290,6520930
2017-10-03,6.53,6.66,6.08,6.35,47238,6673830
2017-10-02,6.08,7.28,5.97,6.53,78391,6012680
2017-10-01,6.10,6.36,5.86,6.08,59559,6014180
2017-09-30,5.58,6.30,5.58,6.03,36277,5490750
2017-09-29,5.80,5.88,5.47,5.58,40717,5693340
2017-09-28,5.97,6.06,5.56,5.81,22406,5840690
2017-09-27,5.32,6.07,5.12,5.97,31952,5198040
2017-09-26,5.42,5.84,4.96,5.38,26036,5130900
2017-09-25,5.22,5.67,5.12,5.42,32927,4905750
2017-09-24,4.78,5.28,4.68,5.22,50812,4481370
2017-09-23,4.77,5.25,4.36,5.08,45694,4468230
2017-09-22,4.79,5.36,4.64,4.82,19797,4470480
2017-09-21,4.81,5.84,4.74,4.80,35392,4466900
2017-09-20,5.12,5.31,4.37,4.83,51592,4738560
2017-09-19,5.71,5.97,4.01,5.09,91519,5233300
2017-09-18,6.25,6.89,5.18,5.70,84248,5543680
2017-09-17,6.24,6.84,5.56,6.26,44110,5511870
2017-09-16,6.94,7.55,5.71,6.24,61844,6115020
2017-09-15,6.17,7.65,5.27,6.96,105353,5424450
