Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001319,0.002316,0.001250,0.001728,351,223676
2017-11-23,0.001506,0.001952,0.001227,0.001320,739,255369
2017-11-22,0.001704,0.002223,0.001221,0.001506,1036,288988
2017-11-21,0.001295,0.001734,0.001098,0.001700,497,219587
2017-11-20,0.001761,0.001974,0.001112,0.001294,584,298650
2017-11-19,0.001049,0.001790,0.001033,0.001762,1149,177939
2017-11-18,0.000804,0.001849,0.000120,0.001051,1491,136283
2017-11-17,0.000698,0.001007,0.000355,0.000807,147,118444
2017-11-16,0.000089,0.000965,0.000087,0.000700,1529,15033
2017-11-15,0.000125,0.000482,0.000088,0.000088,1211,21120
2017-11-14,0.000487,0.000515,0.000073,0.000124,4930,82552
2017-11-13,0.000293,0.000489,0.000218,0.000486,72,49765
2017-11-12,0.000476,0.000568,0.000283,0.000293,20,80770
2017-11-11,0.000313,0.000500,0.000260,0.000477,50,53018
2017-11-10,0.000924,0.000950,0.000263,0.000314,676,156626
2017-11-09,0.000564,0.001206,0.000343,0.000921,138,95725
2017-11-08,0.000953,0.000961,0.000473,0.000565,162,161598
2017-11-07,0.000974,0.001308,0.000868,0.000956,243,165211
2017-11-06,0.001062,0.001102,0.000876,0.000976,75,180114
2017-11-05,0.000612,0.001414,0.000444,0.001060,116,103739
2017-11-04,0.000677,0.000827,0.000509,0.000613,291,114735
2017-11-03,0.000251,0.000680,0.000165,0.000678,22,42536
2017-11-02,0.000135,0.000554,0.000135,0.000251,156,22820
2017-11-01,0.001061,0.001146,0.000130,0.000134,87,179862
2017-10-31,0.000894,0.001172,0.000763,0.001061,87,151637
2017-10-30,0.000977,0.000980,0.000678,0.000897,400,165631
2017-10-29,0.000715,0.000987,0.000651,0.000982,76,121319
2017-10-28,0.000905,0.001044,0.000714,0.000716,273,153481
2017-10-27,0.001376,0.001448,0.000684,0.000903,2430,233371
2017-10-26,0.001431,0.001791,0.000690,0.001431,5658,242775
2017-10-25,0.000361,0.001751,0.000261,0.001432,1487,61177
2017-10-24,0.000704,0.000802,0.000359,0.000361,19,119341
2017-10-23,0.000767,0.000778,0.000640,0.000705,29,130114
2017-10-22,0.000351,0.000906,0.000340,0.000768,99,59465
2017-10-21,0.000599,0.000619,0.000333,0.000351,0,101655
2017-10-20,0.000908,0.000948,0.000595,0.000601,67,153959
2017-10-19,0.000614,0.000916,0.000374,0.000908,5,104112
2017-10-18,0.000384,0.000617,0.000380,0.000614,3,65113
2017-10-17,0.000866,0.000868,0.000382,0.000383,0,146859
2017-10-16,0.000379,0.000870,0.000378,0.000866,23,64344
2017-10-15,0.000700,0.000703,0.000363,0.000379,0,118735
2017-10-14,0.000755,0.000757,0.000337,0.000699,6,127991
2017-10-13,0.000761,0.000822,0.000739,0.000754,18,129051
2017-10-12,0.000369,0.000759,0.000359,0.000759,8,62561
2017-10-11,0.000618,0.000631,0.000354,0.000369,0,104871
2017-10-10,0.000370,0.000640,0.000370,0.000618,68,62674
2017-10-09,0.000385,0.000582,0.000370,0.000370,201,65214
2017-10-08,0.000622,0.000640,0.000368,0.000384,99,105506
