Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,5.89,7.96,4.10,5.42,10850,348941
2017-11-23,5.84,6.45,5.72,5.90,7800,345650
2017-11-22,8.43,8.89,5.66,5.85,13182,498116
2017-11-21,3.53,15.74,3.41,8.41,54919,208616
2017-11-20,3.08,5.65,2.71,3.53,1597,181648
2017-11-19,3.44,4.61,3.06,3.08,740,202915
2017-11-18,3.85,3.90,3.26,3.44,494,227034
2017-11-17,4.01,4.23,3.56,3.86,777,236723
2017-11-16,4.68,5.18,3.65,4.02,2012,276385
2017-11-15,3.30,4.67,2.53,4.66,2717,194930
2017-11-14,3.17,3.53,2.77,3.30,2620,187269
2017-11-13,4.55,5.59,2.37,3.17,3813,266301
2017-11-12,6.04,6.12,3.76,4.54,2460,353607
2017-11-11,5.91,6.28,3.94,6.05,3662,345978
2017-11-10,2.65,6.61,1.93,5.94,4166,155010
2017-11-09,1.98,7.73,1.92,2.63,714,115999
2017-11-08,2.13,2.39,1.90,1.99,272,124359
2017-11-07,2.05,2.19,1.80,2.13,101,119663
2017-11-06,2.83,2.96,1.81,2.05,223,165371
2017-11-05,2.95,3.16,2.17,2.82,193,172552
2017-11-04,2.12,3.07,1.63,3.00,811,123865
2017-11-03,2.59,3.16,2.13,2.13,99,151533
2017-11-02,3.15,3.21,2.54,2.59,54,184021
2017-11-01,3.68,3.75,2.35,3.14,1166,214997
2017-10-31,3.96,5.20,3.23,3.68,1793,231867
2017-10-30,4.89,5.20,3.90,3.98,3280,285841
2017-10-29,4.69,5.41,4.55,4.91,1374,274203
2017-10-28,6.00,6.11,4.21,4.98,1584,350818
2017-10-27,5.40,9.03,3.61,5.98,9121,315887
2017-10-26,3.54,5.46,2.48,5.40,4378,207250
2017-10-25,5.68,6.05,3.49,3.54,2863,-
2017-10-24,6.50,10.54,4.03,5.68,28542,-
2017-10-23,1.70,13.43,1.11,7.04,41557,-
2017-10-22,1.01,2.09,0.844422,1.70,1756,-
2017-10-21,0.873455,1.25,0.862919,0.991196,59,-
2017-10-20,0.819804,1.20,0.807720,1.19,80,-
2017-10-19,0.786576,1.17,0.779626,0.819574,88,-
2017-10-18,0.792896,0.792917,0.723980,0.786569,12,-
2017-10-17,0.816984,0.819321,0.783600,0.792840,24,-
2017-10-16,0.934894,0.947296,0.802443,0.816857,31,-
2017-10-15,0.833746,1.17,0.825559,0.934769,57,-
2017-10-14,0.998397,1.08,0.788367,0.832257,30,-
2017-10-13,1.08,1.09,0.768654,0.998126,141,-
2017-10-12,0.867999,1.08,0.786681,1.08,7,-
2017-10-11,0.834435,1.00,0.671653,0.867265,8,-
2017-10-10,0.672142,0.999233,0.669739,0.834575,50,-
2017-10-09,0.824826,0.834657,0.650460,0.672191,12,-
2017-10-08,0.789186,0.827339,0.786937,0.824610,191,-
2017-10-07,0.608619,0.793051,0.604506,0.790678,17,-
2017-10-06,0.684696,0.699416,0.602610,0.608423,16,-
2017-10-05,0.756099,0.778002,0.683132,0.684699,3,-
2017-10-04,0.694000,0.758485,0.672925,0.755433,7,-
2017-10-03,0.703750,0.707739,0.672630,0.692963,5,-
2017-10-02,0.791174,0.807468,0.698087,0.703724,5,-
2017-10-01,1.24,1.30,0.732207,0.791501,60,-
2017-09-30,0.659344,1.24,0.658725,1.24,230,-
2017-09-29,0.583038,0.665006,0.562817,0.659261,36,-
2017-09-28,0.585178,0.594463,0.575468,0.583489,93,-
2017-09-27,0.541760,0.587542,0.541760,0.585157,10,-
2017-09-26,0.562469,0.650185,0.537259,0.543275,13,-
2017-09-25,0.525197,0.664772,0.525004,0.562525,39,-
2017-09-24,0.505273,0.628185,0.485306,0.525730,7,-
2017-09-23,0.647509,0.765619,0.498620,0.505317,2,-
2017-09-22,0.542866,0.675112,0.542382,0.649564,0,-
2017-09-21,0.507928,0.646784,0.499883,0.543488,38,-
2017-09-20,0.494749,0.527127,0.312465,0.510315,32,-
2017-09-19,0.495201,0.533242,0.466528,0.495349,1,-
2017-09-18,0.443489,0.601648,0.443489,0.494005,9,-
2017-09-17,0.557361,0.557361,0.399931,0.444374,95,-
2017-09-16,0.781772,0.816193,0.482773,0.557741,160,-
2017-09-15,0.436304,0.806119,0.436304,0.783815,59,-
2017-09-14,0.485278,0.687078,0.432930,0.432930,22,-
2017-09-13,0.496337,0.588816,0.435558,0.479924,21,-
2017-09-12,0.713493,0.741294,0.492601,0.496949,16,-
