Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000402,0.000584,0.000394,0.000576,130,6073
2017-11-23,0.000494,0.000579,0.000402,0.000402,194,7458
2017-11-22,0.000568,0.000747,0.000485,0.000494,191,8584
2017-11-21,0.000577,0.000668,0.000546,0.000567,657,8718
2017-11-20,0.000643,0.000661,0.000577,0.000577,4,9724
2017-11-19,0.000545,0.000649,0.000539,0.000644,20,8238
2017-11-18,0.000461,0.000550,0.000447,0.000546,154,6970
2017-11-17,0.000471,0.000482,0.000454,0.000463,22,7113
2017-11-16,0.000511,0.000555,0.000370,0.000471,10,7726
2017-11-15,0.000331,0.000513,0.000331,0.000509,3,4996
2017-11-14,0.000392,0.000470,0.000328,0.000330,245,5922
2017-11-13,0.000294,0.000399,0.000291,0.000391,102,4436
2017-11-12,0.000382,0.000386,0.000283,0.000293,11,5768
2017-11-11,0.000394,0.000409,0.000319,0.000382,27,5962
2017-11-10,0.000428,0.000440,0.000280,0.000396,74,6464
2017-11-09,0.000448,0.000448,0.000282,0.000426,187,6771
2017-11-08,0.000356,0.000471,0.000354,0.000449,12,5377
2017-11-07,0.000348,0.000361,0.000348,0.000357,73,5258
2017-11-06,0.000370,0.000443,0.000347,0.000349,12,5587
2017-11-05,0.000443,0.000454,0.000295,0.000369,89,6689
2017-11-04,0.000502,0.000508,0.000427,0.000443,131,7582
2017-11-03,0.000562,0.000580,0.000498,0.000503,205,8491
2017-11-02,0.000538,0.000585,0.000538,0.000563,52,8135
2017-11-01,0.000460,0.000539,0.000457,0.000538,8,6959
2017-10-31,0.000429,0.000436,0.000427,0.000434,2,6482
2017-10-30,0.000431,0.000435,0.000422,0.000430,17,6513
2017-10-29,0.000458,0.000481,0.000418,0.000434,18,6925
2017-10-28,0.000519,0.000528,0.000397,0.000459,98,7839
2017-10-27,0.000471,0.000534,0.000399,0.000517,51,7117
2017-10-26,0.000401,0.000539,0.000399,0.000471,83,6066
2017-10-25,0.000441,0.000501,0.000108,0.000401,300,6672
2017-10-24,0.000411,0.000574,0.000390,0.000441,11,6205
2017-10-23,0.000538,0.000546,0.000396,0.000411,44,8133
2017-10-22,0.000601,0.000607,0.000409,0.000539,62,9088
2017-10-21,0.000360,0.000616,0.000358,0.000601,48,5445
2017-10-20,0.000456,0.000515,0.000298,0.000361,417,6897
2017-10-19,0.000559,0.000689,0.000451,0.000456,82,8444
2017-10-18,0.000560,0.000664,0.000525,0.000558,25,8464
2017-10-17,0.000520,0.000635,0.000519,0.000560,74,7860
2017-10-16,0.000512,0.000523,0.000501,0.000520,13,7742
