Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000080,0.000083,0.000079,0.000082,1,50697
2017-11-23,0.000082,0.000082,0.000080,0.000080,1,51637
2017-11-22,0.000081,0.000082,0.000081,0.000081,814,51183
2017-11-21,0.000082,0.000084,0.000078,0.000081,809,51913
2017-11-20,0.000080,0.000082,0.000079,0.000082,1,50737
2017-11-19,0.000078,0.000081,0.000077,0.000080,1,49120
2017-11-18,0.000077,0.000079,0.000075,0.000078,10,48488
2017-11-17,0.000077,0.000080,0.000076,0.000077,12,48686
2017-11-14,0.000065,0.000067,0.000064,0.000066,1,41196
2017-11-13,0.000064,0.000066,0.000063,0.000065,1,40245
2017-11-10,0.000071,0.000073,0.000069,0.000069,8,44969
2017-11-09,0.000071,0.000072,0.000071,0.000071,8,44472
2017-11-02,0.000067,0.000071,0.000067,0.000071,6,42444
2017-11-01,0.000066,0.000067,0.000065,0.000067,6,41372
2017-10-30,0.000062,0.000062,0.000061,0.000061,1,38838
2017-10-29,0.000057,0.000063,0.000057,0.000062,311,36157
2017-10-26,0.000057,0.000060,0.000057,0.000058,1,36172
2017-10-25,0.000055,0.000057,0.000055,0.000057,144,34982
2017-10-22,0.000060,0.000061,0.000057,0.000059,1,37934
2017-10-21,0.000060,0.000062,0.000059,0.000060,4,37880
2017-10-20,0.000057,0.000061,0.000056,0.000060,30,35984
2017-10-19,0.000056,0.000057,0.000055,0.000057,3,35244
2017-10-18,0.000056,0.000056,0.000051,0.000056,1,35329
2017-10-17,0.000058,0.000058,0.000056,0.000056,17,36454
2017-10-16,0.000057,0.000058,0.000057,0.000058,29,35984
2017-10-15,0.000059,0.000059,0.000058,0.000058,178,36910
2017-10-14,0.000057,0.000058,0.000056,0.000058,180,35676
2017-10-13,0.000054,0.000059,0.000054,0.000057,1397,34320
2017-10-12,0.000048,0.000054,0.000048,0.000054,39,30444
2017-10-11,0.000048,0.000049,0.000047,0.000048,1,30043
2017-10-10,0.000048,0.000049,0.000047,0.000048,32,30191
2017-10-09,0.000046,0.000049,0.000046,0.000048,273,29034
2017-10-08,0.000089,0.000091,0.000045,0.000046,1,56060
2017-10-07,0.000044,0.000089,0.000043,0.000089,7,27467
2017-10-05,0.000042,0.000043,0.000042,0.000043,130,26629
2017-10-04,0.000042,0.000042,0.000042,0.000042,127,26634
2017-10-03,0.000044,0.000044,0.000042,0.000043,4,27773
2017-10-02,0.000044,0.000045,0.000044,0.000044,4,27718
2017-10-01,0.000043,0.000044,0.000043,0.000044,1,27407
2017-09-30,0.000042,0.000044,0.000042,0.000043,1,26317
2017-09-29,0.000042,0.000042,0.000040,0.000042,4,26453
2017-09-28,0.000042,0.000043,0.000041,0.000042,4,26541
2017-09-27,0.000039,0.000042,0.000039,0.000042,1,24529
2017-09-26,0.000079,0.000080,0.000039,0.000039,7,49623
2017-09-25,0.000037,0.000079,0.000037,0.000079,23,23165
2017-09-24,0.000076,0.000076,0.000037,0.000037,6,47796
2017-09-23,0.000036,0.000076,0.000036,0.000076,2,22755
2017-09-22,0.000072,0.000075,0.000035,0.000036,241,45681
2017-09-21,0.000078,0.000078,0.000039,0.000073,17,48942
2017-09-20,0.000039,0.000081,0.000039,0.000078,81,24687
2017-09-19,0.000082,0.000082,0.000039,0.000039,114,51764
2017-09-18,0.000037,0.000082,0.000037,0.000082,15,23309
2017-09-17,0.000037,0.000074,0.000036,0.000037,12,23431
2017-09-16,0.000074,0.000076,0.000036,0.000037,7,46796
2017-09-15,0.000032,0.000076,0.000030,0.000074,39,20467
2017-09-14,0.000078,0.000079,0.000032,0.000032,112,48913
2017-09-13,0.000042,0.000080,0.000038,0.000078,38,26193
2017-09-12,0.000042,0.000088,0.000041,0.000042,440,26579
2017-09-11,0.000043,0.000086,0.000041,0.000042,1201,26810
2017-09-10,0.000043,0.000043,0.000040,0.000043,1,27322
2017-09-09,0.000043,0.000086,0.000042,0.000043,3,27306
2017-09-08,0.000046,0.000047,0.000041,0.000043,26,29230
2017-09-07,0.000046,0.000047,0.000045,0.000046,49,29116
2017-09-06,0.000088,0.000096,0.000045,0.000046,8,55763
2017-09-05,0.000043,0.000090,0.000041,0.000088,58,27163
2017-09-04,0.000046,0.000046,0.000042,0.000043,112,29136
2017-09-03,0.000046,0.000094,0.000045,0.000046,334,29087
2017-09-02,0.000049,0.000050,0.000045,0.000046,163,31060
2017-09-01,0.000047,0.000049,0.000047,0.000049,4,29888
2017-08-31,0.000046,0.000092,0.000046,0.000047,53,28887
2017-08-30,0.000046,0.000092,0.000045,0.000046,7,28979
2017-08-29,0.000044,0.000093,0.000044,0.000046,290,27685
2017-08-28,0.000043,0.000087,0.000042,0.000044,50,27397
2017-08-27,0.000043,0.000044,0.000043,0.000043,346,27403
2017-08-26,0.000044,0.000044,0.000043,0.000043,168,27542
2017-08-25,0.000043,0.000045,0.000043,0.000044,13,27306
2017-08-24,0.000041,0.000044,0.000041,0.000043,496,26134
2017-08-23,0.000041,0.000043,0.000041,0.000041,0,25775
2017-08-22,0.000080,0.000080,0.000036,0.000041,2,50475
2017-08-21,0.000041,0.000082,0.000040,0.000080,4,25591
2017-08-20,0.000041,0.000083,0.000040,0.000041,45,26149
2017-08-19,0.000041,0.000083,0.000040,0.000042,7,25917
2017-08-18,0.000043,0.000044,0.000040,0.000041,1,26997
2017-08-17,0.000044,0.000045,0.000042,0.000043,8,27685
2017-08-16,0.000042,0.000044,0.000039,0.000044,16,26202
2017-08-15,0.000043,0.000044,0.000040,0.000041,1,27295
2017-08-14,0.000041,0.000043,0.000040,0.000043,15,25623
2017-08-13,0.000039,0.000082,0.000039,0.000041,24,24398
2017-08-12,0.000037,0.000040,0.000036,0.000039,21,23026
2017-08-11,0.000068,0.000069,0.000034,0.000037,34,43097
2017-08-10,0.000033,0.000069,0.000033,0.000068,2,21087
2017-08-09,0.000034,0.000067,0.000033,0.000033,25,21331
2017-08-08,0.000034,0.000035,0.000034,0.000034,1,21395
2017-08-07,0.000032,0.000065,0.000032,0.000034,40,20313
2017-08-06,0.000065,0.000066,0.000032,0.000032,77,41066
2017-08-05,0.000057,0.000066,0.000032,0.000065,119,36013
2017-08-04,0.000028,0.000057,0.000028,0.000057,601,17580
2017-08-03,0.000027,0.000056,0.000027,0.000028,153,17057
2017-08-02,0.000055,0.000055,0.000027,0.000027,61,34462
2017-08-01,0.000029,0.000029,0.000027,0.000027,3,18055
2017-07-31,0.000027,0.000058,0.000027,0.000029,34,17287
2017-07-30,0.000026,0.000027,0.000026,0.000027,4,16616
2017-07-29,0.000028,0.000028,0.000028,0.000028,3,17545
2017-07-28,0.000027,0.000028,0.000027,0.000028,3,16786
2017-07-27,0.000050,0.000054,0.000025,0.000053,1,31853
2017-07-26,0.000051,0.000052,0.000024,0.000050,79,32300
