Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003998,0.004343,0.003742,0.003873,6,60462
2017-11-23,0.004492,0.004721,0.003456,0.004003,224,67928
2017-11-22,0.005517,0.005520,0.003784,0.004494,409,83439
2017-11-21,0.004178,0.007695,0.002750,0.005504,1267,63189
2017-11-20,0.004437,0.004826,0.004182,0.004182,34,67104
2017-11-19,0.007246,0.007246,0.004102,0.004440,291,109585
2017-11-18,0.005844,0.007273,0.003990,0.007258,1218,88376
2017-11-17,0.005418,0.008763,0.004649,0.005866,1080,81940
2017-11-16,0.006868,0.007404,0.005258,0.005429,331,103858
2017-11-15,0.008200,0.008587,0.006272,0.006831,614,124007
2017-11-14,0.008096,0.008600,0.007967,0.008194,81,122437
2017-11-13,0.009254,0.009605,0.007784,0.008079,44,139944
2017-11-12,0.008047,0.009266,0.006923,0.009240,226,121699
2017-11-11,0.007213,0.009739,0.007202,0.008051,1095,109076
2017-11-10,0.007858,0.008067,0.007004,0.007240,47,118828
2017-11-09,0.007938,0.008049,0.007545,0.007826,43,120041
2017-11-08,0.007602,0.008372,0.007555,0.007949,81,114970
2017-11-07,0.007372,0.007708,0.007372,0.007626,27,111486
2017-11-06,0.007535,0.007687,0.006999,0.007384,34,113951
2017-11-05,0.008027,0.009550,0.007440,0.007519,92,121388
2017-11-04,0.008147,0.009226,0.007883,0.008025,37,123202
2017-11-03,0.008638,0.009195,0.007946,0.008166,150,130623
2017-11-02,0.008469,0.008768,0.008204,0.008649,376,128072
2017-11-01,0.008289,0.008476,0.008035,0.008460,197,125358
2017-10-31,0.007695,0.008473,0.007695,0.008296,76,116370
2017-10-30,0.007986,0.008136,0.007658,0.007719,50,120775
2017-10-29,0.008039,0.008804,0.007914,0.008034,50,121565
2017-10-28,0.007326,0.008152,0.007281,0.008050,53,110792
2017-10-27,0.007746,0.008211,0.007299,0.007307,122,117140
2017-10-26,0.007342,0.007772,0.007291,0.007747,80,111024
2017-10-25,0.007307,0.008067,0.006987,0.007342,55,110500
2017-10-24,0.008352,0.008779,0.007268,0.007282,179,126302
2017-10-23,0.008729,0.008866,0.007789,0.008389,58,132008
2017-10-22,0.008415,0.011755,0.008114,0.008750,197,127259
2017-10-21,0.007701,0.009953,0.007646,0.008413,348,116462
2017-10-20,0.007472,0.007851,0.007294,0.007716,34,112997
2017-10-19,0.007713,0.008836,0.007470,0.007470,125,116635
2017-10-18,0.007788,0.008975,0.007115,0.007712,71,117770
2017-10-17,0.008424,0.008890,0.007690,0.007787,66,127387
2017-10-16,0.008091,0.008928,0.007855,0.008422,29,122359
2017-10-15,0.008604,0.010939,0.007735,0.008090,447,130111
2017-10-14,0.008546,0.010964,0.007998,0.008588,153,129242
2017-10-13,0.009582,0.009643,0.007975,0.008541,780,144907
2017-10-12,0.009025,0.011090,0.008511,0.009552,55,136483
2017-10-11,0.009814,0.010210,0.008971,0.009017,138,148413
2017-10-10,0.009787,0.010152,0.009744,0.009816,118,148013
2017-10-09,0.009435,0.009942,0.009340,0.009787,83,142680
2017-10-08,0.009341,0.011462,0.009308,0.009432,103,141255
2017-10-07,0.009054,0.081734,0.008950,0.009360,244,136915
2017-10-06,0.008951,0.009159,0.008934,0.009051,133,135371
2017-10-05,0.008738,0.009039,0.008592,0.008952,75,132141
2017-10-04,0.008744,0.009065,0.008630,0.008730,74,132232
2017-10-03,0.009110,0.009202,0.008645,0.008719,35,137766
2017-10-02,0.009158,0.009354,0.009021,0.009109,81,138497
2017-10-01,0.009645,0.009687,0.008933,0.009161,85,145854
2017-09-30,0.008699,0.011566,0.008699,0.009640,241,131557
2017-09-29,0.008640,0.009386,0.008337,0.008698,76,130665
2017-09-28,0.008859,0.009497,0.008607,0.008647,240,133975
2017-09-27,0.008481,0.009238,0.008468,0.008873,81,128252
2017-09-26,0.008163,0.008579,0.008009,0.008504,252,123452
2017-09-25,0.007633,0.008396,0.007615,0.008156,95,115433
2017-09-24,0.008572,0.010799,0.007495,0.007641,107,129637
2017-09-23,0.009248,0.010668,0.008426,0.008573,50,139859
2017-09-22,0.008578,0.011703,0.008028,0.009298,995,129729
2017-09-21,0.008823,0.009046,0.007256,0.008557,2438,133435
2017-09-20,0.005558,0.009064,0.005402,0.008865,428,84048
2017-09-19,0.007865,0.007915,0.005408,0.005565,110,118936
2017-09-18,0.006946,0.008243,0.006160,0.007806,233,105046
2017-09-17,0.007019,0.007676,0.005670,0.006960,747,106142
2017-09-16,0.007168,0.007491,0.006634,0.007022,43,108407
2017-09-15,0.006395,0.008809,0.005916,0.007188,259,96707
2017-09-14,0.007400,0.009293,0.005892,0.006346,1634,111915
2017-09-13,0.007848,0.009159,0.007328,0.007400,419,118679
2017-09-12,0.008218,0.009304,0.007704,0.007875,124,124273
2017-09-11,0.008504,0.008882,0.007918,0.008210,896,128606
2017-09-10,0.008444,0.009052,0.007783,0.008519,70,127694
2017-09-09,0.008717,0.010072,0.007998,0.008466,241,131823
2017-09-08,0.009257,0.011718,0.008310,0.008700,721,139990
2017-09-07,0.009961,0.009966,0.009038,0.009258,69,150633
2017-09-06,0.009193,0.010181,0.009193,0.009979,107,139029
2017-09-05,0.011749,0.011749,0.008469,0.009226,125,177683
2017-09-04,0.009137,0.011690,0.007909,0.011690,227,138170
