Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000038,0.000051,0.000037,0.000051,11,22981
2017-11-23,0.000049,0.000058,0.000038,0.000038,40,29741
2017-11-22,0.000041,0.000058,0.000041,0.000050,41,25071
2017-11-21,0.000045,0.000047,0.000038,0.000039,12,27209
2017-11-20,0.000038,0.000047,0.000037,0.000045,58,22933
2017-11-19,0.000038,0.000039,0.000036,0.000038,4,22848
2017-11-18,0.000030,0.000039,0.000029,0.000037,11,18254
2017-11-17,0.000038,0.000038,0.000030,0.000030,4,23062
2017-11-16,0.000028,0.000040,0.000028,0.000038,73,17276
2017-11-15,0.000034,0.000036,0.000028,0.000028,26,20968
2017-11-14,0.000034,0.000042,0.000033,0.000034,8,20956
2017-11-13,0.000040,0.000042,0.000034,0.000034,19,24309
2017-11-12,0.000043,0.000043,0.000037,0.000040,5,26252
2017-11-11,0.000036,0.000044,0.000036,0.000043,2,22112
2017-11-10,0.000040,0.000052,0.000036,0.000037,3,24288
2017-11-09,0.000044,0.000045,0.000038,0.000040,3,26969
2017-11-08,0.000035,0.000045,0.000035,0.000044,924,21466
2017-11-07,0.000035,0.000039,0.000034,0.000035,3,21429
2017-11-06,0.000033,0.000036,0.000032,0.000035,30,19788
2017-11-05,0.000035,0.000035,0.000031,0.000033,1,21224
2017-11-04,0.000036,0.000037,0.000030,0.000035,13,21990
2017-11-03,0.000037,0.000038,0.000031,0.000036,5,22308
2017-11-02,0.000031,0.000037,0.000029,0.000037,47,18680
2017-11-01,0.000033,0.000036,0.000030,0.000031,38,20293
2017-10-31,0.000033,0.000036,0.000033,0.000034,5,19918
2017-10-30,0.000038,0.000039,0.000032,0.000033,8,22920
2017-10-29,0.000031,0.000041,0.000031,0.000039,4,18944
2017-10-28,0.000033,0.000035,0.000031,0.000031,1,19871
2017-10-27,0.000039,0.000041,0.000031,0.000033,16,23721
2017-10-26,0.000034,0.000040,0.000032,0.000040,73,20599
2017-10-25,0.000035,0.000036,0.000031,0.000034,30,21586
2017-10-24,0.000037,0.000041,0.000034,0.000035,4,22528
2017-10-23,0.000037,0.000039,0.000032,0.000037,20,22741
2017-10-22,0.000035,0.000038,0.000034,0.000038,1,21432
2017-10-21,0.000036,0.000037,0.000035,0.000035,26,22014
2017-10-20,0.000040,0.000041,0.000035,0.000036,0,24206
2017-10-19,0.000036,0.000040,0.000035,0.000039,43,22037
2017-10-18,0.000036,0.000041,0.000035,0.000041,9,21998
2017-10-17,0.000040,0.000040,0.000036,0.000036,28,24257
2017-10-16,0.000039,0.000105,0.000038,0.000040,6,23496
2017-10-15,0.000039,0.000043,0.000037,0.000039,20,23937
2017-10-14,0.000037,0.000040,0.000036,0.000039,5,22287
2017-10-13,0.000038,0.000039,0.000035,0.000037,6,23184
2017-10-12,0.000034,0.000040,0.000034,0.000038,8,20618
2017-10-11,0.000034,0.000035,0.000033,0.000034,7,20508
2017-10-10,0.000035,0.000035,0.000033,0.000034,7,21314
2017-10-09,0.000035,0.000037,0.000033,0.000035,5,21142
2017-10-08,0.000037,0.000037,0.000034,0.000035,8,22256
2017-10-07,0.000037,0.000039,0.000034,0.000037,1,22680
2017-10-06,0.000035,0.000038,0.000034,0.000037,5,21209
2017-10-05,0.000035,0.000036,0.000034,0.000035,3,21555
2017-10-04,0.000037,0.000037,0.000032,0.000035,14,22384
2017-10-03,0.000039,0.000039,0.000034,0.000037,10,23574
2017-10-02,0.000039,0.000039,0.000036,0.000039,13,23685
2017-10-01,0.000040,0.000042,0.000038,0.000039,5,24159
2017-09-30,0.000038,0.000041,0.000038,0.000040,3,23051
2017-09-29,0.000040,0.000040,0.000037,0.000038,1,24458
2017-09-28,0.000040,0.000050,0.000026,0.000040,80,24427
2017-09-27,0.000037,0.000051,0.000035,0.000040,119,22621
2017-09-26,0.000043,0.000050,0.000037,0.000037,55,26303
2017-09-25,0.000033,0.000044,0.000031,0.000042,21,20048
2017-09-24,0.000032,0.000035,0.000032,0.000033,7,19537
2017-09-23,0.000028,0.000034,0.000027,0.000032,18,16835
2017-09-22,0.000024,0.000030,0.000024,0.000028,11,14702
2017-09-21,0.000032,0.000036,0.000024,0.000024,22,19271
2017-09-20,0.000029,0.000032,0.000026,0.000032,13,17412
2017-09-19,0.000028,0.000032,0.000025,0.000029,35,16934
2017-09-18,0.000025,0.000028,0.000025,0.000028,25,15384
2017-09-17,0.000022,0.000026,0.000021,0.000025,21,13151
2017-09-16,0.000021,0.000023,0.000021,0.000022,0,13062
2017-09-15,0.000020,0.000024,0.000015,0.000022,8,12114
2017-09-14,0.000035,0.000035,0.000020,0.000020,12,21321
2017-09-13,0.000032,0.000036,0.000026,0.000035,18,19375
2017-09-12,0.000030,0.000033,0.000030,0.000032,16,18262
2017-09-11,0.000035,0.000051,0.000030,0.000030,56,21059
2017-09-10,0.000039,0.000041,0.000031,0.000034,4,24021
2017-09-09,0.000036,0.000044,0.000033,0.000040,12,21736
2017-09-08,0.000045,0.000049,0.000035,0.000036,30,27248
2017-09-07,0.000047,0.000048,0.000041,0.000045,7,28814
2017-09-06,0.000040,0.000048,0.000040,0.000047,13,24470
2017-09-05,0.000043,0.000046,0.000037,0.000040,27,26320
2017-09-04,0.000047,0.000048,0.000038,0.000043,11,28846
2017-09-03,0.000050,0.000053,0.000045,0.000047,14,30334
2017-09-02,0.000056,0.000059,0.000043,0.000050,17,33899
2017-09-01,0.000040,0.000056,0.000040,0.000056,413,24634
2017-08-31,0.000038,0.000042,0.000037,0.000041,19,23012
2017-08-30,0.000037,0.000041,0.000036,0.000038,18,22773
2017-08-29,0.000036,0.000039,0.000035,0.000039,28,21725
2017-08-28,0.000038,0.000041,0.000035,0.000036,137,23232
2017-08-27,0.000031,0.000039,0.000031,0.000038,37,18851
2017-08-26,0.000031,0.000034,0.000029,0.000031,55,19012
2017-08-25,0.000030,0.000032,0.000029,0.000031,24,18053
2017-08-24,0.000031,0.000033,0.000029,0.000030,119,18635
2017-08-23,0.000027,0.000031,0.000026,0.000030,30,16243
2017-08-22,0.000025,0.000029,0.000023,0.000027,11,15425
2017-08-21,0.000021,0.000030,0.000021,0.000025,19,12963
2017-08-20,0.000024,0.000028,0.000021,0.000021,27,14846
2017-08-19,0.000025,0.000029,0.000024,0.000024,21,14918
2017-08-18,0.000024,0.000035,0.000023,0.000024,63,14685
2017-08-17,0.000039,0.000041,0.000024,0.000024,32,23911
2017-08-16,0.000030,0.000048,0.000023,0.000039,94,18105
2017-08-15,0.000024,0.000033,0.000020,0.000030,45,14689
2017-08-14,0.000029,0.000032,0.000024,0.000024,34,17410
2017-08-13,0.000031,0.000032,0.000025,0.000029,48,19165
2017-08-12,0.000030,0.000032,0.000029,0.000032,14,18560
2017-08-11,0.000031,0.000031,0.000030,0.000030,12,19118
2017-08-10,0.000031,0.000034,0.000029,0.000031,131,18912
2017-08-09,0.000040,0.000041,0.000030,0.000031,1819,24589
2017-08-08,0.000034,0.000045,0.000033,0.000040,27,20605
2017-08-07,0.000041,0.000041,0.000028,0.000034,63,24936
2017-08-06,0.000034,0.000045,0.000034,0.000041,22,20840
2017-08-05,0.000031,0.000045,0.000031,0.000034,49,18741
2017-08-04,0.000034,0.000042,0.000031,0.000031,21,20889
2017-08-03,0.000041,0.000041,0.000032,0.000034,15,24924
2017-08-02,0.000039,0.000042,0.000029,0.000041,12,23532
2017-08-01,0.000034,0.000039,0.000033,0.000039,33,20475
2017-07-31,0.000035,0.000047,0.000022,0.000034,65,21279
2017-07-30,0.000040,0.000046,0.000034,0.000035,44,24243
2017-07-29,0.000041,0.000050,0.000038,0.000040,10,24906
2017-07-28,0.000043,0.000081,0.000040,0.000041,59,26171
2017-07-27,0.000041,0.000063,0.000040,0.000042,21,24807
2017-07-26,0.000040,0.000072,0.000040,0.000041,53,24542
2017-07-25,0.000046,0.000056,0.000040,0.000040,18,27858
2017-07-24,0.000066,0.000066,0.000039,0.000046,28,40149
2017-07-23,0.000043,0.000066,0.000039,0.000066,42,26144
2017-07-22,0.000085,0.000085,0.000042,0.000043,23,51941
2017-07-21,0.000044,0.000085,0.000039,0.000085,64,26486
2017-07-20,0.000040,0.000089,0.000040,0.000043,39,24161
2017-07-19,0.000039,0.000094,0.000038,0.000040,44,23806
2017-07-18,0.000022,0.000040,0.000022,0.000039,20,13277
2017-07-17,0.000073,0.000073,0.000021,0.000022,9,44196
2017-07-16,0.000075,0.000086,0.000013,0.000073,281,45665
2017-07-15,0.000080,0.000087,0.000059,0.000075,80,48571
2017-07-14,0.000054,0.000081,0.000034,0.000080,300,32620
2017-07-13,0.000043,0.000058,0.000041,0.000053,30,26259
2017-07-12,0.000041,0.000052,0.000038,0.000043,25,24735
2017-07-11,0.000042,0.000058,0.000039,0.000041,24,25780
2017-07-10,0.000049,0.000067,0.000042,0.000042,21,29815
2017-07-09,0.000046,0.000075,0.000046,0.000049,51,27973
2017-07-08,0.000041,0.000055,0.000039,0.000046,21,25246
2017-07-07,0.000046,0.000050,0.000041,0.000042,7,27884
2017-07-06,0.000069,0.000069,0.000045,0.000046,1,41845
2017-07-05,0.000066,0.000071,0.000053,0.000069,4,40341
2017-07-04,0.000050,0.000077,0.000040,0.000066,158,30518
2017-07-03,0.000061,0.000082,0.000049,0.000050,32,36949
2017-07-02,0.000049,0.000086,0.000046,0.000061,37,29549
2017-07-01,0.000059,0.000059,0.000048,0.000049,9,35796
2017-06-30,0.000071,0.000094,0.000054,0.000059,43,43165
2017-06-29,0.000093,0.000093,0.000056,0.000071,9,56696
2017-06-28,0.000064,0.000096,0.000057,0.000093,42,39020
2017-06-27,0.000059,0.000064,0.000037,0.000064,12,35766
2017-06-26,0.000068,0.000104,0.000056,0.000059,15,41342
2017-06-25,0.000079,0.000081,0.000061,0.000068,69,47910
2017-06-24,0.000068,0.000080,0.000061,0.000079,31,41435
2017-06-23,0.000082,0.000090,0.000068,0.000075,161,49719
2017-06-22,0.000081,0.000097,0.000079,0.000082,25,49405
2017-06-21,0.000079,0.000092,0.000078,0.000081,97,47907
2017-06-20,0.000073,0.000081,0.000072,0.000079,312,44429
2017-06-19,0.000104,0.000105,0.000073,0.000073,146,63349
2017-06-18,0.000087,0.000104,0.000075,0.000104,15,53025
