Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.231799,0.242934,0.211086,0.236981,285125,10469500
2017-11-23,0.231670,0.239770,0.207534,0.224480,625582,10463600
2017-11-22,0.235322,0.242397,0.206702,0.232255,689607,10628600
2017-11-21,0.221733,0.255845,0.174282,0.234194,784757,10014800
2017-11-20,0.231166,0.232503,0.205151,0.222064,321924,10440900
2017-11-19,0.227940,0.256162,0.209477,0.231777,392854,10295200
2017-11-18,0.215766,0.236455,0.200698,0.229850,326637,9745330
2017-11-17,0.316752,0.325578,0.154495,0.218992,1018680,14306500
2017-11-16,0.324782,0.394139,0.291443,0.313277,1616230,14669100
2017-11-15,0.356575,0.392118,0.296329,0.323800,1363740,16105200
2017-11-14,0.264201,0.431898,0.250534,0.363710,3351110,11933000
2017-11-13,0.157207,0.296731,0.155197,0.264213,317987,7100450
2017-11-12,0.156522,0.165002,0.141538,0.156958,180733,7069500
2017-11-11,0.139825,0.160104,0.139658,0.156504,118658,6315370
2017-11-10,0.147129,0.172028,0.136465,0.140228,171124,6645250
2017-11-09,0.131839,0.153284,0.131314,0.147059,242622,5954680
2017-11-08,0.131847,0.141257,0.126347,0.132554,103320,5955040
2017-11-07,0.140931,0.142458,0.124926,0.131940,229243,6365310
2017-11-06,0.140889,0.143160,0.133417,0.140720,222542,6363410
2017-11-05,0.137249,0.141759,0.128677,0.140756,186565,6199020
2017-11-04,0.124959,0.142956,0.120846,0.137071,118356,5643930
2017-11-03,0.118965,0.134536,0.114602,0.124939,13722,5373200
2017-11-02,0.124568,0.134449,0.115554,0.118384,43406,5626260
2017-11-01,0.112368,0.148458,0.096091,0.124224,86002,5075250
2017-10-31,0.113833,0.124652,0.110765,0.112576,15961,5141400
2017-10-30,0.129003,0.131518,0.113609,0.113770,11891,5826550
2017-10-29,0.125701,0.149105,0.115601,0.129262,13066,5677420
2017-10-28,0.114889,0.128273,0.113986,0.125754,7653,5189090
2017-10-27,0.125457,0.126782,0.114365,0.114785,9322,5666420
2017-10-26,0.116938,0.147716,0.113738,0.125520,4969,5281670
2017-10-25,0.142523,0.163469,0.115571,0.117190,26274,6437220
2017-10-24,0.108857,0.179351,0.107259,0.142397,13857,4916650
2017-10-23,0.161689,0.161786,0.098235,0.104083,45955,7302880
2017-10-22,0.123413,0.161910,0.123413,0.161783,13160,5574100
2017-10-21,0.163728,0.164673,0.123417,0.123417,33407,7394970
2017-10-20,0.199931,0.216126,0.122405,0.163940,79264,9030120
2017-10-19,0.190998,0.228397,0.170352,0.200094,131164,6436620
2017-10-18,0.195382,0.198913,0.161436,0.191443,70557,-
2017-10-17,0.181106,0.195782,0.180281,0.195614,27343,-
