Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008680,0.009006,0.008514,0.008885,3838,102906
2017-11-23,0.008883,0.008927,0.008692,0.008692,3755,105315
2017-11-22,0.005599,0.008930,0.005511,0.008886,3839,66376
2017-11-21,0.005851,0.005855,0.005379,0.005585,397,69372
2017-11-20,0.006113,0.006127,0.005484,0.005850,192,72472
2017-11-19,0.005840,0.006116,0.005311,0.006116,5198,69238
2017-11-18,0.005765,0.005896,0.005216,0.005851,613,68347
2017-11-17,0.005805,0.006564,0.005373,0.005787,1614,68822
2017-11-16,0.005477,0.006850,0.005248,0.005815,2945,64936
2017-11-15,0.005025,0.006528,0.005018,0.005449,3131,59572
2017-11-14,0.004898,0.005270,0.004691,0.005021,647,58070
2017-11-13,0.004990,0.005717,0.004841,0.004888,683,59161
2017-11-12,0.004198,0.005656,0.003267,0.004983,2737,49774
2017-11-11,0.004076,0.004682,0.003804,0.004201,497,48328
2017-11-10,0.004776,0.005007,0.004000,0.004091,397,56626
2017-11-09,0.006870,0.007116,0.004569,0.004762,865,81447
2017-11-08,0.006618,0.007396,0.006088,0.006877,2320,78460
2017-11-07,0.004941,0.007112,0.004941,0.006639,969,58577
2017-11-06,0.005249,0.005314,0.004931,0.004949,3890,62233
2017-11-05,0.005459,0.005578,0.005180,0.005238,483,64717
2017-11-04,0.005805,0.005805,0.004976,0.005469,37,68824
2017-11-03,0.005408,0.005950,0.005047,0.005820,1535,64114
2017-11-02,0.005248,0.005856,0.005126,0.005415,2969,62221
2017-11-01,0.004962,0.005286,0.004905,0.005242,1752,58825
2017-10-31,0.004902,0.005175,0.004350,0.004965,4206,58118
2017-10-30,0.005295,0.005299,0.004841,0.004919,4144,62774
2017-10-29,0.005098,0.005374,0.004809,0.005326,4207,60437
2017-10-28,0.005129,0.005225,0.004766,0.005105,3892,60812
2017-10-27,0.005416,0.005856,0.004905,0.005115,3421,64208
2017-10-26,0.005161,0.007599,0.004918,0.005415,4494,61186
2017-10-25,0.005518,0.005530,0.004904,0.005162,4580,65422
2017-10-24,0.005924,0.006949,0.004085,0.005516,3591,70235
2017-10-23,0.008371,0.009356,0.004038,0.005937,1122,99242
2017-10-22,0.008960,0.008988,0.007989,0.008385,46,106230
2017-10-21,0.009068,0.009351,0.008913,0.008958,130,107503
2017-10-20,0.009355,0.010083,0.008152,0.009087,3161,110914
2017-10-19,0.007766,0.009473,0.007707,0.009353,2732,92073
2017-10-18,0.008625,0.008625,0.007210,0.007762,635,102255
2017-10-17,0.008148,0.008644,0.007008,0.008625,1588,96604
2017-10-16,0.006773,0.008943,0.006758,0.008147,3045,80302
2017-10-15,0.004564,0.007774,0.004274,0.006772,3389,54108
2017-10-14,0.004298,0.007498,0.004258,0.004556,2929,50959
2017-10-13,0.004135,0.004467,0.004108,0.004297,399,49022
2017-10-12,0.003282,0.004122,0.003273,0.004122,382,38908
2017-10-11,0.003239,0.003654,0.003229,0.003279,381,38396
2017-10-10,0.003159,0.004059,0.002910,0.003239,308,37450
2017-10-09,0.003820,0.003841,0.003027,0.003159,2287,45292
2017-10-08,0.005021,0.005045,0.003385,0.003865,5859,59530
2017-10-07,0.004199,0.006365,0.003441,0.005035,7464,49780
2017-10-06,0.005534,0.005535,0.003948,0.004198,1620,65612
2017-10-05,0.005699,0.010581,0.004295,0.005534,10969,67563
2017-10-04,0.005140,0.008368,0.003360,0.005862,7085,60942
2017-10-03,0.005327,0.008727,0.003398,0.005129,2577,63159
2017-10-02,0.004394,0.008357,0.003756,0.005327,1260,52094
2017-10-01,0.004736,0.007765,0.003356,0.004396,926,56146
2017-09-30,0.004673,0.010366,0.004579,0.004733,1445,55397
2017-09-29,0.004487,0.005527,0.004220,0.004672,792,53198
2017-09-28,0.004292,0.005678,0.004244,0.004491,74,50880
2017-09-27,0.004394,0.004713,0.004227,0.004291,4,52094
2017-09-26,0.006451,0.006478,0.003880,0.004406,43,76476
2017-09-25,0.003929,0.006511,0.003928,0.006451,35,46585
2017-09-24,0.004038,0.005108,0.003894,0.003933,95,47873
2017-09-23,0.004473,0.004960,0.004430,0.004892,0,53030
2017-09-22,0.006445,0.006556,0.003967,0.004486,205,76410
2017-09-21,0.006983,0.007030,0.004090,0.006453,980,82786
2017-09-20,0.006810,0.007285,0.006691,0.007017,85,80732
2017-09-19,0.007016,0.010415,0.006351,0.006819,65,83181
2017-09-18,0.016000,0.016559,0.004206,0.006999,64,189687
2017-09-17,0.015704,0.016451,0.015398,0.016032,0,186176
2017-09-16,0.009755,0.010207,0.009353,0.009597,0,115656
2017-09-15,0.013011,0.017697,0.009174,0.009781,696,154251
2017-09-14,0.014617,0.017835,0.005794,0.012910,87,173288
2017-09-13,0.006229,0.022477,0.003969,0.014618,442,73844
2017-09-12,0.004888,0.006252,0.003856,0.006252,77,57947
2017-09-11,0.006588,0.006783,0.004857,0.004883,91,78102
2017-09-10,0.004548,0.006707,0.004250,0.006599,66,53917
2017-09-09,0.004372,0.004610,0.004248,0.004560,1,51833
2017-09-08,0.008712,0.008713,0.004186,0.004364,31,103280
2017-09-07,0.006970,0.010509,0.004247,0.008710,349,82629
2017-09-06,0.005260,0.008404,0.004100,0.006983,31885,62358
2017-09-05,0.005555,0.005781,0.005233,0.005254,29,65856
2017-09-04,0.006928,0.008198,0.004297,0.005526,726,82141
2017-09-03,0.010144,0.010270,0.004576,0.006926,406,120267
2017-09-02,0.011985,0.011985,0.009884,0.010138,70,142087
2017-09-01,0.007107,0.007293,0.007038,0.007267,1,84260
2017-08-31,0.007107,0.007145,0.007084,0.007106,2,84256
2017-08-30,0.005375,0.005441,0.005256,0.005367,98,63724
2017-08-29,0.005003,0.011562,0.004983,0.005382,98,59316
2017-08-28,0.011379,0.011379,0.004899,0.004995,114,134908
2017-08-27,0.004605,0.012060,0.004605,0.011391,189,54592
2017-08-26,0.010875,0.011650,0.004550,0.004606,124,128932
2017-08-25,0.009913,0.010872,0.007351,0.010872,152,117521
2017-08-24,0.005800,0.010001,0.005754,0.009928,3,68764
2017-08-23,0.006538,0.006808,0.005714,0.005798,2,77508
2017-08-22,0.013523,0.013523,0.006202,0.006551,14,160324
2017-08-21,0.009980,0.013694,0.009953,0.013492,8,118317
2017-08-20,0.014467,0.014467,0.007603,0.010018,58,171515
2017-08-19,0.016073,0.016330,0.007456,0.014535,91,190554
2017-08-18,0.018489,0.018810,0.017814,0.017814,0,219194
2017-08-17,0.024139,0.024654,0.018121,0.018545,0,286175
2017-08-16,0.023510,0.024165,0.022356,0.024161,1,278723
2017-08-15,0.008048,0.023921,0.007453,0.023484,36,95417
2017-08-14,0.007068,0.015950,0.006926,0.008027,26,83793
2017-08-13,0.026610,0.028611,0.006715,0.007063,1,315476
2017-08-12,0.013622,0.028963,0.005107,0.026635,213,161491
2017-08-11,0.014382,0.014458,0.014318,0.014447,63,170504
2017-08-10,0.020669,0.020671,0.014005,0.014383,280,245044
2017-08-09,0.020512,0.020561,0.019484,0.019730,29,243185
2017-08-08,0.056845,0.057203,0.020099,0.020526,32,673927
2017-08-07,0.014330,0.057348,0.014205,0.056788,1395,169885
2017-08-06,0.013118,0.048786,0.012756,0.014362,1184,155521
2017-08-05,0.014273,0.015951,0.012498,0.013115,31,169212
2017-08-04,0.019509,0.019569,0.014113,0.014279,40,231289
2017-08-03,0.108159,0.108942,0.009760,0.019514,838,1282280
2017-08-02,0.109569,0.110156,0.106295,0.107966,30,1298990
2017-08-01,0.127401,0.129480,0.118301,0.119861,6128,1510400
2017-07-31,0.124726,0.127969,0.122873,0.127340,12211,1478680
2017-07-29,0.129473,0.129827,0.124269,0.126871,25,1534970
2017-07-28,0.123898,0.225182,0.123862,0.129966,50,1468870
2017-07-27,0.206404,0.208621,0.117822,0.123523,245,2447020
2017-07-26,0.316988,0.316988,0.119355,0.205865,1683,3758050
2017-07-25,0.314032,0.321439,0.312551,0.316969,23588,3723000
2017-07-24,0.325682,0.334605,0.287017,0.314055,190835,3861120
2017-07-23,0.382740,0.388651,0.266012,0.328201,445907,4537570
2017-07-22,0.310350,0.409367,0.300005,0.382740,672147,3679350
2017-07-21,0.292941,0.354569,0.260103,0.317669,598095,3472960
2017-07-20,0.224445,0.307388,0.224445,0.286699,660476,2660900
2017-07-19,0.244559,0.272302,0.222028,0.224323,605730,2899360
2017-07-18,0.231883,0.270997,0.220068,0.236776,135158,2749090
2017-07-17,0.206109,0.243723,0.206109,0.230433,52450,2443520
2017-07-16,0.225732,0.258190,0.181471,0.205077,56064,2676160
2017-07-15,0.271499,0.271499,0.221306,0.225732,61580,3218750
