Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000542,0.000563,0.000505,0.000507,83,85206
2017-11-23,0.000656,0.000659,0.000537,0.000543,76,103171
2017-11-22,0.000622,0.000660,0.000547,0.000656,724,97859
2017-11-21,0.000751,0.000751,0.000535,0.000621,281,118022
2017-11-20,0.000644,0.000800,0.000564,0.000751,1655,101198
2017-11-19,0.000701,0.000788,0.000619,0.000644,217,110224
2017-11-18,0.000589,0.000703,0.000571,0.000698,121,92585
2017-11-17,0.000527,0.000696,0.000519,0.000591,57,82867
2017-11-16,0.000761,0.000765,0.000525,0.000528,515,119600
2017-11-15,0.000660,0.000758,0.000612,0.000757,194,103695
2017-11-14,0.000587,0.000662,0.000581,0.000659,426,92337
2017-11-13,0.000562,0.000638,0.000456,0.000586,1145,88402
2017-11-12,0.000523,0.000604,0.000451,0.000561,37,82216
2017-11-11,0.000786,0.000814,0.000514,0.000523,76,123563
2017-11-10,0.000499,0.000813,0.000499,0.000789,60,78458
2017-11-09,0.000578,0.000618,0.000496,0.000498,286,90844
2017-11-08,0.001069,0.001152,0.000561,0.000578,200,168141
2017-11-07,0.000551,0.001106,0.000439,0.001075,1057,86692
2017-11-06,0.000497,0.000713,0.000477,0.000552,204,78176
2017-11-05,0.000620,0.000669,0.000494,0.000496,25,97409
2017-11-04,0.000565,0.000627,0.000433,0.000621,169,88885
2017-11-03,0.000494,0.000588,0.000466,0.000567,267,77606
2017-11-02,0.000536,0.000655,0.000479,0.000494,643,84348
2017-11-01,0.000507,0.000596,0.000454,0.000536,1636,79742
2017-10-31,0.000514,0.000573,0.000425,0.000521,651,80749
2017-10-30,0.000561,0.000609,0.000514,0.000515,36,88280
2017-10-29,0.000573,0.000585,0.000447,0.000565,48,90056
2017-10-28,0.000516,0.000582,0.000511,0.000574,49,81113
2017-10-27,0.000462,0.000585,0.000451,0.000515,118,72619
2017-10-26,0.000552,0.000552,0.000452,0.000462,157,86800
2017-10-25,0.000496,0.000597,0.000429,0.000552,1550,78042
2017-10-24,0.000355,0.000578,0.000345,0.000496,228,55765
2017-10-23,0.000552,0.000639,0.000316,0.000355,200,86850
2017-10-22,0.000618,0.000693,0.000534,0.000553,160,97180
2017-10-21,0.000667,0.000681,0.000542,0.000618,408,104831
2017-10-20,0.000603,0.000674,0.000520,0.000668,579,94732
2017-10-19,0.000680,0.000701,0.000591,0.000602,392,106942
2017-10-18,0.000672,0.000684,0.000528,0.000680,444,105668
2017-10-17,0.000702,0.000788,0.000613,0.000672,203,110385
2017-10-16,0.000817,0.000817,0.000672,0.000702,232,128526
2017-10-15,0.000993,0.000996,0.000683,0.000776,1552,156131
2017-10-14,0.000807,0.001056,0.000800,0.000937,777,126936
2017-10-13,0.000672,0.000936,0.000666,0.000807,593,105684
2017-10-12,0.001376,0.001376,0.000589,0.000670,1757,216332
2017-10-11,0.001512,0.001679,0.001375,0.001375,1729,237682
2017-10-10,0.000965,0.002028,0.000965,0.001512,1206,151643
2017-10-09,0.001390,0.001403,0.000806,0.000965,3924,218603
2017-10-08,0.001737,0.001780,0.001092,0.001390,1601,273172
2017-10-07,0.001931,0.002793,0.001554,0.001721,4573,303667
2017-10-06,0.001392,0.002824,0.001288,0.001938,15799,218790
2017-10-05,0.000687,0.001741,0.000621,0.001392,8117,108081
2017-10-04,0.000694,0.000849,0.000631,0.000687,672,109055
2017-10-03,0.000479,0.001260,0.000478,0.000692,3317,75359
2017-10-02,0.000899,0.000900,0.000477,0.000479,677,141291
2017-10-01,0.001046,0.001049,0.000833,0.000899,323,164459
2017-09-30,0.001452,0.001482,0.000859,0.001045,3108,228326
2017-09-29,0.000804,0.001774,0.000687,0.001452,4217,126337
2017-09-28,0.000731,0.001823,0.000719,0.000804,4991,114956
2017-09-27,0.000630,0.001569,0.000630,0.000737,2205,98978
2017-09-26,0.000356,0.010984,0.000355,0.000684,7522,56049
2017-09-25,0.000437,0.000451,0.000348,0.000357,71,68669
2017-09-24,0.000417,0.000451,0.000292,0.000437,1204,65521
2017-09-23,0.000433,0.000493,0.000407,0.000417,28,68058
2017-09-22,0.000464,0.000481,0.000398,0.000434,22,72888
2017-09-21,0.000543,0.000547,0.000382,0.000464,266,85391
2017-09-20,0.000505,0.000557,0.000452,0.000546,119,79402
2017-09-19,0.000533,0.000543,0.000471,0.000506,163,83863
2017-09-18,0.000507,0.000558,0.000481,0.000532,123,79741
2017-09-17,0.000480,0.000537,0.000419,0.000508,202,75531
2017-09-16,0.000498,0.000586,0.000456,0.000481,188,78361
2017-09-15,0.000513,0.000580,0.000374,0.000500,36,80606
2017-09-14,0.000544,0.000634,0.000417,0.000509,485,85585
2017-09-13,0.000466,0.000600,0.000428,0.000544,552,73281
2017-09-12,0.000590,0.000614,0.000465,0.000468,148,92735
2017-09-11,0.000594,0.000612,0.000419,0.000589,777,93438
2017-09-10,0.000581,0.000700,0.000511,0.000595,902,91371
2017-09-09,0.000633,0.000730,0.000558,0.000583,371,99479
2017-09-08,0.000673,0.000711,0.000490,0.000631,1570,105865
2017-09-07,0.000833,0.000875,0.000565,0.000673,2450,131026
2017-09-06,0.001273,0.001307,0.000704,0.000835,826,200154
2017-09-05,0.002671,0.002774,0.001011,0.001271,1778,419783
2017-09-04,0.000867,0.002679,0.000257,0.002657,1164,136199
2017-09-03,0.000827,0.000933,0.000636,0.000866,934,129863
2017-09-02,0.000958,0.000963,0.000654,0.000827,1833,150485
2017-09-01,0.000918,0.001004,0.000893,0.000957,454,143998
2017-08-31,0.000824,0.000985,0.000824,0.000917,361,125059
2017-08-30,0.000888,0.001002,0.000792,0.000825,1060,134546
2017-08-29,0.000752,0.001296,0.000671,0.000887,1162,113730
2017-08-28,0.001042,0.001042,0.000586,0.000750,3793,151905
2017-08-27,0.001081,0.001081,0.000691,0.001043,648,157445
2017-08-26,0.000786,0.001231,0.000786,0.001081,225,114449
2017-08-25,0.000912,0.001065,0.000688,0.000785,21,132829
2017-08-24,0.001209,0.001230,0.000771,0.000913,62,176100
2017-08-23,0.002350,0.004496,0.000863,0.001187,385,342287
2017-08-22,0.000885,0.002688,0.000701,0.002623,108,128915
