Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.838528,0.946183,0.788682,0.925085,6961,8248630
2017-11-23,0.903261,0.907674,0.671819,0.834968,3228,8885410
2017-11-22,0.817799,0.905254,0.665193,0.903550,5079,8044720
2017-11-21,0.833658,0.952307,0.742409,0.817753,10979,8200720
2017-11-20,0.806885,0.981551,0.707208,0.840796,15622,7937350
2017-11-19,0.797182,0.879717,0.768563,0.813028,5316,7841910
2017-11-18,0.697891,0.847623,0.695605,0.798621,26885,6865180
2017-11-17,0.650285,0.768145,0.643034,0.698303,1701,6396870
2017-11-16,0.879817,0.915305,0.650779,0.661661,3152,8654780
2017-11-15,0.684990,0.877362,0.609539,0.875409,20203,6738270
2017-11-14,0.620518,0.722098,0.577862,0.688255,10245,6104050
2017-11-13,0.547843,0.679927,0.524711,0.625096,3543,5389150
2017-11-12,0.508373,0.622251,0.469729,0.544981,1548,5000880
2017-11-11,0.651017,0.753928,0.507003,0.508053,6421,6404080
2017-11-10,0.661773,0.662748,0.495139,0.650833,19551,6509880
2017-11-09,0.546501,0.677470,0.535071,0.660468,6617,5375940
2017-11-08,0.649439,0.706788,0.496831,0.546274,7145,6388550
2017-11-07,0.558346,0.667324,0.485138,0.650337,4841,5492470
2017-11-06,0.931564,0.931564,0.461814,0.559109,3360,9163820
2017-11-05,0.479186,0.954404,0.408411,0.932585,86291,4713770
2017-11-04,0.474195,0.568120,0.448288,0.478387,1012,4664670
2017-11-03,0.553153,0.620073,0.393636,0.475523,3965,5441380
2017-11-02,0.418700,0.613641,0.272705,0.552228,12143,4118770
2017-11-01,0.464998,0.486499,0.330068,0.416977,8653,4574200
2017-10-31,0.474148,0.500501,0.378527,0.467916,9010,4664210
2017-10-30,0.488794,0.495026,0.406580,0.476112,3741,4808280
2017-10-29,0.488676,0.504121,0.331422,0.491365,3423,4807120
2017-10-28,0.478221,0.499949,0.389348,0.488056,2251,4704280
2017-10-27,0.487585,0.521724,0.363319,0.479115,458,4796390
2017-10-26,0.869952,0.875619,0.357883,0.488275,3130,8557750
2017-10-25,0.553814,0.871403,0.457102,0.870168,3211,5447890
2017-10-24,0.482547,0.587145,0.477993,0.554572,2917,4746830
