Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.022315,0.024650,0.021423,0.024478,728,93613
2017-11-23,0.024719,0.029566,0.022345,0.022345,613,103701
2017-11-22,0.024342,0.036615,0.024239,0.024727,2065,102119
2017-11-21,0.024721,0.025110,0.023385,0.024283,191,103709
2017-11-20,0.023823,0.024852,0.023567,0.024717,610,99943
2017-11-19,0.024686,0.024810,0.023090,0.023835,572,103559
2017-11-18,0.022971,0.024922,0.022269,0.024731,666,96367
2017-11-17,0.023534,0.024088,0.022607,0.023060,581,98728
2017-11-16,0.023005,0.024008,0.021567,0.023573,1024,96507
2017-11-15,0.020982,0.023070,0.020982,0.022885,226,88024
2017-11-14,0.020008,0.022561,0.019785,0.020968,658,83935
2017-11-13,0.017612,0.020942,0.017612,0.019966,420,73887
2017-11-12,0.019141,0.019321,0.016636,0.017587,568,80297
2017-11-11,0.020316,0.022159,0.018885,0.019155,91,85230
2017-11-10,0.022373,0.023018,0.019008,0.020389,223,93856
2017-11-09,0.022402,0.022491,0.020355,0.022306,179,93980
2017-11-08,0.016374,0.022427,0.016277,0.022425,555,68692
2017-11-07,0.020877,0.022178,0.016194,0.016426,540,87582
2017-11-06,0.020533,0.021495,0.019336,0.020910,342,86137
2017-11-05,0.019587,0.025494,0.019393,0.020487,583,82172
2017-11-04,0.021192,0.027160,0.019164,0.019625,576,88903
2017-11-03,0.021070,0.025647,0.020835,0.021247,181,88391
2017-11-02,0.020186,0.021935,0.020186,0.021098,346,84682
2017-11-01,0.019332,0.020200,0.019097,0.020163,261,81099
2017-10-31,0.018315,0.019346,0.018175,0.019346,288,76833
2017-10-30,0.019124,0.019380,0.017766,0.018377,231,80228
2017-10-29,0.017179,0.019334,0.017135,0.019236,301,72067
2017-10-28,0.017283,0.017604,0.017008,0.017202,230,72505
2017-10-27,0.012930,0.017368,0.011261,0.017236,698,54241
2017-10-26,0.018205,0.019985,0.012456,0.012927,1483,76374
2017-10-25,0.016577,0.019219,0.016162,0.018208,132,69543
2017-10-24,0.023187,0.025173,0.016472,0.016570,1845,97273
