Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.041154,0.071177,0.040376,0.045182,1280,101934
2017-11-23,0.056512,0.058217,0.040821,0.041212,1868,139975
2017-11-22,0.054303,0.059601,0.050148,0.057307,32,134502
2017-11-21,0.040907,0.062629,0.038578,0.054176,316,101321
2017-11-20,0.057696,0.609558,0.040958,0.040958,15,142908
2017-11-19,0.054986,0.058638,0.051358,0.057723,478,136195
2017-11-18,0.064199,0.166473,0.052751,0.055050,16,159015
2017-11-17,0.055785,0.065382,0.050608,0.064446,71,138173
2017-11-16,0.052219,0.056908,0.048871,0.055877,232,129340
2017-11-15,0.034430,0.056953,0.034430,0.051947,492,85279
2017-11-14,0.042923,0.043653,0.024945,0.034406,587,106317
2017-11-13,0.039216,0.047389,0.039216,0.042833,95,97133
2017-11-12,0.046705,0.047533,0.031629,0.039158,240,115683
2017-11-11,0.049120,0.050752,0.042359,0.046739,736,121664
2017-11-10,0.073375,0.073628,0.048145,0.049295,371,181742
2017-11-09,0.073446,0.081630,0.056873,0.072284,374,181917
2017-11-08,0.124217,0.169945,0.055951,0.073521,2593,307672
2017-11-07,0.077624,0.180193,0.068892,0.124740,13056,192266
2017-11-06,0.064511,0.235258,0.057028,0.077748,22335,159787
2017-11-05,0.075259,0.081032,0.063657,0.064368,219,186409
2017-11-04,0.082044,0.082213,0.062732,0.075402,39,203215
2017-11-03,0.039694,0.082532,0.038406,0.082258,320,98317
2017-11-02,0.072727,0.080250,0.033457,0.039746,597,180137
2017-11-01,0.050144,0.072780,0.045941,0.072646,572,124201
2017-10-31,0.052004,0.053226,0.048763,0.050181,115,128809
2017-10-30,0.056976,0.057022,0.051435,0.052182,216,141124
2017-10-29,0.047544,0.083498,0.045978,0.057309,1525,117762
2017-10-28,0.049645,0.054426,0.045298,0.047609,182,122964
2017-10-27,0.049290,0.153801,0.049240,0.049509,699,122086
2017-10-26,0.049609,0.050372,0.014195,0.049292,267,122876
2017-10-25,0.042669,0.049703,0.041599,0.049615,112,105686
2017-10-24,0.042592,0.046684,0.037623,0.042652,65,105495
2017-10-23,0.050967,0.053563,0.041186,0.042691,267,126239
2017-10-22,0.055538,0.066475,0.050848,0.051049,71,137561
2017-10-21,0.050083,0.073506,0.049735,0.055521,330,124050
2017-10-20,0.046748,0.050965,0.046128,0.050188,4,115791
2017-10-19,0.055334,0.062563,0.040389,0.046735,275,137056
2017-10-18,0.046673,0.056037,0.044714,0.055305,13,115605
2017-10-17,0.046607,0.047520,0.044543,0.046671,5,115440
2017-10-16,0.026259,0.048487,0.025625,0.046600,115,65041
2017-10-15,0.046810,0.047138,0.017486,0.026256,321,115944
2017-10-14,0.063905,0.069539,0.046633,0.046726,59,158285
2017-10-13,0.044180,0.066480,0.043874,0.063887,15,109430
2017-10-12,0.065014,0.070478,0.043595,0.044045,940,161033
2017-10-11,0.104359,0.104652,0.048622,0.064917,4203,258487
2017-10-10,0.038211,0.105198,0.038211,0.104503,15689,94645
2017-10-09,0.039225,0.040280,0.037140,0.038214,253,97155
2017-10-08,0.036023,0.049878,0.035925,0.039214,149,89225
2017-10-07,0.052113,0.095725,0.035254,0.036120,16506,129078
2017-10-06,0.030879,0.176301,0.030817,0.052096,2874,76484
2017-10-05,0.041732,0.042031,0.029452,0.030879,4,103365
2017-10-04,0.031750,0.189268,0.031577,0.041713,11,78641
2017-10-03,0.033858,0.033858,0.031375,0.031676,13,83862
2017-10-02,0.030103,0.034007,0.029741,0.033857,2,74561
2017-10-01,0.029197,0.030116,0.028700,0.030116,54,72319
2017-09-30,0.034753,0.037070,0.028174,0.029181,4,86080
2017-09-29,0.024172,0.036124,0.024044,0.034749,282,59871
2017-09-28,0.037277,0.037338,0.023931,0.024190,131,92331
2017-09-27,0.031795,0.059429,0.031795,0.037275,32,78753
2017-09-26,0.032338,0.032417,0.030391,0.031884,14,80098
2017-09-25,0.035564,0.036709,0.026868,0.032341,119,88089
2017-09-24,0.028560,0.035784,0.022767,0.035601,183,70739
2017-09-23,0.024707,0.028950,0.024473,0.028562,477,61197
2017-09-22,0.062345,0.156553,0.024176,0.024778,179,154422
2017-09-21,0.031446,0.143239,0.022678,0.062483,5809,77889
2017-09-20,0.032212,0.033199,0.031527,0.031601,16,79785
2017-09-19,0.035280,0.035280,0.030843,0.032255,58,87385
2017-09-18,0.032541,0.036620,0.032541,0.035194,156,80600
2017-09-17,0.034481,0.034481,0.028210,0.032372,62,85405
2017-09-16,0.036374,0.036472,0.032472,0.034504,254,90095
2017-09-15,0.044573,0.044654,0.035185,0.036469,136,110401
2017-09-14,0.049809,0.050471,0.027326,0.044228,26,123372
2017-09-13,0.035062,0.057528,0.034314,0.049806,555,86844
2017-09-12,0.039318,0.044492,0.034532,0.035050,200,97385
2017-09-11,0.031012,0.039494,0.022637,0.039330,46,76814
2017-09-10,0.060246,0.060246,0.028176,0.030915,300,149222
2017-09-09,0.044370,0.060354,0.039512,0.060182,442,109899
2017-09-08,0.045507,0.049751,0.042234,0.044284,111,112715
2017-09-07,0.053630,0.053639,0.042341,0.045498,47,132836
2017-09-06,0.037329,0.053869,0.029870,0.053733,113,92461
2017-09-05,0.051039,0.051039,0.037119,0.037286,131,126419
2017-09-04,0.053719,0.053758,0.042902,0.050776,218,133057
2017-09-03,0.053846,0.070112,0.050171,0.053701,189,133370
2017-09-02,0.074728,0.111165,0.052650,0.053811,4426,185093
2017-09-01,0.043482,0.111971,0.042391,0.074633,10026,107700
2017-08-31,0.076381,0.077252,0.043438,0.043474,202,189188
2017-08-30,0.072499,0.084145,0.056049,0.076515,307,179572
2017-08-29,0.057114,0.074190,0.049322,0.072596,368,141466
2017-08-28,0.059988,0.064631,0.053429,0.057017,546,148584
2017-08-27,0.040889,0.064053,0.040882,0.059927,694,101278
2017-08-26,0.044004,0.058524,0.040786,0.040878,46,108992
2017-08-25,0.069244,0.070108,0.043791,0.043922,179,171509
