Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.450931,0.573522,0.412664,0.547935,2499490,30663300
2017-11-23,0.493779,0.497656,0.449985,0.454822,1507110,33577000
2017-11-22,0.542944,0.550788,0.473565,0.491116,1623490,36920200
2017-11-21,0.583747,0.587015,0.483815,0.535113,2045560,39694800
2017-11-20,0.607230,0.613486,0.560509,0.583854,1464510,41291700
2017-11-19,0.641658,0.641658,0.569095,0.608311,1740470,43632700
2017-11-18,0.543302,0.647491,0.524193,0.644752,3042030,36944500
2017-11-17,0.561130,0.583408,0.536258,0.544583,1306170,38156800
2017-11-16,0.599000,0.614527,0.525865,0.574862,1840890,40732000
2017-11-15,0.624774,0.670484,0.582665,0.596661,3885650,42484600
2017-11-14,0.597950,0.639590,0.566960,0.623586,2993600,40660600
2017-11-13,0.561582,0.649889,0.550819,0.586524,4400300,38187600
2017-11-12,0.662721,0.662721,0.514321,0.560738,3145890,45065000
2017-11-11,0.488361,0.673106,0.447318,0.664047,7893350,33208600
2017-11-10,0.511748,0.568339,0.430840,0.482649,3991770,34798900
2017-11-09,0.401134,0.606240,0.380308,0.509292,6270300,27277100
2017-11-08,0.396952,0.423663,0.350441,0.402061,1462050,26992800
2017-11-07,0.362574,0.414603,0.352511,0.398041,900372,24655000
2017-11-06,0.373999,0.399200,0.311903,0.361436,1445470,25431900
2017-11-05,0.388796,0.444729,0.366757,0.373483,732182,26438100
2017-11-04,0.367439,0.493579,0.367439,0.387284,2549140,24985900
2017-11-03,0.347265,0.465177,0.344053,0.389991,1166260,23614000
2017-11-02,0.360011,0.399351,0.258027,0.346907,1791850,24480800
2017-11-01,0.454665,0.467703,0.330672,0.359418,1815070,30917200
2017-10-31,0.485754,0.511279,0.427247,0.455999,853549,33031200
2017-10-30,0.510429,0.512801,0.442683,0.486556,1132910,34709200
2017-10-29,0.500261,0.533186,0.481379,0.511542,798273,34017700
2017-10-28,0.528846,0.578660,0.494065,0.500717,726912,35961500
2017-10-27,0.617813,0.624175,0.487592,0.527812,1245280,42011300
2017-10-26,0.626212,0.671259,0.585504,0.617630,1279700,42582400
2017-10-25,0.521603,0.683990,0.519504,0.626726,1643710,35469000
2017-10-24,0.493376,0.601077,0.440670,0.514230,2419720,33549600
2017-10-23,0.579303,0.594473,0.424875,0.498379,1101470,39392600
2017-10-22,0.553144,0.583086,0.513230,0.553754,1012960,37613800
2017-10-21,0.592991,0.715527,0.519680,0.550067,1314040,40323400
2017-10-20,0.633831,0.642997,0.508952,0.587680,1102800,43100500
2017-10-19,0.731279,0.759684,0.626661,0.640897,1372240,49726900
2017-10-18,0.862993,0.905037,0.614257,0.767450,1795240,58683500
2017-10-17,0.854442,0.874003,0.768274,0.852260,752420,58102100
2017-10-16,0.966247,0.970284,0.823530,0.853991,656988,65704800
2017-10-15,0.911572,0.984310,0.830000,0.964826,1026170,61986900
2017-10-14,0.885697,1.27,0.869128,0.909428,2556750,60227400
2017-10-13,0.952515,1.00,0.817700,0.885272,972405,64771000
2017-10-12,1.03,1.04,0.914238,0.962048,884692,69923000
2017-10-11,0.929127,1.10,0.829662,1.06,2179770,63180700
2017-10-10,1.04,1.06,0.852768,0.948009,999150,70718100
2017-10-09,1.12,1.12,0.967592,1.04,680967,76375500
2017-10-08,1.18,1.21,1.11,1.12,659641,80021500
2017-10-07,1.16,1.25,1.09,1.18,1185840,79195900
2017-10-06,1.12,1.42,1.09,1.34,1603090,75840400
2017-10-05,1.03,1.40,1.01,1.12,560383,69704400
2017-10-04,0.989906,1.19,0.917106,1.02,1058170,67313600
2017-10-03,1.17,1.19,0.929400,0.995700,991389,79228500
2017-10-02,1.27,1.75,1.14,1.16,1573190,86177600
2017-10-01,1.33,1.36,1.20,1.27,1220540,90552100
2017-09-30,1.49,1.50,1.27,1.33,1226420,101371000
2017-09-29,1.42,1.49,1.18,1.45,2248720,96664200
2017-09-28,1.31,2.11,1.20,1.42,1088740,-
2017-09-27,1.10,1.34,1.09,1.31,245919,-
2017-09-26,1.25,1.28,0.718503,1.09,152175,-
2017-09-25,1.19,1.29,1.15,1.25,141362,-
2017-09-24,1.18,1.33,1.15,1.19,88703,-
2017-09-23,1.41,1.63,1.09,1.17,91905,-
2017-09-22,0.964372,2.92,0.964372,1.10,67686,-
2017-09-21,1.19,3.43,0.765121,0.946296,243053,-
2017-09-20,1.18,1.66,0.885538,1.19,393341,-
2017-09-19,1.61,6.35,1.18,1.18,211510,-
2017-09-18,1.32,2.85,1.32,1.61,278172,-
2017-09-17,1.26,2.48,1.20,1.37,161554,-
2017-09-16,1.10,1.48,1.10,1.26,251685,-
2017-09-15,0.856970,1.19,0.763215,1.10,143337,-
2017-09-14,1.08,2.45,0.860433,0.860433,189233,-
2017-09-13,1.22,1.39,0.938614,1.08,276425,-
2017-09-12,1.10,1.47,1.08,1.21,501610,-
2017-09-11,1.26,1.26,0.988172,1.11,310102,-
2017-09-10,1.10,1.41,1.01,1.26,135854,-
2017-09-09,1.09,1.27,0.936211,1.10,98523,-
2017-09-08,1.31,1.31,1.01,1.09,152200,-
2017-09-07,1.02,1.51,1.02,1.31,252785,-
2017-09-06,1.10,1.65,1.02,1.02,276408,-
2017-09-05,1.02,7.69,0.943745,1.12,90046,-
2017-09-04,1.37,1.39,0.871283,1.02,96776,-
2017-09-03,1.11,2.29,1.09,1.36,323164,-
2017-09-02,1.09,1.43,0.720598,1.11,174055,-
2017-09-01,0.975079,1.18,0.822846,1.09,116552,-
2017-08-31,1.01,1.05,0.892317,0.983847,55522,-
2017-08-30,1.04,1.09,0.770211,1.01,62375,-
2017-08-29,1.04,1.30,0.885304,1.06,101870,-
2017-08-28,1.54,8.40,0.872515,1.04,777270,-
2017-08-27,0.923511,2.32,0.900996,1.53,295220,-
2017-08-26,0.539570,6.91,0.503050,6.91,1357080,35625400
2017-08-25,0.564608,0.956902,0.417401,0.541952,48921,1853180
2017-08-24,0.568501,0.906907,0.435054,0.562879,23927,1865960
2017-08-23,0.470312,1.04,0.470312,0.568329,8361,1543680
2017-08-22,0.544762,0.949849,0.346227,0.472416,8790,1788050
2017-08-21,0.470949,1.31,0.446309,0.575647,15748,1545770
2017-08-18,0.596948,0.608703,0.586324,0.590373,15119,1959330
2017-08-17,0.564239,0.819438,0.458370,0.598476,15326,1851970
2017-08-16,0.513727,0.806190,0.353070,0.564149,6583,1686180
2017-08-15,0.594508,0.643587,0.399237,0.511050,8347,1951320
2017-08-14,0.566859,1.10,0.345791,0.593727,25613,1860570
2017-08-13,0.673459,1.19,0.226815,0.567073,30227,2210460
2017-08-12,0.408216,3.05,0.383469,0.674633,49203,1339870
2017-08-10,0.345591,0.349863,0.339080,0.342995,2265,1119270
2017-08-09,0.346251,0.368153,0.326552,0.346243,2286,1121410
2017-08-08,0.151344,0.346322,0.150359,0.345372,2484,-
