Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.165317,0.193379,0.155927,0.192921,3763260,57860800
2017-11-23,0.169655,0.190338,0.157085,0.164384,3325760,59379300
2017-11-22,0.156980,0.174569,0.150318,0.168515,2709660,54942900
2017-11-21,0.163476,0.168005,0.153796,0.154972,1952710,57216700
2017-11-20,0.162366,0.166283,0.156672,0.162183,1916880,56827900
2017-11-19,0.170798,0.173812,0.157416,0.162354,1646620,59779400
2017-11-18,0.155009,0.177912,0.150702,0.170872,1948470,54253000
2017-11-17,0.169455,0.171535,0.152477,0.159649,2547360,59309100
2017-11-16,0.187482,0.188444,0.164531,0.169761,1766160,65618600
2017-11-15,0.187613,0.193513,0.176030,0.186138,1689780,65664700
2017-11-14,0.184815,0.199968,0.170400,0.188114,2203410,64685100
2017-11-13,0.169117,0.205014,0.168743,0.183071,2992650,59191100
2017-11-12,0.179667,0.198376,0.145948,0.170898,5455200,62883400
2017-11-11,0.186398,0.197687,0.166026,0.179770,2238980,65239300
2017-11-10,0.224700,0.231280,0.180161,0.187602,2125460,78645100
2017-11-09,0.216713,0.248233,0.195411,0.223969,3347920,75849700
2017-11-08,0.177328,0.258522,0.171102,0.213909,5493180,62064900
2017-11-07,0.167836,0.177565,0.162294,0.177539,1267510,58742700
2017-11-06,0.173370,0.173470,0.156914,0.167456,1599470,60679600
2017-11-05,0.176922,0.182497,0.169625,0.172059,1080670,61922500
2017-11-04,0.170295,0.185698,0.162385,0.177603,1757130,59603300
2017-11-03,0.161143,0.188294,0.158104,0.171798,2411460,56400000
2017-11-02,0.156799,0.194406,0.138434,0.167427,3643740,54879700
2017-11-01,0.190372,0.190372,0.155311,0.157611,3130450,66630200
2017-10-31,0.211457,0.221311,0.184711,0.193912,2251570,74010000
2017-10-30,0.199246,0.210863,0.195898,0.209849,1492410,69736100
2017-10-29,0.205613,0.218749,0.182713,0.198876,2352990,71964600
2017-10-28,0.224610,0.227004,0.199226,0.206531,1522820,78613400
2017-10-27,0.227601,0.235078,0.219734,0.224644,1419580,79660300
2017-10-26,0.254033,0.254033,0.224187,0.227041,1681240,88911700
2017-10-25,0.255253,0.257736,0.235772,0.254435,2161880,89338400
2017-10-24,0.244765,0.294806,0.236123,0.254453,3665750,85667600
2017-10-23,0.263856,0.276816,0.228412,0.248675,2972470,92349700
2017-10-22,0.258186,0.285979,0.249826,0.264695,4038780,90365200
2017-10-21,0.223434,0.266299,0.203227,0.252681,5154740,78201800
2017-10-20,0.298908,0.323952,0.216270,0.223874,7715660,104618000
2017-10-19,0.367808,0.377265,0.293921,0.300000,5812480,128733000
2017-10-18,0.402731,0.402731,0.325790,0.366229,5336930,140956000
2017-10-17,0.422383,0.422383,0.359183,0.400848,6321060,147834000
2017-10-16,0.415525,0.527722,0.389498,0.423807,12123000,145434000
2017-10-15,0.391134,0.423696,0.370720,0.413516,5135330,136897000
2017-10-14,0.434848,0.459368,0.389206,0.391860,4219350,152197000
2017-10-13,0.441636,0.473790,0.414082,0.434603,7521630,154573000
2017-10-12,0.452886,0.475765,0.423021,0.444011,8959280,158510000
2017-10-11,0.416346,0.454111,0.408787,0.450463,5477860,145721000
2017-10-10,0.380399,0.433060,0.360251,0.407469,7138890,133140000
2017-10-09,0.404506,0.439560,0.357163,0.380589,6781680,141577000
2017-10-08,0.462486,0.473417,0.358079,0.397137,7203350,161870000
2017-10-07,0.472246,0.476171,0.423777,0.463657,7408570,165286000
2017-10-06,0.406319,0.485050,0.404342,0.475765,12167500,142212000
2017-10-05,0.397030,0.417906,0.378043,0.406538,6291110,138960000
2017-10-04,0.343186,0.398695,0.336883,0.397361,7604930,120115000
2017-10-03,0.367254,0.367254,0.295817,0.345535,8211990,128539000
2017-10-02,0.437667,0.440264,0.356767,0.356767,7101340,153183000
2017-10-01,0.451547,0.451884,0.382034,0.436647,10005100,158041000
2017-09-30,0.312497,0.472558,0.300089,0.451364,23440700,109374000
2017-09-29,0.245437,0.334931,0.214421,0.308440,8896430,85903000
2017-09-28,0.193377,0.283820,0.191310,0.243795,8113680,67681900
2017-09-27,0.194737,0.206099,0.194253,0.194586,1097010,68158000
2017-09-26,0.182039,0.223162,0.182039,0.194958,1319050,63713600
2017-09-25,0.170636,0.182637,0.158580,0.182198,1021370,59722600
2017-09-24,0.131110,0.190250,0.130275,0.170278,1025740,45888600
2017-09-23,0.149562,0.157440,0.126297,0.131129,1186670,52346600
2017-09-22,0.169826,0.181675,0.139869,0.150503,1423220,59438900
2017-09-21,0.189132,0.207892,0.155292,0.169680,2126270,66196100
2017-09-20,0.156494,0.189448,0.152489,0.189165,2718640,54773000
