Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,6.55,6.70,5.91,6.46,766430,17849700
2017-11-23,6.25,6.92,6.05,6.53,1040960,17029300
2017-11-22,5.69,6.25,5.69,6.18,624886,15498100
2017-11-21,5.82,5.99,5.42,5.68,385260,15855600
2017-11-20,5.45,5.88,5.45,5.86,442020,14831800
2017-11-19,5.34,5.62,5.34,5.48,241224,14514700
2017-11-18,5.27,5.47,5.05,5.36,226179,14333700
2017-11-17,5.38,6.11,5.15,5.29,583751,14617300
2017-11-16,5.03,5.47,4.92,5.37,371835,13646600
2017-11-15,4.76,5.98,4.75,5.00,1187190,12910600
2017-11-14,4.52,4.80,4.41,4.75,328825,12252900
2017-11-13,3.97,4.60,3.96,4.50,179536,10768900
2017-11-12,4.40,4.50,3.80,3.96,281827,11914300
2017-11-11,4.50,4.77,4.35,4.35,242673,12187100
2017-11-10,5.08,5.19,4.34,4.57,419454,13752600
2017-11-09,5.13,5.27,4.94,5.13,388700,13870100
2017-11-08,4.79,5.32,4.62,5.18,876608,12935100
2017-11-07,4.81,5.11,4.73,4.82,368497,12986800
2017-11-06,5.17,5.17,4.53,4.82,909661,13946800
2017-11-05,4.66,5.56,4.43,5.20,2674870,12556600
2017-11-04,4.19,4.89,3.99,4.71,504328,11277700
2017-11-03,4.10,4.24,3.91,4.17,417302,11039300
2017-11-02,3.53,4.11,3.53,4.06,1158000,9503660
2017-11-01,3.44,3.62,3.34,3.54,439966,9237650
2017-10-31,3.63,3.64,3.38,3.44,377565,9767190
2017-10-30,3.54,3.68,3.49,3.65,220775,9509180
2017-10-29,3.60,3.80,3.53,3.57,454370,9657080
2017-10-28,3.60,3.71,3.55,3.58,160643,9667620
2017-10-27,3.64,4.02,3.55,3.65,521612,9766320
2017-10-26,3.52,3.76,3.52,3.64,360314,9419940
2017-10-25,3.70,3.78,3.35,3.49,726757,9912440
2017-10-24,3.42,4.04,3.33,3.70,996228,9160360
2017-10-23,3.64,3.77,3.26,3.43,756564,9749280
2017-10-22,3.68,4.07,3.40,3.65,825513,9837370
2017-10-21,3.93,3.98,3.28,3.70,1345000,10503700
2017-10-20,4.64,4.71,3.67,3.93,2478260,12390200
2017-10-19,4.01,5.05,3.93,4.61,2165630,10696100
2017-10-18,4.11,4.11,3.73,4.00,393410,10957900
2017-10-17,4.24,4.36,3.94,4.10,689069,11299600
2017-10-16,4.11,4.53,3.68,4.24,2214830,10940400
2017-10-15,4.63,4.74,3.48,4.08,5652750,12320200
2017-10-14,6.40,6.53,4.57,4.67,5898110,17029300
2017-10-13,12.20,12.36,3.89,6.49,20608100,32450400
2017-10-12,11.22,12.26,11.09,12.22,481392,29813600
2017-10-11,11.36,11.46,10.97,11.19,217981,30182800
2017-10-10,10.92,11.63,10.76,11.37,511924,28992100
2017-10-09,11.03,11.63,10.61,10.99,2636360,29266200
2017-10-08,9.29,11.31,9.15,11.02,2053790,24638600
2017-10-07,9.17,9.33,8.89,9.32,238066,24304800
2017-10-06,9.01,9.33,8.88,9.17,79921,23865200
2017-10-05,8.96,9.35,8.62,9.04,294634,23725900
2017-10-04,9.19,9.20,8.71,8.97,239147,24298900
2017-10-03,9.34,9.82,8.89,9.16,311834,24693900
2017-10-02,9.54,10.08,9.34,9.34,566053,25217700
2017-10-01,9.34,9.71,8.90,9.57,852582,24667300
2017-09-30,8.76,9.40,8.75,9.31,169525,23119100
2017-09-29,9.00,9.15,8.43,8.72,352760,23748700
2017-09-28,9.04,9.16,8.62,9.05,390134,23820300
2017-09-27,8.56,9.14,8.56,9.04,445161,22548200
2017-09-26,8.54,8.78,8.16,8.58,329500,22484900
2017-09-25,7.98,8.90,7.98,8.52,1415520,21008100
2017-09-24,7.98,8.12,7.60,7.99,1167710,20977600
