Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,6.46,7.00,6.32,6.91,411726,33095300
2017-11-23,6.76,6.94,6.42,6.44,270536,34633300
2017-11-22,6.74,7.20,6.49,6.76,381805,34518500
2017-11-21,6.24,6.92,5.76,6.86,423023,31936700
2017-11-20,6.24,6.48,6.13,6.29,283768,31951300
2017-11-19,6.36,6.49,6.13,6.23,179569,32598600
2017-11-18,6.25,6.36,5.98,6.33,239860,32028900
2017-11-17,6.66,6.92,6.11,6.30,316113,34147300
2017-11-16,6.32,6.88,6.08,6.70,289361,32377800
2017-11-15,5.43,6.39,5.42,6.30,433027,27806600
2017-11-14,5.51,5.76,5.27,5.39,250098,28215300
2017-11-13,5.47,6.06,5.30,5.48,317485,28036700
2017-11-12,5.31,5.99,4.76,5.39,356173,27202100
2017-11-11,4.96,5.70,4.91,5.32,246102,25396000
2017-11-10,5.80,6.09,4.82,4.90,311116,29724700
2017-11-09,6.18,6.31,5.71,5.78,341138,31682900
2017-11-08,4.72,6.54,4.65,6.19,515814,24202600
2017-11-07,4.79,5.11,4.53,4.74,206884,24552900
2017-11-06,4.55,5.25,4.43,4.74,290595,23292200
2017-11-05,4.41,4.90,4.37,4.47,200808,22583800
2017-11-04,4.68,5.03,4.33,4.42,278523,23948900
2017-11-03,4.44,6.20,4.15,4.54,588574,22743900
2017-11-02,4.81,5.06,4.12,4.56,274934,24635600
2017-11-01,5.13,5.23,4.68,4.79,239468,26271400
2017-10-31,5.61,5.66,5.06,5.18,262365,28736600
2017-10-30,5.66,5.79,5.47,5.66,279890,28976900
2017-10-29,5.32,5.81,5.27,5.66,290332,27247500
2017-10-28,5.67,5.76,5.12,5.33,261325,29014500
2017-10-27,5.82,5.94,5.46,5.61,152401,29786000
2017-10-26,6.04,6.14,5.61,5.82,211324,30923100
2017-10-25,6.51,6.63,5.61,6.06,324224,33330900
2017-10-24,5.62,6.82,5.48,6.56,476158,28769600
2017-10-23,5.61,6.07,5.32,5.71,324034,28698700
2017-10-22,5.45,5.94,5.28,5.61,318290,27878700
2017-10-21,6.14,6.14,5.54,5.54,227218,31412000
2017-10-20,6.30,7.23,6.11,6.11,378045,32267700
2017-10-19,6.20,8.08,6.00,6.29,874753,31749700
2017-10-18,6.05,6.26,5.54,6.17,190616,30942500
2017-10-17,5.95,6.58,5.85,6.13,291193,30455900
2017-10-16,5.92,6.13,5.67,5.99,186864,30307400
2017-10-15,6.21,6.24,5.59,6.03,203975,31791100
2017-10-14,6.01,6.50,5.91,6.12,210092,30764300
2017-10-13,6.14,6.84,5.82,5.99,308040,31421200
2017-10-12,6.38,6.42,5.71,6.15,378081,32623100
2017-10-11,5.38,7.02,5.20,6.37,482842,27539500
2017-10-10,5.07,5.95,5.05,5.34,247490,25928400
2017-10-09,5.53,5.71,4.92,5.10,273125,28280300
2017-10-08,6.14,6.23,5.29,5.52,237561,31380600
2017-10-07,6.60,6.60,6.10,6.10,231729,33743500
2017-10-06,6.82,6.97,6.58,6.60,258030,34840000
2017-10-05,6.97,7.22,6.61,6.81,395012,35634800
2017-10-04,6.76,7.16,6.59,6.98,358349,34529500
2017-10-03,7.19,7.19,6.32,6.74,281419,36707700
2017-10-02,7.44,7.63,7.08,7.17,306409,37971300
2017-10-01,7.19,7.78,6.94,7.44,472294,36704300
2017-09-30,7.19,7.56,6.95,7.19,423557,36699200
2017-09-29,7.50,7.50,6.84,7.24,541213,38254700
2017-09-28,7.04,7.78,6.88,7.52,582584,35940800
2017-09-27,6.75,7.25,6.75,6.99,429426,34435200
2017-09-26,6.66,7.04,6.19,6.77,585804,33995600
2017-09-25,6.82,7.20,6.55,6.69,564542,34814900
