Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.038443,0.041157,0.034701,0.039783,779012,21553000
2017-11-23,0.038590,0.041108,0.035864,0.039252,960928,21635300
2017-11-22,0.038630,0.042722,0.035379,0.037740,1369420,21657800
2017-11-21,0.032574,0.038802,0.030392,0.038677,1233730,18262700
2017-11-20,0.033810,0.034489,0.030910,0.032388,663047,18955700
2017-11-19,0.033977,0.034652,0.032029,0.033822,693297,19049400
2017-11-18,0.034389,0.034847,0.027724,0.033758,1031730,19280100
2017-11-17,0.037838,0.038332,0.033806,0.034453,723040,21028600
2017-11-16,0.034594,0.051085,0.033693,0.037914,2036970,19202600
2017-11-15,0.035207,0.035207,0.030870,0.034848,282646,19542800
2017-11-14,0.027988,0.035491,0.026541,0.035395,266707,15536000
2017-11-13,0.034452,0.036137,0.027261,0.029860,710125,19121400
2017-11-12,0.036855,0.038088,0.032272,0.034398,184083,20454900
2017-11-11,0.037430,0.039754,0.034098,0.036861,358536,20774000
2017-11-10,0.045468,0.046286,0.036555,0.037647,487472,25235200
2017-11-09,0.042827,0.046804,0.038543,0.045441,736657,23769300
2017-11-08,0.041679,0.044564,0.037052,0.043054,1263680,23132200
2017-11-07,0.038550,0.042147,0.037739,0.041687,721563,21395800
2017-11-06,0.040070,0.040686,0.035975,0.038097,573830,22239600
2017-11-05,0.038847,0.041420,0.037159,0.040004,474809,21560800
2017-11-04,0.038202,0.039695,0.033441,0.038799,1031670,21202900
2017-11-03,0.031515,0.039256,0.031422,0.037018,851211,17491400
2017-11-02,0.034073,0.034572,0.031206,0.031315,899845,18911300
2017-11-01,0.034169,0.035648,0.033385,0.033821,676084,18964300
2017-10-31,0.034460,0.034995,0.032536,0.034227,575697,19125700
2017-10-30,0.035175,0.036506,0.034026,0.034470,530610,19522600
2017-10-29,0.033219,0.039561,0.032922,0.035303,352435,18437300
2017-10-28,0.033212,0.034638,0.032477,0.033183,315557,18433100
2017-10-27,0.033002,0.035217,0.032109,0.033243,210469,18316500
2017-10-26,0.032072,0.034532,0.030287,0.032945,350554,17800200
2017-10-25,0.034275,0.034375,0.030566,0.031627,516773,19023000
2017-10-24,0.032947,0.037090,0.032319,0.034178,330412,18286400
2017-10-23,0.034190,0.035428,0.032242,0.033079,321877,18975900
2017-10-22,0.036650,0.037456,0.034086,0.034215,150755,20341200
2017-10-21,0.037183,0.037298,0.035074,0.036718,281894,20637200
2017-10-20,0.034722,0.038596,0.034718,0.037260,405435,19271100
2017-10-19,0.034275,0.035901,0.032093,0.034752,278718,19023400
2017-10-18,0.035509,0.035674,0.031075,0.034341,299587,19708100
2017-10-17,0.036693,0.037819,0.034800,0.035544,222087,20365200
2017-10-16,0.035686,0.039845,0.035343,0.036593,138233,19806400
2017-10-15,0.038802,0.039164,0.034093,0.035348,204476,21536000
2017-10-14,0.038108,0.041461,0.035337,0.038944,237152,21150600
2017-10-13,0.038911,0.042498,0.034784,0.038071,768296,21596400
2017-10-12,0.039520,0.042378,0.038221,0.038958,284556,21934400
2017-10-11,0.041880,0.043625,0.038075,0.039666,456451,23244200
2017-10-10,0.039115,0.042331,0.036114,0.041859,209008,21709700
2017-10-09,0.042316,0.044053,0.039044,0.039112,469680,23432000
2017-10-08,0.042193,0.044640,0.041572,0.042387,959576,23363800
2017-10-07,0.042810,0.046963,0.041026,0.042174,1171780,23705300
2017-10-06,0.040568,0.045003,0.040312,0.042899,315326,22464300
2017-10-05,0.045021,0.045110,0.040870,0.041782,427596,24929900
2017-10-04,0.046803,0.047337,0.043747,0.045039,183016,25916800
2017-10-03,0.051161,0.051850,0.043228,0.047303,278926,28329800
2017-10-02,0.057845,0.060214,0.050935,0.050996,626995,32030900
