Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.009721,0.010868,0.005347,0.010801,1486,83825
2017-11-23,0.003765,0.009817,0.003640,0.009734,1138,32467
2017-11-22,0.003804,0.004015,0.003425,0.003768,348,32804
2017-11-21,0.004892,0.004896,0.003719,0.003795,366,42186
2017-11-20,0.004074,0.004945,0.003781,0.004891,205,35133
2017-11-19,0.003695,0.005329,0.003486,0.004076,188,31866
2017-11-18,0.003561,0.006077,0.003453,0.003702,105,30712
2017-11-17,0.004071,0.004167,0.003502,0.003575,66,35108
2017-11-16,0.004685,0.004789,0.003708,0.004078,45,40396
2017-11-15,0.003570,0.004690,0.003497,0.004660,182,30787
2017-11-14,0.003194,0.003772,0.003091,0.003568,351,27540
2017-11-13,0.003165,0.004164,0.003165,0.003197,56,27292
2017-11-12,0.005144,0.005144,0.004125,0.004270,129,44356
2017-11-11,0.005079,0.005301,0.004994,0.005148,75,43798
2017-11-10,0.005547,0.005708,0.004952,0.005104,47,47832
2017-11-09,0.005701,0.005701,0.004186,0.005533,229,49163
2017-11-08,0.003448,0.005730,0.003138,0.005707,489,29730
2017-11-07,0.002879,0.003523,0.002879,0.003459,227,24829
2017-11-06,0.002166,0.004013,0.002086,0.002884,196,18676
2017-11-05,0.002544,0.002636,0.001890,0.002161,353,21933
2017-11-04,0.003469,0.003625,0.002401,0.002548,48,29912
2017-11-03,0.003691,0.003774,0.003368,0.003474,16,31830
2017-11-02,0.003739,0.003931,0.003652,0.003696,84,32240
2017-11-01,0.004736,0.004736,0.003647,0.003734,468,40843
2017-10-31,0.003688,0.005628,0.003668,0.004740,62,31806
2017-10-30,0.003114,0.003740,0.002904,0.003702,38,26856
2017-10-29,0.003724,0.004647,0.002933,0.003136,339,32110
2017-10-28,0.004012,0.004093,0.003555,0.003729,13,34600
2017-10-27,0.004515,0.004590,0.003782,0.004002,52,38938
2017-10-26,0.004311,0.004599,0.003767,0.004549,81,37178
2017-10-25,0.003536,0.004595,0.003396,0.004312,160,30492
2017-10-24,0.003797,0.003986,0.003321,0.003513,300,32739
2017-10-23,0.003512,0.007627,0.002968,0.004862,575,30285
2017-10-22,0.005082,0.005637,0.003423,0.003519,291,43822
2017-10-21,0.005155,0.005745,0.005054,0.005080,120,44456
2017-10-20,0.005947,0.006123,0.005116,0.005166,1028,51281
2017-10-19,0.010040,0.010040,0.005352,0.005945,358,86578
2017-10-18,0.004937,0.023927,0.004858,0.010035,980,42574
2017-10-17,0.005784,0.005928,0.004907,0.004937,320,49876
2017-10-16,0.006322,0.007011,0.005314,0.005783,128,54517
2017-10-15,0.005879,0.006583,0.005572,0.006321,225,50694
2017-10-14,0.005979,0.005979,0.005422,0.005868,137,51560
2017-10-13,0.005691,0.006988,0.005591,0.005978,547,49076
2017-10-12,0.005101,0.007111,0.005031,0.005674,205,43989
2017-10-11,0.005553,0.005703,0.004948,0.005097,251,47883
2017-10-10,0.005657,0.008896,0.005468,0.005524,658,48784
2017-10-09,0.005464,0.022171,0.005134,0.005658,1383,47118
2017-10-08,0.004793,0.006277,0.004793,0.005450,220,41332
2017-10-07,0.004461,0.005643,0.004330,0.004831,227,38468
2017-10-06,0.005538,0.005539,0.004290,0.004460,234,47759
2017-10-05,0.004690,0.005541,0.004499,0.005538,325,40441
2017-10-04,0.007052,0.007188,0.004380,0.004686,419,60811
2017-10-03,0.004434,0.009627,0.003873,0.007036,3581,38236
2017-10-02,0.005021,0.005171,0.004376,0.004434,605,43300
2017-10-01,0.004823,0.005047,0.004481,0.005024,287,41593
2017-09-30,0.004313,0.005271,0.004309,0.004820,174,37196
2017-09-29,0.005095,0.005113,0.004141,0.004698,525,43935
2017-09-28,0.005899,0.006161,0.004785,0.005099,304,50865
2017-09-27,0.005366,0.006026,0.004934,0.005899,149,46273
2017-09-26,0.004893,0.005742,0.004809,0.005381,67,42189
2017-09-25,0.005236,0.005453,0.004757,0.004886,96,45153
2017-09-24,0.005496,0.005496,0.004350,0.005241,193,47390
2017-09-23,0.005171,0.005600,0.004537,0.005494,49,44590
2017-09-22,0.005174,0.005551,0.004837,0.005186,260,44614
2017-09-21,0.006422,0.006450,0.005173,0.005180,417,55376
2017-09-20,0.006750,0.007064,0.006430,0.006452,82,58203
2017-09-19,0.006824,0.008368,0.006353,0.006759,233,58842
2017-09-18,0.006170,0.006888,0.006170,0.006807,59,53201
2017-09-17,0.006029,0.007672,0.005868,0.006182,180,51991
2017-09-16,0.005741,0.006577,0.005706,0.006032,118,49502
2017-09-15,0.004676,0.006177,0.004394,0.005756,462,40326
2017-09-14,0.007123,0.007260,0.004640,0.004640,1131,61414
2017-09-13,0.006498,0.007271,0.005689,0.007125,302,55924
2017-09-12,0.008047,0.008166,0.006304,0.006524,378,69123
2017-09-11,0.008142,0.009083,0.007520,0.008050,276,69803
2017-09-10,0.008148,0.008978,0.007707,0.008155,194,69741
2017-09-09,0.008098,0.008703,0.007517,0.008169,639,69210
2017-09-08,0.008855,0.010580,0.007831,0.008075,602,75485
2017-09-07,0.010290,0.011509,0.008199,0.009072,762,87677
2017-09-06,0.010097,0.011995,0.010078,0.010310,2621,85950
2017-09-05,0.010865,0.011240,0.009677,0.010085,105,92449
2017-09-04,0.010711,0.014126,0.009362,0.010809,1779,90961
2017-09-03,0.010207,0.011867,0.010017,0.010707,644,86534
2017-09-02,0.012272,0.012539,0.009980,0.010201,1033,103780
2017-09-01,0.014155,0.014236,0.011762,0.011867,1273,119449
2017-08-31,0.013029,0.015297,0.010377,0.014152,773,109717
2017-08-30,0.012787,0.013976,0.009156,0.013052,1851,49905
2017-08-29,0.016276,0.017251,0.012384,0.012805,1024,63226
2017-08-28,0.026777,0.026777,0.014995,0.016248,2352,103700
2017-08-27,0.018458,0.032034,0.012594,0.026832,7986,54414
2017-08-26,0.009576,0.025282,0.009576,0.018447,3902,28230
2017-08-25,0.010162,0.012727,0.007626,0.009556,1111,29959
2017-08-24,0.011667,0.013588,0.010051,0.010196,1054,34394
2017-08-23,0.009129,0.017435,0.008921,0.011662,2476,26914
2017-08-22,0.012409,0.013829,0.009126,0.009148,971,36583
2017-08-21,0.013948,0.015120,0.010390,0.012381,907,41120
2017-08-20,0.015684,0.016173,0.012818,0.014002,631,46236
2017-08-19,0.013571,0.018259,0.011632,0.015766,1549,40008
2017-08-18,0.018796,0.018859,0.011263,0.013560,1044,55412
2017-08-17,0.019959,0.022371,0.017595,0.018854,3666,58840
2017-08-16,0.022473,0.022709,0.018104,0.019978,1511,66250
2017-08-15,0.018812,0.029466,0.017854,0.022464,1394,55459
2017-08-14,0.027938,0.033463,0.017930,0.018762,2471,82360
2017-08-13,0.029726,0.034771,0.016849,0.027920,5409,87632
2017-08-12,0.029215,0.038417,0.026220,0.029759,3843,86126
2017-08-11,0.031564,0.040655,0.026762,0.029199,2875,93050
2017-08-10,0.025300,0.045331,0.025267,0.031792,10354,74585
2017-08-09,0.032532,0.032532,0.023730,0.025298,5722,95904
2017-08-08,0.034828,0.046081,0.030045,0.032554,11218,102673
2017-08-07,0.049441,0.049574,0.031336,0.034793,13843,145752
2017-08-06,0.041276,0.066948,0.039488,0.049551,29209,121682
2017-08-05,0.035686,0.044771,0.032594,0.041266,4809,105203
2017-08-04,0.031911,0.039492,0.031722,0.035702,6783,94073
2017-08-03,0.031650,0.034891,0.025921,0.031918,4238,93303
2017-08-02,0.029563,0.032530,0.019335,0.031594,6858,87152
2017-08-01,0.028534,0.040523,0.025642,0.029798,1299,84117
2017-07-31,0.034012,0.041313,0.027031,0.028332,4436,100267
2017-07-30,0.035879,0.040341,0.030184,0.033977,5127,105770
2017-07-29,0.040751,0.042432,0.031341,0.035884,3358,120135
2017-07-28,0.043272,0.053918,0.031872,0.040917,6161,127567
2017-07-27,0.043262,0.052419,0.040360,0.043141,9525,127537
2017-07-26,0.039744,0.047769,0.037295,0.043144,5868,117164
2017-07-25,0.062717,0.063149,0.039616,0.039726,9393,184891
2017-07-24,0.046229,0.064589,0.045852,0.062723,13432,136284
2017-07-23,0.038561,0.076408,0.035429,0.046283,18868,113677
2017-07-22,0.049996,0.061256,0.036301,0.038554,12202,147388
2017-07-21,0.075412,0.089164,0.041879,0.050091,19206,222316
2017-07-20,0.094212,0.121098,0.063298,0.078722,31487,277736
2017-07-19,0.098658,0.127317,0.077876,0.090701,33715,290845
2017-07-18,0.119921,0.179066,0.092841,0.096884,85485,353527
2017-07-17,0.077585,0.119148,0.077145,0.119148,151047,228722
2017-07-16,0.049558,0.103300,0.042159,0.077018,58183,146096
2017-07-15,0.146624,0.192195,0.048497,0.049698,61419,432247
2017-07-14,0.011349,0.399212,0.008303,0.146801,504318,33456
2017-07-13,0.003959,0.012887,0.003959,0.011508,6237,11670
2017-07-12,0.002539,0.005793,0.002444,0.005793,522,7486
2017-07-11,0.003192,0.003524,0.002495,0.002543,110,9410
2017-07-10,0.003512,0.004585,0.002626,0.003199,469,10352
2017-07-09,0.003573,0.004351,0.003308,0.003505,120,10533
2017-07-08,0.002578,0.003786,0.002545,0.003570,215,7600
2017-07-07,0.004052,0.004344,0.002499,0.002577,267,11944
2017-07-06,0.003830,0.004663,0.003473,0.004049,215,11290
2017-07-05,0.004375,0.004991,0.003383,0.003828,232,12898
2017-07-04,0.004209,0.005224,0.004014,0.004069,300,12408
2017-07-03,0.004339,0.004513,0.004085,0.004219,212,12793
2017-07-02,0.004764,0.004769,0.004199,0.004355,174,14044
2017-07-01,0.005087,0.005559,0.004520,0.004743,374,14996
2017-06-30,0.004252,0.005565,0.004236,0.005089,671,12534
2017-06-29,0.004372,0.006037,0.004136,0.004243,182,12889
2017-06-28,0.004349,0.005129,0.004265,0.004376,198,12713
2017-06-27,0.004040,0.004989,0.003945,0.004321,149,11684
2017-06-26,0.004122,0.004830,0.003940,0.003940,217,11819
2017-06-25,0.004803,0.005557,0.003847,0.004124,399,13647
2017-06-24,0.007309,0.007414,0.004766,0.004808,792,20064
2017-06-23,0.007540,0.008576,0.006876,0.007289,437,20698
2017-06-22,0.007625,0.008940,0.006768,0.007540,1467,20931
2017-06-21,0.007862,0.009403,0.007596,0.007625,604,21359
2017-06-20,0.008918,0.012341,0.006975,0.007862,1039,23972
2017-06-19,0.009121,0.009676,0.007488,0.008918,633,24237
2017-06-18,0.009181,0.009889,0.007536,0.009121,1788,24105
2017-06-17,0.011033,0.011191,0.009049,0.009182,919,28615
2017-06-16,0.011570,0.011570,0.008191,0.011033,630,29624
2017-06-15,0.015383,0.015750,0.006813,0.011579,664,38893
2017-06-14,0.014661,0.018556,0.011788,0.015389,696,36640
2017-06-13,0.017829,0.019516,0.013709,0.014412,783,44039
2017-06-12,0.019760,0.023149,0.015855,0.017889,1965,48157
2017-06-11,0.016982,0.019976,0.012880,0.019796,2242,40878
2017-06-10,0.018924,0.020847,0.013657,0.017328,1681,44939
2017-06-09,0.013990,0.019087,0.010229,0.018896,832,32762
2017-06-08,0.012950,0.017646,0.010314,0.014012,1951,29907
2017-06-07,0.012316,0.020931,0.012316,0.012885,2104,27997
2017-06-06,0.004658,0.018501,0.004399,0.012313,8515,10438
2017-06-05,0.003888,0.007547,0.003358,0.004644,2079,8601
2017-06-04,0.005645,0.006044,0.003468,0.003888,439,12302
2017-06-03,0.004256,0.005551,0.003169,0.003428,256,9133
2017-06-02,0.002661,0.005184,0.002483,0.004258,377,5626
2017-06-01,0.002726,0.003487,0.002471,0.002660,170,5683
2017-05-31,0.002729,0.003634,0.002394,0.002724,173,5621
2017-05-30,0.002424,0.002853,0.001903,0.002718,90,4920
2017-05-29,0.002265,0.003016,0.002243,0.002421,337,4521
2017-05-28,0.002916,0.003192,0.002270,0.002270,68,5729
2017-05-27,0.003114,0.003205,0.002124,0.002899,57,6024
2017-05-26,0.002795,0.003821,0.002545,0.003104,96,5320
2017-05-25,0.003874,0.005547,0.002742,0.002815,383,7241
2017-05-24,0.004214,0.006344,0.003228,0.003881,530,7728
2017-05-23,0.004581,0.005701,0.002763,0.004209,1490,8260
2017-05-22,0.004914,0.005845,0.003795,0.004616,330,8719
2017-05-21,0.006798,0.007586,0.004183,0.004897,656,11833
2017-05-20,0.005024,0.008332,0.004851,0.006800,380,8746
2017-05-19,0.004693,0.005034,0.004553,0.005029,58,8170
2017-05-18,0.002791,0.006161,0.002783,0.004690,397,4777
2017-05-17,0.002799,0.007065,0.002761,0.002792,317,4693
2017-05-16,0.002644,0.003693,0.002598,0.002800,113,4339
2017-05-15,0.002685,0.003702,0.002534,0.002648,110,4318
2017-05-14,0.002859,0.004507,0.001673,0.002684,304,4498
2017-05-13,0.003391,0.003881,0.002736,0.002850,109,5222
2017-05-12,0.003083,0.003624,0.002683,0.003398,335,4645
2017-05-11,0.005786,0.006444,0.003049,0.003080,243,8520
2017-05-10,0.004935,0.011266,0.002770,0.005776,2045,7093
2017-05-09,0.001474,0.005253,0.001449,0.004932,1065,2071
2017-05-08,0.001462,0.001820,0.001424,0.001473,32,2013
2017-05-07,0.002210,0.002282,0.001126,0.001462,54,2994
2017-05-06,0.001571,0.002209,0.001161,0.002209,180,2081
2017-05-05,0.002903,0.003029,0.001541,0.001569,169,3745
2017-05-04,0.002767,0.003025,0.002767,0.002897,170,3473
2017-05-03,0.002782,0.002896,0.002694,0.002765,138,3414
2017-05-02,0.002842,0.004679,0.002724,0.002780,98,3392
2017-05-01,0.002858,0.002890,0.002562,0.002843,108,3339
2017-04-30,0.002538,0.004508,0.002526,0.002858,208,2892
2017-04-29,0.002502,0.003283,0.002461,0.002538,33,2771
2017-04-28,0.002696,0.004495,0.001638,0.002499,219,2897
2017-04-27,0.006182,0.006185,0.002615,0.002696,155,6422
2017-04-26,0.004440,0.006178,0.003052,0.006178,264,4443
2017-04-25,0.002876,0.008194,0.002439,0.004438,429,2777
2017-04-24,0.003266,0.003275,0.002171,0.002875,67,3045
2017-04-23,0.004559,0.005815,0.002107,0.003259,94,4098
2017-04-22,0.003280,0.006145,0.003251,0.004558,202,2840
2017-04-21,0.005936,0.007816,0.003021,0.003278,214,4937
2017-04-20,0.008797,0.013861,0.005934,0.005934,252,7020
2017-04-19,0.008448,0.013568,0.005558,0.008791,617,6488
2017-04-18,0.000849,0.046991,0.000849,0.008445,4069,623
2017-04-17,0.000849,0.000849,0.000849,0.000849,341,622
