Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000104,0.000157,0.000099,0.000156,711,492368
2017-11-23,0.000099,0.000137,0.000099,0.000104,3297,471637
2017-11-22,0.000121,0.000130,0.000100,0.000100,827,575092
2017-11-21,0.000145,0.000173,0.000098,0.000121,21064,686827
2017-11-20,0.000134,0.000156,0.000108,0.000146,23716,634665
2017-11-19,0.000153,0.000162,0.000117,0.000134,5854,724847
2017-11-18,0.000115,0.000153,0.000112,0.000153,4813,546455
2017-11-17,0.000127,0.000142,0.000099,0.000116,18240,603557
2017-11-16,0.000118,0.000139,0.000105,0.000128,4166,558657
2017-11-15,0.000108,0.000126,0.000105,0.000117,15621,510980
2017-11-14,0.000111,0.000120,0.000086,0.000108,20564,525665
2017-11-13,0.000100,0.000114,0.000065,0.000111,30753,472592
2017-11-12,0.000101,0.000120,0.000068,0.000100,26077,477846
2017-11-11,0.000137,0.000146,0.000054,0.000101,9364,649248
2017-11-10,0.000067,0.000143,0.000067,0.000139,14038,315702
2017-11-09,0.000078,0.000097,0.000066,0.000067,20864,368696
2017-11-08,0.000074,0.000107,0.000067,0.000078,12522,352554
2017-11-07,0.000110,0.000112,0.000061,0.000074,30844,523068
2017-11-06,0.000069,0.000128,0.000068,0.000110,40183,328667
2017-11-05,0.000078,0.000079,0.000069,0.000069,17119,370511
2017-11-04,0.000086,0.000088,0.000075,0.000078,20174,405525
2017-11-03,0.000066,0.000087,0.000064,0.000086,24573,311036
2017-11-02,0.000068,0.000088,0.000065,0.000065,30498,322290
2017-11-01,0.000077,0.000096,0.000059,0.000068,13079,363227
2017-10-31,0.000107,0.000117,0.000077,0.000077,72627,505892
2017-10-30,0.000143,0.000149,0.000063,0.000105,61371,677798
2017-10-29,0.000130,0.000157,0.000130,0.000143,36303,615501
2017-10-28,0.000161,0.000161,0.000121,0.000130,44461,761668
2017-10-27,0.000118,0.000191,0.000118,0.000160,48881,561000
2017-10-26,0.000116,0.000128,0.000115,0.000118,19206,548134
2017-10-25,0.000122,0.000133,0.000100,0.000116,17032,578354
2017-10-24,0.000166,0.000171,0.000112,0.000122,26217,785796
2017-10-23,0.000160,0.000166,0.000073,0.000166,34314,758101
2017-10-22,0.000118,0.000168,0.000114,0.000160,44933,557909
2017-10-21,0.000126,0.000154,0.000102,0.000118,46651,598287
2017-10-20,0.000116,0.000169,0.000112,0.000126,37868,548229
2017-10-19,0.000116,0.000162,0.000112,0.000116,45665,552135
2017-10-18,0.000150,0.000150,0.000107,0.000117,15564,709904
2017-10-17,0.000165,0.000165,0.000130,0.000150,651,782033
2017-10-16,0.000177,0.000179,0.000125,0.000165,10333,-
2017-10-15,0.000175,0.000185,0.000122,0.000177,3873,-
2017-10-14,0.000174,0.000177,0.000118,0.000175,7948,-
2017-10-13,0.000110,0.000176,0.000109,0.000174,14807,-
2017-10-12,0.000145,0.000162,0.000099,0.000109,1916,-
2017-10-11,0.000146,0.000191,0.000098,0.000147,3628,-
2017-10-10,0.000143,0.000192,0.000100,0.000154,13360,-
2017-10-09,0.000141,0.000230,0.000094,0.000143,38250,-
2017-10-08,0.000222,0.000268,0.000141,0.000141,59523,-
2017-10-07,0.000176,0.000223,0.000131,0.000223,13455,-
2017-10-06,0.000173,0.000261,0.000173,0.000176,19546,-
2017-10-05,0.000211,0.000254,0.000167,0.000173,5983,-
2017-10-04,0.000173,0.000260,0.000169,0.000211,31356,-
2017-10-03,0.000088,0.000257,0.000086,0.000173,18715,-
2017-10-02,0.000133,0.000179,0.000088,0.000131,22508,-
2017-10-01,0.000261,0.000261,0.000130,0.000176,15628,-
2017-09-30,0.000209,0.000261,0.000168,0.000261,13627,-
2017-09-29,0.000209,0.000210,0.000208,0.000209,26524,-
