Date,Open,High,Low,Close,Volume,Market_cap
2017-11-23,1.48,1.49,1.46,1.47,16,6409900
2017-11-22,1.87,2.20,1.46,1.48,8837,8081680
2017-11-21,2.29,2.33,1.78,1.86,7617,9914280
2017-11-20,2.57,2.57,1.90,2.29,22907,11100400
2017-11-19,2.34,2.58,2.06,2.41,11065,10104100
2017-11-18,2.24,2.99,1.89,2.34,19129,9672890
2017-11-17,2.83,2.85,2.25,2.25,4051,12243700
2017-11-16,2.71,3.19,2.47,2.76,10270,11704200
2017-11-15,2.24,3.24,2.24,2.69,15925,9659080
2017-11-14,2.10,3.19,2.10,2.23,8840,9053730
2017-11-13,2.11,3.87,1.82,2.35,13850,9107100
2017-11-12,2.16,3.12,1.72,2.11,10993,9333290
2017-11-11,2.17,2.34,1.82,2.16,24802,9367080
2017-11-10,2.00,2.42,1.97,2.18,8802,8653030
2017-11-09,2.10,2.50,1.59,2.00,9837,9054800
2017-11-08,1.99,2.28,1.88,2.10,1966,8603510
2017-11-07,1.74,2.24,1.74,2.00,3597,7503280
2017-11-06,2.90,2.90,1.78,1.78,6385,12492300
2017-11-05,2.51,4.51,1.26,2.89,84400,10811100
2017-11-04,2.54,2.75,2.17,2.51,22934,10964800
2017-11-03,2.39,2.73,2.06,2.55,25717,10289400
2017-11-02,2.53,2.68,2.07,2.39,17799,10916500
2017-11-01,2.13,2.54,2.12,2.53,9315,9170640
2017-10-31,3.28,3.85,1.66,2.13,265184,14118500
2017-10-30,4.37,5.20,1.22,3.29,100630,18810900
2017-10-29,4.70,5.07,4.39,4.40,41976,20210400
2017-10-28,4.27,5.24,4.17,4.70,210711,18361000
2017-10-27,4.79,5.85,4.09,4.26,139692,20592600
2017-10-26,4.64,5.93,2.98,4.84,129868,19967900
2017-10-25,4.45,4.93,3.88,4.64,48691,19119500
2017-10-24,5.28,5.28,4.41,4.45,76762,22682300
2017-10-23,5.70,5.81,2.88,5.29,52084,24490000
2017-10-22,6.03,6.12,5.47,5.83,145636,25889400
2017-10-21,5.85,6.25,5.68,6.03,49798,25128800
2017-10-20,5.62,6.18,5.08,5.86,292285,24147900
2017-10-19,5.76,5.98,4.70,5.68,319857,24709400
2017-10-18,7.00,7.06,5.48,5.75,287203,30040700
2017-10-17,6.02,7.00,5.22,7.00,210478,25829700
2017-10-16,5.99,6.30,5.64,6.02,203680,25684300
2017-10-15,6.01,6.37,5.47,5.99,59062,25786500
2017-10-14,5.86,6.07,5.34,6.00,159787,25116200
2017-10-13,4.84,6.02,4.84,5.86,179564,20743700
2017-10-12,5.02,5.50,4.35,4.83,294935,21499100
2017-10-11,4.52,5.09,4.48,5.01,196300,19340200
2017-10-10,4.41,5.32,4.31,4.52,194386,18872900
2017-10-09,5.41,5.77,3.78,4.41,130888,23151100
2017-10-08,5.33,6.14,4.73,5.41,60148,22823600
2017-10-07,4.09,8.25,3.67,6.68,192813,17490200
2017-10-06,3.67,4.15,3.46,4.09,496369,15720300
2017-10-05,3.58,3.72,2.82,3.67,390127,15308900
2017-10-04,3.86,3.88,2.85,3.58,332206,16494200
2017-10-03,3.69,3.93,3.08,3.85,143897,15791400
2017-10-02,3.27,3.95,2.86,3.69,182775,13972200
2017-10-01,3.82,3.83,2.87,3.27,70146,16330500
2017-09-30,3.86,3.86,2.94,3.82,85187,16486500
2017-09-29,3.94,3.95,3.35,3.86,81927,16814100
2017-09-28,3.45,3.95,2.92,3.94,98525,14750500
2017-09-27,3.11,3.84,3.11,3.45,29784,13280000
2017-09-26,3.30,3.91,3.12,3.12,144932,14099800
2017-09-25,3.39,3.79,3.06,3.30,322661,14444100
2017-09-24,3.41,3.74,2.64,3.39,342821,14542600
2017-09-23,3.07,3.39,2.61,3.13,296773,13071600
2017-09-22,2.50,3.29,2.21,3.07,332177,10649000
2017-09-21,1.94,2.61,1.76,2.50,184263,8268320
2017-09-20,1.49,1.53,1.46,1.53,32489,6345240
2017-09-19,2.33,2.34,1.48,1.49,31755,9937980
2017-09-18,1.70,2.47,0.951241,2.33,84211,7239100
2017-09-17,2.51,3.00,1.70,1.70,37348,10675100
2017-09-16,3.40,3.50,2.51,2.51,10895,14488200
2017-09-15,1.30,3.50,1.30,3.37,59022,5525350
2017-09-14,1.07,1.54,0.761344,1.29,54133,4563390
2017-09-13,0.833739,1.08,0.760109,1.07,14159,3623770
2017-09-12,1.03,1.36,0.641888,0.833473,52729,4465270
2017-09-11,1.10,1.10,0.931412,1.03,8338,4758270
2017-09-10,1.22,1.22,0.967380,1.10,13151,5234340
2017-09-09,1.03,1.22,0.994192,1.22,17898,4398940
2017-09-08,1.11,1.11,0.881250,1.03,17432,4736460
2017-09-07,0.924817,1.12,0.854652,1.11,83474,3927780
2017-09-06,0.649742,0.966131,0.536541,0.924437,44493,2747140
2017-09-05,0.746621,0.793241,0.646210,0.649002,13616,3142800
