Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.010368,0.010368,0.008988,0.009378,454,7716
2017-11-23,0.009541,0.010721,0.009399,0.010382,35,7101
2017-11-22,0.009412,0.009756,0.009373,0.009544,400,7005
2017-11-21,0.009560,0.009709,0.009044,0.009390,176,7115
2017-11-20,0.010135,0.012957,0.009558,0.009558,566,7543
2017-11-19,0.010123,0.013790,0.008774,0.010139,943,7534
2017-11-18,0.008455,0.010220,0.008197,0.010142,115,6293
2017-11-17,0.007217,0.008786,0.006886,0.008488,10,5371
2017-11-16,0.009786,0.009786,0.006686,0.007229,57,7283
2017-11-15,0.008860,0.009814,0.008860,0.009735,22,6594
2017-11-14,0.008751,0.009006,0.007793,0.008853,3,6513
2017-11-13,0.008043,0.009013,0.005678,0.008733,16,5986
2017-11-12,0.008778,0.008843,0.005228,0.008031,24,6533
2017-11-11,0.005326,0.010401,0.004014,0.008785,690,3964
2017-11-10,0.003992,0.008329,0.003780,0.005345,136,2971
2017-11-09,0.006721,0.006994,0.003972,0.003980,239,5002
2017-11-08,0.009251,0.009667,0.006600,0.006728,203,6885
2017-11-07,0.008351,0.009280,0.007128,0.009280,1851,6215
2017-11-06,0.009094,0.009132,0.008334,0.008364,23,6768
2017-11-05,0.008196,0.009829,0.006667,0.009074,117,6100
2017-11-04,0.014405,0.014591,0.001780,0.008212,748,10722
2017-11-03,0.011799,0.014764,0.011668,0.014443,2,8782
2017-11-02,0.011652,0.012283,0.011481,0.011815,20,8672
2017-11-01,0.005639,0.011128,0.005570,0.011055,3,4197
2017-10-31,0.006334,0.006364,0.004162,0.005643,25,4714
2017-10-30,0.010344,0.010444,0.006008,0.006355,13,7698
2017-10-29,0.014619,0.015157,0.010001,0.010404,3,10880
2017-10-28,0.009971,0.018934,0.009361,0.014639,20,7421
2017-10-27,0.010596,0.010884,0.009926,0.009944,9,7886
2017-10-26,0.013935,0.015859,0.009688,0.010182,190,10371
2017-10-25,0.009104,0.013961,0.007688,0.013936,19,6776
2017-10-24,0.009385,0.009385,0.005646,0.009100,243,6985
2017-10-23,0.023043,0.024055,0.009251,0.009406,38,17150
2017-10-22,0.013651,0.023137,0.011696,0.023080,173,10160
2017-10-21,0.014635,0.018800,0.011163,0.013647,114,10892
2017-10-20,0.016201,0.018963,0.013509,0.014666,186,12058
2017-10-19,0.028245,0.028948,0.015972,0.016196,252,21022
2017-10-18,0.016167,0.028366,0.015766,0.028230,84,12033
2017-10-17,0.018056,0.028454,0.016076,0.016166,102,13439
2017-10-16,0.019182,0.042266,0.013545,0.018054,2676,14276
2017-10-15,0.023464,0.023539,0.018510,0.019179,49,17463
2017-10-14,0.022679,0.023454,0.022431,0.023422,24,16879
2017-10-13,0.022035,0.023802,0.021894,0.022673,152,16400
2017-10-12,0.019450,0.030916,0.019400,0.021967,15,14476
2017-10-11,0.019099,0.019599,0.018947,0.019433,48,14215
2017-10-10,0.034652,0.035190,0.018962,0.019102,50,25790
2017-10-09,0.022139,0.035260,0.021923,0.034654,1,16478
2017-10-08,0.021596,0.022185,0.021301,0.022134,68,16073
2017-10-07,0.021257,0.021705,0.021024,0.021654,1,15821
2017-10-06,0.020664,0.022013,0.020301,0.021250,22,15380
2017-10-05,0.020347,0.033670,0.020133,0.020664,31,15144
2017-10-04,0.034385,0.034602,0.020184,0.020329,45,25591
2017-10-03,0.017788,0.039406,0.017713,0.034305,104,13239
2017-10-02,0.046749,0.061341,0.017664,0.017787,480,34794
2017-10-01,0.020725,0.046770,0.013092,0.046770,19,15425
2017-09-30,0.021913,0.026308,0.018585,0.020714,53,16309
2017-09-29,0.024189,0.035573,0.018972,0.021910,111,18003
2017-09-28,0.014373,0.029366,0.014286,0.024208,54,10698
2017-09-27,0.016721,0.018025,0.016721,0.017917,1,12445
2017-09-26,0.012980,0.016924,0.012926,0.016768,2,9661
2017-09-25,0.012245,0.014735,0.012240,0.012981,1,9113
2017-09-24,0.012085,0.013560,0.010557,0.012257,17,8995
2017-09-23,0.013960,0.016497,0.011926,0.012086,28,10390
2017-09-22,0.013904,0.014441,0.013683,0.014000,7,10348
2017-09-21,0.014897,0.014997,0.013775,0.013920,0,11087
2017-09-20,0.012015,0.015408,0.011806,0.014970,25,8942
2017-09-19,0.012596,0.017539,0.011921,0.012031,51,9375
2017-09-18,0.011270,0.027708,0.011270,0.012566,33,8388
2017-09-17,0.016975,0.016975,0.011168,0.011293,9,12634
2017-09-16,0.016914,0.017736,0.016252,0.016987,2,12589
2017-09-15,0.014958,0.017440,0.008967,0.016959,248,11133
2017-09-14,0.017137,0.017365,0.014552,0.014842,20,12754
2017-09-13,0.016195,0.017516,0.015065,0.017138,10,12053
2017-09-12,0.017852,0.019012,0.016154,0.016256,53,13287
