Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,15.83,17.18,14.77,17.18,402567,41445700
2017-11-23,14.11,16.24,13.63,15.80,389828,36933400
2017-11-22,13.87,14.88,13.06,14.12,267007,36301300
2017-11-21,14.78,15.11,13.12,13.82,350945,38678500
2017-11-20,15.33,15.46,14.29,14.78,271942,40138600
2017-11-19,16.09,16.20,15.15,15.34,245601,42127300
2017-11-18,15.03,16.63,14.57,16.19,286586,39350000
2017-11-17,15.56,16.52,14.79,15.09,335664,40720400
2017-11-16,15.11,16.18,14.88,15.58,399072,39540900
2017-11-15,15.47,16.89,14.81,15.10,517463,40498300
2017-11-14,14.09,15.65,13.75,15.46,376313,36875800
2017-11-13,13.16,15.23,12.90,13.96,597755,34433800
2017-11-12,13.93,14.47,11.49,13.14,560304,36449800
2017-11-11,14.92,17.51,13.28,13.95,1126920,39048300
2017-11-10,13.50,16.82,12.52,15.15,1059820,35339500
2017-11-09,14.46,14.52,12.98,13.35,495693,37850800
2017-11-08,11.90,15.12,11.65,14.47,635716,31154300
2017-11-07,12.07,13.26,11.41,11.94,358301,31602800
2017-11-06,11.28,12.80,10.87,11.88,568433,29534700
2017-11-05,10.52,11.77,10.30,11.25,300063,27541600
2017-11-04,9.80,10.77,9.43,10.59,117385,25652800
2017-11-03,9.42,10.19,8.97,9.83,160971,24646100
2017-11-02,10.02,10.52,9.23,9.43,376628,26223400
2017-11-01,9.57,10.20,9.49,10.04,106032,25056100
2017-10-31,10.09,11.14,9.42,9.58,355404,26412500
2017-10-30,9.85,10.46,9.67,10.12,294110,25774600
2017-10-29,11.05,11.34,9.14,9.88,1007700,28927400
2017-10-28,8.55,11.16,8.26,11.16,594376,22369800
2017-10-27,8.34,9.09,8.11,8.52,145729,21836100
2017-10-26,8.52,8.75,7.91,8.31,134473,22310700
2017-10-25,8.35,8.63,8.06,8.52,96994,21867400
2017-10-24,7.48,9.13,7.31,8.35,334084,19568500
2017-10-23,8.25,8.54,7.36,7.49,158517,21605800
2017-10-22,7.61,8.40,7.30,8.28,187065,19915300
2017-10-21,7.99,8.14,7.56,7.61,147340,20922700
2017-10-20,8.23,8.62,7.94,8.01,236665,21554400
2017-10-19,8.82,8.82,8.11,8.23,208261,23100000
2017-10-18,8.90,8.90,8.11,8.66,249691,23296100
2017-10-17,10.80,10.89,8.88,8.89,562124,28262700
2017-10-16,8.64,13.42,8.48,10.60,1623100,22616800
2017-10-15,9.17,9.21,8.24,8.61,139346,23998900
2017-10-14,9.32,12.62,8.87,9.24,426900,24394300
2017-10-13,8.54,9.84,7.65,9.28,367235,22363500
2017-10-12,7.98,8.71,7.85,8.53,259233,20881600
2017-10-11,7.69,8.76,7.57,7.96,204276,20136000
2017-10-10,7.76,8.73,7.32,7.67,475340,20321600
2017-10-09,8.12,8.58,7.32,7.85,199572,21263700
2017-10-08,9.41,9.55,8.01,8.14,422791,24628100
2017-10-07,9.58,9.65,9.10,9.39,88382,25088200
2017-10-06,9.67,10.21,9.48,9.58,83105,25315800
2017-10-05,9.15,9.88,9.00,9.68,143008,23956500
2017-10-04,9.76,9.77,8.97,9.14,108932,25549000
2017-10-03,10.37,10.40,9.65,9.73,135219,27135200
2017-10-02,10.62,10.85,10.09,10.31,217775,27787400
2017-10-01,11.58,11.89,10.60,10.64,284139,30309800
2017-09-30,10.05,12.02,10.03,11.57,425836,26313700
2017-09-29,9.94,10.18,9.55,9.96,260592,26023400
2017-09-28,10.31,10.60,9.83,9.92,360434,26987600
