Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008053,0.008808,0.006524,0.006853,460,360529
2017-11-23,0.005955,0.008887,0.005590,0.008064,5115,266596
2017-11-22,0.007627,0.009104,0.004151,0.005669,8191,341417
2017-11-21,0.006486,0.009221,0.004856,0.007573,3434,290299
2017-11-20,0.014983,0.032350,0.001289,0.006484,12877,670604
2017-11-19,0.012922,0.015885,0.012375,0.014990,613,578328
2017-11-18,0.013256,0.013565,0.012615,0.012946,189,593193
2017-11-17,0.014135,0.014479,0.012152,0.013304,508,632484
2017-11-16,0.012793,0.013614,0.011952,0.013412,164,572402
2017-11-15,0.011225,0.012753,0.010635,0.012726,312,502200
2017-11-14,0.011357,0.011686,0.009812,0.011217,579,508051
2017-11-13,0.010219,0.011918,0.008706,0.011333,853,457122
2017-11-12,0.011117,0.013498,0.008143,0.010204,1010,497261
2017-11-11,0.010606,0.012933,0.010593,0.011126,82,474326
2017-11-10,0.013981,0.014391,0.009443,0.010644,1301,625240
2017-11-09,0.014656,0.016742,0.013020,0.013940,435,655377
2017-11-08,0.014874,0.017202,0.014483,0.014671,68,665052
2017-11-07,0.015210,0.016980,0.013985,0.014921,554,680044
2017-11-06,0.016871,0.020210,0.012574,0.015235,2567,754220
2017-11-05,0.018375,0.018522,0.015034,0.016833,72,821418
2017-11-04,0.014477,0.018584,0.014245,0.018410,501,647089
2017-11-03,0.011572,0.016295,0.011538,0.014514,209,517226
2017-11-02,0.016371,0.016523,0.010901,0.011587,333,731643
2017-11-01,0.019289,0.019986,0.011769,0.016353,2829,862002
2017-10-31,0.016933,0.019955,0.014563,0.019303,881,756660
2017-10-30,0.019788,0.020236,0.012692,0.016991,3678,884131
2017-10-29,0.017331,0.020168,0.017122,0.019903,2496,774320
2017-10-28,0.017546,0.019975,0.017304,0.017355,314,783868
2017-10-27,0.018431,0.021327,0.016266,0.017499,251,823316
2017-10-26,0.018567,0.021596,0.018408,0.018427,240,829320
2017-10-25,0.019348,0.025234,0.016594,0.018569,474,864146
2017-10-24,0.016341,0.020926,0.015542,0.019340,578,729802
2017-10-23,0.017967,0.019808,0.014673,0.016377,245,802347
2017-10-22,0.017923,0.022438,0.016953,0.017996,198,800324
2017-10-21,0.017983,0.018515,0.013929,0.017919,1349,802928
2017-10-20,0.017618,0.018215,0.015413,0.018020,865,786564
2017-10-19,0.017280,0.018476,0.013956,0.017462,3174,771301
2017-10-18,0.017622,0.017623,0.013337,0.017271,1569,786452
2017-10-17,0.019558,0.019976,0.017087,0.017783,1098,872666
2017-10-16,0.018054,0.020650,0.014712,0.019555,3217,805377
2017-10-15,0.018661,0.021759,0.014222,0.018051,2705,832260
2017-10-14,0.021872,0.024356,0.018628,0.018628,3256,975200
2017-10-13,0.020305,0.025974,0.019998,0.021868,2364,905157
2017-10-12,0.020757,0.023148,0.017878,0.020249,1520,925043
2017-10-11,0.021446,0.022871,0.019608,0.020740,2570,955426
2017-10-10,0.021983,0.023398,0.018510,0.021452,2726,978944
2017-10-09,0.022516,0.024425,0.017031,0.021985,2413,1002430
2017-10-08,0.015900,0.022645,0.015887,0.022510,5753,707712
2017-10-07,0.015063,0.023627,0.015004,0.015943,3026,670218
2017-10-06,0.017625,0.019860,0.014938,0.015058,932,783961
2017-10-05,0.012906,0.018500,0.012901,0.017625,6248,573880
2017-10-04,0.015221,0.015292,0.012277,0.012894,3686,676604
2017-10-03,0.017020,0.017049,0.013789,0.015186,1554,756299
2017-10-02,0.017119,0.017781,0.014224,0.017019,4256,760444
2017-10-01,0.015211,0.017126,0.013739,0.017126,2003,675456
2017-09-30,0.015700,0.015841,0.012904,0.015203,1712,696919
2017-09-29,0.013660,0.015716,0.013602,0.015698,1303,606112
2017-09-28,0.013150,0.015997,0.013051,0.013670,953,583297
2017-09-27,0.012508,0.015320,0.011968,0.013150,841,554587
