Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002708,0.004507,0.002212,0.003833,1255,55570
2017-11-23,0.002760,0.002773,0.002431,0.002712,9,56629
2017-11-22,0.002759,0.002919,0.002574,0.002760,8,56612
2017-11-21,0.003437,0.003444,0.002656,0.002752,25,70521
2017-11-20,0.002346,0.004709,0.002319,0.003436,58,48146
2017-11-19,0.002867,0.002882,0.001892,0.002347,488,58835
2017-11-18,0.002422,0.002878,0.002067,0.002872,119,49701
2017-11-17,0.003062,0.003134,0.001868,0.002431,691,62842
2017-11-16,0.002335,0.003082,0.002283,0.003067,35,47919
2017-11-15,0.002258,0.003001,0.002195,0.002323,45,46339
2017-11-14,0.002157,0.002754,0.002076,0.002257,65,44261
2017-11-13,0.002388,0.002867,0.002132,0.002152,739,49007
2017-11-12,0.002230,0.002517,0.001407,0.002385,126,45770
2017-11-11,0.002227,0.002869,0.002131,0.002190,5,45705
2017-11-10,0.002161,0.003570,0.002161,0.002249,21,44338
2017-11-09,0.002319,0.002381,0.001648,0.002154,30,47585
2017-11-08,0.002419,0.002514,0.002224,0.002321,18,49649
2017-11-07,0.002366,0.002453,0.002366,0.002427,17,48553
2017-11-06,0.002560,0.002560,0.002311,0.002370,9,52527
2017-11-05,0.002667,0.002881,0.002394,0.002554,104,54729
2017-11-04,0.002508,0.002799,0.002451,0.002672,23,51474
2017-11-03,0.002368,0.002536,0.002306,0.002515,3,48591
2017-11-02,0.002195,0.005288,0.002195,0.002371,78,45039
2017-11-01,0.002201,0.002559,0.002129,0.002192,6,45165
2017-10-31,0.001929,0.002242,0.001881,0.002203,46,39588
2017-10-30,0.002042,0.002384,0.001777,0.001936,18,41900
2017-10-29,0.002062,0.002339,0.002041,0.002054,3,42314
2017-10-28,0.002199,0.002230,0.002009,0.002065,1,45133
2017-10-27,0.001711,0.002205,0.001711,0.002193,46,35107
2017-10-26,0.001432,0.001495,0.001402,0.001418,7,29391
2017-10-25,0.001533,0.001582,0.001408,0.001432,14,31467
2017-10-24,0.001290,0.001896,0.001224,0.001533,1,26480
2017-10-23,0.001794,0.001794,0.001246,0.001293,17,36809
2017-10-22,0.001744,0.001813,0.001667,0.001797,3,35787
2017-10-21,0.001690,0.001743,0.001678,0.001743,1,34674
2017-10-20,0.001711,0.001813,0.001677,0.001693,24,35120
2017-10-19,0.001789,0.001831,0.001237,0.001711,597,36702
2017-10-18,0.001664,0.001796,0.001663,0.001788,52,34155
2017-10-17,0.001957,0.001962,0.001771,0.001791,36,40154
2017-10-16,0.001978,0.002016,0.001930,0.001956,97,40597
2017-10-15,0.001908,0.001968,0.001836,0.001855,4,39145
2017-10-14,0.001935,0.001955,0.001662,0.001904,7,39712
