Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000966,0.000971,0.000653,0.000658,6849,35164
2017-11-23,0.000822,0.000990,0.000815,0.000968,579,29914
2017-11-22,0.000812,0.001307,0.000738,0.000822,8648,29541
2017-11-21,0.000659,0.001349,0.000658,0.000810,10678,23993
2017-11-20,0.000644,0.000804,0.000562,0.000659,2027,23453
2017-11-19,0.000633,0.000854,0.000617,0.000645,4762,23028
2017-11-18,0.000889,0.000889,0.000595,0.000634,2966,32369
2017-11-17,0.000706,0.000901,0.000706,0.000893,579,25693
2017-11-16,0.000737,0.000923,0.000700,0.000707,868,26824
2017-11-15,0.000698,0.000877,0.000698,0.000733,74,25396
2017-11-14,0.000870,0.000912,0.000692,0.000697,2228,31668
2017-11-13,0.000733,0.000888,0.000708,0.000868,1299,26659
2017-11-12,0.000814,0.000929,0.000706,0.000732,1142,29615
2017-11-11,0.000894,0.000922,0.000802,0.000814,122,32529
2017-11-10,0.000806,0.001068,0.000806,0.000897,380,29317
2017-11-09,0.001004,0.001045,0.000801,0.000803,1066,36529
2017-11-08,0.001057,0.001151,0.000938,0.001005,224,38481
2017-11-07,0.001016,0.001165,0.000883,0.001061,168,36957
2017-11-06,0.000904,0.001130,0.000831,0.001017,2617,32884
2017-11-05,0.001047,0.001050,0.000584,0.000902,1850,38114
2017-11-04,0.001204,0.001405,0.000942,0.001049,1983,43828
2017-11-03,0.001122,0.001583,0.000932,0.001208,5095,40827
2017-11-02,0.000870,0.001431,0.000775,0.001123,6013,31678
2017-11-01,0.000517,0.001272,0.000511,0.000870,5812,18796
2017-10-31,0.000552,0.000616,0.000493,0.000517,314,20070
2017-10-30,0.000616,0.000678,0.000547,0.000553,612,22406
2017-10-29,0.000594,0.000649,0.000461,0.000619,2025,21624
2017-10-28,0.000587,0.000677,0.000511,0.000595,384,21379
2017-10-27,0.000693,0.000737,0.000581,0.000586,430,25228
2017-10-26,0.000517,0.000698,0.000514,0.000693,505,18802
2017-10-25,0.000576,0.000624,0.000494,0.000517,173,20973
2017-10-24,0.000658,0.000663,0.000564,0.000576,1104,23953
2017-10-23,0.000601,0.000710,0.000419,0.000660,1696,21865
2017-10-22,0.000662,0.000714,0.000579,0.000602,95,24079
2017-10-21,0.000767,0.000834,0.000539,0.000661,3340,27923
2017-10-20,0.000913,0.000960,0.000677,0.000769,904,33215
2017-10-19,0.000781,0.000918,0.000774,0.000912,69,28420
2017-10-18,0.000672,0.000893,0.000581,0.000781,991,24458
2017-10-17,0.000751,0.000958,0.000668,0.000672,91,27340
2017-10-16,0.000854,0.000868,0.000735,0.000751,820,31070
2017-10-15,0.000893,0.000896,0.000765,0.000854,270,32500
2017-10-14,0.001017,0.001031,0.000876,0.000891,169,37017
2017-10-13,0.001032,0.001172,0.000721,0.001017,2612,37554
2017-10-12,0.000876,0.001194,0.000849,0.001029,3344,31893
2017-10-11,0.000782,0.000893,0.000726,0.000876,1008,28450
2017-10-10,0.000735,0.000932,0.000673,0.000782,1218,26746
2017-10-09,0.000927,0.000927,0.000421,0.000735,4862,33728
2017-10-08,0.000910,0.001028,0.000822,0.000927,1256,33114
2017-10-07,0.000839,0.000958,0.000809,0.000912,3479,30522
2017-10-06,0.001038,0.001050,0.000808,0.000838,1029,37762
2017-10-05,0.001013,0.001048,0.000921,0.001038,1504,36869
2017-10-04,0.001122,0.001182,0.000924,0.001012,2019,40817
2017-10-03,0.001144,0.001151,0.001067,0.001119,530,41619
2017-10-02,0.001142,0.001236,0.001016,0.001144,1971,41575
2017-10-01,0.001172,0.001241,0.001067,0.001143,1959,42658
2017-09-30,0.001120,0.001214,0.000987,0.001172,1263,40767
2017-09-29,0.001171,0.001175,0.001011,0.001120,1238,42623
2017-09-28,0.001304,0.001343,0.001090,0.001131,1509,47452
2017-09-27,0.001167,0.001309,0.001026,0.001304,2834,42453
2017-09-26,0.001289,0.001292,0.001128,0.001170,1388,46916
2017-09-25,0.001099,0.001297,0.001087,0.001289,7962,40008
2017-09-24,0.001251,0.001251,0.001063,0.001101,4456,45539
2017-09-23,0.001163,0.001338,0.001106,0.001252,387,42333
2017-09-22,0.001241,0.001316,0.001132,0.001167,1316,45157
2017-09-21,0.001323,0.001457,0.001177,0.001242,2949,48162
2017-09-20,0.001520,0.001538,0.001327,0.001330,495,55318
2017-09-19,0.001207,0.001532,0.001088,0.001522,3469,43912
2017-09-18,0.001160,0.001471,0.001094,0.001204,2860,42217
2017-09-17,0.001047,0.001174,0.000957,0.001162,208,38095
2017-09-16,0.001142,0.001352,0.000951,0.001048,1237,41569
2017-09-15,0.000920,0.001178,0.000833,0.001145,816,33463
2017-09-14,0.001349,0.001375,0.000912,0.000912,510,49098
2017-09-13,0.001238,0.001379,0.001034,0.001349,2037,45035
2017-09-12,0.001673,0.001706,0.000740,0.001242,1040,60890
2017-09-11,0.001367,0.001710,0.001301,0.001674,1749,49746
2017-09-10,0.001372,0.001472,0.001328,0.001369,26,49921
2017-09-09,0.001429,0.001536,0.001329,0.001375,78,51985
2017-09-08,0.001574,0.001677,0.001368,0.001426,160,57280
2017-09-07,0.001668,0.001762,0.001334,0.001574,2059,60698
2017-09-06,0.001768,0.001829,0.001568,0.001671,303,64322
2017-09-05,0.001592,0.001799,0.001236,0.001766,1447,57940
2017-09-04,0.001840,0.001841,0.001208,0.001584,1510,66946
2017-09-03,0.001834,0.001877,0.001694,0.001839,219,66748
2017-09-02,0.001970,0.001993,0.001660,0.001833,538,71691
2017-09-01,0.001869,0.001990,0.001755,0.001968,2523,68025
2017-08-31,0.001852,0.001946,0.001641,0.001867,2405,67378
2017-08-30,0.001883,0.001980,0.001619,0.001803,10584,68520
2017-08-29,0.001579,0.002056,0.001573,0.001885,3896,57465
2017-08-28,0.001737,0.001737,0.001377,0.001576,1112,63222
2017-08-27,0.001608,0.001878,0.001556,0.001739,981,58505
2017-08-26,0.001728,0.001815,0.001585,0.001608,1065,62896
2017-08-25,0.001731,0.001767,0.001586,0.001728,445,63011
2017-08-24,0.001454,0.001747,0.001452,0.001734,408,52897
2017-08-23,0.001370,0.001862,0.001365,0.001453,4754,49857
2017-08-22,0.001924,0.001936,0.001351,0.001373,3281,70004
2017-08-21,0.002170,0.002349,0.001916,0.001919,8837,78971
2017-08-20,0.001862,0.002362,0.001822,0.002178,11337,67748
2017-08-19,0.001681,0.001874,0.001512,0.001870,4932,61167
2017-08-18,0.001252,0.001682,0.001252,0.001682,4027,45549
2017-08-17,0.001361,0.001389,0.001177,0.001256,1980,49530
2017-08-16,0.001269,0.001392,0.001229,0.001362,750,46169
2017-08-15,0.001347,0.001462,0.001075,0.001232,970,49003
2017-08-14,0.001266,0.001489,0.001241,0.001343,279,46066
2017-08-13,0.001491,0.001516,0.000893,0.001265,2460,54250
2017-08-12,0.001266,0.001509,0.001253,0.001492,223,46082
2017-08-11,0.001299,0.001331,0.001225,0.001267,394,47268
2017-08-10,0.001334,0.001485,0.001035,0.001299,3964,48561
2017-08-09,0.001026,0.001545,0.000962,0.001302,10308,37325
2017-08-08,0.000985,0.001080,0.000853,0.001026,3012,35862
2017-08-07,0.000938,0.001077,0.000866,0.001018,1576,34128
2017-08-06,0.001050,0.001060,0.000901,0.000940,654,38200
2017-08-05,0.001049,0.001125,0.000989,0.001049,1673,38191
2017-08-04,0.001057,0.001070,0.000944,0.001050,1031,38479
2017-08-03,0.001043,0.001083,0.000963,0.001058,569,37950
2017-08-02,0.001134,0.001304,0.000944,0.001041,6570,41253
2017-08-01,0.000973,0.001505,0.000932,0.001126,11953,35415
2017-07-31,0.000850,0.000952,0.000839,0.000942,1081,30934
2017-07-30,0.000999,0.001018,0.000844,0.000849,1400,36341
2017-07-29,0.001116,0.001119,0.000956,0.000999,1449,40619
2017-07-28,0.001134,0.001215,0.001076,0.001120,2199,41277
2017-07-27,0.001062,0.001131,0.001034,0.001110,1745,38650
2017-07-26,0.001146,0.001167,0.001019,0.001083,491,41717
2017-07-25,0.001095,0.001228,0.001073,0.001146,2566,39865
2017-07-24,0.001145,0.001180,0.001065,0.001094,2829,41682
2017-07-23,0.001278,0.001313,0.001114,0.001147,4489,46490
2017-07-22,0.001049,0.001384,0.001032,0.001278,10874,38171
2017-07-21,0.001149,0.001184,0.001013,0.001049,2335,41819
2017-07-20,0.000956,0.001205,0.000909,0.001141,6315,34789
2017-07-19,0.000908,0.001059,0.000859,0.000959,6685,33050
2017-07-18,0.000814,0.000952,0.000776,0.000907,4715,29639
2017-07-17,0.000709,0.000857,0.000699,0.000812,4699,25811
2017-07-16,0.000734,0.000811,0.000652,0.000710,4493,26693
2017-07-15,0.000855,0.000857,0.000733,0.000736,5024,31114
2017-07-14,0.000814,0.000984,0.000783,0.000856,8607,29617
2017-07-13,0.000836,0.000869,0.000793,0.000814,4116,30430
2017-07-12,0.000794,0.000848,0.000762,0.000848,4754,28877
2017-07-11,0.000781,0.000874,0.000763,0.000797,3171,28409
2017-07-10,0.000969,0.000971,0.000742,0.000782,1349,35266
2017-07-09,0.000990,0.000998,0.000948,0.000967,2291,36027
2017-07-08,0.000991,0.001013,0.000942,0.000989,4647,36063
2017-07-07,0.001056,0.001092,0.000980,0.000990,4723,38428
2017-07-06,0.001179,0.001227,0.001038,0.001055,4833,42920
2017-07-05,0.001071,0.001184,0.001041,0.001179,943,38973
2017-07-04,0.001106,0.001153,0.001027,0.001072,6546,40244
2017-07-03,0.001060,0.001150,0.001023,0.001108,4479,38561
2017-07-02,0.000990,0.001099,0.000964,0.001064,5719,36028
2017-07-01,0.001003,0.001123,0.000969,0.000990,4529,36495
2017-06-30,0.001148,0.001171,0.000981,0.001003,1784,41783
2017-06-29,0.001222,0.001295,0.001146,0.001146,3402,44458
2017-06-28,0.001274,0.001418,0.001189,0.001223,4029,46368
2017-06-27,0.001366,0.001401,0.001150,0.001266,4121,49705
2017-06-26,0.001419,0.001492,0.001290,0.001366,3741,51647
2017-06-25,0.001523,0.001538,0.001374,0.001420,3704,55441
2017-06-24,0.001552,0.001613,0.001506,0.001527,4052,56463
2017-06-23,0.001391,0.001631,0.001389,0.001552,9116,50637
2017-06-22,0.001412,0.001515,0.001389,0.001391,6527,51377
2017-06-21,0.001449,0.001526,0.001329,0.001412,4550,52726
2017-06-20,0.001634,0.001699,0.001360,0.001449,15207,59471
2017-06-19,0.001574,0.001785,0.001549,0.001634,11445,57270
2017-06-18,0.001535,0.001666,0.001499,0.001574,4999,55876
2017-06-17,0.001496,0.001749,0.001481,0.001535,13135,54441
2017-06-16,0.001310,0.001566,0.001274,0.001496,10237,47684
2017-06-15,0.001348,0.001367,0.001145,0.001272,13060,49039
2017-06-14,0.001525,0.001549,0.001263,0.001348,7276,55487
2017-06-13,0.001380,0.001525,0.001314,0.001523,7779,50222
2017-06-12,0.001690,0.001695,0.001326,0.001385,6690,61492
2017-06-11,0.001764,0.001790,0.001681,0.001692,6800,64181
2017-06-10,0.001697,0.001869,0.001697,0.001765,12213,61754
2017-06-09,0.001820,0.001828,0.001688,0.001694,10466,66214
2017-06-08,0.001874,0.001972,0.001672,0.001796,21397,68209
2017-06-07,0.002002,0.002034,0.001832,0.001865,9804,72861
2017-06-06,0.001832,0.002094,0.001832,0.002002,12400,66685
2017-06-05,0.001669,0.002126,0.001669,0.001827,16047,60751
2017-06-04,0.001774,0.001935,0.001668,0.001669,16238,64552
2017-06-03,0.001782,0.001865,0.001691,0.001779,17973,64845
2017-06-02,0.001736,0.001855,0.001546,0.001783,13469,63188
2017-06-01,0.001670,0.001916,0.001636,0.001736,8956,60755
2017-05-31,0.001776,0.001832,0.001476,0.001668,26148,64645
2017-05-30,0.001961,0.002038,0.001750,0.001750,18431,71366
2017-05-29,0.001904,0.002009,0.001750,0.001938,16074,69281
2017-05-28,0.001590,0.002039,0.001590,0.001908,4630,57863
2017-05-27,0.001818,0.001833,0.001535,0.001581,3810,66162
2017-05-26,0.001883,0.002179,0.001637,0.001794,6197,68538
2017-05-25,0.002633,0.002647,0.001847,0.001897,8802,95814
2017-05-24,0.002308,0.002822,0.002269,0.002638,20218,83979
2017-05-23,0.002657,0.002663,0.002096,0.002325,13339,96700
2017-05-22,0.002595,0.002814,0.002402,0.002661,25105,94435
2017-05-21,0.002781,0.002941,0.002456,0.002586,19099,101205
2017-05-20,0.002809,0.003136,0.001518,0.002779,25933,102233
2017-05-19,0.002632,0.002836,0.002281,0.002812,24960,95763
2017-05-18,0.002582,0.002845,0.002549,0.002629,24241,93946
2017-05-17,0.002660,0.002814,0.002564,0.002750,17794,96809
2017-05-16,0.002720,0.002830,0.002483,0.002661,15615,98968
2017-05-15,0.002806,0.002942,0.002581,0.002724,15413,102100
2017-05-14,0.002932,0.003136,0.002804,0.002804,15281,106689
2017-05-13,0.002728,0.003431,0.002648,0.002922,92983,99268
2017-05-12,0.002884,0.004076,0.002672,0.002733,68766,104933
2017-05-11,0.002609,0.003245,0.002405,0.002882,33495,94950
2017-05-10,0.002852,0.002945,0.001995,0.002431,8644,103801
2017-05-09,0.003023,0.003191,0.002846,0.002851,15617,110011
2017-05-08,0.002789,0.003035,0.002766,0.003020,10080,101502
2017-05-07,0.002887,0.003080,0.002692,0.002789,30668,105070
2017-05-06,0.003013,0.003124,0.002795,0.002947,10144,109641
2017-05-05,0.002686,0.003126,0.002396,0.003010,23291,97730
2017-05-04,0.001887,0.003013,0.001834,0.002694,30260,68670
2017-05-03,0.001921,0.002100,0.001875,0.001894,4740,69920
2017-05-02,0.001854,0.002093,0.001854,0.001932,14218,67480
2017-05-01,0.001666,0.002078,0.001666,0.001854,9316,60644
2017-04-30,0.001709,0.001709,0.001588,0.001666,2851,62182
2017-04-29,0.001704,0.001815,0.001653,0.001709,7088,62026
2017-04-28,0.001756,0.001854,0.001635,0.001703,10379,63907
2017-04-27,0.001715,0.001810,0.001697,0.001741,4312,62412
2017-04-26,0.001680,0.001814,0.001576,0.001714,9661,61127
2017-04-25,0.001459,0.001690,0.001459,0.001690,10424,53097
2017-04-24,0.001419,0.001614,0.001241,0.001459,13283,51637
2017-04-23,0.001419,0.001456,0.001246,0.001416,4527,51654
2017-04-22,0.001544,0.001650,0.001302,0.001419,7361,56194
2017-04-21,0.001799,0.001970,0.001523,0.001534,16516,65480
2017-04-20,0.001545,0.002824,0.001409,0.001853,32344,56242
2017-04-19,0.001242,0.001538,0.001142,0.001538,24610,45208
2017-04-18,0.001006,0.001281,0.000883,0.001242,23017,36613
2017-04-17,0.000746,0.001106,0.000746,0.001006,17232,27148
2017-04-16,0.000727,0.000780,0.000696,0.000758,1680,26464
2017-04-15,0.000869,0.000870,0.000739,0.000774,2079,31607
2017-04-14,0.000889,0.000916,0.000847,0.000869,1617,32367
2017-04-13,0.000961,0.001011,0.000848,0.000889,5894,34972
2017-04-12,0.001068,0.001107,0.000956,0.000960,20702,38861
2017-04-11,0.001002,0.001179,0.000897,0.001000,15385,36469
2017-04-10,0.000689,0.001048,0.000689,0.000990,21132,25064
2017-04-09,0.000657,0.000834,0.000657,0.000689,16529,23920
2017-04-08,0.000715,0.000715,0.000644,0.000657,5526,26002
2017-04-07,0.000684,0.000734,0.000658,0.000717,1736,24886
2017-04-06,0.000673,0.000711,0.000662,0.000686,4565,24495
2017-04-05,0.000728,0.000728,0.000656,0.000670,4718,26475
2017-04-04,0.000778,0.000784,0.000709,0.000727,3451,28328
2017-04-03,0.000749,0.000812,0.000749,0.000777,7765,27244
2017-04-02,0.000762,0.000775,0.000735,0.000748,6862,27712
2017-04-01,0.000733,0.000770,0.000718,0.000761,9276,26678
2017-03-31,0.000741,0.000768,0.000697,0.000733,5465,26950
2017-03-30,0.000742,0.000747,0.000676,0.000740,11155,27011
2017-03-29,0.000705,0.000744,0.000685,0.000741,4011,25672
2017-03-28,0.000714,0.000746,0.000696,0.000706,8324,25978
2017-03-27,0.000670,0.000731,0.000646,0.000714,2322,24377
2017-03-26,0.000683,0.000746,0.000657,0.000666,2864,24854
2017-03-25,0.000656,0.000693,0.000609,0.000691,1495,23856
2017-03-24,0.000711,0.000721,0.000617,0.000619,5296,25856
2017-03-23,0.000733,0.000762,0.000682,0.000711,4346,26658
2017-03-22,0.000731,0.000784,0.000688,0.000732,18738,26591
