Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.208974,0.216130,0.204871,0.212971,12284,744390
2017-11-23,0.219913,0.220967,0.179993,0.208706,16489,783353
2017-11-22,0.220234,0.230111,0.216725,0.220115,61344,784498
2017-11-21,0.248262,0.248973,0.204229,0.219628,62183,884336
2017-11-20,0.278295,0.279037,0.176450,0.248460,2533,991319
2017-11-19,0.286326,0.288332,0.267554,0.278402,61175,1019930
2017-11-18,0.255262,0.294920,0.248353,0.287046,65904,909270
2017-11-17,0.232999,0.267273,0.231690,0.256315,26396,829969
2017-11-16,0.273377,0.280981,0.218880,0.233417,49806,973799
2017-11-15,0.240812,0.274132,0.240812,0.271925,62328,857798
2017-11-14,0.259521,0.285152,0.154673,0.245155,38682,924441
2017-11-13,0.231264,0.266326,0.228767,0.258627,47011,823788
2017-11-12,0.241938,0.255623,0.214612,0.231384,57980,861811
2017-11-11,0.259336,0.268434,0.229018,0.239865,44822,923784
2017-11-10,0.277898,0.288226,0.254861,0.260407,27488,989902
2017-11-09,0.432015,0.432015,0.275410,0.276966,36338,1538890
2017-11-08,0.291389,0.443940,0.274421,0.432319,52201,1037960
2017-11-07,0.403845,0.405481,0.224569,0.292585,63847,1438540
2017-11-06,0.297490,0.446457,0.270621,0.411305,48587,1059690
2017-11-05,0.459605,0.475268,0.290203,0.297038,28557,1637170
2017-11-04,0.476623,0.476623,0.458036,0.461396,14386,1697780
2017-11-03,0.458229,0.494916,0.448208,0.479009,51155,1632260
2017-11-02,0.262376,0.494216,0.209414,0.463475,55413,934612
2017-11-01,0.283324,0.286185,0.247891,0.261967,22686,1009230
2017-10-31,0.268703,0.286541,0.264792,0.283831,25048,957149
2017-10-30,0.267249,0.271746,0.264599,0.269835,13348,951971
2017-10-29,0.265312,0.273796,0.260700,0.268802,43012,945073
2017-10-28,0.283475,0.288449,0.258782,0.266122,15548,1009770
2017-10-27,0.288997,0.294440,0.264683,0.282869,61135,1029440
2017-10-26,0.264483,0.290167,0.262898,0.289227,59746,942116
2017-10-25,0.271626,0.271965,0.236470,0.264562,54293,967563
2017-10-24,0.288861,0.293818,0.248828,0.271171,25031,1028960
2017-10-23,0.268725,0.480797,0.245689,0.289069,13460,957230
2017-10-22,0.359191,0.365240,0.240911,0.269025,77850,1279480
2017-10-21,0.299000,0.404754,0.245058,0.364586,13418,1065070
2017-10-20,0.283524,0.346513,0.257107,0.299698,44714,1009950
2017-10-19,0.303021,0.311727,0.278695,0.283422,61019,1079390
2017-10-18,0.562097,0.562112,0.283346,0.303457,61229,2002250
2017-10-17,0.420136,0.563144,0.247193,0.561864,93445,1496570
2017-10-16,0.308989,0.445538,0.234932,0.420750,65198,1100650
