Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.004970,0.006065,0.004101,0.006046,46429,1841360
2017-11-23,0.004338,0.005110,0.004331,0.004977,13576,1606950
2017-11-22,0.004324,0.005060,0.004164,0.004340,20360,1599860
2017-11-21,0.003358,0.004912,0.002627,0.004813,31557,1242310
2017-11-20,0.002940,0.003423,0.002801,0.003357,6559,1086830
2017-11-19,0.003823,0.003945,0.002940,0.002941,5678,1412110
2017-11-18,0.002822,0.003850,0.002681,0.003830,7591,1041210
2017-11-17,0.003277,0.003313,0.002647,0.002833,3526,1208560
2017-11-16,0.003659,0.003949,0.002968,0.003282,4372,1349030
2017-11-15,0.004566,0.004642,0.003449,0.003640,12892,1682070
2017-11-14,0.003516,0.004797,0.003516,0.004563,6142,1294520
2017-11-13,0.003693,0.004238,0.003318,0.003508,9659,1359000
2017-11-12,0.003967,0.004466,0.003563,0.003687,15052,1458450
2017-11-11,0.005055,0.005176,0.003966,0.003969,12473,1857990
2017-11-10,0.002696,0.005734,0.002196,0.005075,116239,990146
2017-11-09,0.001214,0.002702,0.001180,0.002688,659,445704
2017-11-08,0.000869,0.001532,0.000811,0.001215,727,318436
2017-11-07,0.000561,0.000938,0.000561,0.000871,12,205644
2017-11-06,0.000873,0.000887,0.000560,0.000562,349,319729
2017-11-05,0.000919,0.001370,0.000910,0.001359,4,336539
2017-11-04,0.000932,0.000944,0.000854,0.000921,48,341108
2017-11-03,0.000913,0.000971,0.000655,0.000934,287,334220
2017-11-02,0.001141,0.001200,0.000891,0.000914,415,417126
2017-11-01,0.000905,0.001423,0.000894,0.001139,90,330769
2017-10-31,0.000948,0.001056,0.000875,0.000905,552,346368
2017-10-30,0.000884,0.001495,0.000825,0.000951,1094,322459
2017-10-29,0.001203,0.001683,0.000830,0.000889,625,438593
2017-10-28,0.001867,0.001868,0.001193,0.001205,29,680852
2017-10-24,0.001232,0.001232,0.001169,0.001201,8,449134
2017-10-23,0.001495,0.001495,0.001133,0.001234,10,545034
2017-10-22,0.001497,0.001497,0.001497,0.001497,9,545912
2017-10-21,0.001213,0.001300,0.001204,0.001291,5,441460
2017-10-20,0.001141,0.001234,0.001124,0.001215,43,414917
2017-10-19,0.001564,0.001597,0.001124,0.001141,31,568938
2017-10-18,0.001400,0.001571,0.001130,0.001564,121,509177
2017-10-17,0.001098,0.001724,0.001067,0.001400,337,399199
2017-10-16,0.001081,0.001371,0.001009,0.001098,591,392073
2017-10-15,0.001432,0.001437,0.000989,0.001081,42,458417
2017-10-14,0.001354,0.001655,0.001143,0.001429,122,491330
2017-10-13,0.000988,0.001354,0.000982,0.001353,35,358654
2017-10-12,0.001255,0.001278,0.000823,0.000985,1620,455391
2017-10-11,0.001238,0.001268,0.001040,0.001254,553,448784
2017-10-10,0.001466,0.001481,0.001193,0.001239,70,531033
2017-10-09,0.001590,0.001734,0.001459,0.001466,223,575996
