Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001589,0.001592,0.000887,0.001322,169,-
2017-11-23,0.000822,0.001603,0.000811,0.001591,63,-
2017-11-22,0.000735,0.000827,0.000729,0.000823,831,-
2017-11-21,0.000824,0.000826,0.000656,0.000734,11,-
2017-11-20,0.000782,0.000829,0.000673,0.000824,58,-
2017-11-19,0.000701,0.000794,0.000609,0.000794,1,-
2017-11-18,0.000692,0.000780,0.000671,0.000702,54,-
2017-11-17,0.000785,0.000803,0.000605,0.000694,22,-
2017-11-16,0.000668,0.000937,0.000599,0.000786,467,-
2017-11-15,0.000660,0.000731,0.000659,0.000664,10,-
2017-11-14,0.000588,0.000664,0.000578,0.000659,8,-
2017-11-13,0.000411,0.000643,0.000408,0.000587,23,-
2017-11-12,0.000509,0.000562,0.000396,0.000410,11,-
2017-11-11,0.000593,0.000724,0.000503,0.000509,11,-
2017-11-10,0.000836,0.000858,0.000581,0.000595,8,-
2017-11-09,0.000966,0.000966,0.000388,0.000833,204,-
2017-11-08,0.000887,0.000969,0.000882,0.000967,1364,-
2017-11-07,0.000975,0.001213,0.000872,0.000890,13,-
2017-11-06,0.001035,0.001038,0.000853,0.000977,8,-
2017-11-05,0.000959,0.001056,0.000949,0.001033,6,-
2017-11-04,0.000932,0.000981,0.000910,0.000961,2,-
2017-11-03,0.001137,0.001519,0.000925,0.000934,3,-
2017-11-02,0.001030,0.001145,0.000828,0.001138,6,-
2017-11-01,0.001152,0.001220,0.000908,0.001030,186,-
2017-10-31,0.001409,0.001416,0.001143,0.001153,112,-
2017-10-30,0.001416,0.001492,0.001036,0.001414,285,-
2017-10-29,0.001300,0.001461,0.001283,0.001424,11,-
2017-10-28,0.001318,0.001340,0.001289,0.001297,8,-
2017-10-27,0.001469,0.001495,0.001311,0.001315,18,-
2017-10-26,0.001434,0.001497,0.001425,0.001469,2,-
2017-10-25,0.001386,0.001495,0.001308,0.001434,85,-
2017-10-24,0.001525,0.001525,0.001385,0.001385,32,-
2017-10-23,0.001674,0.001699,0.001473,0.001528,10,-
2017-10-22,0.001300,0.001852,0.001259,0.001677,20,-
2017-10-21,0.001561,0.001610,0.001280,0.001303,0,-
2017-10-20,0.001597,0.001803,0.001560,0.001565,171,-
2017-10-19,0.001564,0.001722,0.001550,0.001597,37,-
2017-10-18,0.001680,0.001680,0.001217,0.001564,9,-
2017-10-17,0.001461,0.001699,0.001394,0.001680,3,-
2017-10-16,0.001180,0.004872,0.001175,0.001461,0,-
2017-10-15,0.001600,0.001607,0.001168,0.001180,0,-
2017-10-14,0.001639,0.001656,0.001559,0.001597,6,-
2017-10-13,0.001727,0.001727,0.001601,0.001639,5,-
2017-10-12,0.001448,0.001573,0.001444,0.001557,1,-
2017-10-11,0.001334,0.001463,0.001323,0.001447,1,-
2017-10-10,0.001754,0.001792,0.001324,0.001334,15,-
2017-10-09,0.001381,0.001799,0.001367,0.001754,0,-
2017-10-08,0.001259,0.001383,0.001256,0.001380,11,-
2017-10-07,0.001268,0.001272,0.001233,0.001262,10,-
2017-10-06,0.001269,0.001277,0.001256,0.001268,1,-
2017-10-05,0.001222,0.001228,0.001083,0.001127,0,-
2017-10-04,0.001290,0.001291,0.001156,0.001221,94,-
2017-10-03,0.001315,0.001364,0.001250,0.001289,1,-
2017-10-02,0.001318,0.001340,0.001237,0.001315,1,-
2017-10-01,0.001390,0.001397,0.001279,0.001319,4,-
2017-09-30,0.001330,0.001394,0.001330,0.001389,2,-
2017-09-29,0.001550,0.001556,0.001242,0.001330,233,-
2017-09-28,0.001515,0.001556,0.001207,0.001551,1,-
2017-09-27,0.001400,0.001521,0.001400,0.001515,44,-
2017-09-26,0.001305,0.001540,0.001305,0.001404,39,-
2017-09-25,0.001068,0.001544,0.001051,0.001258,0,-
2017-09-24,0.001043,0.001071,0.001008,0.001068,5,-
2017-09-23,0.001406,0.001487,0.001392,0.001464,6,-
2017-09-22,0.001267,0.001466,0.000822,0.001410,6,-
2017-09-21,0.001786,0.001808,0.001208,0.001269,23,-
2017-09-20,0.002645,0.003065,0.001550,0.001791,7,-
2017-09-19,0.001641,0.004761,0.001500,0.002651,176,-
