Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000161,0.000167,0.000082,0.000082,18,-
2017-11-23,0.000082,0.000164,0.000081,0.000161,1,-
2017-11-22,0.000081,0.000083,0.000081,0.000082,123,-
2017-11-21,0.000082,0.000084,0.000080,0.000081,46,-
2017-11-20,0.000080,0.000083,0.000079,0.000082,3,-
2017-11-19,0.000078,0.000155,0.000077,0.000080,46,-
2017-11-18,0.000078,0.000078,0.000078,0.000078,3,-
2017-11-16,0.000073,0.000075,0.000071,0.000074,4,-
2017-11-15,0.000071,0.000073,0.000071,0.000073,4,-
2017-11-14,0.000065,0.000067,0.000064,0.000066,2,-
2017-11-13,0.000059,0.000131,0.000058,0.000065,13,-
2017-11-12,0.000064,0.000064,0.000055,0.000059,5,-
2017-11-11,0.000131,0.000136,0.000062,0.000064,2,-
2017-11-10,0.000143,0.000147,0.000065,0.000132,26,-
2017-11-09,0.000149,0.000149,0.000071,0.000142,11,-
2017-11-08,0.000150,0.000157,0.000143,0.000150,1,-
2017-11-07,0.000070,0.000072,0.000070,0.000071,6,-
2017-11-06,0.000073,0.000074,0.000069,0.000070,27,-
2017-11-05,0.000074,0.000076,0.000073,0.000075,2,-
2017-11-04,0.000143,0.000151,0.000074,0.000074,6,-
2017-11-01,0.000064,0.000064,0.000064,0.000064,1,-
2017-10-31,0.000061,0.000064,0.000061,0.000064,1,-
2017-10-29,0.000115,0.000123,0.000114,0.000123,1,-
2017-10-28,0.000114,0.000116,0.000114,0.000115,1,-
2017-10-27,0.000059,0.000060,0.000057,0.000058,12,-
2017-10-26,0.000057,0.000060,0.000057,0.000059,12,-
2017-10-25,0.000055,0.000057,0.000054,0.000057,12,-
2017-10-24,0.000059,0.000059,0.000055,0.000055,1,-
2017-10-23,0.000061,0.000120,0.000057,0.000059,18,-
2017-10-21,0.000060,0.000061,0.000060,0.000061,5,-
2017-10-20,0.000057,0.000061,0.000056,0.000060,5,-
2017-10-19,0.000055,0.000057,0.000055,0.000057,3,-
2017-10-18,0.000112,0.000112,0.000103,0.000108,1,-
2017-10-17,0.000116,0.000116,0.000111,0.000112,3,-
2017-10-16,0.000057,0.000116,0.000056,0.000116,3,-
2017-10-15,0.000117,0.000117,0.000055,0.000057,9,-
2017-10-14,0.000113,0.000117,0.000113,0.000117,2,-
2017-10-13,0.000054,0.000057,0.000054,0.000057,74,-
2017-10-12,0.000097,0.000097,0.000048,0.000054,70,-
2017-10-11,0.000095,0.000098,0.000094,0.000096,1,-
